round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.30013540681986567,0.7198176216416154,0.4828308316080055,0.00990667623833453,69.0,6965.0,758.0,0.0,0.18,0.18,0.29,0.44,0.32199999999999995,0.58,0.37968253968253973,1.0,0.011873350923482849,0.1236234458259325,696.0,1.97979797979798,0.09536059119506317,0.0025990234007194895,0.0
1,0.30029262809111756,0.6827370785682458,0.5083416305916306,0.01174225744899457,80.0,6813.0,758.0,0.0,0.2786885245901639,0.2786885245901639,0.3934426229508196,0.5409836065573771,0.4336065573770492,0.7213114754098361,0.4700234192037471,1.0,0.022427440633245383,0.1275252525252525,707.0,,,,0.0
2,0.30042430090579103,0.6794790650813436,0.6018447293447293,0.009571428571428571,67.0,7000.0,758.0,0.0,0.4888888888888889,0.4888888888888889,0.5814814814814814,0.6888888888888889,0.597037037037037,0.7555555555555555,0.6297707231040565,1.0,0.029023746701846966,0.12199008498583569,689.0,,,,0.0
3,0.30056186951813646,0.6274950089530121,0.5541307835190815,0.009984310369419484,70.0,7011.0,758.0,0.0,0.20833333333333334,0.20833333333333334,0.3541666666666667,0.5625,0.39375,0.7291666666666666,0.4287863756613757,1.0,0.013192612137203167,0.12223003869152303,695.0,,,,0.0
4,0.30067782020568473,0.5681680747766893,0.5660793650793652,0.008518625469246319,59.0,6926.0,758.0,0.0,0.15217391304347827,0.15217391304347827,0.32608695652173914,0.5652173913043478,0.3489130434782609,0.6739130434782609,0.39424603174603173,1.0,0.009234828496042216,0.12350526503658754,692.0,,,,0.0
5,0.30080752775446756,0.5006221689666069,0.5387164588057446,0.009469153515064563,66.0,6970.0,758.0,0.0,0.2765957446808511,0.2765957446808511,0.3617021276595745,0.48936170212765956,0.4351063829787234,0.8085106382978723,0.46062141168524146,1.0,0.017150395778364115,0.1232127096204766,698.0,,,,0.0
6,0.3009509921644849,0.48520009190521085,0.5425156440781441,0.010444984976391472,73.0,6989.0,758.0,0.0,0.2727272727272727,0.2727272727272727,0.37575757575757573,0.509090909090909,0.4193939393939394,0.7090909090909091,0.4566738816738816,1.0,0.01978891820580475,0.12443724113092022,691.0,,,,0.0
7,0.30109642184039287,0.5029286864841118,0.5365733704829448,0.010719976821671737,74.0,6903.0,758.0,0.0,0.3076923076923077,0.3076923076923077,0.423076923076923,0.5769230769230769,0.45865384615384613,0.7307692307692307,0.49526098901098903,1.0,0.021108179419525065,0.12482419127988749,710.0,,,,0.0
8,0.3012045114643786,0.5233967376866266,0.5960470085470085,0.007972169879692709,55.0,6899.0,758.0,0.0,0.36585365853658536,0.36585365853658536,0.4552845528455284,0.5853658536585366,0.4894308943089431,0.7317073170731707,0.5242160278745644,1.0,0.01978891820580475,0.12511044354126172,708.0,,,,0.0
9,0.30132439268370814,0.47109822446185495,0.5036992945326279,0.008812481941635366,61.0,6922.0,758.0,0.0,0.19148936170212766,0.19148936170212766,0.32978723404255317,0.5106382978723404,0.38297872340425526,0.7446808510638298,0.4146487673083417,1.0,0.011873350923482849,0.1251546756231218,708.0,,,,0.0
10,0.30146982235961617,0.42300801387382103,0.5532981049562682,0.010724637681159421,74.0,6900.0,758.0,0.0,0.3076923076923077,0.3076923076923077,0.4326923076923076,0.5961538461538461,0.4644230769230769,0.7307692307692307,0.4985958485958486,1.0,0.021108179419525065,0.12282856641516056,700.0,1.9714285714285715,0.09303999363120502,0.0026097007297832433,0.0
11,0.30158577304716444,0.425061548571877,0.6203555764411028,0.008463635059532348,59.0,6971.0,758.0,0.0,0.35,0.35,0.5166666666666667,0.725,0.5329166666666667,0.8,0.562281746031746,1.0,0.018469656992084433,0.12484505046927573,705.0,,,,0.0
12,0.3017076195323846,0.3860194088816832,0.46285068290882253,0.008874892642427712,62.0,6986.0,758.0,0.0,0.2222222222222222,0.2222222222222222,0.3259259259259259,0.4888888888888889,0.3659259259259259,0.6666666666666666,0.4108906525573192,1.0,0.013192612137203167,0.12182387747998608,700.0,,,,0.0
13,0.30182160495404226,0.23503137070466504,0.5028689403689404,0.008345323741007195,58.0,6950.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.4523809523809524,0.5952380952380952,0.4773809523809523,0.7142857142857143,0.5143140589569161,1.0,0.018469656992084433,0.1202767429483768,678.0,,,,0.0
14,0.30192969457802793,0.20816391485975733,0.46527777777777773,0.007959479015918957,55.0,6910.0,758.0,0.0,0.24390243902439024,0.24390243902439024,0.33333333333333326,0.4634146341463415,0.3784552845528455,0.6585365853658537,0.41987998451413094,1.0,0.013192612137203167,0.12330694810905893,701.0,,,,0.0
15,0.30205154106324816,0.17920133578414177,0.5534682539682539,0.008909326052593763,62.0,6959.0,758.0,0.0,0.34782608695652173,0.34782608695652173,0.4456521739130434,0.5652173913043478,0.4826086956521739,0.717391304347826,0.5220928226363009,1.0,0.021108179419525065,0.12276667256324075,694.0,,,,0.0
16,0.3021222906353115,0.21145733269292347,0.5848809523809524,0.005160550458715597,36.0,6976.0,758.0,0.0,0.25925925925925924,0.25925925925925924,0.41975308641975306,0.6296296296296297,0.45493827160493827,0.7777777777777778,0.4828042328042328,1.0,0.009234828496042216,0.12300683371298406,702.0,,,,0.0
17,0.30219107494148423,0.19396802325581392,0.5224358974358974,0.005061460592913955,35.0,6915.0,758.0,0.0,0.3103448275862069,0.3103448275862069,0.4022988505747126,0.5172413793103449,0.4419540229885057,0.6896551724137931,0.48055555555555557,1.0,0.011873350923482849,0.1229306093694963,698.0,,,,0.0
18,0.3023129214267044,0.3054399102157523,0.6227624007936507,0.008871083130633853,62.0,6989.0,758.0,0.0,0.36585365853658536,0.36585365853658536,0.5284552845528455,0.7317073170731707,0.5613821138211382,0.8780487804878049,0.5779036004645761,1.0,0.01978891820580475,0.12154696132596685,704.0,,,,0.0
19,0.30240528892356494,0.24906313946894798,0.6197836661546338,0.006761617033520357,47.0,6951.0,758.0,0.0,0.4857142857142857,0.4857142857142857,0.5333333333333332,0.6285714285714286,0.5333333333333332,0.6285714285714286,0.5878004535147392,1.0,0.022427440633245383,0.12493438320209974,714.0,,,,0.0
20,0.30249569115453473,0.22517097119278676,0.5591362847222222,0.00669188245562991,46.0,6874.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.4212962962962962,0.5277777777777778,0.45462962962962966,0.6666666666666666,0.49997795414462076,1.0,0.0158311345646438,0.12247034193998604,702.0,1.972972972972973,0.09108163273285594,0.002143852138049127,0.0
21,0.3025860933855046,0.21175930756611,0.5644157088122604,0.006606347838575327,46.0,6963.0,758.0,0.0,0.36363636363636365,0.36363636363636365,0.4747474747474748,0.6363636363636364,0.502020202020202,0.7575757575757576,0.534030784030784,1.0,0.0158311345646438,0.12354877837463178,713.0,,,,0.0
22,0.3026823914141464,0.19608153874146728,0.5212782587782587,0.006997001285163501,49.0,7003.0,758.0,0.0,0.34210526315789475,0.34210526315789475,0.4780701754385964,0.6578947368421053,0.5162280701754385,0.8157894736842105,0.5399331662489557,1.0,0.017150395778364115,0.1222835460503622,709.0,,,,0.0
23,0.3027649325815536,0.1755818220846576,0.447172619047619,0.006070241364359011,42.0,6919.0,758.0,0.0,0.17647058823529413,0.17647058823529413,0.29411764705882354,0.47058823529411764,0.36617647058823527,0.7647058823529411,0.3957866479925303,1.0,0.0079155672823219,0.12286869397082088,699.0,,,,0.0
24,0.30285926534430474,0.17571041574524549,0.42779195011337867,0.007026789635485288,48.0,6831.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.4141414141414142,0.5454545454545454,0.42929292929292934,0.6060606060606061,0.48158970658970657,1.0,0.014511873350923483,0.12703697213947784,725.0,,,,0.0
25,0.302941806511712,0.17406491049337794,0.5420910493827161,0.006075509908867351,42.0,6913.0,758.0,0.0,0.16666666666666666,0.16666666666666666,0.32407407407407407,0.5277777777777778,0.3685185185185185,0.7222222222222222,0.4069334215167548,1.0,0.0079155672823219,0.12480335605663345,714.0,,,,0.0
26,0.30303613927446316,0.21784283835485416,0.5104476686507937,0.006839555428897122,48.0,7018.0,758.0,0.0,0.17647058823529413,0.17647058823529413,0.3137254901960784,0.47058823529411764,0.37990196078431376,0.7647058823529411,0.4102707749766573,1.0,0.0079155672823219,0.12044046799724707,700.0,,,,0.0
27,0.3031245762395423,0.2394190871369295,0.43424479166666663,0.00639749786750071,45.0,7034.0,758.0,0.0,0.24324324324324326,0.24324324324324326,0.32882882882882886,0.43243243243243246,0.3666666666666667,0.5945945945945946,0.4217824967824968,1.0,0.011873350923482849,0.12305833620987228,713.0,,,,0.0
28,0.3031953258116057,0.16095583409371048,0.5724548440065681,0.005159810806937079,36.0,6977.0,758.0,0.0,0.3225806451612903,0.3225806451612903,0.4139784946236559,0.5161290322580645,0.4591397849462366,0.7096774193548387,0.49317716333845363,1.0,0.013192612137203167,0.1220451759761863,697.0,,,,0.0
