round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.30014916368110023,0.7530767838994796,0.5869578257659653,0.01099537037037037,76.0,6912.0,758.0,0.0,0.425531914893617,0.425531914893617,0.5602836879432623,0.723404255319149,0.5900709219858156,0.851063829787234,0.6115754812563323,1.0,0.026385224274406333,0.11889058007779468,703.0,1.9444444444444444,0.0953401106555102,0.0021115314934653556,0.0
1,0.30034765553605575,0.7059563443209469,0.5625812368972747,0.014526103840069035,101.0,6953.0,758.0,0.0,0.2909090909090909,0.2909090909090909,0.409090909090909,0.5636363636363636,0.44090909090909086,0.7090909090909091,0.48018037518037515,1.0,0.021108179419525065,0.11910337905654064,712.0,,,,0.0
2,0.3005147031367609,0.6772054510953942,0.595580808080808,0.012309920347574221,85.0,6905.0,758.0,0.0,0.38596491228070173,0.38596491228070173,0.4444444444444445,0.5263157894736842,0.4812865497076023,0.6842105263157895,0.5217488164856585,1.0,0.029023746701846966,0.11868390129259694,707.0,,,,0.0
3,0.30067978547157537,0.7151253780685096,0.5708475056689343,0.01225561715786402,84.0,6854.0,758.0,0.0,0.27450980392156865,0.27450980392156865,0.46078431372549017,0.7058823529411765,0.4725490196078432,0.7647058823529411,0.5030812324929972,1.0,0.018469656992084433,0.12076558265582656,713.0,,,,0.0
4,0.3008507636040618,0.6864658964264282,0.562062429138322,0.012324691882702932,87.0,7059.0,758.0,0.0,0.2807017543859649,0.2807017543859649,0.40643274853801165,0.5614035087719298,0.43625730994152045,0.7017543859649122,0.4778334725703146,1.0,0.021108179419525065,0.11719002913564261,724.0,,,,0.0
5,0.3010158459388763,0.6846364430504255,0.5800661375661376,0.011988011988011988,84.0,7007.0,758.0,0.0,0.3958333333333333,0.3958333333333333,0.47222222222222215,0.5625,0.5253472222222223,0.7916666666666666,0.5546957671957672,1.0,0.025065963060686015,0.11755976916735367,713.0,,,,0.0
6,0.30125364311164476,0.68309956500252,0.5657657490079365,0.017594881489021375,121.0,6877.0,758.0,0.0,0.36923076923076925,0.36923076923076925,0.4717948717948718,0.6307692307692307,0.504102564102564,0.7692307692307693,0.534053724053724,1.0,0.0316622691292876,0.12018027040560841,720.0,,,,0.0
7,0.30138138539453696,0.7109272118474572,0.5148313492063492,0.00940529590507886,65.0,6911.0,758.0,0.0,0.3170731707317073,0.3170731707317073,0.4308943089430894,0.5853658536585366,0.45772357723577234,0.7073170731707317,0.4979094076655051,1.0,0.017150395778364115,0.11929233361415333,708.0,,,,0.0
8,0.30160346044018027,0.6672148843651028,0.6204537890424988,0.01599433828733192,113.0,7065.0,758.0,0.0,0.421875,0.421875,0.53125,0.671875,0.565625,0.828125,0.5887276785714286,1.0,0.03562005277044855,0.11700746510873093,721.0,,,,0.0
9,0.3017960564974638,0.6904877882667867,0.6452132936507937,0.01402002861230329,98.0,6990.0,758.0,0.0,0.5,0.5,0.568452380952381,0.6607142857142857,0.6041666666666667,0.8214285714285714,0.6281320861678006,1.0,0.036939313984168866,0.11647254575707154,700.0,,,,0.0
