round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3000609785607124,0.6870166196892616,0.6421626984126985,0.004380561259411362,32.0,7305.0,773.0,0.0,0.375,0.375,0.5277777777777778,0.7916666666666666,0.5277777777777778,0.7916666666666666,0.5557208994708995,1.0,0.01164294954721863,0.1180891932520461,707.0,1.9747899159663866,0.03562971925374471,0.004353477596200592,0.0
1,0.3001267966897353,0.8931334779371298,0.6364930555555556,0.0046562585592988225,34.0,7302.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.4841269841269841,0.5714285714285714,0.5055555555555555,0.6666666666666666,0.5507180650037794,1.0,0.01164294954721863,0.11983954537857262,717.0,,,,0.0
2,0.3001655132362193,0.7099633674315733,0.5357142857142857,0.0027570995312930797,20.0,7254.0,773.0,0.0,0.13333333333333333,0.13333333333333333,0.27777777777777773,0.4666666666666667,0.3244444444444444,0.6666666666666666,0.37563492063492065,1.0,0.00258732212160414,0.12097725358045493,718.0,,,,0.0
3,0.3002158447466486,0.8672702991452992,0.8285529100529101,0.0035981179075560477,26.0,7226.0,773.0,0.0,0.5625,0.5625,0.7291666666666666,0.9375,0.7447916666666666,1.0,0.7447916666666666,1.0,0.01164294954721863,0.12216288384512683,732.0,,,,0.0
4,0.3002913420122925,0.6487482825687418,0.5789898205659076,0.005398671096345515,39.0,7224.0,773.0,0.0,0.3076923076923077,0.3076923076923077,0.42948717948717946,0.5769230769230769,0.4487179487179487,0.6538461538461539,0.4953296703296703,1.0,0.01034928848641656,0.12170385395537525,720.0,,,,0.0
5,0.3003416735227218,0.6201963353596976,0.6666666666666666,0.003617139677239844,26.0,7188.0,773.0,0.0,0.3888888888888889,0.3888888888888889,0.5185185185185185,0.7222222222222222,0.5185185185185185,0.7222222222222222,0.552689594356261,1.0,0.009055627425614488,0.11889168765743073,708.0,,,,0.0
6,0.3003939408604753,0.8104945117005,0.6730902777777779,0.003728766744924734,27.0,7241.0,773.0,0.0,0.4,0.4,0.5333333333333333,0.7,0.5908333333333333,0.95,0.5963888888888889,1.0,0.01034928848641656,0.1211154039979842,721.0,,,,0.0
7,0.3004462081982287,0.806099017176449,0.48327020202020204,0.0037062457103637612,27.0,7285.0,773.0,0.0,0.22727272727272727,0.22727272727272727,0.3181818181818182,0.4090909090909091,0.35000000000000003,0.5454545454545454,0.40755772005772,1.0,0.00646830530401035,0.11959798994974874,714.0,,,,0.0
8,0.300496539708658,0.8256564116876703,0.5168402777777777,0.003615127919911012,26.0,7192.0,773.0,0.0,0.23809523809523808,0.23809523809523808,0.38095238095238093,0.5238095238095238,0.41190476190476194,0.6666666666666666,0.45355253212396063,1.0,0.00646830530401035,0.12084745762711864,713.0,,,,0.0
9,0.30054106373711464,0.7014942839139436,0.459795321637427,0.0031645569620253164,23.0,7268.0,773.0,0.0,0.21052631578947367,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.2973684210526316,0.47368421052631576,0.3640142021720969,1.0,0.00517464424320828,0.12005343129069962,719.0,,,,0.0
10,0.30058752359289553,0.7365305223119029,0.6851851851851852,0.00332871012482663,24.0,7210.0,773.0,0.0,0.42105263157894735,0.42105263157894735,0.543859649122807,0.7368421052631579,0.5833333333333334,0.8947368421052632,0.5979532163742691,1.0,0.01034928848641656,0.11954331766286098,712.0,1.954954954954955,0.034891262888446774,0.004329001371557187,0.0
11,0.3006572133765668,0.7563595578372878,0.6457231040564373,0.004970316167333977,36.0,7243.0,773.0,0.0,0.25,0.25,0.369047619047619,0.5357142857142857,0.40654761904761905,0.7142857142857143,0.4503401360544217,1.0,0.009055627425614488,0.1187604690117253,709.0,,,,0.0
12,0.3007133523689687,0.7436599799204542,0.5839120370370371,0.004042938798271295,29.0,7173.0,773.0,0.0,0.2962962962962963,0.2962962962962963,0.38271604938271603,0.48148148148148145,0.42530864197530865,0.6666666666666666,0.4739564961787184,1.0,0.01034928848641656,0.12052890320393286,711.0,,,,0.0
13,0.3007985287712336,0.6429101307396745,0.5326070011337869,0.006100097046998475,44.0,7213.0,773.0,0.0,0.25,0.25,0.3630952380952381,0.5,0.40952380952380946,0.7142857142857143,0.4484977324263038,1.0,0.009055627425614488,0.12055167716669504,708.0,,,,0.0
14,0.3008643469002565,0.7992884185923654,0.703852813852814,0.004605174048489774,34.0,7383.0,773.0,0.0,0.45454545454545453,0.45454545454545453,0.5227272727272727,0.5909090909090909,0.575,0.8181818181818182,0.6031385281385281,1.0,0.0129366106080207,0.11801549365419482,716.0,,,,0.0
15,0.3009243575473068,0.795784239974717,0.6540532879818594,0.004259411926353394,31.0,7278.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.492063492063492,0.6190476190476191,0.5253968253968254,0.7619047619047619,0.5584656084656084,1.0,0.01164294954721863,0.11780455153949129,704.0,,,,0.0
16,0.30097275323041184,0.7260085481869571,0.6880511463844797,0.0034350096180269306,25.0,7278.0,773.0,0.0,0.47368421052631576,0.47368421052631576,0.5964912280701755,0.7368421052631579,0.5964912280701755,0.7368421052631579,0.6343358395989975,1.0,0.01164294954721863,0.11747038211246454,704.0,,,,0.0
