round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.30003000532352514,0.002190280629705681,16.0,7305.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.4583333333333333,0.6666666666666666,0.4583333333333333,0.6666666666666666,0.49824735449735447,1.0,0.00517464424320828,0.11918150577944392,763.0,2.0,0.035652585232712496,0.004373440117306108,0.0
1,0.30007646517930603,0.003286770747740345,24.0,7302.0,773.0,0.0,0.2857142857142857,0.2857142857142857,0.39285714285714285,0.5714285714285714,0.44642857142857145,0.7857142857142857,0.47738095238095235,1.0,0.00517464424320828,0.12006344171292625,757.0,,,,0.0
2,0.30010356676184485,0.0019299696719051558,14.0,7254.0,773.0,0.0,0.08333333333333333,0.08333333333333333,0.125,0.16666666666666666,0.14583333333333334,0.25,0.24824735449735447,1.0,0.00129366106080207,0.11896955503512881,762.0,,,,0.0
3,0.30011711755311427,0.0009688581314878892,7.0,7225.0,773.0,0.0,0.14285714285714285,0.14285714285714285,0.3095238095238095,0.5714285714285714,0.34523809523809523,0.7142857142857143,0.3773809523809524,1.0,0.00129366106080207,0.12014582342685053,758.0,,,,0.0
4,0.3001597057542467,0.003045404208194906,22.0,7224.0,773.0,0.0,0.3125,0.3125,0.4583333333333333,0.625,0.5114583333333333,0.875,0.5281994047619047,1.0,0.00646830530401035,0.12200610834271018,759.0,,,,0.0
5,0.30018874316410976,0.002086811352253756,15.0,7188.0,773.0,0.0,0.2727272727272727,0.2727272727272727,0.4242424242424242,0.6363636363636364,0.4651515151515151,0.8181818181818182,0.4882395382395382,1.0,0.0038809831824062097,0.11822583164141809,757.0,,,,0.0
6,0.3002216522286212,0.00234774202458224,17.0,7241.0,773.0,0.0,0.06666666666666667,0.06666666666666667,0.2,0.4,0.21666666666666667,0.4666666666666667,0.2847089947089947,1.0,0.00129366106080207,0.11967959792681011,762.0,,,,0.0
7,0.30025262546580844,0.002196293754289636,16.0,7285.0,773.0,0.0,0.07692307692307693,0.07692307692307693,0.21794871794871795,0.38461538461538464,0.25641025641025644,0.5384615384615384,0.3111111111111111,1.0,0.00129366106080207,0.12043044785567336,761.0,,,,0.0
8,0.30027198373905045,0.0013906271728549575,10.0,7191.0,773.0,0.0,0.3,0.3,0.4666666666666666,0.7,0.5116666666666666,0.9,0.5259523809523808,1.0,0.0038809831824062097,0.1204113924050633,761.0,,,,0.0
9,0.3002971494942651,0.0017886626307099616,13.0,7268.0,773.0,0.0,0.2,0.2,0.31666666666666665,0.5,0.35666666666666663,0.7,0.4025,1.0,0.00258732212160414,0.11881342701014833,761.0,,,,0.0
