round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.30001781055082344,0.9149862068965516,0.6777777777777778,0.0006891798759476223,10.0,14510.0,1572.0,0.0,0.3,0.3,0.41666666666666663,0.6,0.4666666666666666,0.8,0.48888888888888893,1.0,0.0019083969465648854,0.1206055940467026,1410.0,2.0,0.07094787011375349,0.0009649100199042974,0.0
1,0.3000343358041647,0.9082181962363131,0.7592592592592593,0.0006172416158013854,9.0,14581.0,1572.0,0.0,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.603835978835979,1.0,0.002544529262086514,0.12133927042301763,1417.0,,,,0.0
2,0.30004718877898573,0.853101581198258,0.6157407407407408,0.0004804062864594057,7.0,14571.0,1572.0,0.0,0.6666666666666666,0.6666666666666666,0.75,0.8333333333333334,0.7833333333333333,1.0,0.7833333333333333,1.0,0.002544529262086514,0.12018411183088987,1410.0,,,,0.0
3,0.30006738631084734,0.8366746493328773,0.59375,0.0007520853274989744,11.0,14626.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.4444444444444444,0.47777777777777775,0.8888888888888888,0.48888888888888893,1.0,0.0019083969465648854,0.11970455896086256,1410.0,,,,0.0
4,0.3000802392856684,0.8487006262636225,0.44965277777777773,0.00048302511730609994,7.0,14492.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2916666666666667,0.6666666666666666,0.32916666666666666,1.0,0.0006361323155216285,0.11839646679123493,1394.0,,,,0.0
5,0.3001169620708713,0.9363249914295508,0.7137345679012346,0.0013693940431359123,20.0,14605.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5555555555555556,0.3472222222222222,0.6111111111111112,0.403042328042328,1.0,0.0019083969465648854,0.1201672783135615,1408.0,,,,0.0
6,0.30013899574199304,0.9953012666894898,0.8515625,0.0008209618936854347,12.0,14617.0,1572.0,0.0,0.5,0.5,0.6041666666666666,0.75,0.6354166666666666,0.875,0.65625,1.0,0.002544529262086514,0.11946525885558583,1403.0,,,,0.0
7,0.30015368485607424,0.9558424845573095,0.7569444444444444,0.0005487721223761833,8.0,14578.0,1572.0,0.0,0.375,0.375,0.5625,0.75,0.5875,0.875,0.6053571428571429,1.0,0.0019083969465648854,0.1195633778981215,1413.0,,,,0.0
8,0.30017204624867566,0.9151102687801516,0.7013888888888888,0.0006887052341597796,10.0,14520.0,1572.0,0.0,0.0,0.0,0.25925925925925924,0.5555555555555556,0.337037037037037,0.8888888888888888,0.3529100529100529,1.0,0.0,0.12085084484089545,1409.0,,,,0.0
9,0.30019775219831774,0.8859460554666034,0.6425595238095239,0.0009676527508985347,14.0,14468.0,1572.0,0.0,0.45454545454545453,0.45454545454545453,0.5303030303030303,0.6363636363636364,0.553030303030303,0.7272727272727273,0.5902597402597403,1.0,0.0031806615776081423,0.12019687419048442,1392.0,,,,0.0
10,0.30022345814795975,0.8705957719410634,0.6767939814814815,0.0009649183265559308,14.0,14509.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.40277777777777773,0.6666666666666666,0.4236111111111111,0.75,0.45625,1.0,0.001272264631043257,0.12091280653950953,1420.0,2.0,0.07085589405215695,0.0009648426456813077,0.0
11,0.30023814726204096,0.8988391517796264,0.6666666666666667,0.0005451819544773068,8.0,14674.0,1572.0,0.0,0.25,0.25,0.4375,0.75,0.46875,0.875,0.48263888888888884,1.0,0.001272264631043257,0.12031724603442456,1426.0,,,,0.0
12,0.30025467251538224,0.854682026098796,0.7037037037037037,0.0006191950464396285,9.0,14535.0,1572.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.3611111111111111,0.5555555555555556,0.4205026455026455,1.0,0.001272264631043257,0.12102678955982428,1405.0,,,,0.0
13,0.3002656893509431,0.9149336536261725,0.7465277777777778,0.000411635565312843,6.0,14576.0,1572.0,0.0,0.2,0.2,0.5,0.8,0.5,0.8,0.5333333333333334,1.0,0.0006361323155216285,0.12044698456026615,1412.0,,,,0.0
14,0.30028955916132505,0.8930330073158124,0.625,0.00088171459576777,13.0,14744.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.375,0.5833333333333334,0.375,0.5833333333333334,0.43204365079365076,1.0,0.001272264631043257,0.11894086794687421,1406.0,,,,0.0
15,0.30031342897170693,0.9314870035624753,0.6270833333333334,0.000891143405538799,13.0,14588.0,1572.0,0.0,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.6363636363636364,0.49545454545454537,0.8181818181818182,0.5175324675324675,1.0,0.002544529262086514,0.11990428168532605,1403.0,,,,0.0
16,0.3003281180857881,0.8371942981848413,0.6111111111111112,0.000553939897521119,8.0,14442.0,1572.0,0.0,0.375,0.375,0.375,0.375,0.43125,0.625,0.47326388888888893,1.0,0.0019083969465648854,0.12055881338392549,1398.0,,,,0.0
17,0.3003446433391294,0.8563653988535488,0.7847222222222223,0.0006178772483866539,9.0,14566.0,1572.0,0.0,0.4444444444444444,0.4444444444444444,0.5555555555555556,0.6666666666666666,0.6111111111111112,0.8888888888888888,0.626984126984127,1.0,0.002544529262086514,0.12061121126276933,1405.0,,,,0.0
18,0.3003685131495113,0.9721327673278196,0.7348484848484848,0.0008827323962789435,13.0,14727.0,1572.0,0.0,0.36363636363636365,0.36363636363636365,0.5303030303030303,0.7272727272727273,0.5484848484848485,0.8181818181818182,0.5787878787878789,1.0,0.002544529262086514,0.1175680214981525,1400.0,,,,0.0
19,0.30039054682063304,0.9503206239168112,0.7597853535353536,0.0008311976172334973,12.0,14437.0,1572.0,0.0,0.45454545454545453,0.45454545454545453,0.5757575757575757,0.7272727272727273,0.6166666666666667,0.9090909090909091,0.6257575757575757,1.0,0.0031806615776081423,0.12096982202734073,1407.0,,,,0.0
20,0.3004070720739744,0.7982777971283717,0.6049382716049383,0.0006265664160401002,9.0,14364.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.3888888888888889,0.4444444444444444,0.4388888888888889,0.6666666666666666,0.4782186948853615,1.0,0.0019083969465648854,0.11870196413321947,1390.0,1.990990990990991,0.07075896634972502,0.0009665629853015664,0.0
21,0.3004291057450961,0.9970175498111586,0.7118675595238095,0.0008135041692088672,12.0,14751.0,1572.0,0.0,0.125,0.125,0.2916666666666667,0.5,0.3729166666666667,0.875,0.3854166666666667,1.0,0.0006361323155216285,0.11920529801324503,1404.0,,,,0.0
22,0.30045113941621787,0.8856091123767189,0.6500771604938271,0.0008327550312283137,12.0,14410.0,1572.0,0.0,0.5,0.5,0.5999999999999999,0.8,0.5999999999999999,0.8,0.6253968253968254,1.0,0.0031806615776081423,0.12366792712272258,1439.0,,,,0.0
23,0.30046950080881935,0.8909850034083163,0.70703125,0.0006811989100817438,10.0,14680.0,1572.0,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6055555555555556,0.7777777777777778,0.6399470899470899,1.0,0.0031806615776081423,0.11847577017737418,1396.0,,,,0.0
24,0.30048235378364035,0.90961819197194,0.5555555555555556,0.0004798464491362764,7.0,14588.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.32142857142857145,0.5714285714285714,0.37755102040816324,1.0,0.0006361323155216285,0.11857033182632432,1390.0,,,,0.0
25,0.3005062235940223,0.928920315933125,0.6530671296296297,0.0008896797153024911,13.0,14612.0,1572.0,0.0,0.25,0.25,0.3611111111111111,0.5,0.3986111111111111,0.6666666666666666,0.4405092592592592,1.0,0.0019083969465648854,0.11919795221843003,1397.0,,,,0.0
26,0.30053376568292445,0.9423121016187463,0.8211233211233212,0.0010307153164296021,15.0,14553.0,1572.0,0.0,0.5384615384615384,0.5384615384615384,0.6794871794871794,0.8461538461538461,0.7102564102564103,1.0,0.7102564102564103,1.0,0.004452926208651399,0.1187542778918549,1388.0,,,,0.0
27,0.3005631439110868,0.8992276492923714,0.6444444444444445,0.0011033721812288807,16.0,14501.0,1572.0,0.0,0.2,0.2,0.3111111111111111,0.4666666666666667,0.40111111111111114,0.8666666666666667,0.4151851851851852,1.0,0.0019083969465648854,0.12116026354068624,1416.0,,,,0.0
