round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3000049575760024,0.6200870346066174,0.7433862433862434,0.00020718232044198895,3.0,14480.0,1572.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.39999999999999997,1.0,0.39999999999999997,1.0,0.0,0.11967562254259502,1461.0,2.0,0.07081522504498376,0.0012942444303885138,0.0
1,0.3000141382723031,0.5940827576582234,0.6533333333333333,0.00034877232142857144,5.0,14336.0,1572.0,0.0,0.2,0.2,0.39999999999999997,0.8,0.39999999999999997,0.8,0.41999999999999993,1.0,0.0006361323155216285,0.12005557371690095,1469.0,,,,0.0
2,0.3000196466900836,0.5640685273428636,0.7743055555555556,0.00020417886068195738,3.0,14693.0,1572.0,0.0,0.5,0.5,0.5,0.5,0.6,1.0,0.6,1.0,0.0006361323155216285,0.11876006441223833,1475.0,,,,0.0
3,0.3000269912471241,0.521182624359152,0.3703703703703704,0.0002770466823659787,4.0,14438.0,1572.0,0.0,0.25,0.25,0.4583333333333333,0.75,0.4583333333333333,0.75,0.49404761904761907,1.0,0.0006361323155216285,0.11953893277446397,1483.0,,,,0.0
4,0.3000324996649046,0.5273348519362187,0.25,0.00020703933747412008,3.0,14490.0,1572.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.12066316215123332,1492.0,,,,0.0
5,0.3000526971967662,0.5390909090909091,0.5987654320987654,0.0007554426206991278,11.0,14561.0,1572.0,0.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4666666666666667,0.5555555555555556,0.5361111111111111,1.0,0.002544529262086514,0.11881505204163331,1484.0,,,,0.0
6,0.30005453333602633,0.6865723161891613,1.0,6.903216899074968e-05,1.0,14486.0,1572.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006361323155216285,0.12068545439779095,1486.0,,,,0.0
7,0.30006738631084734,0.5611594288064876,0.7817460317460317,0.0004796820393339272,7.0,14593.0,1572.0,0.0,0.5714285714285714,0.5714285714285714,0.6904761904761905,0.8571428571428571,0.719047619047619,1.0,0.719047619047619,1.0,0.002544529262086514,0.11954505122206986,1482.0,,,,0.0
8,0.30008207542492854,0.5523826060441794,0.6886574074074074,0.0005417851821752675,8.0,14766.0,1572.0,0.0,0.5,0.5,0.5,0.5,0.5416666666666666,0.6666666666666666,0.5879629629629629,1.0,0.0019083969465648854,0.11791889092502589,1480.0,,,,0.0
9,0.3000857477034488,0.6492344299606869,0.7222222222222222,0.00013792152265361008,2.0,14501.0,1572.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.3333333333333333,1.0,0.0,0.12010401430196652,1478.0,,,,0.0
10,0.3000930922604894,0.6439469864528615,0.6296296296296297,0.0002763957987838585,4.0,14472.0,1572.0,0.0,0.25,0.25,0.3333333333333333,0.5,0.3833333333333333,0.75,0.419047619047619,1.0,0.0006361323155216285,0.12131630648330059,1482.0,2.0,0.07072930654616562,0.0012942444303885138,0.0
11,0.3000967645390097,0.6335790195406239,0.36111111111111116,0.00013710838417769247,2.0,14587.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583333333333331,1.0,0.0,0.11991641215238708,1492.0,,,,0.0
12,0.3000986006782698,0.5287081339712918,1.0,6.83480281593876e-05,1.0,14631.0,1572.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006361323155216285,0.11850245038965213,1475.0,,,,0.0
