round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3000086298545227,0.0003427004797806717,5.0,14590.0,1572.0,0.0,0.2,0.2,0.4333333333333333,0.8,0.4333333333333333,0.8,0.4666666666666667,1.0,0.0006361323155216285,0.11915262246022995,1513.0,2.0,0.07061795891245046,0.0010855502090552384,0.0
1,0.30001781055082344,0.0003453038674033149,5.0,14480.0,1572.0,0.0,0.0,0.0,0.13333333333333333,0.4,0.1833333333333333,0.6,0.22777777777777777,1.0,0.0,0.12016052880075542,1527.0,,,,0.0
2,0.3000324996649046,0.0005504713410858048,8.0,14533.0,1572.0,0.0,0.125,0.125,0.25,0.375,0.30625,0.625,0.35,1.0,0.0006361323155216285,0.12,1530.0,,,,0.0
3,0.3000416803612053,0.00034251267296889985,5.0,14598.0,1572.0,0.0,0.0,0.0,0.125,0.25,0.175,0.5,0.24444444444444444,1.0,0.0,0.11911014985323652,1542.0,,,,0.0
4,0.30005636947528647,0.0005474202819214452,8.0,14614.0,1572.0,0.0,0.125,0.125,0.29166666666666663,0.5,0.29166666666666663,0.5,0.3616071428571428,1.0,0.0006361323155216285,0.1191202942787822,1522.0,,,,0.0
5,0.30006187789306693,0.0002054653790836244,3.0,14601.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.5111111111111111,1.0,0.5111111111111111,1.0,0.0006361323155216285,0.11866656257319072,1520.0,,,,0.0
6,0.3000765670071481,0.0005484711367064308,8.0,14586.0,1572.0,0.0,0.0,0.0,0.16666666666666666,0.375,0.16666666666666666,0.375,0.2390376984126984,1.0,0.0,0.11902355593562933,1531.0,,,,0.0
7,0.3000857477034488,0.0003416233943700465,5.0,14636.0,1572.0,0.0,0.4,0.4,0.5,0.6,0.54,0.8,0.5622222222222223,1.0,0.001272264631043257,0.11950031426775613,1521.0,,,,0.0
8,0.3000930922604894,0.0002752167331773772,4.0,14534.0,1572.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.17777777777777778,0.6666666666666666,0.2333333333333333,1.0,0.0,0.11899313501144165,1508.0,,,,0.0
9,0.3001114536530909,0.0006859181013786954,10.0,14579.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.11499999999999999,0.5,0.1782936507936508,1.0,0.0,0.11866125760649088,1521.0,,,,0.0
10,0.30011879821013143,0.00027281407720638383,4.0,14662.0,1572.0,0.0,0.25,0.25,0.25,0.25,0.3125,0.5,0.3652777777777778,1.0,0.0006361323155216285,0.11813953488372093,1524.0,2.0,0.07051861511896816,0.0010855502090552384,0.0
11,0.30012063434939157,6.889424733034792e-05,1.0,14515.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0,0.0,0.11898016997167139,1512.0,,,,0.0
12,0.30013348732421263,0.00048432851311146474,7.0,14453.0,1572.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.12857142857142856,0.42857142857142855,0.19444444444444445,1.0,0.0,0.11912791153635009,1519.0,,,,0.0
13,0.3001408318812532,0.00027361652643819687,4.0,14619.0,1572.0,0.0,0.25,0.25,0.41666666666666663,0.75,0.41666666666666663,0.75,0.4583333333333333,1.0,0.0006361323155216285,0.11823041760285116,1526.0,,,,0.0
