round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.30006009009127554,0.9196128451380552,0.4935515873015873,0.005847953216374269,14.0,2394.0,247.0,0.0,0.2857142857142857,0.2857142857142857,0.33333333333333337,0.42857142857142855,0.33333333333333337,0.42857142857142855,0.41383219954648526,1.0,0.008097165991902834,0.11942675159235669,225.0,1.9924812030075187,0.20985384204648255,0.007993029955790312,0.0
1,0.30013465443811377,0.8908123482823725,0.6226343101343101,0.007036423841059603,17.0,2416.0,247.0,0.0,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.43846153846153846,0.6923076923076923,0.47530525030525034,1.0,0.016194331983805668,0.12032520325203253,222.0,,,,0.0
2,0.3001916742327548,0.8811698717948719,0.7051282051282051,0.005387484459179445,13.0,2413.0,247.0,0.0,0.46153846153846156,0.46153846153846156,0.5641025641025641,0.6923076923076923,0.5794871794871794,0.7692307692307693,0.6042735042735041,1.0,0.024291497975708502,0.1263676148796499,231.0,,,,0.0
3,0.3002355356132479,0.9111893907998342,0.6570216049382717,0.004127115146512587,10.0,2423.0,247.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.38333333333333336,0.6666666666666666,0.4253086419753086,1.0,0.008097165991902834,0.12101566720691519,224.0,,,,0.0
4,0.30035396134057923,0.9513542244407469,0.655324074074074,0.011106540518305225,27.0,2431.0,247.0,0.0,0.5333333333333333,0.5333333333333333,0.6111111111111112,0.7333333333333333,0.6277777777777779,0.8,0.6555555555555556,1.0,0.032388663967611336,0.12328013208585581,224.0,,,,0.0
5,0.30041098113522025,0.9472952436382449,0.7051282051282052,0.005434782608695652,13.0,2392.0,247.0,0.0,0.23076923076923078,0.23076923076923078,0.3717948717948717,0.6153846153846154,0.3871794871794871,0.6923076923076923,0.42838827838827837,1.0,0.012145748987854251,0.12217438105489774,227.0,,,,0.0
6,0.30050747617230505,0.9448975324132162,0.6743055555555556,0.009117281392457521,22.0,2413.0,247.0,0.0,0.2,0.2,0.3777777777777777,0.6,0.42777777777777776,0.8,0.45462962962962966,1.0,0.012145748987854251,0.12363834422657952,227.0,,,,0.0
7,0.3005908127952419,0.9364949608062709,0.6316738816738817,0.008020261713803293,19.0,2369.0,247.0,0.0,0.2727272727272727,0.2727272727272727,0.4090909090909091,0.5454545454545454,0.4954545454545455,0.9090909090909091,0.5055555555555555,1.0,0.012145748987854251,0.12534511319712865,227.0,,,,0.0
8,0.3006390603137843,0.8714099716627097,0.6213151927437642,0.004612159329140462,11.0,2385.0,247.0,0.0,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.35714285714285715,0.42857142857142855,0.43265306122448977,1.0,0.008097165991902834,0.12560909583107743,232.0,,,,0.0
9,0.30069169397037604,0.9689738727349346,0.5562641723356009,0.005031446540880503,12.0,2385.0,247.0,0.0,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5561224489795918,1.0,0.012145748987854251,0.12679162072767364,230.0,,,,0.0
