round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3000104169470854,0.8390078813166435,0.5679012345679013,0.0005004448398576513,9.0,17984.0,1924.0,0.0,0.2222222222222222,0.2222222222222222,0.37037037037037035,0.5555555555555556,0.39814814814814814,0.6666666666666666,0.4422398589065255,1.0,0.0010395010395010396,0.11805892547660311,1703.0,2.0,0.07084278478432073,0.0001891174300377662,0.0
1,0.3000232918255056,0.9339187231555137,0.7333333333333334,0.0006146624944121592,11.0,17896.0,1924.0,0.0,0.45454545454545453,0.45454545454545453,0.5303030303030303,0.6363636363636364,0.5939393939393939,0.9090909090909091,0.6090909090909091,1.0,0.002598752598752599,0.11985825458588105,1725.0,,,,0.0
2,0.30004553025186775,0.8967663223588895,0.6680672268907564,0.001057612023378792,19.0,17965.0,1924.0,0.0,0.29411764705882354,0.29411764705882354,0.42156862745098034,0.5882352941176471,0.4892156862745098,0.8823529411764706,0.5024509803921569,1.0,0.002598752598752599,0.12140419307654803,1743.0,,,,0.0
3,0.3000759617826791,0.8790881374722839,0.6420717592592592,0.0014391674969556072,26.0,18066.0,1924.0,0.0,0.16666666666666666,0.16666666666666666,0.3194444444444444,0.5416666666666666,0.3506944444444444,0.6666666666666666,0.39146825396825397,1.0,0.002079002079002079,0.11991968427611992,1732.0,,,,0.0
4,0.30009117754808473,0.8770752238857727,0.7175925925925926,0.0007320231995044766,13.0,17759.0,1924.0,0.0,0.16666666666666666,0.16666666666666666,0.375,0.5833333333333334,0.375,0.5833333333333334,0.4288029100529101,1.0,0.0010395010395010396,0.1201583262651965,1700.0,,,,0.0
5,0.3001169273049251,0.8867815102214478,0.6374007936507935,0.0012242626599888702,22.0,17970.0,1924.0,0.0,0.2857142857142857,0.2857142857142857,0.39682539682539675,0.5238095238095238,0.4349206349206349,0.7142857142857143,0.4712773998488283,1.0,0.0031185031185031187,0.12143105244876694,1748.0,,,,0.0
6,0.3001344839573163,0.9352841677943167,0.6486111111111111,0.0008450228156160216,15.0,17751.0,1924.0,0.0,0.5454545454545454,0.5454545454545454,0.5909090909090909,0.6363636363636364,0.6318181818181818,0.8181818181818182,0.6621212121212122,1.0,0.0031185031185031187,0.1216871704745167,1731.0,,,,0.0
7,0.30015438149669293,0.8703735269532723,0.5491071428571429,0.0009464424897004788,17.0,17962.0,1924.0,0.0,0.06666666666666667,0.06666666666666667,0.24444444444444444,0.4666666666666667,0.27777777777777773,0.6,0.33201058201058203,1.0,0.0005197505197505198,0.11998882525492387,1718.0,,,,0.0
8,0.3001695972620986,0.8695641977887972,0.5854700854700855,0.0007200620361138806,13.0,18054.0,1924.0,0.0,0.07692307692307693,0.07692307692307693,0.19230769230769232,0.3076923076923077,0.26153846153846155,0.6153846153846154,0.3162393162393162,1.0,0.0005197505197505198,0.11906905866869848,1719.0,,,,0.0
9,0.3001965174624317,0.9189075125048095,0.6427696078431372,0.0012705076506656355,23.0,18103.0,1924.0,0.0,0.35294117647058826,0.35294117647058826,0.4313725490196078,0.5294117647058824,0.4990196078431373,0.8235294117647058,0.5181372549019608,1.0,0.0031185031185031187,0.12022010169255415,1726.0,,,,0.0
