round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.30000807606009994,0.4460198727252429,0.6855158730158729,0.0003906032029462642,7.0,17921.0,1924.0,0.0,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5285714285714286,0.7142857142857143,0.5668367346938775,1.0,0.0015592515592515593,0.12486590860330402,1746.0,1.9912280701754386,0.07117815314641487,0.00029210727106477593,0.0
1,0.3000139282775636,0.20912300364247688,0.5138888888888888,0.00028011204481792715,5.0,17850.0,1924.0,0.0,0.6,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6866666666666668,1.0,0.0015592515592515593,0.12525122021246052,1745.0,,,,0.0
2,0.3000256327124911,0.4599721990547678,0.5666666666666667,0.0005557099194220616,10.0,17995.0,1924.0,0.0,0.3,0.3,0.35,0.4,0.39,0.6,0.4396825396825396,1.0,0.0015592515592515593,0.12610367416690402,1771.0,,,,0.0
3,0.30003499626043306,0.4241138710577728,0.6381448412698413,0.00044635384701221896,8.0,17923.0,1924.0,0.0,0.125,0.125,0.22916666666666666,0.375,0.26041666666666663,0.5,0.3149305555555556,1.0,0.0005197505197505198,0.12495521960306656,1744.0,,,,0.0
4,0.30005138246933144,0.4252383600826315,0.5833333333333333,0.0007780371234856063,14.0,17994.0,1924.0,0.0,0.21428571428571427,0.21428571428571427,0.3571428571428571,0.5714285714285714,0.4035714285714285,0.7857142857142857,0.4363095238095238,1.0,0.0015592515592515593,0.12372521246458923,1747.0,,,,0.0
5,0.30006425734775166,0.3241228780122615,0.6439393939393939,0.0006116888172162598,11.0,17983.0,1924.0,0.0,0.2727272727272727,0.2727272727272727,0.3181818181818182,0.36363636363636365,0.4,0.7272727272727273,0.4272727272727273,1.0,0.0015592515592515593,0.1257347670250896,1754.0,,,,0.0
6,0.30007362089569356,0.3653521633285382,0.5266203703703703,0.00044242893485233934,8.0,18082.0,1924.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5714285714285714,0.3619047619047619,0.7142857142857143,0.4015873015873016,1.0,0.0005197505197505198,0.12473453206852612,1762.0,,,,0.0
7,0.3000864957741138,0.22237516540678662,0.5959595959595959,0.0006130866124177906,11.0,17942.0,1924.0,0.0,0.2727272727272727,0.2727272727272727,0.3181818181818182,0.36363636363636365,0.38181818181818183,0.6363636363636364,0.42373737373737375,1.0,0.0015592515592515593,0.12599555140991606,1756.0,,,,0.0
8,0.30009937065253395,0.3162026835552821,0.6401515151515151,0.0006097560975609756,11.0,18040.0,1924.0,0.0,0.2727272727272727,0.2727272727272727,0.45454545454545453,0.6363636363636364,0.4727272727272727,0.7272727272727273,0.510966810966811,1.0,0.0015592515592515593,0.12499105161428878,1746.0,,,,0.0
9,0.3001122455309541,0.2668211094422239,0.4848484848484849,0.0006156946154707265,11.0,17866.0,1924.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.17272727272727273,0.45454545454545453,0.23950216450216455,1.0,0.0005197505197505198,0.12540400775694893,1746.0,,,,0.0
10,0.3001262908528671,0.2863895600382087,0.6843434343434344,0.0006738166095794261,12.0,17809.0,1924.0,0.0,0.5,0.5,0.5694444444444444,0.6666666666666666,0.5694444444444444,0.6666666666666666,0.6195436507936508,1.0,0.0031185031185031187,0.12425821392386742,1717.0,1.981981981981982,0.07105542379503531,0.00029210727106477593,0.0
11,0.3001379952877945,0.42009066784608573,0.6677777777777778,0.0005525472427892584,10.0,18098.0,1924.0,0.0,0.5,0.5,0.55,0.6,0.55,0.6,0.5936111111111111,1.0,0.002598752598752599,0.12399828277046365,1733.0,,,,0.0
12,0.3001461883922437,0.36455735413257934,0.7222222222222223,0.000389040182293114,7.0,17993.0,1924.0,0.0,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5285714285714286,0.7142857142857143,0.5702380952380952,1.0,0.0015592515592515593,0.12421741605008538,1746.0,,,,0.0
13,0.3001590632706639,0.392859687334609,0.5899305555555555,0.0006153846153846154,11.0,17875.0,1924.0,0.0,0.2,0.2,0.2333333333333333,0.3,0.2833333333333333,0.5,0.34234126984126984,1.0,0.0010395010395010396,0.1260689851767389,1769.0,,,,0.0
14,0.3001707677055913,0.3556055692238873,0.7333333333333334,0.0005588465407399128,10.0,17894.0,1924.0,0.0,0.7,0.7,0.75,0.8,0.75,0.8,0.7753968253968253,1.0,0.0036382536382536385,0.12586762075134167,1759.0,,,,0.0
15,0.300185983470997,0.30660225235103655,0.6602564102564105,0.0007261758462741593,13.0,17902.0,1924.0,0.0,0.5384615384615384,0.5384615384615384,0.6153846153846154,0.6923076923076923,0.6461538461538462,0.8461538461538461,0.6623931623931624,1.0,0.0036382536382536385,0.1266294227188082,1768.0,,,,0.0
16,0.30020822189735913,0.23798140500071208,0.6929824561403508,0.0010481023830538393,19.0,18128.0,1924.0,0.0,0.47368421052631576,0.47368421052631576,0.5438596491228069,0.631578947368421,0.5649122807017545,0.7368421052631579,0.5987468671679198,1.0,0.004677754677754678,0.12764727141308277,1766.0,,,,0.0
17,0.3002187558887938,0.10135736537605694,0.46913580246913583,0.000500417014178482,9.0,17985.0,1924.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.27222222222222225,0.4444444444444444,0.33778659611992945,1.0,0.0010395010395010396,0.12552931888322688,1749.0,,,,0.0
18,0.30022694899324304,0.4019900418747873,0.6865079365079365,0.000387725711753628,7.0,18054.0,1924.0,0.0,0.14285714285714285,0.14285714285714285,0.2619047619047619,0.42857142857142855,0.369047619047619,0.8571428571428571,0.38492063492063494,1.0,0.0005197505197505198,0.12461305881506012,1731.0,,,,0.0
19,0.30023865342817047,0.3706965952926706,0.7388888888888889,0.000558752863608426,10.0,17897.0,1924.0,0.0,0.5,0.5,0.5,0.5,0.545,0.7,0.5841666666666667,1.0,0.002598752598752599,0.12566940378436273,1760.0,,,,0.0
20,0.30025386919357616,0.26474726007773985,0.8438492063492063,0.0007221419842239751,13.0,18002.0,1924.0,0.0,0.4166666666666667,0.4166666666666667,0.6388888888888888,0.9166666666666666,0.6597222222222222,1.0,0.6597222222222222,1.0,0.002598752598752599,0.12663598446713648,1761.0,1.97979797979798,0.07094629748051882,0.00029210727106477593,0.0
21,0.3002690849589818,0.24113828717430807,0.6543803418803419,0.0007288629737609329,13.0,17836.0,1924.0,0.0,0.3076923076923077,0.3076923076923077,0.46153846153846156,0.6153846153846154,0.4807692307692308,0.6923076923076923,0.5235042735042735,1.0,0.002079002079002079,0.12542470902913322,1735.0,,,,0.0
22,0.3002796189504165,0.36456922724939866,0.6280864197530864,0.0005006118589387028,9.0,17978.0,1924.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.4444444444444444,0.35555555555555557,0.5555555555555556,0.412962962962963,1.0,0.0010395010395010396,0.12479368496591317,1739.0,,,,0.0
23,0.3002913233853439,0.2575216754869947,0.7438271604938271,0.0005626828719333784,10.0,17772.0,1924.0,0.0,0.4444444444444444,0.4444444444444444,0.5925925925925926,0.7777777777777778,0.5925925925925926,0.7777777777777778,0.6208112874779541,1.0,0.002079002079002079,0.12692531240918337,1747.0,,,,0.0
24,0.3003018573767786,0.22090338676944277,0.38671875000000006,0.0005024564537740063,9.0,17912.0,1924.0,0.0,0.125,0.125,0.2708333333333333,0.5,0.3020833333333333,0.625,0.34270833333333334,1.0,0.0005197505197505198,0.12719140033186638,1763.0,,,,0.0
25,0.30030770959424236,0.1516112873601603,0.5222222222222223,0.0002782105497440463,5.0,17972.0,1924.0,0.0,0.2,0.2,0.4,0.6,0.4,0.6,0.44222222222222224,1.0,0.0005197505197505198,0.12668833513903938,1754.0,,,,0.0
26,0.3003205844726625,0.22841338097833766,0.6666666666666667,0.0006103312434111968,11.0,18023.0,1924.0,0.0,0.2727272727272727,0.2727272727272727,0.3939393939393939,0.5454545454545454,0.41666666666666663,0.6363636363636364,0.4598484848484849,1.0,0.0015592515592515593,0.12507233796296297,1729.0,,,,0.0
27,0.30032877757711174,0.25476030196662974,0.5648148148148148,0.00039253070150843943,7.0,17833.0,1924.0,0.0,0.42857142857142855,0.42857142857142855,0.5952380952380951,0.8571428571428571,0.5952380952380951,0.8571428571428571,0.6156462585034015,1.0,0.0015592515592515593,0.12728586917238888,1761.0,,,,0.0
28,0.30033931156854643,0.17890698596856563,0.48148148148148145,0.0005017561465127947,9.0,17937.0,1924.0,0.0,0.2222222222222222,0.2222222222222222,0.3148148148148148,0.4444444444444444,0.337037037037037,0.5555555555555556,0.38902116402116405,1.0,0.0010395010395010396,0.1256285016520615,1749.0,,,,0.0
29,0.30033931156854643,,,0.0,0.0,17849.0,1924.0,0.0,,,,,,,,,0.0,0.12766421764748673,1755.0,,,,0.0
