round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.30054296984250983,0.5980877218084559,0.5982250690131126,0.0080896962815782,57.0,7046.0,711.0,0.0,0.2391304347826087,0.2391304347826087,0.33695652173913043,0.4782608695652174,0.3923913043478261,0.717391304347826,0.4289164941338854,1.0,0.015471167369901548,0.1859275053304904,436.0,1.7218045112781954,0.06489626065923121,0.013866057776193586,0.0
1,0.30118913288777016,0.5135946591875911,0.5179093567251463,0.009504894311249823,67.0,7049.0,711.0,0.0,0.21052631578947367,0.21052631578947367,0.283625730994152,0.38596491228070173,0.30818713450292395,0.49122807017543857,0.37456140350877193,1.0,0.016877637130801686,0.1868953386103782,425.0,,,,0.0
2,0.301642411441908,0.5192297756855403,0.5836131461131462,0.006668558456299659,47.0,7048.0,711.0,0.0,0.15384615384615385,0.15384615384615385,0.311965811965812,0.5384615384615384,0.35555555555555557,0.7435897435897436,0.38585673585673586,1.0,0.008438818565400843,0.1793664383561644,419.0,,,,0.0
3,0.3021149784451581,0.5791604923781158,0.5955610926541159,0.006996002284408909,49.0,7004.0,711.0,0.0,0.13953488372093023,0.13953488372093023,0.2751937984496124,0.4418604651162791,0.33217054263565887,0.6976744186046512,0.371077888519749,1.0,0.008438818565400843,0.18573237653018151,440.0,,,,0.0
4,0.3026646992448572,0.5599618754076234,0.6045005341880342,0.00811503416856492,57.0,7024.0,711.0,0.0,0.23076923076923078,0.23076923076923078,0.3397435897435897,0.4807692307692308,0.371474358974359,0.6153846153846154,0.41981074481074476,1.0,0.016877637130801686,0.18331171638564633,424.0,,,,0.0
5,0.3031661989217757,0.49711345933814466,0.5061280487804878,0.0073821692220329355,52.0,7044.0,711.0,0.0,0.0975609756097561,0.0975609756097561,0.2113821138211382,0.3902439024390244,0.23943089430894307,0.5121951219512195,0.30377468060394885,1.0,0.005625879043600563,0.18771331058020477,440.0,,,,0.0
6,0.3035712563531329,0.57497589854305,0.6788194444444445,0.005952380952380952,42.0,7056.0,711.0,0.0,0.25,0.25,0.39814814814814814,0.6111111111111112,0.43842592592592594,0.7777777777777778,0.46859567901234567,1.0,0.012658227848101266,0.1886625332152347,426.0,,,,0.0
7,0.3040631118054953,0.5384000965792961,0.6272479736575483,0.007249466950959489,51.0,7035.0,711.0,0.0,0.1702127659574468,0.1702127659574468,0.29078014184397166,0.44680851063829785,0.352482269503546,0.723404255319149,0.3938449848024315,1.0,0.011251758087201125,0.19369169258107508,436.0,,,,0.0
8,0.3044778134614086,0.5317029855839797,0.6494883040935673,0.006088926649674313,43.0,7062.0,711.0,0.0,0.15789473684210525,0.15789473684210525,0.34210526315789475,0.5789473684210527,0.37368421052631584,0.7105263157894737,0.41116332497911445,1.0,0.008438818565400843,0.17476555839727195,410.0,,,,0.0
9,0.30492144779099034,0.5188175867956745,0.6227802579365079,0.006502685891998869,46.0,7074.0,711.0,0.0,0.15,0.15,0.3291666666666666,0.575,0.35791666666666666,0.7,0.397390873015873,1.0,0.008438818565400843,0.18651301749893298,437.0,,,,0.0
10,0.30529757254867923,0.5190443124244528,0.5708912037037037,0.005557138785978911,39.0,7018.0,711.0,0.0,0.16666666666666666,0.16666666666666666,0.3101851851851852,0.4722222222222222,0.33379629629629626,0.5833333333333334,0.38726851851851846,1.0,0.008438818565400843,0.19381533101045295,445.0,1.7357142857142858,0.06192212759504888,0.01629408110318823,0.0
11,0.3057990722255977,0.5481826017259931,0.6012318121693122,0.007367526211391329,52.0,7058.0,711.0,0.0,0.08333333333333333,0.08333333333333333,0.2569444444444444,0.4583333333333333,0.2975694444444444,0.6458333333333334,0.34387400793650796,1.0,0.005625879043600563,0.17774936061381075,417.0,,,,0.0
12,0.3063102161270723,0.5254251689211971,0.5832525839793282,0.007519863791146424,53.0,7048.0,711.0,0.0,0.23255813953488372,0.23255813953488372,0.3565891472868217,0.5116279069767442,0.3844961240310078,0.627906976744186,0.43371170173495754,1.0,0.014064697609001406,0.1965998256320837,451.0,,,,0.0
13,0.3067345620075418,0.5641971241045448,0.5811965811965811,0.006275852232206533,44.0,7011.0,711.0,0.0,0.20512820512820512,0.20512820512820512,0.28205128205128205,0.38461538461538464,0.3487179487179487,0.6666666666666666,0.3933557183557183,1.0,0.011251758087201125,0.18150238818931827,418.0,,,,0.0
14,0.30718784056167964,0.5118130511893805,0.6165798611111112,0.006686584151372884,47.0,7029.0,711.0,0.0,0.2,0.2,0.3125,0.45,0.37,0.7,0.4118849206349206,1.0,0.011251758087201125,0.19540229885057472,459.0,,,,0.0
15,0.307602542217593,0.48732102954564255,0.6577845982142857,0.006083757781550651,43.0,7068.0,711.0,0.0,0.3125,0.3125,0.46354166666666663,0.6875,0.48541666666666666,0.78125,0.5183035714285714,1.0,0.014064697609001406,0.18952834270878408,438.0,,,,0.0
16,0.30800759964895025,0.5077174993531872,0.5504879879879881,0.005969300739056282,42.0,7036.0,711.0,0.0,0.13513513513513514,0.13513513513513514,0.2252252252252252,0.35135135135135137,0.281981981981982,0.5945945945945946,0.33519948519948517,1.0,0.007032348804500703,0.1830065359477124,420.0,,,,0.0
17,0.30829692638563394,0.5116054849307242,0.683531746031746,0.004266818375764472,30.0,7031.0,711.0,0.0,0.25,0.25,0.38095238095238093,0.5714285714285714,0.4327380952380952,0.7857142857142857,0.4611536281179137,1.0,0.009845288326300985,0.17938931297709923,423.0,,,,0.0
18,0.3087309164906596,0.42279874213836477,0.5488776276276276,0.006391137622496805,45.0,7041.0,711.0,0.0,0.24324324324324326,0.24324324324324326,0.3288288288288288,0.4594594594594595,0.3626126126126126,0.5945945945945946,0.41498283998283997,1.0,0.012658227848101266,0.18029259896729777,419.0,,,,0.0
19,0.30911668547290455,0.5034561553841759,0.6452020202020202,0.005680204487361545,40.0,7042.0,711.0,0.0,0.18181818181818182,0.18181818181818182,0.38383838383838376,0.6363636363636364,0.4111111111111111,0.7575757575757576,0.44086099086099084,1.0,0.008438818565400843,0.182916307161346,424.0,,,,0.0
20,0.30942530065870055,0.395523419663242,0.5752314814814814,0.004545454545454545,32.0,7040.0,711.0,0.0,0.26666666666666666,0.26666666666666666,0.3555555555555555,0.4666666666666667,0.37722222222222224,0.5666666666666667,0.4356481481481481,1.0,0.011251758087201125,0.1885245901639344,437.0,1.6742424242424243,0.05980539632733846,0.017013689178367493,0.0
21,0.3097339158444965,0.460043876894481,0.5638962375073487,0.004554511813265016,32.0,7026.0,711.0,0.0,0.07407407407407407,0.07407407407407407,0.2222222222222222,0.4074074074074074,0.25555555555555554,0.5555555555555556,0.31581422692533806,1.0,0.0028129395218002813,0.1879310344827586,436.0,,,,0.0
22,0.3101100406021854,0.4672372779942501,0.5775729646697388,0.005518607612848451,39.0,7067.0,711.0,0.0,0.22580645161290322,0.22580645161290322,0.32795698924731187,0.4838709677419355,0.3682795698924731,0.6774193548387096,0.4115079365079365,1.0,0.009845288326300985,0.1936725096194955,453.0,,,,0.0
23,0.31053438648265486,0.46685281199646556,0.6268353174603175,0.00625,44.0,7040.0,711.0,0.0,0.225,0.225,0.32499999999999996,0.475,0.36875,0.675,0.4130357142857143,1.0,0.012658227848101266,0.18331226295828065,435.0,,,,0.0
24,0.3108622901175631,0.36547082373126544,0.5394253380364492,0.004837791690381332,34.0,7028.0,711.0,0.0,0.1111111111111111,0.1111111111111111,0.24691358024691357,0.4074074074074074,0.29691358024691356,0.6296296296296297,0.3452087007642563,1.0,0.004219409282700422,0.19887348353552858,459.0,,,,0.0
25,0.31111303995602235,0.3645789797848705,0.6463293650793651,0.003703703703703704,26.0,7020.0,711.0,0.0,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.42142857142857143,0.7142857142857143,0.46215041572184434,1.0,0.008438818565400843,0.17691659646166807,420.0,,,,0.0
26,0.31150845316282344,0.3537671088945238,0.5941154970760235,0.005852962169878658,41.0,7005.0,711.0,0.0,0.13157894736842105,0.13157894736842105,0.29385964912280704,0.5263157894736842,0.312280701754386,0.6052631578947368,0.3649331662489557,1.0,0.007032348804500703,0.18366483283961066,434.0,,,,0.0
27,0.31181706834861944,0.33186667024935507,0.5213940648723259,0.00456490727532097,32.0,7010.0,711.0,0.0,0.08695652173913043,0.08695652173913043,0.2608695652173913,0.4782608695652174,0.2826086956521739,0.5652173913043478,0.3361111111111111,1.0,0.0028129395218002813,0.1867394041124633,445.0,,,,0.0
28,0.3121256835344154,0.377198593615803,0.6180937118437119,0.004559703619264748,32.0,7018.0,711.0,0.0,0.23076923076923078,0.23076923076923078,0.33974358974358976,0.5,0.383974358974359,0.6923076923076923,0.4203449328449329,1.0,0.008438818565400843,0.18852804723745256,447.0,,,,0.0
29,0.31242465449565526,0.37792631341018434,0.6330128205128205,0.0044134396355353074,31.0,7024.0,711.0,0.0,0.3076923076923077,0.3076923076923077,0.38461538461538464,0.5,0.43653846153846143,0.7307692307692307,0.4678418803418803,1.0,0.011251758087201125,0.1841995841995842,443.0,,,,0.0
