round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3005911909652904,0.00880806932802955,62.0,7039.0,711.0,0.0,0.15384615384615385,0.15384615384615385,0.20833333333333331,0.2692307692307692,0.25737179487179485,0.4807692307692308,0.32125305250305247,1.0,0.011251758087201125,0.1871564940700029,647.0,1.9852941176470589,0.06436264851547496,0.023837706469785946,0.0
1,0.30111197909132115,0.00764872521246459,54.0,7060.0,711.0,0.0,0.18,0.18,0.2633333333333333,0.38,0.2973333333333334,0.54,0.3606190476190476,1.0,0.012658227848101266,0.17774039809363612,634.0,,,,0.0
2,0.30186422860669887,0.011144449207029576,78.0,6999.0,711.0,0.0,0.14285714285714285,0.14285714285714285,0.22916666666666666,0.3392857142857143,0.27827380952380953,0.5535714285714286,0.33830073696145124,1.0,0.011251758087201125,0.17941507311586052,638.0,,,,0.0
3,0.30260683389752047,0.0109111520476123,77.0,7057.0,711.0,0.0,0.1864406779661017,0.1864406779661017,0.3305084745762712,0.5084745762711864,0.35932203389830514,0.6440677966101694,0.4072370191014259,1.0,0.015471167369901548,0.17918424753867793,637.0,,,,0.0
4,0.30317584314633184,0.008449090648718316,59.0,6983.0,711.0,0.0,0.08,0.08,0.16333333333333333,0.26,0.21533333333333332,0.48,0.28527777777777774,1.0,0.005625879043600563,0.17739179954441914,623.0,,,,0.0
5,0.303735208170587,0.00823045267489712,58.0,7047.0,711.0,0.0,0.17391304347826086,0.17391304347826086,0.23188405797101452,0.32608695652173914,0.2916666666666667,0.5869565217391305,0.34604899930986893,1.0,0.011251758087201125,0.17452830188679244,629.0,,,,0.0
6,0.30445852501229637,0.010721944245889922,75.0,6995.0,711.0,0.0,0.08620689655172414,0.08620689655172414,0.23275862068965517,0.41379310344827586,0.2663793103448276,0.5517241379310345,0.3265120415982485,1.0,0.007032348804500703,0.18760958503798947,642.0,,,,0.0
7,0.3049407362401026,0.007107320540156361,50.0,7035.0,711.0,0.0,0.125,0.125,0.24583333333333335,0.45,0.2733333333333333,0.575,0.32872023809523815,1.0,0.007032348804500703,0.1811926605504587,632.0,,,,0.0
8,0.3054518801415772,0.007543410190720182,53.0,7026.0,711.0,0.0,0.06976744186046512,0.06976744186046512,0.16666666666666666,0.3023255813953488,0.20387596899224805,0.46511627906976744,0.27814691768180133,1.0,0.004219409282700422,0.1814248629939429,629.0,,,,0.0
9,0.30613662008506204,0.010173377274681187,71.0,6979.0,711.0,0.0,0.16,0.16,0.2733333333333334,0.44,0.31633333333333336,0.62,0.3677380952380952,1.0,0.011251758087201125,0.18197523754678951,632.0,,,,0.0
10,0.30664776398653665,0.007568185063544195,53.0,7003.0,711.0,0.0,0.09523809523809523,0.09523809523809523,0.22222222222222224,0.40476190476190477,0.26746031746031745,0.5952380952380952,0.3218159486016628,1.0,0.005625879043600563,0.1847041847041847,640.0,1.9861111111111112,0.06071689996855244,0.02174149964107537,0.0
11,0.3072071290107919,0.0083011306712466,58.0,6987.0,711.0,0.0,0.17777777777777778,0.17777777777777778,0.25925925925925924,0.35555555555555557,0.31592592592592594,0.6,0.3666754850088183,1.0,0.011251758087201125,0.17883921133018607,644.0,,,,0.0
12,0.307756849810491,0.008108108108108109,57.0,7030.0,711.0,0.0,0.11538461538461539,0.11538461538461539,0.1955128205128205,0.3076923076923077,0.23685897435897432,0.5,0.3035409035409035,1.0,0.008438818565400843,0.1825738033820579,637.0,,,,0.0
13,0.3083162148347462,0.008211808013591958,58.0,7063.0,711.0,0.0,0.14285714285714285,0.14285714285714285,0.25850340136054417,0.40816326530612246,0.32380952380952377,0.7142857142857143,0.36229348882410106,1.0,0.009845288326300985,0.18243626062322946,644.0,,,,0.0
