round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.3011602002141018,0.7848089134968655,0.5439961322081575,0.017236467236467237,121.0,7020.0,711.0,0.0,0.22784810126582278,0.22784810126582278,0.3459915611814346,0.4936708860759494,0.38016877637130797,0.6455696202531646,0.425708257986739,1.0,0.02531645569620253,0.17473338802296964,426.0,1.8992248062015504,0.06336812259487928,0.023671045575411186,0.0
1,0.30220177646616325,0.8147078136132113,0.6096632346632347,0.015267175572519083,108.0,7074.0,711.0,0.0,0.28378378378378377,0.28378378378378377,0.4054054054054054,0.5675675675675675,0.44527027027027033,0.7432432432432432,0.4799227799227799,1.0,0.029535864978902954,0.1737891737891738,427.0,,,,0.0
2,0.3033590834128982,0.7908726426469879,0.6093572845804989,0.017067273503057888,120.0,7031.0,711.0,0.0,0.2857142857142857,0.2857142857142857,0.39285714285714285,0.5357142857142857,0.42857142857142855,0.6904761904761905,0.47069160997732434,1.0,0.03375527426160337,0.18495934959349594,455.0,,,,0.0
3,0.30456461148241376,0.8084459263554653,0.5883904374758034,0.01779866154065214,125.0,7023.0,711.0,0.0,0.2804878048780488,0.2804878048780488,0.4044715447154471,0.573170731707317,0.4434959349593497,0.7439024390243902,0.4758226867982966,1.0,0.03234880450070324,0.1748,437.0,,,,0.0
4,0.3056544088572558,0.8040548225296317,0.6130620748299319,0.01605569764137539,113.0,7038.0,711.0,0.0,0.2857142857142857,0.2857142857142857,0.41666666666666663,0.5857142857142857,0.4538095238095238,0.7428571428571429,0.48901927437641723,1.0,0.02812939521800281,0.17828525641025642,445.0,,,,0.0
5,0.3064355910463019,0.7784063945375859,0.6913162442396312,0.011484474691620587,81.0,7053.0,711.0,0.0,0.3225806451612903,0.3225806451612903,0.4112903225806452,0.5483870967741935,0.47016129032258064,0.8064516129032258,0.49655657962109573,1.0,0.02812939521800281,0.17295345104333867,431.0,,,,0.0
6,0.30756396531936847,0.800351768831284,0.6461023500309215,0.01659809902113775,117.0,7049.0,711.0,0.0,0.23376623376623376,0.23376623376623376,0.37662337662337664,0.5454545454545454,0.42207792207792205,0.7532467532467533,0.4554524840239127,1.0,0.02531645569620253,0.17568659127625202,435.0,,,,0.0
7,0.3087887818379963,0.8429071925253102,0.598603700516351,0.01799886621315193,127.0,7056.0,711.0,0.0,0.3253012048192771,0.3253012048192771,0.42369477911646586,0.5542168674698795,0.4538152610441767,0.6867469879518072,0.494659590743928,1.0,0.0379746835443038,0.18225806451612903,452.0,,,,0.0
8,0.30992680033561903,0.7796823957994834,0.5472702331961592,0.016725726435152376,118.0,7055.0,711.0,0.0,0.1728395061728395,0.1728395061728395,0.29423868312757206,0.4444444444444444,0.3473251028806585,0.691358024691358,0.38996668626298253,1.0,0.01969057665260197,0.18784972022382093,470.0,,,,0.0
9,0.31076584787200184,0.7987715537819746,0.5989543965734444,0.012307257037770547,87.0,7069.0,711.0,0.0,0.2857142857142857,0.2857142857142857,0.373015873015873,0.49206349206349204,0.41031746031746036,0.6666666666666666,0.4557634164777022,1.0,0.02531645569620253,0.17195660907995178,428.0,,,,0.0
