round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4021971229489773,0.5112023924421842,0.7700925925925924,0.014272809394760614,79.0,5535.0,588.0,0.0,0.5,0.5,0.5940860215053764,0.7096774193548387,0.6279569892473118,0.8548387096774194,0.6465885816692268,1.0,0.05272108843537415,0.1671280276816609,483.0,2.258992805755396,0.11416792702559614,0.015191215943788625,0.0
1,0.40424814565070805,0.5702664278345488,0.8091471928277483,0.013491036776935871,73.0,5411.0,588.0,0.0,0.5614035087719298,0.5614035087719298,0.6842105263157895,0.8245614035087719,0.6973684210526315,0.8771929824561403,0.7133737120579225,1.0,0.05442176870748299,0.16591928251121077,481.0,,,,0.0
2,0.4063834569566195,0.5231918428275629,0.7281109613656783,0.013715935751669375,76.0,5541.0,588.0,0.0,0.37037037037037035,0.37037037037037035,0.5339506172839505,0.7222222222222222,0.5737654320987654,0.9074074074074074,0.5844135802469135,1.0,0.034013605442176874,0.16298342541436464,472.0,,,,0.0
3,0.40798494043605305,0.554813181954144,0.722499549062049,0.010452961672473868,57.0,5453.0,588.0,0.0,0.40425531914893614,0.40425531914893614,0.5425531914893617,0.7446808510638298,0.5755319148936169,0.8936170212765957,0.5904255319148936,1.0,0.03231292517006803,0.16589250165892502,500.0,,,,0.0
4,0.40995167453360304,0.4927817739461575,0.6237103174603174,0.012792397660818713,70.0,5472.0,588.0,0.0,0.3953488372093023,0.3953488372093023,0.47674418604651164,0.5813953488372093,0.5116279069767442,0.7441860465116279,0.5435954226651901,1.0,0.02891156462585034,0.16915954415954415,475.0,,,,0.0
5,0.4117779276241852,0.5551528464213802,0.7436830933923958,0.011758321273516642,65.0,5528.0,588.0,0.0,0.4888888888888889,0.4888888888888889,0.6333333333333333,0.8222222222222222,0.6544444444444444,0.9111111111111111,0.6668783068783068,1.0,0.03741496598639456,0.16643741403026135,484.0,,,,0.0
6,0.4132670262980445,0.5249996498158032,0.6877681252681253,0.00974085646020952,53.0,5441.0,588.0,0.0,0.4473684210526316,0.4473684210526316,0.5526315789473685,0.6842105263157895,0.5960526315789473,0.868421052631579,0.6116541353383459,1.0,0.02891156462585034,0.1651536312849162,473.0,,,,0.0
7,0.41439087435378735,0.4826478616924477,0.7448316692268304,0.007226738934056007,40.0,5535.0,588.0,0.0,0.6129032258064516,0.6129032258064516,0.6612903225806451,0.7419354838709677,0.682258064516129,0.8387096774193549,0.703084997439836,1.0,0.03231292517006803,0.16388415672913118,481.0,,,,0.0
8,0.4157675882220724,0.46911402414915293,0.7077959656084656,0.00904559719401883,49.0,5417.0,588.0,0.0,0.35135135135135137,0.35135135135135137,0.518018018018018,0.7297297297297297,0.5234234234234233,0.7567567567567568,0.5538502788502787,1.0,0.022108843537414966,0.16989247311827957,474.0,,,,0.0
9,0.41717239829175096,0.4686113152094048,0.7511964285714287,0.009100837277029487,50.0,5494.0,588.0,0.0,0.41935483870967744,0.41935483870967744,0.5967741935483871,0.8387096774193549,0.6112903225806451,0.9032258064516129,0.621326164874552,1.0,0.022108843537414966,0.16968011126564672,488.0,,,,0.0
10,0.41857720836142953,0.5052264808362369,0.744492706992707,0.009085953116481919,50.0,5503.0,588.0,0.0,0.5789473684210527,0.5789473684210527,0.6710526315789473,0.7894736842105263,0.6934210526315789,0.8947368421052632,0.7064954051796157,1.0,0.03741496598639456,0.15950069348127602,460.0,2.1575342465753424,0.10559710567595192,0.01945846992492057,0.0
11,0.41981344122274666,0.4381189747639259,0.7864343317972351,0.007899461400359067,44.0,5570.0,588.0,0.0,0.5454545454545454,0.5454545454545454,0.7020202020202021,0.9090909090909091,0.7171717171717172,0.9696969696969697,0.7215007215007215,1.0,0.030612244897959183,0.15856164383561644,463.0,,,,0.0
12,0.42121825129242524,0.464623833058759,0.6882520481310804,0.009069472156720479,50.0,5513.0,588.0,0.0,0.45161290322580644,0.45161290322580644,0.5430107526881721,0.6774193548387096,0.5768817204301075,0.8387096774193549,0.5973502304147466,1.0,0.023809523809523808,0.1663772143105245,479.0,,,,0.0
13,0.4227635423690717,0.46908624964638146,0.7806808688387636,0.009967379485320768,55.0,5518.0,588.0,0.0,0.5897435897435898,0.5897435897435898,0.6752136752136751,0.7948717948717948,0.6867521367521366,0.8461538461538461,0.7080382580382579,1.0,0.0391156462585034,0.16666666666666666,480.0,,,,0.0
14,0.4239716790289953,0.4888775610738197,0.7545327038861521,0.007858187134502924,43.0,5472.0,588.0,0.0,0.4827586206896552,0.4827586206896552,0.557471264367816,0.6551724137931034,0.5885057471264368,0.7931034482758621,0.6115353037766831,1.0,0.023809523809523808,0.16743690010664772,471.0,,,,0.0
15,0.4250674308833446,0.4752945188932627,0.7640335648148149,0.0071533382245047685,39.0,5452.0,588.0,0.0,0.5,0.5,0.6217948717948717,0.7692307692307693,0.6448717948717948,0.8846153846153846,0.660668498168498,1.0,0.022108843537414966,0.16973273169038527,489.0,,,,0.0
16,0.426612721959991,0.5161562085689831,0.7989553571428571,0.010051169590643274,55.0,5472.0,588.0,0.0,0.5476190476190477,0.5476190476190477,0.6547619047619048,0.7857142857142857,0.6773809523809524,0.8809523809523809,0.6927532123960696,1.0,0.0391156462585034,0.16468946266573622,472.0,,,,0.0
17,0.42768037761294675,0.4783709456021963,0.8509114583333334,0.006882811084948379,38.0,5521.0,588.0,0.0,0.65625,0.65625,0.7395833333333334,0.84375,0.7458333333333333,0.875,0.7653645833333333,1.0,0.03571428571428571,0.16903852828878863,487.0,,,,0.0
18,0.4286918408631153,0.5008956526974951,0.8232349537037038,0.006460875807609476,36.0,5572.0,588.0,0.0,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.7916666666666666,0.7513888888888888,0.9166666666666666,0.7615079365079365,1.0,0.027210884353741496,0.16609353507565336,483.0,,,,0.0
19,0.42945043830074175,0.5718233722060252,0.7868303571428572,0.004895738893925658,27.0,5515.0,588.0,0.0,0.5294117647058824,0.5294117647058824,0.6666666666666666,0.8235294117647058,0.6813725490196078,0.8823529411764706,0.6963118580765639,1.0,0.015306122448979591,0.1634320735444331,480.0,,,,0.0
20,0.4304619015509103,0.4317497591522158,0.797582304526749,0.006460875807609476,36.0,5572.0,588.0,0.0,0.4074074074074074,0.4074074074074074,0.5555555555555556,0.7777777777777778,0.5981481481481481,0.9629629629629629,0.6027777777777777,1.0,0.01870748299319728,0.16316146540027138,481.0,2.2465753424657535,0.1003106659240331,0.017178450827256234,0.0
21,0.43133288379411105,0.43557203987585813,0.785557208994709,0.005616959594129371,31.0,5519.0,588.0,0.0,0.4166666666666667,0.4166666666666667,0.5763888888888888,0.75,0.5972222222222222,0.8333333333333334,0.6226851851851851,1.0,0.017006802721088437,0.1614654002713704,476.0,,,,0.0
22,0.4326815014610025,0.459348842934515,0.6936918445539134,0.008784773060029283,48.0,5464.0,588.0,0.0,0.36666666666666664,0.36666666666666664,0.5055555555555555,0.6666666666666666,0.5272222222222223,0.7666666666666667,0.5570370370370371,1.0,0.01870748299319728,0.17420494699646644,493.0,,,,0.0
23,0.4335805799055968,0.4395362977239354,0.7483991702741704,0.00583941605839416,32.0,5480.0,588.0,0.0,0.36363636363636365,0.36363636363636365,0.5,0.6818181818181818,0.5431818181818182,0.8636363636363636,0.5609848484848485,1.0,0.013605442176870748,0.16278284363390746,482.0,,,,0.0
24,0.43428298494043605,0.43600439479948727,0.8059413580246912,0.004557054320087495,25.0,5486.0,588.0,0.0,0.5555555555555556,0.5555555555555556,0.7037037037037037,0.8888888888888888,0.7287037037037037,1.0,0.7287037037037037,1.0,0.017006802721088437,0.16830639494026703,479.0,,,,0.0
25,0.43484490896830746,0.5328113652868555,0.7145337301587301,0.00361794500723589,20.0,5528.0,588.0,0.0,0.5,0.5,0.5357142857142857,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.6074263038548752,1.0,0.011904761904761904,0.16638655462184873,495.0,,,,0.0
26,0.4354349291975725,0.4022007209258205,0.7026143790849674,0.0037885621504600395,21.0,5543.0,588.0,0.0,0.35294117647058826,0.35294117647058826,0.4607843137254902,0.5882352941176471,0.5049019607843137,0.7647058823529411,0.534126984126984,1.0,0.01020408163265306,0.16734006734006734,497.0,,,,0.0
27,0.4364182962463475,0.4404914056182999,0.822310405643739,0.00634978229317852,35.0,5512.0,588.0,0.0,0.5925925925925926,0.5925925925925926,0.7160493827160493,0.8518518518518519,0.7160493827160493,0.8518518518518519,0.7350823045267488,1.0,0.027210884353741496,0.16711681296421338,495.0,,,,0.0
28,0.43714879748258034,0.3362903113850597,0.7305555555555555,0.004670379019220406,26.0,5567.0,588.0,0.0,0.5,0.5,0.55,0.65,0.5725,0.75,0.6065277777777778,1.0,0.017006802721088437,0.16779891304347827,494.0,,,,0.0
29,0.4380197797257811,0.42018471182872813,0.7868551587301588,0.005526831877339989,31.0,5609.0,588.0,0.0,0.55,0.55,0.675,0.9,0.675,0.9,0.6904761904761905,1.0,0.01870748299319728,0.1663258350374915,488.0,,,,0.0
