round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4001694059197739,0.7762048066875653,0.6247611699000588,0.012496409077851192,87.0,6962.0,758.0,0.0,0.43103448275862066,0.43103448275862066,0.5517241379310345,0.7068965517241379,0.571551724137931,0.7931034482758621,0.5990489874110565,1.0,0.032981530343007916,0.12284806953033595,735.0,2.392523364485981,0.08635321739178116,0.001645900382338414,0.0
1,0.4002971482026661,0.7210257146644279,0.6239698627198627,0.009247403613600796,65.0,7029.0,758.0,0.0,0.4186046511627907,0.4186046511627907,0.5581395348837209,0.7209302325581395,0.5744186046511628,0.7906976744186046,0.6025378368401624,1.0,0.023746701846965697,0.12218755132205616,744.0,,,,0.0
2,0.40045043894213667,0.735804730577491,0.6603706709956709,0.011198851399856425,78.0,6965.0,758.0,0.0,0.40816326530612246,0.40816326530612246,0.5714285714285714,0.7551020408163265,0.5989795918367348,0.8775510204081632,0.6139455782312926,1.0,0.026385224274406333,0.12272113436866981,727.0,,,,0.0
3,0.40063124340407635,0.73609951319688,0.6640174897119342,0.01291953377334644,92.0,7121.0,758.0,0.0,0.39655172413793105,0.39655172413793105,0.49137931034482757,0.603448275862069,0.5387931034482759,0.8103448275862069,0.5629241926655719,1.0,0.030343007915567283,0.1212522776213351,732.0,,,,0.0
4,0.40085135318382903,0.6795704569673415,0.6186031153755034,0.016117426967909052,112.0,6949.0,758.0,0.0,0.42028985507246375,0.42028985507246375,0.5096618357487923,0.6231884057971014,0.5422705314009663,0.7681159420289855,0.5743558776167472,1.0,0.03825857519788918,0.12326916582235731,730.0,,,,0.0
5,0.40099088706206504,0.6483240687391199,0.6546869488536156,0.010230547550432277,71.0,6940.0,758.0,0.0,0.44,0.44,0.5733333333333333,0.76,0.6063333333333333,0.9,0.620079365079365,1.0,0.029023746701846966,0.12362590901403686,731.0,,,,0.0
6,0.4011500735992076,0.5430635921663813,0.6326944444444443,0.011710279022697702,81.0,6917.0,758.0,0.0,0.4,0.4,0.4939393939393939,0.6181818181818182,0.5312121212121211,0.7818181818181819,0.5615079365079365,1.0,0.029023746701846966,0.12442709217450348,733.0,,,,0.0
7,0.40129746854100623,0.4690183323477233,0.646786858974359,0.010966515572452113,75.0,6839.0,758.0,0.0,0.42857142857142855,0.42857142857142855,0.5208333333333334,0.6428571428571429,0.5440476190476191,0.75,0.5780895691609977,1.0,0.0316622691292876,0.12385321100917432,729.0,,,,0.0
8,0.40146648140760205,0.48119030087337133,0.67133120223398,0.012449334105385061,86.0,6908.0,758.0,0.0,0.3448275862068966,0.3448275862068966,0.5057471264367815,0.6896551724137931,0.5359195402298851,0.8275862068965517,0.5603790366721401,1.0,0.026385224274406333,0.12544802867383512,735.0,,,,0.0
9,0.4015902931587129,0.3295169141688129,0.6193718544328302,0.008980755523877405,63.0,7015.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.43650793650793646,0.5714285714285714,0.49126984126984125,0.8095238095238095,0.5183106575963718,1.0,0.018469656992084433,0.1225231175693527,742.0,,,,0.0
10,0.4017435838981835,0.2920465947458235,0.6305147058823529,0.011016949152542373,78.0,7080.0,758.0,0.0,0.29411764705882354,0.29411764705882354,0.4869281045751633,0.7647058823529411,0.5084967320261438,0.8627450980392157,0.5252956738250856,1.0,0.01978891820580475,0.12183075403358577,740.0,2.4571428571428573,0.08463434708626566,0.001653362058501603,0.0
11,0.4019008051694354,0.373540506885438,0.6757052277432712,0.011584129742253113,80.0,6906.0,758.0,0.0,0.47058823529411764,0.47058823529411764,0.5718954248366014,0.7254901960784313,0.6111111111111112,0.9019607843137255,0.6245331465919701,1.0,0.0316622691292876,0.12630856358331904,736.0,,,,0.0
12,0.4020678527701405,0.32176596909343547,0.6154960317460317,0.012022630834512023,85.0,7070.0,758.0,0.0,0.43636363636363634,0.43636363636363634,0.509090909090909,0.6,0.5518181818181818,0.7818181818181819,0.5817604617604618,1.0,0.0316622691292876,0.12244556113902848,731.0,,,,0.0
13,0.4021955950530327,0.27745385176457393,0.7235773387369132,0.00939306358381503,65.0,6920.0,758.0,0.0,0.46,0.46,0.5633333333333332,0.68,0.6063333333333333,0.88,0.6245476190476191,1.0,0.030343007915567283,0.1233502538071066,729.0,,,,0.0
14,0.40231547627236225,0.24965160951630996,0.6635192147034252,0.008801038811138364,61.0,6931.0,758.0,0.0,0.5,0.5,0.5833333333333334,0.6904761904761905,0.6095238095238096,0.8095238095238095,0.6375850340136054,1.0,0.027704485488126648,0.12401936237689869,743.0,,,,0.0
