round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4000967913662101,0.9632244453518444,0.6556609623015873,0.00675949709341625,50.0,7397.0,773.0,0.0,0.4411764705882353,0.4411764705882353,0.5392156862745098,0.6470588235294118,0.5745098039215686,0.7941176470588235,0.6031045751633988,1.0,0.019404915912031046,0.1133042037064939,752.0,3.0442477876106193,0.0315453782031484,0.004197629011331748,0.0
1,0.400162609495233,0.9557069916152817,0.6746031746031745,0.004692243996687827,34.0,7246.0,773.0,0.0,0.43478260869565216,0.43478260869565216,0.5217391304347826,0.6086956521739131,0.5695652173913044,0.8260869565217391,0.5902173913043478,1.0,0.0129366106080207,0.11349647200120103,756.0,,,,0.0
2,0.40023617093355274,0.9612217414341223,0.7008730158730159,0.005285118219749653,38.0,7190.0,773.0,0.0,0.4230769230769231,0.4230769230769231,0.5769230769230769,0.7692307692307693,0.6115384615384616,0.9230769230769231,0.6201923076923077,1.0,0.014230271668822769,0.11569478908188585,746.0,,,,0.0
3,0.40032134733581765,0.9466245348954143,0.6535271164021165,0.006047278724573941,44.0,7276.0,773.0,0.0,0.40625,0.40625,0.515625,0.6875,0.5296875,0.75,0.5632936507936508,1.0,0.016817593790426907,0.11323618700667881,746.0,,,,0.0
4,0.40045879107583604,0.9627774832299855,0.6432661782661783,0.009590706470349859,71.0,7403.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.48717948717948717,0.6666666666666666,0.5179487179487179,0.7948717948717948,0.5473239723239723,1.0,0.016817593790426907,0.11084409732652448,738.0,,,,0.0
5,0.40055751826937036,0.9538908037527702,0.5834325396825396,0.0070315731421480765,51.0,7253.0,773.0,0.0,0.2894736842105263,0.2894736842105263,0.4342105263157894,0.631578947368421,0.46315789473684205,0.7631578947368421,0.492063492063492,1.0,0.014230271668822769,0.11482889733840304,755.0,,,,0.0
6,0.4006659245995257,0.9413366213938733,0.66622150997151,0.007712436303539457,56.0,7261.0,773.0,0.0,0.35,0.35,0.5,0.675,0.5175000000000001,0.75,0.5508531746031745,1.0,0.018111254851228976,0.11430317848410758,748.0,,,,0.0
7,0.40078013841165366,0.962115119892903,0.6741218966218967,0.008166089965397924,59.0,7225.0,773.0,0.0,0.35,0.35,0.4958333333333333,0.675,0.5345833333333333,0.85,0.555515873015873,1.0,0.018111254851228976,0.11299176578225069,741.0,,,,0.0
8,0.4008478923680008,0.9735085061757166,0.6898974867724866,0.004735489108375051,35.0,7391.0,773.0,0.0,0.32,0.32,0.5266666666666666,0.8,0.5446666666666666,0.88,0.5637142857142856,1.0,0.01034928848641656,0.1127943602819859,752.0,,,,0.0
9,0.4009350045975899,0.9533508602001753,0.7477813852813853,0.006188118811881188,45.0,7272.0,773.0,0.0,0.42424242424242425,0.42424242424242425,0.5505050505050505,0.7272727272727273,0.5853535353535353,0.8787878787878788,0.6026094276094277,1.0,0.018111254851228976,0.11341779880934208,743.0,,,,0.0
