round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4015565778433585,0.8517120276842499,0.618008405871309,0.023957409050576754,162.0,6762.0,711.0,0.0,0.3191489361702128,0.3191489361702128,0.4574468085106383,0.648936170212766,0.48404255319148937,0.7659574468085106,0.5160756501182032,1.0,0.04219409282700422,0.1621387283236994,561.0,2.2554744525547443,0.0562859409911247,0.021096181019996035,0.0
1,0.40290676928121594,0.8173576881134132,0.5764977739063105,0.02092675635276532,140.0,6690.0,711.0,0.0,0.2619047619047619,0.2619047619047619,0.3948412698412698,0.5714285714285714,0.4317460317460317,0.7380952380952381,0.466472978080121,1.0,0.030942334739803096,0.15778748180494906,542.0,,,,0.0
2,0.4041894511471805,0.8534993150344291,0.5558116246498599,0.019602063375092117,133.0,6785.0,711.0,0.0,0.2235294117647059,0.2235294117647059,0.3352941176470588,0.47058823529411764,0.3935294117647059,0.7294117647058823,0.430812324929972,1.0,0.026722925457102673,0.1608695652173913,555.0,,,,0.0
3,0.40564572905515534,0.8376039421311772,0.5982014472455649,0.022277958099734436,151.0,6778.0,711.0,0.0,0.313953488372093,0.313953488372093,0.44186046511627913,0.6162790697674418,0.47441860465116287,0.7558139534883721,0.5063261351052049,1.0,0.0379746835443038,0.16115107913669063,560.0,,,,0.0
4,0.40713093963679853,0.7990685962555293,0.5476569264069264,0.02276086313922554,154.0,6766.0,711.0,0.0,0.2808988764044944,0.2808988764044944,0.3670411985018727,0.48314606741573035,0.4209737827715356,0.7191011235955056,0.45687533440342426,1.0,0.035161744022503515,0.1601115760111576,574.0,,,,0.0
5,0.408095362092411,0.8080885432246485,0.5931391491022637,0.014736221632773357,100.0,6786.0,711.0,0.0,0.3114754098360656,0.3114754098360656,0.42076502732240434,0.5737704918032787,0.44453551912568307,0.6721311475409836,0.49011189175123604,1.0,0.026722925457102673,0.16460074949553186,571.0,,,,0.0
6,0.4095998611231664,0.8456449739526433,0.6170404663923182,0.02279035792549306,156.0,6845.0,711.0,0.0,0.2839506172839506,0.2839506172839506,0.4444444444444444,0.654320987654321,0.47654320987654314,0.7901234567901234,0.5052861062120322,1.0,0.03234880450070324,0.1628972230174635,569.0,,,,0.0
7,0.41107542748025344,0.8361331132624327,0.5891142653642653,0.02259970457902511,153.0,6770.0,711.0,0.0,0.2564102564102564,0.2564102564102564,0.4252136752136752,0.6410256410256411,0.4482905982905984,0.7435897435897436,0.48221916971916984,1.0,0.02812939521800281,0.1594120972300735,564.0,,,,0.0
8,0.4127920994512436,0.8024492856779704,0.5777836879432625,0.026145710928319625,178.0,6808.0,711.0,0.0,0.26595744680851063,0.26595744680851063,0.3882978723404255,0.5638297872340425,0.4319148936170213,0.7553191489361702,0.46395221209051,1.0,0.035161744022503515,0.15995363662706463,552.0,,,,0.0
9,0.4140265601944276,0.7660676230270994,0.6105742630385489,0.018702513150204558,128.0,6844.0,711.0,0.0,0.32857142857142857,0.32857142857142857,0.4476190476190476,0.6142857142857143,0.4833333333333334,0.7714285714285715,0.5121938775510205,1.0,0.03234880450070324,0.16108905275099264,568.0,,,,0.0
10,0.4152899536112799,0.7094286611314942,0.552621336996337,0.019284557632857354,131.0,6793.0,711.0,0.0,0.1794871794871795,0.1794871794871795,0.32692307692307687,0.5256410256410257,0.37948717948717947,0.7564102564102564,0.40907610907610903,1.0,0.01969057665260197,0.16074978699233172,566.0,2.3846153846153846,0.05189354337516154,0.020962348477388613,0.0
11,0.41637010676156583,0.7414628926604139,0.5490692371475951,0.016400644311026506,112.0,6829.0,711.0,0.0,0.16417910447761194,0.16417910447761194,0.33084577114427854,0.5671641791044776,0.37189054726368154,0.746268656716418,0.4052416488983652,1.0,0.015471167369901548,0.15870746354017728,555.0,,,,0.0
12,0.4175852790556375,0.6852975262614726,0.5223632854968472,0.01865284974093264,126.0,6755.0,711.0,0.0,0.1917808219178082,0.1917808219178082,0.3242009132420091,0.4931506849315068,0.36118721461187214,0.6575342465753424,0.4061969993476842,1.0,0.01969057665260197,0.16182811152630067,563.0,,,,0.0
13,0.4189547589426072,0.7361886515693523,0.5666534391534391,0.021102689849903402,142.0,6729.0,711.0,0.0,0.2692307692307692,0.2692307692307692,0.37820512820512814,0.5256410256410257,0.41730769230769227,0.7051282051282052,0.45677146927146933,1.0,0.029535864978902954,0.15691336775674125,547.0,,,,0.0
14,0.4201699312366789,0.686418194655427,0.5611828449328449,0.018521240629134204,126.0,6803.0,711.0,0.0,0.20512820512820512,0.20512820512820512,0.3162393162393163,0.48717948717948717,0.3662393162393162,0.7051282051282052,0.40723443223443223,1.0,0.02250351617440225,0.1618150684931507,567.0,,,,0.0
15,0.4211439979168475,0.6790041386678831,0.545078763828764,0.015076877145842663,101.0,6699.0,711.0,0.0,0.19696969696969696,0.19696969696969696,0.33080808080808083,0.5,0.3717171717171717,0.6818181818181818,0.4129509379509379,1.0,0.01828410689170183,0.16123595505617977,574.0,,,,0.0
