round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4017200033076987,0.47767379493378914,0.5235905856595513,0.012107235514557509,42.0,3469.0,378.0,0.0,0.1724137931034483,0.1724137931034483,0.339080459770115,0.5517241379310345,0.3632183908045977,0.6551724137931034,0.41065955117679254,1.0,0.013227513227513227,0.16363636363636364,306.0,2.3766233766233764,0.11617979047631634,0.01978526988499768,0.0
1,0.40324981394194986,0.6778992201935423,0.5907746721877157,0.01060475781026082,37.0,3489.0,378.0,0.0,0.2916666666666667,0.2916666666666667,0.4236111111111111,0.5833333333333334,0.4548611111111111,0.7083333333333334,0.4929232804232804,1.0,0.018518518518518517,0.17325392528424471,320.0,,,,0.0
2,0.4052757793764988,0.6157995865964075,0.5424658289241622,0.013787281935846933,49.0,3554.0,378.0,0.0,0.16666666666666666,0.16666666666666666,0.28703703703703703,0.4722222222222222,0.33009259259259255,0.6666666666666666,0.37387566137566136,1.0,0.015873015873015872,0.16774541531823084,311.0,,,,0.0
3,0.4067642437773919,0.5957418019738936,0.5818636096413874,0.01020986954055587,36.0,3526.0,378.0,0.0,0.25,0.25,0.3869047619047619,0.5714285714285714,0.4172619047619048,0.7142857142857143,0.4523242630385487,1.0,0.018518518518518517,0.1625883632408918,299.0,,,,0.0
4,0.40854213181179194,0.5392681793384924,0.5544501133786848,0.012299771167048055,43.0,3496.0,378.0,0.0,0.22857142857142856,0.22857142857142856,0.3333333333333333,0.45714285714285713,0.38047619047619047,0.6571428571428571,0.4276077097505669,1.0,0.021164021164021163,0.16496507254164428,307.0,,,,0.0
5,0.4099892499793269,0.6011843079200592,0.5022235905856596,0.009974351667141636,35.0,3509.0,378.0,0.0,0.1724137931034483,0.1724137931034483,0.30459770114942525,0.4827586206896552,0.3321839080459771,0.6206896551724138,0.378544061302682,1.0,0.013227513227513227,0.16154661016949154,305.0,,,,0.0
6,0.4118498304804432,0.48680676049097105,0.4977297008547008,0.01284613188695404,45.0,3503.0,378.0,0.0,0.2222222222222222,0.2222222222222222,0.3024691358024691,0.4074074074074074,0.3469135802469136,0.5925925925925926,0.402498530276308,1.0,0.015873015873015872,0.1676518001074691,312.0,,,,0.0
7,0.41333829488133633,0.338686259493267,0.6046463077984817,0.01023308698123934,36.0,3518.0,378.0,0.0,0.21739130434782608,0.21739130434782608,0.3768115942028985,0.5652173913043478,0.39855072463768115,0.6521739130434783,0.4430986887508626,1.0,0.013227513227513227,0.16684155299055614,318.0,,,,0.0
8,0.41466137434879685,0.3990243858897457,0.4192176870748299,0.009057458250778375,32.0,3533.0,378.0,0.0,0.22727272727272727,0.22727272727272727,0.25,0.2727272727272727,0.32272727272727275,0.5909090909090909,0.37586580086580085,1.0,0.013227513227513227,0.16780283167278448,320.0,,,,0.0
9,0.4152815678491689,0.3689668391796051,0.5751262626262625,0.00429430289149728,15.0,3493.0,378.0,0.0,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.45454545454545453,0.4272727272727273,0.7272727272727273,0.4667748917748918,1.0,0.007936507936507936,0.16729627630868862,310.0,,,,0.0
10,0.41648060861655506,0.3943032782834722,0.5385860484544697,0.00824332006822058,29.0,3518.0,378.0,0.0,0.21052631578947367,0.21052631578947367,0.2807017543859649,0.3684210526315789,0.3333333333333333,0.5789473684210527,0.3929615705931495,1.0,0.010582010582010581,0.16547945205479453,302.0,2.3733333333333335,0.10611591487217822,0.033021177413153954,0.0
11,0.4175969569172248,0.4802645502645503,0.5766414141414141,0.007655231074567621,27.0,3527.0,378.0,0.0,0.13636363636363635,0.13636363636363635,0.2727272727272727,0.4090909090909091,0.3340909090909091,0.6818181818181818,0.37561327561327557,1.0,0.007936507936507936,0.17764578833693304,329.0,,,,0.0
12,0.4185065740511039,0.34289484100804857,0.5463541666666667,0.006345543697721373,22.0,3467.0,378.0,0.0,0.375,0.375,0.4895833333333333,0.625,0.5177083333333333,0.75,0.5440972222222222,1.0,0.015873015873015872,0.16823406478578892,322.0,,,,0.0
13,0.41970561481849006,0.24930337861372348,0.4752567693744164,0.008071249652101308,29.0,3593.0,378.0,0.0,0.2777777777777778,0.2777777777777778,0.3611111111111111,0.4444444444444444,0.41111111111111115,0.6666666666666666,0.4533068783068783,1.0,0.013227513227513227,0.16595970307529162,313.0,,,,0.0
14,0.42065657818572727,0.23735909822866344,0.531187996031746,0.006510048117746957,23.0,3533.0,378.0,0.0,0.25,0.25,0.35416666666666663,0.5,0.36979166666666663,0.5625,0.4260168650793651,1.0,0.010582010582010581,0.1652435961828227,329.0,,,,0.0
15,0.42164888778632265,0.39779840911230346,0.521825396825397,0.006732117812061711,24.0,3565.0,378.0,0.0,0.19047619047619047,0.19047619047619047,0.3253968253968254,0.5238095238095238,0.3468253968253968,0.6190476190476191,0.3915343915343915,1.0,0.010582010582010581,0.16139240506329114,306.0,,,,0.0
16,0.42284792855370873,0.19423252975282268,0.5113205467372134,0.008210645526613816,29.0,3532.0,378.0,0.0,0.16666666666666666,0.16666666666666666,0.287037037037037,0.4444444444444444,0.3342592592592592,0.6666666666666666,0.3759259259259259,1.0,0.007936507936507936,0.1731374606505771,330.0,,,,0.0
17,0.42392293062102043,0.2416782623820498,0.5358796296296297,0.007295173961840628,26.0,3564.0,378.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.33055555555555555,0.6666666666666666,0.37806437389770725,1.0,0.007936507936507936,0.1732409381663113,325.0,,,,0.0
18,0.4249979326883321,0.3740712258735351,0.5805555555555555,0.00726866088901314,26.0,3577.0,378.0,0.0,0.2727272727272727,0.2727272727272727,0.34848484848484845,0.45454545454545453,0.378030303030303,0.5909090909090909,0.4323051948051948,1.0,0.015873015873015872,0.16082474226804125,312.0,,,,0.0
19,0.42644505085586704,0.20470475075276012,0.5371428571428573,0.010141987829614604,35.0,3451.0,378.0,0.0,0.16,0.16,0.26,0.4,0.322,0.68,0.3607142857142857,1.0,0.010582010582010581,0.1690977849810913,313.0,,,,0.0
20,0.42727197552302987,0.3034863945578231,0.5104166666666667,0.005636978579481398,20.0,3548.0,378.0,0.0,0.17647058823529413,0.17647058823529413,0.3137254901960784,0.47058823529411764,0.34019607843137256,0.5882352941176471,0.395798319327731,1.0,0.007936507936507936,0.16623909697280656,324.0,2.4829931972789114,0.09890784724151033,0.023187515025348066,0.0
21,0.42847101629041595,0.2519220963597645,0.527448593073593,0.008338125359401954,29.0,3478.0,378.0,0.0,0.18181818181818182,0.18181818181818182,0.25757575757575757,0.36363636363636365,0.29166666666666663,0.5,0.3627164502164502,1.0,0.010582010582010581,0.17372881355932204,328.0,,,,0.0
22,0.4290912097907881,0.2913337138508372,0.502066798941799,0.004262574595055414,15.0,3519.0,378.0,0.0,0.25,0.25,0.3333333333333333,0.4166666666666667,0.3541666666666667,0.5,0.4246031746031746,1.0,0.007936507936507936,0.17643979057591622,337.0,,,,0.0
23,0.430248904324816,0.21451425247236763,0.5935457516339869,0.008078476630121177,28.0,3466.0,378.0,0.0,0.17647058823529413,0.17647058823529413,0.4019607843137254,0.7058823529411765,0.4019607843137254,0.7058823529411765,0.44246031746031744,1.0,0.007936507936507936,0.17048481619605754,320.0,,,,0.0
24,0.43099313652526255,0.250047659898961,0.6754629629629628,0.005120910384068279,18.0,3515.0,378.0,0.0,0.26666666666666666,0.26666666666666666,0.3555555555555555,0.4666666666666667,0.46222222222222226,0.9333333333333333,0.4696296296296296,1.0,0.010582010582010581,0.16606498194945848,322.0,,,,0.0
25,0.4320681385925742,0.23822370014754787,0.6723958333333335,0.007388462631429384,26.0,3519.0,378.0,0.0,0.3,0.3,0.45,0.65,0.475,0.75,0.505,1.0,0.015873015873015872,0.17210846707249586,311.0,,,,0.0
26,0.4326469858595882,0.1556159048985448,0.474025974025974,0.00400114318376679,14.0,3499.0,378.0,0.0,0.18181818181818182,0.18181818181818182,0.28787878787878785,0.45454545454545453,0.3106060606060606,0.5454545454545454,0.36641414141414147,1.0,0.005291005291005291,0.16103896103896104,310.0,,,,0.0
27,0.4331431406598859,0.3017817903888411,0.3425925925925926,0.003427592116538132,12.0,3501.0,378.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.14166666666666666,0.3333333333333333,0.22298280423280425,1.0,0.0026455026455026454,0.16421052631578947,312.0,,,,0.0
28,0.4341354502604813,0.27108078808446456,0.5768849206349206,0.006741573033707865,24.0,3560.0,378.0,0.0,0.25,0.25,0.32291666666666663,0.4375,0.39166666666666666,0.75,0.4265625,1.0,0.010582010582010581,0.15966822187662,308.0,,,,0.0
29,0.4351691060944348,0.27897215044501866,0.6571969696969698,0.007126567844925884,25.0,3508.0,378.0,0.0,0.22727272727272727,0.22727272727272727,0.32575757575757575,0.45454545454545453,0.38484848484848483,0.7272727272727273,0.4225829725829726,1.0,0.013227513227513227,0.16914893617021276,318.0,,,,0.0
