round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4008103861738196,0.511778776456944,0.5433823529411765,0.005765350245027385,20.0,3469.0,378.0,0.0,0.35294117647058826,0.35294117647058826,0.48039215686274506,0.6470588235294118,0.5068627450980392,0.7647058823529411,0.5360877684407096,1.0,0.015873015873015872,0.1617873651771957,315.0,2.4285714285714284,0.11643823354662561,0.01936545634098805,0.0
1,0.40159596460762426,0.6101547095404216,0.4408304988662132,0.005445686443106907,19.0,3489.0,378.0,0.0,0.06666666666666667,0.06666666666666667,0.2,0.3333333333333333,0.23,0.4666666666666667,0.3026719576719577,1.0,0.0026455026455026454,0.16811446090955545,329.0,,,,0.0
2,0.4026709666749359,0.4705215419501134,0.5682870370370371,0.007315700619020821,26.0,3554.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.40972222222222215,0.5,0.44930555555555557,0.6666666666666666,0.4929563492063492,1.0,0.021164021164021163,0.1688794476898566,318.0,,,,0.0
3,0.4035392375754569,0.38129183809252243,0.7186507936507937,0.005952380952380952,21.0,3528.0,378.0,0.0,0.5,0.5,0.6145833333333333,0.75,0.6302083333333333,0.8125,0.6569940476190477,1.0,0.021164021164021163,0.16328653146125846,314.0,,,,0.0
4,0.404738278342843,0.47472027554352153,0.6507485569985569,0.00830231892356141,29.0,3493.0,378.0,0.0,0.45454545454545453,0.45454545454545453,0.4924242424242424,0.5454545454545454,0.5583333333333333,0.8181818181818182,0.5806096681096681,1.0,0.026455026455026454,0.17184265010351968,332.0,,,,0.0
5,0.40581328041015463,0.6021075420845667,0.6145833333333333,0.007411630558722919,26.0,3508.0,378.0,0.0,0.3684210526315789,0.3684210526315789,0.5175438596491228,0.6842105263157895,0.5385964912280702,0.7894736842105263,0.5638053467000835,1.0,0.018518518518518517,0.16725798276735934,330.0,,,,0.0
6,0.4068882824774663,0.36768544943695936,0.7083333333333334,0.007422209534684556,26.0,3503.0,378.0,0.0,0.5909090909090909,0.5909090909090909,0.6287878787878788,0.6818181818181818,0.6401515151515151,0.7272727272727273,0.6727272727272728,1.0,0.03439153439153439,0.16079632465543645,315.0,,,,0.0
7,0.4081700157115687,0.3196001295876336,0.8112874779541447,0.00881683731513083,31.0,3516.0,378.0,0.0,0.6296296296296297,0.6296296296296297,0.697530864197531,0.8148148148148148,0.7049382716049382,0.8518518518518519,0.7256613756613756,1.0,0.04497354497354497,0.16539440203562342,325.0,,,,0.0
8,0.4098238650458943,0.3183703438395416,0.689608134920635,0.0113314447592068,40.0,3530.0,378.0,0.0,0.5517241379310345,0.5517241379310345,0.5919540229885056,0.6551724137931034,0.6247126436781609,0.7931034482758621,0.6517651888341544,1.0,0.042328042328042326,0.16891554222888555,338.0,,,,0.0
9,0.4106921359464153,0.34895919151974514,0.8805346700083543,0.0060189165950128975,21.0,3489.0,378.0,0.0,0.7894736842105263,0.7894736842105263,0.8157894736842105,0.8421052631578947,0.8289473684210527,0.8947368421052632,0.8413742690058479,1.0,0.03968253968253968,0.16367476240760295,310.0,,,,0.0
10,0.41176713801372694,0.3217033754437022,0.7404100529100529,0.007396870554765292,26.0,3515.0,378.0,0.0,0.5833333333333334,0.5833333333333334,0.6319444444444444,0.7083333333333334,0.6402777777777777,0.75,0.671875,1.0,0.037037037037037035,0.1689765458422175,317.0,2.3666666666666667,0.11008435040026271,0.02411568839573952,0.0
11,0.41354502604812704,0.2535157240256708,0.9101318484383001,0.012184754888070274,43.0,3529.0,378.0,0.0,0.8709677419354839,0.8709677419354839,0.8978494623655914,0.9354838709677419,0.8978494623655914,0.9354838709677419,0.9064516129032258,1.0,0.07142857142857142,0.16805411030176898,323.0,,,,0.0
12,0.41466137434879685,0.2875915159345392,0.7816856452726018,0.007787712719930776,27.0,3467.0,378.0,0.0,0.6521739130434783,0.6521739130434783,0.6666666666666667,0.6956521739130435,0.686231884057971,0.782608695652174,0.7114044168391994,1.0,0.03968253968253968,0.16997455470737913,334.0,,,,0.0
13,0.4161498387496899,0.32983964149647116,0.8440972222222223,0.01001669449081803,36.0,3594.0,378.0,0.0,0.7407407407407407,0.7407407407407407,0.8148148148148148,0.9259259259259259,0.8148148148148148,0.9259259259259259,0.8246913580246913,1.0,0.05291005291005291,0.1688708036622584,332.0,,,,0.0
14,0.41813445795088067,0.2641098213432693,0.9061933106575963,0.013570822731128074,48.0,3537.0,378.0,0.0,0.8571428571428571,0.8571428571428571,0.8857142857142857,0.9142857142857143,0.8914285714285715,0.9428571428571428,0.8974603174603175,1.0,0.07936507936507936,0.16543937162493863,337.0,,,,0.0
15,0.41991234598528077,0.2246581879154599,0.9183501683501682,0.012105855855855855,43.0,3552.0,378.0,0.0,0.8787878787878788,0.8787878787878788,0.8989898989898989,0.9393939393939394,0.8989898989898989,0.9393939393939394,0.9066859066859065,1.0,0.07671957671957672,0.1674347158218126,327.0,,,,0.0
16,0.42181427271975525,0.33551762800548146,0.8928571428571429,0.013009049773755657,46.0,3536.0,378.0,0.0,0.8181818181818182,0.8181818181818182,0.8333333333333334,0.8484848484848485,0.8393939393939394,0.8787878787878788,0.8571909571909571,1.0,0.07142857142857142,0.1709577754891864,332.0,,,,0.0
17,0.42305465972049944,0.2551278422492688,0.84992784992785,0.008419870895312938,30.0,3563.0,378.0,0.0,0.6818181818181818,0.6818181818181818,0.7196969696969697,0.7727272727272727,0.7310606060606062,0.8181818181818182,0.7507575757575757,1.0,0.03968253968253968,0.17291666666666666,332.0,,,,0.0
18,0.4242537004878856,0.2406062197327732,0.8864734299516909,0.008111888111888113,29.0,3575.0,378.0,0.0,0.84,0.84,0.84,0.84,0.866,0.96,0.8717142857142857,1.0,0.05555555555555555,0.16310975609756098,321.0,,,,0.0
19,0.4257008186554205,0.3160625235720571,0.8537946428571427,0.01016260162601626,35.0,3444.0,378.0,0.0,0.7142857142857143,0.7142857142857143,0.7321428571428571,0.75,0.7392857142857142,0.7857142857142857,0.7655612244897959,1.0,0.05291005291005291,0.16806722689075632,320.0,,,,0.0
20,0.42727197552302987,0.22437534744654958,0.8485576923076923,0.010731431798926857,38.0,3541.0,378.0,0.0,0.8148148148148148,0.8148148148148148,0.8580246913580246,0.9259259259259259,0.8580246913580246,0.9259259259259259,0.8679012345679011,1.0,0.0582010582010582,0.16666666666666666,329.0,2.4863013698630136,0.10426619448064595,0.0275176272115736,0.0
21,0.42871909369056477,0.2827363598500624,0.8898809523809524,0.010101010101010102,35.0,3465.0,378.0,0.0,0.7272727272727273,0.7272727272727273,0.8181818181818182,0.9090909090909091,0.8181818181818182,0.9090909090909091,0.8277777777777776,1.0,0.042328042328042326,0.16556962025316455,327.0,,,,0.0
22,0.4301662118580997,0.25483157118268995,0.7840222222222222,0.009940357852882704,35.0,3521.0,378.0,0.0,0.6,0.6,0.6666666666666665,0.76,0.6746666666666666,0.8,0.700047619047619,1.0,0.03968253968253968,0.17223910840932116,340.0,,,,0.0
23,0.43148929132556024,0.2941601789871944,0.8249771062271063,0.00922722029988466,32.0,3468.0,378.0,0.0,0.6538461538461539,0.6538461538461539,0.7115384615384616,0.7692307692307693,0.7211538461538461,0.8076923076923077,0.7497252747252746,1.0,0.04497354497354497,0.17335390946502058,337.0,,,,0.0
24,0.4326469858595882,0.22679083094555874,0.9245580808080809,0.007959067652075043,28.0,3518.0,378.0,0.0,0.7727272727272727,0.7727272727272727,0.8409090909090909,0.9090909090909091,0.85,0.9545454545454546,0.855050505050505,1.0,0.04497354497354497,0.16852226720647773,333.0,,,,0.0
25,0.4345902588274208,0.2772562426229107,0.8072478991596639,0.013329551900170164,47.0,3526.0,378.0,0.0,0.6764705882352942,0.6764705882352942,0.7058823529411765,0.7352941176470589,0.7426470588235294,0.9117647058823529,0.7525326797385621,1.0,0.06084656084656084,0.16683991683991684,321.0,,,,0.0
26,0.4357892995948069,0.22126021886544456,0.8175505050505051,0.008304696449026346,29.0,3492.0,378.0,0.0,0.6818181818181818,0.6818181818181818,0.7272727272727273,0.7727272727272727,0.7386363636363636,0.8181818181818182,0.7642496392496393,1.0,0.03968253968253968,0.1611422743498215,316.0,,,,0.0
27,0.4366575704953279,0.2609845207191616,0.8628858024691358,0.006020642201834863,21.0,3488.0,378.0,0.0,0.7222222222222222,0.7222222222222222,0.7685185185185185,0.8333333333333334,0.7685185185185185,0.8333333333333334,0.7871913580246913,1.0,0.03439153439153439,0.1670092497430627,325.0,,,,0.0
28,0.4380219961961465,0.2558142539666133,0.9149305555555557,0.009293156857223317,33.0,3551.0,378.0,0.0,0.8,0.8,0.8733333333333334,0.96,0.8733333333333334,0.96,0.88,1.0,0.05291005291005291,0.16675114039533706,329.0,,,,0.0
29,0.43884892086330934,0.2730132450331126,0.9640522875816994,0.005725737188663041,20.0,3493.0,378.0,0.0,0.8823529411764706,0.8823529411764706,0.9117647058823529,0.9411764705882353,0.9117647058823529,0.9411764705882353,0.9201680672268907,1.0,0.03968253968253968,0.16684045881126172,320.0,,,,0.0
