round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4040353923757546,0.8750424412189117,0.5466545414462081,0.028290993071593534,98.0,3464.0,378.0,0.0,0.16666666666666666,0.16666666666666666,0.3271604938271605,0.5370370370370371,0.3679012345679012,0.7037037037037037,0.4052028218694885,1.0,0.023809523809523808,0.17207415990730013,297.0,2.159235668789809,0.11886220768780834,0.0257014857798372,0.0
1,0.40783924584470355,0.8740998793351757,0.6371331569664903,0.0267208829509149,92.0,3443.0,378.0,0.0,0.425531914893617,0.425531914893617,0.524822695035461,0.6595744680851063,0.572695035460993,0.8723404255319149,0.5881796690307329,1.0,0.05291005291005291,0.1702127659574468,296.0,,,,0.0
2,0.41015463491275944,0.8437172033080056,0.5300048262548263,0.016189650187915582,56.0,3459.0,378.0,0.0,0.1891891891891892,0.1891891891891892,0.33783783783783783,0.5405405405405406,0.3635135135135135,0.6486486486486487,0.41260188760188765,1.0,0.018518518518518517,0.16927374301675976,303.0,,,,0.0
3,0.4137104109815596,0.8666477174849269,0.6285554029304029,0.02484830973707021,86.0,3461.0,378.0,0.0,0.33962264150943394,0.33962264150943394,0.440251572327044,0.5849056603773585,0.4647798742138365,0.6981132075471698,0.5075097334531298,1.0,0.047619047619047616,0.1621923937360179,290.0,,,,0.0
4,0.41772099561729925,0.8873798732958414,0.601230563654033,0.02804278693263949,97.0,3459.0,378.0,0.0,0.46,0.46,0.5333333333333333,0.64,0.5653333333333334,0.78,0.5950714285714286,1.0,0.06084656084656084,0.17120387174833634,283.0,,,,0.0
5,0.4204911932522947,0.8876799098977183,0.5907794784580499,0.019219736087205966,67.0,3486.0,378.0,0.0,0.23809523809523808,0.23809523809523808,0.38888888888888884,0.5714285714285714,0.4281746031746031,0.7619047619047619,0.45778533635676494,1.0,0.026455026455026454,0.16859791425260717,291.0,,,,0.0
6,0.4226825436202762,0.8861258483433644,0.5387896825396825,0.015177548682703322,53.0,3492.0,378.0,0.0,0.26666666666666666,0.26666666666666666,0.34444444444444444,0.4666666666666667,0.3977777777777778,0.7,0.4378174603174603,1.0,0.021164021164021163,0.16281823564239195,275.0,,,,0.0
7,0.4258662035888531,0.8584556375356257,0.5694037444037444,0.022063037249283667,77.0,3490.0,378.0,0.0,0.3,0.3,0.4125,0.575,0.44749999999999995,0.725,0.4831845238095237,1.0,0.031746031746031744,0.16502033701336433,284.0,,,,0.0
8,0.4283883238236997,0.869022584105591,0.5561669435215947,0.017280453257790367,61.0,3530.0,378.0,0.0,0.20930232558139536,0.20930232558139536,0.31007751937984496,0.4418604651162791,0.35891472868217056,0.6511627906976745,0.40361757105943147,1.0,0.023809523809523808,0.1724343675417661,289.0,,,,0.0
9,0.43128256015876953,0.8985783832433317,0.5378067353067354,0.019651880965749578,70.0,3562.0,378.0,0.0,0.24324324324324326,0.24324324324324326,0.3918918918918919,0.5675675675675675,0.422972972972973,0.7027027027027027,0.46275203775203777,1.0,0.023809523809523808,0.16367713004484305,292.0,,,,0.0
10,0.4336806416935417,0.8976783197347785,0.49441468253968257,0.01642129105322763,58.0,3532.0,378.0,0.0,0.25,0.25,0.3177083333333333,0.40625,0.3614583333333333,0.59375,0.4134672619047619,1.0,0.021164021164021163,0.16787912702853947,300.0,2.241830065359477,0.09901936143314517,0.03337158949465514,0.0
11,0.436698916728686,0.8380683945993889,0.48165128968253973,0.020574971815107104,73.0,3548.0,378.0,0.0,0.275,0.275,0.3708333333333333,0.5,0.38708333333333333,0.575,0.4408134920634921,1.0,0.0291005291005291,0.1626399528579847,276.0,,,,0.0
12,0.4400893078640536,0.8988769782297881,0.5595209750566893,0.0231311706629055,82.0,3545.0,378.0,0.0,0.32558139534883723,0.32558139534883723,0.4457364341085271,0.6046511627906976,0.4666666666666667,0.6976744186046512,0.505251015134736,1.0,0.037037037037037035,0.16511627906976745,284.0,,,,0.0
13,0.4423633506987513,0.8947297936032771,0.5394053454715219,0.015638328120557293,55.0,3517.0,378.0,0.0,0.29411764705882354,0.29411764705882354,0.34803921568627455,0.4117647058823529,0.4024509803921569,0.6470588235294118,0.449859943977591,1.0,0.026455026455026454,0.16172193135543922,278.0,,,,0.0
14,0.44368643016621184,0.8583678135888503,0.5722222222222222,0.009205983889528193,32.0,3476.0,378.0,0.0,0.2,0.2,0.29333333333333333,0.4,0.3513333333333333,0.68,0.3927619047619047,1.0,0.013227513227513227,0.17201166180758018,295.0,,,,0.0
15,0.44550566443397005,0.8528774587985114,0.5990435139573071,0.012702078521939953,44.0,3464.0,378.0,0.0,0.2413793103448276,0.2413793103448276,0.3620689655172414,0.4827586206896552,0.3948275862068965,0.6206896551724138,0.4470580186097427,1.0,0.018518518518518517,0.16304347826086957,285.0,,,,0.0
16,0.44757297610187713,0.8477625036560398,0.4994879672299027,0.014413375612568464,50.0,3469.0,378.0,0.0,0.25806451612903225,0.25806451612903225,0.37634408602150543,0.5161290322580645,0.4037634408602151,0.6451612903225806,0.4522401433691756,1.0,0.021164021164021163,0.16807738814993953,278.0,,,,0.0
17,0.44910278673612836,0.9010091636701079,0.5637814153439153,0.010475651189127973,37.0,3532.0,378.0,0.0,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.5,0.5041666666666668,0.7083333333333334,0.5413690476190477,1.0,0.026455026455026454,0.1652593486127865,274.0,,,,0.0
18,0.45141817580418425,0.839155612244898,0.6059998797498798,0.015748031496062992,56.0,3556.0,378.0,0.0,0.2727272727272727,0.2727272727272727,0.4292929292929293,0.6060606060606061,0.44292929292929295,0.6666666666666666,0.4847883597883599,1.0,0.023809523809523808,0.16572077185017026,292.0,,,,0.0
19,0.45303067890515175,0.8763369329814992,0.47170462387853684,0.011117445838084378,39.0,3508.0,378.0,0.0,0.17391304347826086,0.17391304347826086,0.2971014492753623,0.4782608695652174,0.33405797101449275,0.6521739130434783,0.3778295376121464,1.0,0.010582010582010581,0.16794795978710822,284.0,,,,0.0
20,0.4548085669395518,0.8821692106875516,0.5580357142857143,0.012164073550212163,43.0,3535.0,378.0,0.0,0.21428571428571427,0.21428571428571427,0.32142857142857145,0.42857142857142855,0.38571428571428573,0.7142857142857143,0.4216695011337868,1.0,0.015873015873015872,0.16547192353643966,277.0,2.1354838709677417,0.08841725495967138,0.013291989796560526,0.0
21,0.4567104936740263,0.8715916942209939,0.612192118226601,0.01288515406162465,46.0,3570.0,378.0,0.0,0.3793103448275862,0.3793103448275862,0.47126436781609193,0.5862068965517241,0.5040229885057471,0.7241379310344828,0.5426108374384236,1.0,0.0291005291005291,0.16217833632555356,271.0,,,,0.0
22,0.4579508806747705,0.7796514411567558,0.4994212962962963,0.00854457419538593,30.0,3511.0,378.0,0.0,0.16666666666666666,0.16666666666666666,0.2638888888888889,0.375,0.3138888888888889,0.5833333333333334,0.3663690476190476,1.0,0.010582010582010581,0.16804245283018868,285.0,,,,0.0
23,0.4593979988423055,0.8645296167247387,0.544890873015873,0.009943181818181818,35.0,3520.0,378.0,0.0,0.19230769230769232,0.19230769230769232,0.28205128205128205,0.4230769230769231,0.33205128205128204,0.6538461538461539,0.37947191697191696,1.0,0.013227513227513227,0.16523235800344235,288.0,,,,0.0
