round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40461423964276855,0.9015485326361949,0.7074687118437117,0.032,112.0,3500.0,378.0,0.0,0.4423076923076923,0.4423076923076923,0.5641025641025641,0.7307692307692307,0.5939102564102564,0.8653846153846154,0.611935286935287,1.0,0.06084656084656084,0.16822429906542055,306.0,2.155844155844156,0.11525827337859171,0.013961186171809114,0.0
1,0.40854213181179194,0.8714294539164813,0.6704870129870131,0.027119611761347417,95.0,3503.0,378.0,0.0,0.36363636363636365,0.36363636363636365,0.5151515151515151,0.7272727272727273,0.5306060606060605,0.8,0.5572655122655122,1.0,0.05291005291005291,0.1681766704416761,297.0,,,,0.0
2,0.4131315637145456,0.9059888560918883,0.7337922077922077,0.03164196123147092,111.0,3508.0,378.0,0.0,0.5454545454545454,0.5454545454545454,0.6515151515151514,0.7818181818181819,0.6642424242424242,0.8363636363636363,0.6863564213564215,1.0,0.07936507936507936,0.1723147616312464,300.0,,,,0.0
3,0.41730753328371784,0.9158680573939748,0.7159159378036928,0.02913181424862994,101.0,3467.0,378.0,0.0,0.47058823529411764,0.47058823529411764,0.5915032679738562,0.7450980392156863,0.6287581699346404,0.9019607843137255,0.6434640522875817,1.0,0.06349206349206349,0.16639209225700163,303.0,,,,0.0
4,0.42160754155296454,0.9029351625505472,0.6514019841269841,0.0299625468164794,104.0,3471.0,378.0,0.0,0.42,0.42,0.4933333333333333,0.6,0.5293333333333333,0.76,0.5629841269841269,1.0,0.05555555555555555,0.16412213740458015,301.0,,,,0.0
5,0.42454312412139256,0.9090174181181766,0.6554145781119466,0.02057374674007534,71.0,3451.0,378.0,0.0,0.41025641025641024,0.41025641025641024,0.48717948717948717,0.5897435897435898,0.5397435897435897,0.8461538461538461,0.5613553113553114,1.0,0.042328042328042326,0.16326530612244897,296.0,,,,0.0
6,0.4285950549904904,0.9173496647100514,0.6795079365079366,0.0282665128353043,98.0,3467.0,378.0,0.0,0.48,0.48,0.6,0.76,0.613,0.82,0.6360158730158729,1.0,0.06349206349206349,0.16695254431103487,292.0,,,,0.0
7,0.4325229471595138,0.8844066688460281,0.6240930735930735,0.027330264672036825,95.0,3476.0,378.0,0.0,0.32727272727272727,0.32727272727272727,0.42424242424242414,0.5454545454545454,0.4587878787878787,0.6909090909090909,0.4975685425685425,1.0,0.047619047619047616,0.1652989449003517,282.0,,,,0.0
8,0.4354585297279418,0.8952230182951708,0.6477238502238504,0.02015327845586148,71.0,3523.0,378.0,0.0,0.3333333333333333,0.3333333333333333,0.46581196581196577,0.6153846153846154,0.5068376068376068,0.7948717948717948,0.534076109076109,1.0,0.03439153439153439,0.16039823008849557,290.0,,,,0.0
9,0.4394277681303233,0.9205072622170408,0.7293478260869565,0.02721859937624043,96.0,3527.0,378.0,0.0,0.5217391304347826,0.5217391304347826,0.6268115942028986,0.782608695652174,0.6420289855072463,0.8478260869565217,0.6590579710144927,1.0,0.06349206349206349,0.16821885913853318,289.0,,,,0.0
10,0.44137104109815595,0.9397690874325592,0.7511574074074073,0.01327308669867269,47.0,3541.0,378.0,0.0,0.36666666666666664,0.36666666666666664,0.5611111111111112,0.8,0.5744444444444444,0.8666666666666667,0.594484126984127,1.0,0.0291005291005291,0.17591564927857936,317.0,2.2517482517482517,0.09548947403429284,0.02663576611227126,0.0
11,0.4448441247002398,0.9052580815888801,0.6748665223665223,0.023979446188980874,84.0,3503.0,378.0,0.0,0.4318181818181818,0.4318181818181818,0.5265151515151515,0.6363636363636364,0.5606060606060607,0.7727272727272727,0.5915313852813853,1.0,0.05026455026455026,0.1646273637374861,296.0,,,,0.0
12,0.4487720168692632,0.8841155566448133,0.625003306878307,0.02690455961483999,95.0,3531.0,378.0,0.0,0.4594594594594595,0.4594594594594595,0.572072072072072,0.7027027027027027,0.5923423423423423,0.7837837837837838,0.6213963963963963,1.0,0.04497354497354497,0.17320070216500877,296.0,,,,0.0
13,0.4515422145042587,0.9443048805675098,0.7927954144620812,0.018569844789356985,67.0,3608.0,378.0,0.0,0.6296296296296297,0.6296296296296297,0.7160493827160493,0.8518518518518519,0.7401234567901235,0.9629629629629629,0.7447530864197531,1.0,0.04497354497354497,0.16459276018099547,291.0,,,,0.0
14,0.45435375837261227,0.906647041905632,0.7231349206349206,0.01918194640338505,68.0,3545.0,378.0,0.0,0.4146341463414634,0.4146341463414634,0.5447154471544715,0.7073170731707317,0.5703252032520325,0.8292682926829268,0.5934959349593496,1.0,0.04497354497354497,0.17328519855595667,288.0,,,,0.0
15,0.4567104936740263,0.8796061645599613,0.6423160173160173,0.01645971700837424,57.0,3463.0,378.0,0.0,0.36363636363636365,0.36363636363636365,0.45454545454545453,0.5757575757575758,0.46818181818181814,0.6363636363636364,0.516943241943242,1.0,0.031746031746031744,0.1698002350176263,289.0,,,,0.0
16,0.4596460762424543,0.9227439009419678,0.6422958437761069,0.020210646171363505,71.0,3513.0,378.0,0.0,0.34210526315789475,0.34210526315789475,0.4298245614035087,0.5526315789473685,0.4745614035087719,0.7631578947368421,0.5070802005012532,1.0,0.03439153439153439,0.17555040556199306,303.0,,,,0.0
17,0.4621268502439428,0.8794831223628692,0.6497674162257495,0.016968325791855202,60.0,3536.0,378.0,0.0,0.4444444444444444,0.4444444444444444,0.5324074074074073,0.6666666666666666,0.561574074074074,0.8055555555555556,0.5846781305114638,1.0,0.042328042328042326,0.15520282186948853,264.0,,,,0.0
18,0.4641941619118498,0.8657114113250933,0.638217787114846,0.014168319637291017,50.0,3529.0,378.0,0.0,0.35294117647058826,0.35294117647058826,0.45098039215686275,0.5882352941176471,0.4715686274509803,0.6764705882352942,0.5089752567693744,1.0,0.031746031746031744,0.16694963214487832,295.0,,,,0.0
19,0.4667162821466964,0.8674804145991213,0.7037568027210884,0.017329545454545455,61.0,3520.0,378.0,0.0,0.45714285714285713,0.45714285714285713,0.5952380952380952,0.7428571428571429,0.620952380952381,0.8571428571428571,0.6382086167800454,1.0,0.042328042328042326,0.16751845542305507,295.0,,,,0.0
20,0.4690730174481105,0.9173946701938951,0.6758512544802867,0.01638401839609083,57.0,3479.0,378.0,0.0,0.4838709677419355,0.4838709677419355,0.5483870967741935,0.6451612903225806,0.5790322580645162,0.7741935483870968,0.6114183307731695,1.0,0.03968253968253968,0.1574539363484087,282.0,2.1153846153846154,0.08332205982362577,0.016056129126274438,0.0
21,0.47114032911601755,0.9003526734926053,0.6308371735791092,0.014021312394840156,50.0,3566.0,378.0,0.0,0.3225806451612903,0.3225806451612903,0.41935483870967744,0.5483870967741935,0.4451612903225806,0.6774193548387096,0.49174347158218124,1.0,0.026455026455026454,0.17289719626168223,296.0,,,,0.0
22,0.4734143719507153,0.8867205001302424,0.7115244708994709,0.015514809590973202,55.0,3545.0,378.0,0.0,0.4666666666666667,0.4666666666666667,0.5722222222222222,0.7,0.5872222222222221,0.7666666666666667,0.6184259259259259,1.0,0.037037037037037035,0.16600114090131204,291.0,,,,0.0
23,0.47601918465227816,0.8880747126436781,0.7138418964076859,0.017781541066892465,63.0,3543.0,378.0,0.0,0.47368421052631576,0.47368421052631576,0.5833333333333334,0.7368421052631579,0.6109649122807017,0.868421052631579,0.629344193817878,1.0,0.047619047619047616,0.16119221411192214,265.0,,,,0.0
24,0.47738361035309684,0.875312958646292,0.7092261904761904,0.009314140558848433,33.0,3543.0,378.0,0.0,0.35,0.35,0.4916666666666667,0.7,0.5166666666666667,0.8,0.5423611111111112,1.0,0.018518518518518517,0.1638702460850112,293.0,,,,0.0
25,0.4793682295542876,0.8940411233938019,0.6310920634920635,0.013422818791946308,48.0,3576.0,378.0,0.0,0.32,0.32,0.46,0.64,0.508,0.84,0.5248888888888888,1.0,0.021164021164021163,0.16149068322981366,286.0,,,,0.0
26,0.4813528487554784,0.911144578313253,0.7315099890530925,0.013582342954159592,48.0,3534.0,378.0,0.0,0.4827586206896552,0.4827586206896552,0.6091954022988505,0.7931034482758621,0.6333333333333332,0.896551724137931,0.6460180623973727,1.0,0.037037037037037035,0.1652754590984975,297.0,,,,0.0
27,0.4834201604233854,0.8936295224312591,0.6264545177045178,0.014265335235378032,50.0,3505.0,378.0,0.0,0.38461538461538464,0.38461538461538464,0.47435897435897434,0.5769230769230769,0.5128205128205128,0.7307692307692307,0.5462606837606837,1.0,0.026455026455026454,0.17007597895967272,291.0,,,,0.0
28,0.4848672785909204,0.8551925750265762,0.7157377344877346,0.009917823746103713,35.0,3529.0,378.0,0.0,0.45454545454545453,0.45454545454545453,0.5681818181818182,0.7272727272727273,0.5863636363636364,0.8181818181818182,0.6100829725829725,1.0,0.026455026455026454,0.16666666666666666,302.0,,,,0.0
29,0.4861903580583809,0.8730334974315068,0.7076023391812866,0.00904977375565611,32.0,3536.0,378.0,0.0,0.5789473684210527,0.5789473684210527,0.6403508771929824,0.7368421052631579,0.6640350877192982,0.8421052631578947,0.6826649958228905,1.0,0.0291005291005291,0.15971062882582082,287.0,,,,0.0
