round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4018318723308609,0.14035289965216696,0.7884305555555555,0.01224717016143997,66.0,5389.0,588.0,0.0,0.6923076923076923,0.6923076923076923,0.75,0.8269230769230769,0.7625,0.8846153846153846,0.7797466422466423,1.0,0.061224489795918366,0.16306156405990016,490.0,2.3866666666666667,0.1109360250807696,0.014132565051990852,0.0
1,0.4043605304562823,0.15969278424882777,0.7906358506944444,0.016895062887178524,90.0,5327.0,588.0,0.0,0.7313432835820896,0.7313432835820896,0.7562189054726368,0.7910447761194029,0.777860696517413,0.8805970149253731,0.7937929400615967,1.0,0.08333333333333333,0.16290050590219224,483.0,,,,0.0
2,0.40613059114407735,0.125371161186164,0.8749691358024693,0.011705685618729096,63.0,5382.0,588.0,0.0,0.7555555555555555,0.7555555555555555,0.8148148148148148,0.8888888888888888,0.8203703703703703,0.9111111111111111,0.8346560846560847,1.0,0.05782312925170068,0.1600387972841901,495.0,,,,0.0
3,0.40756349741514947,0.1609534467647421,0.8548441734417344,0.009332113449222324,51.0,5465.0,588.0,0.0,0.6829268292682927,0.6829268292682927,0.7317073170731707,0.8048780487804879,0.7487804878048782,0.8780487804878049,0.7671699574138598,1.0,0.047619047619047616,0.16125923546418247,502.0,,,,0.0
4,0.4093335581029445,0.10987869760773702,0.8346009700176366,0.011525795828759604,63.0,5466.0,588.0,0.0,0.8,0.8,0.8518518518518517,0.9111111111111111,0.8618518518518518,0.9555555555555556,0.8692592592592591,1.0,0.061224489795918366,0.15855572998430142,505.0,,,,0.0
5,0.4109912339851652,0.13804722967478375,0.7851104209799861,0.0110218569026714,59.0,5353.0,588.0,0.0,0.6170212765957447,0.6170212765957447,0.6737588652482269,0.7446808510638298,0.6886524822695036,0.8085106382978723,0.715661938534279,1.0,0.04931972789115646,0.16464015773907328,501.0,,,,0.0
6,0.4122836592492695,0.16035127597491577,0.8021116780045352,0.008455882352941176,46.0,5440.0,588.0,0.0,0.6285714285714286,0.6285714285714286,0.7142857142857143,0.8285714285714286,0.7357142857142858,0.9142857142857143,0.7462244897959184,1.0,0.03741496598639456,0.16860272153999337,508.0,,,,0.0
7,0.41343560350640596,0.1387124378019351,0.766729797979798,0.007553426676492263,41.0,5428.0,588.0,0.0,0.6764705882352942,0.6764705882352942,0.7156862745098039,0.7647058823529411,0.7156862745098039,0.7647058823529411,0.7488328664799253,1.0,0.0391156462585034,0.16328534031413613,499.0,,,,0.0
8,0.4149808945830524,0.13879398006914784,0.7774234693877551,0.010149474072707141,55.0,5419.0,588.0,0.0,0.5813953488372093,0.5813953488372093,0.6705426356589147,0.7674418604651163,0.6926356589147287,0.8604651162790697,0.7112033960871171,1.0,0.04251700680272109,0.16815623965574314,508.0,,,,0.0
9,0.4163295122499438,0.12170629820051412,0.8377071661998132,0.008736803785948308,48.0,5494.0,588.0,0.0,0.6857142857142857,0.6857142857142857,0.738095238095238,0.8,0.7638095238095237,0.9142857142857143,0.774829931972789,1.0,0.04081632653061224,0.16793388429752065,508.0,,,,0.0
10,0.4173128792987188,0.14361551380287602,0.7326217843459223,0.006388027012228509,35.0,5479.0,588.0,0.0,0.5172413793103449,0.5172413793103449,0.5977011494252873,0.6896551724137931,0.6045977011494252,0.7241379310344828,0.6376299945265463,1.0,0.025510204081632654,0.16005204944697463,492.0,2.5357142857142856,0.10226783232527517,0.013973539728307977,0.0
11,0.4183243425488874,0.11342034184862167,0.7624214616402116,0.0066359447004608295,36.0,5425.0,588.0,0.0,0.6666666666666666,0.6666666666666666,0.7152777777777778,0.7916666666666666,0.7152777777777778,0.7916666666666666,0.7426421957671958,1.0,0.027210884353741496,0.16194462330972312,503.0,,,,0.0
12,0.4196448640143853,0.19467153834265263,0.7936177248677249,0.008677991137370753,47.0,5416.0,588.0,0.0,0.65625,0.65625,0.71875,0.8125,0.7328125,0.875,0.7487723214285714,1.0,0.03571428571428571,0.1675531914893617,504.0,,,,0.0
13,0.42045965385479883,0.1877903910390034,0.7412698412698413,0.005252671617460605,29.0,5521.0,588.0,0.0,0.56,0.56,0.62,0.68,0.674,0.92,0.6846666666666666,1.0,0.023809523809523808,0.1654746423927178,509.0,,,,0.0
14,0.421302539896606,0.1218210216832047,0.803312629399586,0.005482456140350877,30.0,5472.0,588.0,0.0,0.6086956521739131,0.6086956521739131,0.6666666666666666,0.7391304347826086,0.6971014492753622,0.8695652173913043,0.7152173913043478,1.0,0.023809523809523808,0.16537216828478965,511.0,,,,0.0
15,0.4224263879523488,0.14433932442196531,0.778650109469075,0.007173601147776184,40.0,5576.0,588.0,0.0,0.6333333333333333,0.6333333333333333,0.6833333333333333,0.7333333333333333,0.705,0.8333333333333334,0.7261507936507936,1.0,0.03231292517006803,0.15936896329684483,495.0,,,,0.0
16,0.4234097550011238,0.14319010041160896,0.7616685563114135,0.006382202771699489,35.0,5484.0,588.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7119614512471655,1.0,0.023809523809523808,0.16408055463849455,497.0,,,,0.0
17,0.4243650258485053,0.1085732742709487,0.7336805555555556,0.0062362435803374906,34.0,5452.0,588.0,0.0,0.5,0.5,0.6,0.7,0.6475,0.9,0.65875,1.0,0.017006802721088437,0.16283586921333765,503.0,,,,0.0
18,0.42512362328613174,0.1292392300641613,0.7013988095238096,0.004925209777453484,27.0,5482.0,588.0,0.0,0.6,0.6,0.625,0.65,0.645,0.75,0.6767261904761905,1.0,0.02040816326530612,0.16536964980544747,510.0,,,,0.0
19,0.4255450663070353,0.16387553912507702,0.6944444444444445,0.0027649769585253456,15.0,5425.0,588.0,0.0,0.46153846153846156,0.46153846153846156,0.5384615384615384,0.6153846153846154,0.5384615384615384,0.6153846153846154,0.5932539682539683,1.0,0.01020408163265306,0.16328534031413613,499.0,,,,0.0
20,0.42658462575859746,0.15005094680346642,0.764675925925926,0.006858202038924931,37.0,5395.0,588.0,0.0,0.6,0.6,0.6733333333333335,0.76,0.6833333333333335,0.8,0.7108730158730158,1.0,0.025510204081632654,0.16530545573342045,506.0,2.5555555555555554,0.09778466719905615,0.01463421096031655,0.0
21,0.4271465497864689,0.10753033870675603,0.8688725490196079,0.003609456776755098,20.0,5541.0,588.0,0.0,0.7058823529411765,0.7058823529411765,0.7254901960784315,0.7647058823529411,0.7519607843137256,0.8823529411764706,0.7637254901960785,1.0,0.02040816326530612,0.1657651924912504,521.0,,,,0.0
