round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4010732748932344,0.5797507788161994,0.5228732638888889,0.007236964186305437,39.0,5389.0,588.0,0.0,0.2647058823529412,0.2647058823529412,0.38725490196078427,0.5588235294117647,0.4181372549019608,0.7058823529411765,0.454890289449113,1.0,0.015306122448979591,0.19494783086216363,355.0,2.389937106918239,0.11111642157645236,0.0142212452654933,0.0
1,0.40284333558102947,0.5975185969484715,0.54331569664903,0.011830985915492958,63.0,5325.0,588.0,0.0,0.3125,0.3125,0.4131944444444444,0.5416666666666666,0.44131944444444443,0.6666666666666666,0.48528439153439157,1.0,0.025510204081632654,0.20368303571428573,365.0,,,,0.0
2,0.4037143178242302,0.6101577944934664,0.576704223356009,0.005758870518298346,31.0,5383.0,588.0,0.0,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.4642857142857143,0.33928571428571425,0.7142857142857143,0.37592120181405886,1.0,0.006802721088435374,0.18955732122587968,334.0,,,,0.0
3,0.40503483928972805,0.5410213708616295,0.59265873015873,0.008601756954612006,47.0,5464.0,588.0,0.0,0.2857142857142857,0.2857142857142857,0.3952380952380953,0.5428571428571428,0.42523809523809525,0.6857142857142857,0.46590702947845813,1.0,0.017006802721088437,0.19436619718309858,345.0,,,,0.0
4,0.40599011013710945,0.5903454216462787,0.5166005291005291,0.006223686619073769,34.0,5463.0,588.0,0.0,0.2222222222222222,0.2222222222222222,0.27777777777777773,0.37037037037037035,0.3388888888888889,0.6296296296296297,0.3860817166372722,1.0,0.01020408163265306,0.1986455981941309,352.0,,,,0.0
5,0.4070296695886716,0.5091751518172294,0.5594202898550725,0.006914595402728462,37.0,5351.0,588.0,0.0,0.375,0.375,0.5,0.6666666666666666,0.5187499999999999,0.75,0.5483134920634921,1.0,0.015306122448979591,0.193149915777653,344.0,,,,0.0
6,0.4081254214430209,0.4653330863740198,0.5193452380952381,0.007171754321441706,39.0,5438.0,588.0,0.0,0.21428571428571427,0.21428571428571427,0.29761904761904756,0.42857142857142855,0.3297619047619048,0.5714285714285714,0.38927154195011343,1.0,0.01020408163265306,0.20201454952434247,361.0,,,,0.0
7,0.4087997302764666,0.503374521782056,0.6164021164021164,0.0044231478068558795,24.0,5426.0,588.0,0.0,0.36363636363636365,0.36363636363636365,0.4318181818181818,0.5,0.49545454545454537,0.7727272727272727,0.5292748917748917,1.0,0.013605442176870748,0.20412844036697247,356.0,,,,0.0
8,0.4100359631377838,0.4550138177749144,0.6635912698412698,0.008139104698483167,44.0,5406.0,588.0,0.0,0.3870967741935484,0.3870967741935484,0.46236559139784944,0.5483870967741935,0.5091397849462366,0.7419354838709677,0.5443036354326677,1.0,0.02040816326530612,0.20066152149944874,364.0,,,,0.0
9,0.4109912339851652,0.524243813015582,0.53061939268461,0.006194206595008198,34.0,5489.0,588.0,0.0,0.25,0.25,0.3125,0.4166666666666667,0.3729166666666666,0.6666666666666666,0.41385582010582006,1.0,0.01020408163265306,0.20446927374301677,366.0,,,,0.0
10,0.41194650483254663,0.563890785722802,0.4193121693121693,0.0062259659403039735,34.0,5461.0,588.0,0.0,0.20833333333333334,0.20833333333333334,0.28472222222222215,0.4166666666666667,0.3118055555555556,0.5416666666666666,0.3697255291005291,1.0,0.008503401360544218,0.19923161361141603,363.0,2.423611111111111,0.10171615456486091,0.014249255023938198,0.0
11,0.4130141604855024,0.48500611995104037,0.5160337985769021,0.007020136707925365,38.0,5413.0,588.0,0.0,0.20689655172413793,0.20689655172413793,0.3103448275862069,0.4482758620689655,0.34137931034482755,0.5862068965517241,0.3945265462506842,1.0,0.01020408163265306,0.20022434099831743,357.0,,,,0.0
12,0.4140256237356709,0.4359263055452023,0.42430555555555555,0.006664198445020363,36.0,5402.0,588.0,0.0,0.17391304347826086,0.17391304347826086,0.29710144927536225,0.4782608695652174,0.32753623188405795,0.6086956521739131,0.3816942719116632,1.0,0.006802721088435374,0.20166204986149586,364.0,,,,0.0
13,0.4151494717914138,0.4702234100877193,0.6402625152625152,0.00725689404934688,40.0,5512.0,588.0,0.0,0.38461538461538464,0.38461538461538464,0.5448717948717948,0.7692307692307693,0.5621794871794872,0.8461538461538461,0.5796398046398047,1.0,0.017006802721088437,0.20102798400913763,352.0,,,,0.0
14,0.4159361654304338,0.384163490603233,0.5628156565656567,0.005125388980413692,28.0,5463.0,588.0,0.0,0.18181818181818182,0.18181818181818182,0.25757575757575757,0.36363636363636365,0.3416666666666667,0.7272727272727273,0.37492784992784994,1.0,0.006802721088435374,0.18722222222222223,337.0,,,,0.0
15,0.4168633400764217,0.4389613518634118,0.6709368530020703,0.005927788755164361,33.0,5567.0,588.0,0.0,0.25,0.25,0.4166666666666667,0.625,0.4645833333333333,0.8333333333333334,0.4855820105820106,1.0,0.01020408163265306,0.208778840742825,371.0,,,,0.0
16,0.41736907170150594,0.45605671678278936,0.5939542483660131,0.003289473684210526,18.0,5472.0,588.0,0.0,0.11764705882352941,0.11764705882352941,0.28431372549019607,0.47058823529411764,0.3254901960784314,0.6470588235294118,0.371218487394958,1.0,0.003401360544217687,0.1969525959367946,349.0,,,,0.0
17,0.41793099572937736,0.29967244879128996,0.4979497354497354,0.0036771465342893914,20.0,5439.0,588.0,0.0,0.06666666666666667,0.06666666666666667,0.17777777777777776,0.3333333333333333,0.20777777777777778,0.4666666666666667,0.28375661375661376,1.0,0.0017006802721088435,0.2036613272311213,356.0,,,,0.0
18,0.4186334007642167,0.45140966734056237,0.6315228174603175,0.004573728503476033,25.0,5466.0,588.0,0.0,0.375,0.375,0.5104166666666666,0.6875,0.5416666666666666,0.8125,0.5679563492063492,1.0,0.01020408163265306,0.20021762785636563,368.0,,,,0.0
