round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4021482065431612,0.8362582866539905,0.739247311827957,0.024269167126309985,44.0,1813.0,189.0,0.0,0.3548387096774194,0.3548387096774194,0.5268817204301075,0.7096774193548387,0.5494623655913978,0.8064516129032258,0.5801843317972349,1.0,0.0582010582010582,0.166289592760181,147.0,2.019867549668874,0.05893660925599678,0.10978078478128118,0.0
1,0.4044639337800552,0.8163008879209248,0.7153328924162259,0.025753424657534246,47.0,1825.0,189.0,0.0,0.4444444444444444,0.4444444444444444,0.5416666666666666,0.6666666666666666,0.5722222222222222,0.8055555555555556,0.59836860670194,1.0,0.08465608465608465,0.16519823788546256,150.0,,,,0.0
2,0.4077158060701616,0.8039820742637644,0.6513542938542939,0.035850081477457905,66.0,1841.0,189.0,0.0,0.28205128205128205,0.28205128205128205,0.46581196581196577,0.717948717948718,0.4824786324786325,0.7948717948717948,0.5090761090761091,1.0,0.0582010582010582,0.16666666666666666,145.0,,,,0.0
3,0.41052424122979897,0.8794204612655234,0.7556599832915623,0.031028851388132824,57.0,1837.0,189.0,0.0,0.5526315789473685,0.5526315789473685,0.6271929824561404,0.7368421052631579,0.6574561403508771,0.868421052631579,0.6740079365079366,1.0,0.1111111111111111,0.1590909090909091,133.0,,,,0.0
4,0.41348048876625937,0.8077020915771621,0.6555930930930931,0.03280481137233461,60.0,1829.0,189.0,0.0,0.2972972972972973,0.2972972972972973,0.40540540540540543,0.5945945945945946,0.4581081081081082,0.8378378378378378,0.4797619047619048,1.0,0.0582010582010582,0.16884661117717004,142.0,,,,0.0
5,0.41530350808040994,0.8668007263232138,0.6815079365079364,0.02013057671381937,37.0,1838.0,189.0,0.0,0.36,0.36,0.4666666666666666,0.6,0.5026666666666667,0.76,0.5363174603174603,1.0,0.047619047619047616,0.15783664459161148,143.0,,,,0.0
6,0.41692944422546313,0.8280013247226362,0.572579365079365,0.017713365539452495,33.0,1863.0,189.0,0.0,0.2,0.2,0.29333333333333333,0.44,0.35533333333333333,0.72,0.3925396825396825,1.0,0.026455026455026454,0.1525795828759605,139.0,,,,0.0
7,0.4186046511627907,0.8595185959324508,0.5178571428571428,0.018815716657443277,34.0,1807.0,189.0,0.0,0.23809523809523808,0.23809523809523808,0.34920634920634913,0.5238095238095238,0.392063492063492,0.7142857142857143,0.42611489040060463,1.0,0.026455026455026454,0.1528735632183908,133.0,,,,0.0
8,0.42018131651556956,0.848705985915493,0.5985317460317461,0.01770890979524073,32.0,1807.0,189.0,0.0,0.28,0.28,0.38,0.52,0.414,0.68,0.45676190476190476,1.0,0.037037037037037035,0.16317016317016317,140.0,,,,0.0
9,0.42274339771383523,0.8404681343155731,0.6421281599059376,0.02813852813852814,52.0,1848.0,189.0,0.0,0.4074074074074074,0.4074074074074074,0.49382716049382713,0.6296296296296297,0.5549382716049384,0.8888888888888888,0.5689300411522633,1.0,0.0582010582010582,0.14778856526429343,137.0,,,,0.0
