round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4038234134804888,0.8872553351301197,0.9032974300831443,0.04288070368334249,78.0,1819.0,189.0,0.0,0.7380952380952381,0.7380952380952381,0.8412698412698412,0.9523809523809523,0.851984126984127,1.0,0.851984126984127,1.0,0.164021164021164,0.16702127659574467,157.0,1.8013245033112584,0.06387254744180448,0.08632642816608688,0.0
1,0.40608986992510837,0.8367107429891611,0.8085016835016834,0.02534435261707989,46.0,1815.0,189.0,0.0,0.48484848484848486,0.48484848484848486,0.6363636363636364,0.8181818181818182,0.6424242424242425,0.8484848484848485,0.6632515632515633,1.0,0.08465608465608465,0.16554809843400448,148.0,,,,0.0
2,0.4090953882538431,0.8170101884917845,0.799729938271605,0.03370165745856354,61.0,1810.0,189.0,0.0,0.5555555555555556,0.5555555555555556,0.6342592592592592,0.7222222222222222,0.6717592592592593,0.8888888888888888,0.6889550264550265,1.0,0.10582010582010581,0.1772428884026258,162.0,,,,0.0
3,0.4113125739061884,0.8399786445575026,0.7846149323927103,0.024807056229327454,45.0,1814.0,189.0,0.0,0.5185185185185185,0.5185185185185185,0.6172839506172839,0.7777777777777778,0.6358024691358024,0.8518518518518519,0.6574074074074073,1.0,0.07407407407407407,0.1664887940234792,156.0,,,,0.0
4,0.41421955065037447,0.8498728099008204,0.8464285714285714,0.032100108813928184,59.0,1838.0,189.0,0.0,0.6857142857142857,0.6857142857142857,0.738095238095238,0.8,0.7595238095238095,0.8857142857142857,0.7757936507936508,1.0,0.12698412698412698,0.17320261437908496,159.0,,,,0.0
5,0.41668309026409145,0.8692273485269595,0.8612861811391223,0.02704164413196322,50.0,1849.0,189.0,0.0,0.6470588235294118,0.6470588235294118,0.7745098039215687,0.9117647058823529,0.7818627450980393,0.9411764705882353,0.7902661064425771,1.0,0.1164021164021164,0.16353591160220995,148.0,,,,0.0
6,0.41806267244777295,0.8906582787725803,0.9217687074829932,0.015225666122892877,28.0,1839.0,189.0,0.0,0.8571428571428571,0.8571428571428571,0.8968253968253967,0.9523809523809523,0.8968253968253967,0.9523809523809523,0.9036281179138321,1.0,0.09523809523809523,0.16595289079229122,155.0,,,,0.0
7,0.4202305873078439,0.8053021880842893,0.7662103174603174,0.02387411828540423,44.0,1843.0,189.0,0.0,0.36,0.36,0.5933333333333333,0.84,0.5933333333333333,0.84,0.6168253968253968,1.0,0.047619047619047616,0.15151515151515152,150.0,,,,0.0
8,0.4220536066219945,0.8775425714732074,0.9110243055555555,0.020939445387662705,37.0,1767.0,189.0,0.0,0.7083333333333334,0.7083333333333334,0.8125,0.9166666666666666,0.8208333333333333,0.9583333333333334,0.8277777777777778,1.0,0.08994708994708994,0.16630196936542668,152.0,,,,0.0
9,0.42422152148206543,0.7712378948435836,0.7425115207373271,0.023952095808383235,44.0,1837.0,189.0,0.0,0.5483870967741935,0.5483870967741935,0.639784946236559,0.7741935483870968,0.6478494623655913,0.8064516129032258,0.6711341525857654,1.0,0.08994708994708994,0.16632016632016633,160.0,,,,0.0
