round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40710531085735,0.8907946832579186,0.626391723356009,0.022123893805309734,40.0,1808.0,186.0,0.0,0.2857142857142857,0.2857142857142857,0.49999999999999994,0.7857142857142857,0.5535714285714285,1.0,0.5535714285714285,1.0,0.021505376344086023,0.15191146881287726,151.0,2.0303030303030303,0.14196530775107385,0.03880948333684776,0.0
1,0.4199746238897952,0.8566304976737181,0.6318342151675485,0.038419913419913417,71.0,1848.0,186.0,0.0,0.5555555555555556,0.5555555555555556,0.6851851851851851,0.8888888888888888,0.6851851851851851,0.8888888888888888,0.7,1.0,0.053763440860215055,0.1588785046728972,153.0,,,,0.0
2,0.4246873300706906,0.9341475508796135,0.6832936507936507,0.014364640883977901,26.0,1810.0,186.0,0.0,0.5,0.5,0.5625,0.625,0.61875,0.875,0.63125,1.0,0.021505376344086023,0.15177713736791545,158.0,,,,0.0
3,0.42958129418162044,0.96338360521186,0.5990961199294532,0.014737991266375546,27.0,1832.0,186.0,0.0,0.5555555555555556,0.5555555555555556,0.5925925925925926,0.6666666666666666,0.6370370370370371,0.8888888888888888,0.652910052910053,1.0,0.026881720430107527,0.14217098943323728,148.0,,,,0.0
4,0.4390067065434113,0.9417947998099598,0.6564153439153438,0.028368794326241134,52.0,1833.0,186.0,0.0,0.625,0.625,0.6875,0.75,0.7,0.8125,0.7251736111111111,1.0,0.053763440860215055,0.1523809523809524,144.0,,,,0.0
5,0.4424506072140656,0.8444353828677948,0.6073232323232324,0.0104052573932092,19.0,1826.0,186.0,0.0,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.5,0.49583333333333335,0.6666666666666666,0.534589947089947,1.0,0.026881720430107527,0.14847590953785644,151.0,,,,0.0
6,0.4489758926953054,0.8397715328015828,0.682259700176367,0.019639934533551555,36.0,1833.0,186.0,0.0,0.5,0.5,0.5925925925925926,0.7222222222222222,0.6175925925925926,0.8333333333333334,0.6427248677248678,1.0,0.04838709677419355,0.15706806282722513,150.0,,,,0.0
7,0.4558636940366141,0.9035184486312307,0.5152741702741703,0.020529443544030253,38.0,1851.0,186.0,0.0,0.36363636363636365,0.36363636363636365,0.5303030303030303,0.7272727272727273,0.553030303030303,0.8181818181818182,0.5795454545454545,1.0,0.021505376344086023,0.1603960396039604,162.0,,,,0.0
8,0.45930759470726845,0.9345449258505379,0.45754629629629634,0.01038819026790596,19.0,1829.0,186.0,0.0,0.5,0.5,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6226851851851852,1.0,0.016129032258064516,0.1518987341772152,156.0,,,,0.0
9,0.46492659053833607,0.6113055809862314,0.7819940476190476,0.016958424507658644,31.0,1828.0,186.0,0.0,0.5833333333333334,0.5833333333333334,0.736111111111111,0.9166666666666666,0.7569444444444443,1.0,0.7569444444444443,1.0,0.03763440860215054,0.1485543369890329,149.0,,,,0.0
10,0.4712706180895414,0.3247826433756082,0.5100462962962963,0.019167579408543262,35.0,1826.0,186.0,0.0,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.5,0.5125000000000001,0.75,0.5393518518518519,1.0,0.026881720430107527,0.1493570722057369,151.0,2.0103092783505154,0.12033069677590652,0.13678465151023406,0.0
11,0.4792459670110567,0.3098301529646493,0.6189781746031746,0.02416254805052169,44.0,1821.0,186.0,0.0,0.5,0.5,0.6309523809523808,0.7857142857142857,0.6845238095238094,1.0,0.6845238095238094,1.0,0.03763440860215054,0.15148514851485148,153.0,,,,0.0
12,0.48250860975167664,0.15560159607120935,0.5643939393939394,0.009846827133479213,18.0,1828.0,186.0,0.0,0.18181818181818182,0.18181818181818182,0.25757575757575757,0.36363636363636365,0.3212121212121212,0.6363636363636364,0.3818181818181818,1.0,0.010752688172043012,0.15086646279306828,148.0,,,,0.0
13,0.4884901214428131,0.10048793014894708,0.6321717171717172,0.018302828618968387,33.0,1803.0,186.0,0.0,0.6428571428571429,0.6428571428571429,0.7023809523809523,0.7857142857142857,0.7202380952380951,0.8571428571428571,0.7393707482993197,1.0,0.04838709677419355,0.15863453815261044,158.0,,,,0.0
14,0.48903389523291646,0.19772142594634326,0.5,0.001651073197578426,3.0,1817.0,186.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.55,1.0,0.005376344086021506,0.14974358974358976,146.0,,,,0.0
15,0.4921152800435019,0.09934858751513963,0.5267857142857142,0.009371554575523704,17.0,1814.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.38888888888888884,0.5,0.44305555555555554,0.75,0.4710648148148148,1.0,0.021505376344086023,0.15184815184815184,152.0,,,,0.0
16,0.49501540692405294,0.14915236928104575,0.6096230158730159,0.008639308855291577,16.0,1852.0,186.0,0.0,0.4,0.4,0.5,0.6,0.5,0.6,0.5502777777777779,1.0,0.021505376344086023,0.1456221198156682,158.0,,,,0.0
17,0.4973717600145006,0.05711653615845233,0.5123456790123456,0.007027027027027027,13.0,1850.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.37037037037037035,0.4444444444444444,0.4259259259259259,0.6666666666666666,0.4680335097001763,1.0,0.016129032258064516,0.14977578475336323,167.0,,,,0.0
18,0.5031720137756027,0.09976750547045954,0.6028693528693528,0.017204301075268817,32.0,1860.0,186.0,0.0,0.38461538461538464,0.38461538461538464,0.4487179487179487,0.5384615384615384,0.5025641025641026,0.7692307692307693,0.5358974358974359,1.0,0.026881720430107527,0.15194681861348527,160.0,,,,0.0
19,0.5057096247960848,0.11414527580557071,0.6875,0.007588075880758808,14.0,1845.0,186.0,0.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7901234567901234,1.0,0.03225806451612903,0.15055762081784388,162.0,,,,0.0
20,0.5075222040964292,0.038066630256690326,0.2986111111111111,0.005431830526887561,10.0,1841.0,186.0,0.0,0.0,0.0,0.16666666666666666,0.5,0.16666666666666666,0.5,0.2333333333333333,1.0,0.0,0.15377358490566037,163.0,2.4146341463414633,0.10741280074092897,0.14632828998965702,0.0
21,0.5096972992568425,0.05263759371000183,0.759755291005291,0.006539509536784741,12.0,1835.0,186.0,0.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.7000000000000001,1.0,0.7000000000000001,1.0,0.016129032258064516,0.15280289330922242,169.0,,,,0.0
22,0.514047489577669,0.057946265938069216,0.7490079365079365,0.012944983818770227,24.0,1854.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.5555555555555556,0.7777777777777778,0.6055555555555556,1.0,0.6055555555555556,1.0,0.016129032258064516,0.154337899543379,169.0,,,,0.0
23,0.5147725212978068,0.08828337874659402,0.5810185185185185,0.002175095160413268,4.0,1839.0,186.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.25,0.6666666666666666,0.3055555555555555,1.0,0.0,0.15041782729805014,162.0,,,,0.0
24,0.5167663585281856,0.05598639115425026,0.8875,0.006017505470459519,11.0,1828.0,186.0,0.0,0.8,0.8,0.8666666666666666,1.0,0.8666666666666666,1.0,0.8666666666666666,1.0,0.021505376344086023,0.14776951672862454,159.0,,,,0.0
25,0.5169476164582201,0.020285087719298267,1.0,0.000547945205479452,1.0,1825.0,186.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.005376344086021506,0.15280289330922242,169.0,,,,0.0
26,0.5183976798984956,0.04610881542699723,0.8777777777777779,0.004388370817334065,8.0,1823.0,186.0,0.0,0.6,0.6,0.7666666666666667,1.0,0.7666666666666667,1.0,0.7666666666666667,1.0,0.016129032258064516,0.1560747663551402,167.0,,,,0.0
27,0.5203915171288744,0.05182114302635478,0.6299603174603174,0.0059363194819212085,11.0,1853.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.4930555555555555,1.0,0.010752688172043012,0.14363636363636365,158.0,,,,0.0
28,0.521479064709081,0.04127896369275681,0.6944444444444444,0.0032733224222585926,6.0,1833.0,186.0,0.0,0.2,0.2,0.3,0.4,0.43,1.0,0.43,1.0,0.005376344086021506,0.1542192046556741,159.0,,,,0.0
29,0.5220228384991843,0.048765098251306996,0.5,0.0016198704103671706,3.0,1852.0,186.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.20039682539682538,1.0,0.0,0.15132178669097537,166.0,,,,0.0
