round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4091620201371896,0.793088109594776,0.6613076866549088,0.2336734693877551,229.0,980.0,98.0,0.0,0.5925925925925926,0.5925925925925926,0.7191358024691359,0.8703703703703703,0.7376543209876544,0.9444444444444444,0.7452601410934746,1.0,0.32653061224489793,0.16636851520572452,93.0,1.588235294117647,0.23315126030038708,0.11870861541919073,0.0
1,0.41774639977536204,0.7844833955154963,0.6163311366213152,0.2199383350462487,214.0,973.0,98.0,0.0,0.5614035087719298,0.5614035087719298,0.6812865497076023,0.8070175438596491,0.6970760233918128,0.8771929824561403,0.7134154831523254,1.0,0.32653061224489793,0.16425992779783394,91.0,,,,0.0
2,0.42661157687833445,0.7932737677547366,0.6652250957854405,0.22807017543859648,221.0,969.0,98.0,0.0,0.5254237288135594,0.5254237288135594,0.6581920903954801,0.8305084745762712,0.6819209039548023,0.9322033898305084,0.6908662900188323,1.0,0.3163265306122449,0.1619217081850534,91.0,,,,0.0
3,0.4328693489510209,0.8156247057715846,0.6403472222222223,0.16032887975334018,156.0,973.0,98.0,0.0,0.65,0.65,0.7125,0.775,0.73625,0.875,0.7519444444444444,1.0,0.2653061224489796,0.170018281535649,93.0,,,,0.0
4,0.44137350074210757,0.8149804814573846,0.6304650072150073,0.2194616977225673,212.0,966.0,98.0,0.0,0.4642857142857143,0.4642857142857143,0.5714285714285714,0.7142857142857143,0.6196428571428572,0.9285714285714286,0.6297052154195012,1.0,0.2653061224489796,0.15789473684210525,87.0,,,,0.0
5,0.4480725259737655,0.7876969940715584,0.6375806590752244,0.17198764160659114,167.0,971.0,98.0,0.0,0.5,0.5,0.6304347826086957,0.8043478260869565,0.65,0.8913043478260869,0.6654848171152519,1.0,0.23469387755102042,0.16106194690265488,91.0,,,,0.0
6,0.4553732600585663,0.7809671436875467,0.629547548185941,0.1864754098360656,182.0,976.0,98.0,0.0,0.5087719298245614,0.5087719298245614,0.5994152046783626,0.7017543859649122,0.6222222222222222,0.8070175438596491,0.6470690615427457,1.0,0.29591836734693877,0.17399267399267399,95.0,,,,0.0
7,0.4616310321312528,0.7520725184835614,0.610198051948052,0.16065911431513905,156.0,971.0,98.0,0.0,0.4909090909090909,0.4909090909090909,0.5575757575757575,0.6363636363636364,0.5866666666666667,0.7636363636363637,0.6191847041847042,1.0,0.2755102040816326,0.17343173431734318,94.0,,,,0.0
8,0.46885153836896787,0.7654863785479961,0.6173083333333333,0.18769551616266944,180.0,959.0,98.0,0.0,0.37254901960784315,0.37254901960784315,0.5392156862745098,0.7450980392156863,0.5696078431372549,0.8823529411764706,0.5878151260504202,1.0,0.19387755102040816,0.16981132075471697,90.0,,,,0.0
9,0.4749889686710257,0.8097838726492643,0.5997399527186762,0.15805785123966942,153.0,968.0,98.0,0.0,0.5319148936170213,0.5319148936170213,0.6099290780141844,0.7021276595744681,0.6333333333333333,0.8085106382978723,0.6576241134751774,1.0,0.25510204081632654,0.1736745886654479,95.0,,,,0.0
10,0.48136708251434074,0.7953432522919991,0.6357539682539683,0.16510903426791276,159.0,963.0,98.0,0.0,0.5333333333333333,0.5333333333333333,0.6148148148148148,0.7111111111111111,0.6603703703703704,0.9111111111111111,0.6719664902998237,1.0,0.24489795918367346,0.16117216117216118,88.0,1.6853932584269662,0.1686223385332918,0.19078016335332665,0.0
11,0.4874643988928557,0.7608815133219582,0.5875143946467476,0.15932914046121593,152.0,954.0,98.0,0.0,0.40384615384615385,0.40384615384615385,0.5544871794871795,0.7307692307692307,0.566025641025641,0.7884615384615384,0.5956959706959707,1.0,0.21428571428571427,0.1621129326047359,89.0,,,,0.0
12,0.4948453608247423,0.7208324229844877,0.5656278344671202,0.18775510204081633,184.0,980.0,98.0,0.0,0.4107142857142857,0.4107142857142857,0.5357142857142857,0.6964285714285714,0.5669642857142857,0.8214285714285714,0.5916524943310658,1.0,0.23469387755102042,0.1689059500959693,88.0,,,,0.0
13,0.5004613101207429,0.7515643802647413,0.5698492907801419,0.14418125643666324,140.0,971.0,98.0,0.0,0.5319148936170213,0.5319148936170213,0.5673758865248226,0.6170212765957447,0.600354609929078,0.7659574468085106,0.6289007092198582,1.0,0.25510204081632654,0.15925925925925927,86.0,,,,0.0
14,0.5054354366400577,0.7287950664136622,0.5856982237339379,0.1273100616016427,124.0,974.0,98.0,0.0,0.42857142857142855,0.42857142857142855,0.5119047619047619,0.6190476190476191,0.5630952380952381,0.8571428571428571,0.5818405139833711,1.0,0.1836734693877551,0.16390423572744015,89.0,,,,0.0
