round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4006979822696458,0.6298221298221298,0.5337301587301587,0.018367346938775512,18.0,980.0,98.0,0.0,0.0625,0.0625,0.17708333333333331,0.3125,0.22083333333333333,0.5,0.2885912698412698,1.0,0.01020408163265306,0.15916955017301038,92.0,1.9529411764705882,0.24007812266828576,0.13596829778196468,0.0
1,0.4014601468169602,0.4483063003420501,0.5264550264550265,0.019527235354573486,19.0,973.0,98.0,0.0,0.2,0.2,0.2888888888888889,0.4,0.3355555555555556,0.6,0.3879365079365079,1.0,0.030612244897959183,0.1592128801431127,89.0,,,,0.0
2,0.40254322275261745,0.4250019658724542,0.5755135387488329,0.02786377708978328,27.0,969.0,98.0,0.0,0.29411764705882354,0.29411764705882354,0.4117647058823529,0.6470588235294118,0.43823529411764706,0.7647058823529411,0.46781045751633993,1.0,0.05102040816326531,0.15846994535519127,87.0,,,,0.0
3,0.4032251594528461,0.5816685164631891,0.6138392857142857,0.017507723995880537,17.0,971.0,98.0,0.0,0.21428571428571427,0.21428571428571427,0.3095238095238096,0.42857142857142855,0.37023809523809526,0.7142857142857143,0.4121882086167801,1.0,0.030612244897959183,0.16304347826086957,90.0,,,,0.0
4,0.40418789361787477,0.5732705237084218,0.5479600694444444,0.024844720496894408,24.0,966.0,98.0,0.0,0.1875,0.1875,0.3020833333333333,0.5,0.3427083333333333,0.6875,0.3849702380952381,1.0,0.030612244897959183,0.16087751371115175,88.0,,,,0.0
5,0.4051105138593606,0.6254815630159604,0.4214285714285715,0.02368692070030896,23.0,971.0,98.0,0.0,0.06666666666666667,0.06666666666666667,0.15555555555555556,0.26666666666666666,0.2255555555555556,0.6,0.2834126984126984,1.0,0.01020408163265306,0.16152450090744103,89.0,,,,0.0
6,0.4055116530947892,0.7260351966873706,0.5192743764172336,0.010245901639344262,10.0,976.0,98.0,0.0,0.14285714285714285,0.14285714285714285,0.2619047619047619,0.42857142857142855,0.2976190476190476,0.5714285714285714,0.3596938775510204,1.0,0.01020408163265306,0.16512059369202226,89.0,,,,0.0
7,0.4063540454891893,0.4059147869674185,0.4949776785714286,0.021627188465499485,21.0,971.0,98.0,0.0,0.0625,0.0625,0.23958333333333331,0.4375,0.26458333333333334,0.5625,0.32160218253968254,1.0,0.01020408163265306,0.1649122807017544,94.0,,,,0.0
8,0.4067952986481608,0.4947956455309397,0.44484126984126987,0.01142263759086189,11.0,963.0,98.0,0.0,0.2,0.2,0.2,0.2,0.265,0.5,0.3257936507936508,1.0,0.02040816326530612,0.16817359855334538,93.0,,,,0.0
9,0.4071964378835894,0.47484309623430965,0.628968253968254,0.010351966873706004,10.0,966.0,98.0,0.0,0.0,0.0,0.2857142857142857,0.5714285714285714,0.31428571428571433,0.7142857142857143,0.3619047619047619,1.0,0.0,0.16756756756756758,93.0,,,,0.0
10,0.40775803281318945,0.418512658227848,0.5096153846153846,0.014553014553014554,14.0,962.0,98.0,0.0,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.2653846153846154,0.46153846153846156,0.33672161172161164,1.0,0.02040816326530612,0.1586452762923351,89.0,2.0224719101123596,0.23055971534947756,0.13223814873173217,0.0
11,0.4083196277427895,0.40216565349544076,0.41944444444444445,0.014675052410901468,14.0,954.0,98.0,0.0,0.2727272727272727,0.2727272727272727,0.3181818181818182,0.36363636363636365,0.36363636363636365,0.5454545454545454,0.4200577200577201,1.0,0.030612244897959183,0.15855855855855855,88.0,,,,0.0
12,0.4089614505194753,0.3409297199170125,0.40740740740740744,0.0163265306122449,16.0,980.0,98.0,0.0,0.08333333333333333,0.08333333333333333,0.125,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2556216931216931,1.0,0.01020408163265306,0.156140350877193,89.0,,,,0.0
13,0.4094027036784468,0.5540157033393245,0.5505050505050506,0.01131687242798354,11.0,972.0,98.0,0.0,0.18181818181818182,0.18181818181818182,0.25757575757575757,0.36363636363636365,0.32575757575757575,0.6363636363636364,0.3714646464646464,1.0,0.02040816326530612,0.1622103386809269,91.0,,,,0.0
14,0.4098038429138754,0.4500521920668058,0.43888888888888894,0.010330578512396695,10.0,968.0,98.0,0.0,0.1,0.1,0.18333333333333332,0.3,0.18333333333333332,0.3,0.27634920634920634,1.0,0.01020408163265306,0.16817359855334538,93.0,,,,0.0
15,0.4104055517670183,0.505933682373473,0.4103009259259259,0.015463917525773196,15.0,970.0,98.0,0.0,0.16666666666666666,0.16666666666666666,0.20833333333333334,0.25,0.2416666666666667,0.4166666666666667,0.3121362433862434,1.0,0.02040816326530612,0.15480427046263345,87.0,,,,0.0
16,0.41080669100244693,0.500312825860271,0.44166666666666676,0.010319917440660475,10.0,969.0,98.0,0.0,0.1,0.1,0.18333333333333332,0.3,0.18333333333333332,0.3,0.27996031746031746,1.0,0.01020408163265306,0.170018281535649,93.0,,,,0.0
17,0.41120783023787555,0.4283937823834197,0.5049603174603174,0.010256410256410256,10.0,975.0,98.0,0.0,0.14285714285714285,0.14285714285714285,0.19047619047619047,0.2857142857142857,0.2619047619047619,0.5714285714285714,0.3178571428571429,1.0,0.01020408163265306,0.16457960644007155,92.0,,,,0.0
18,0.41172931124393275,0.3130152885615945,0.3761904761904762,0.013347022587268994,13.0,974.0,98.0,0.0,0.1,0.1,0.18333333333333332,0.3,0.2033333333333333,0.4,0.28555555555555556,1.0,0.01020408163265306,0.1565217391304348,90.0,,,,0.0
19,0.41213045047936137,0.5320646506777893,0.4583333333333333,0.010319917440660475,10.0,969.0,98.0,0.0,0.125,0.125,0.22916666666666666,0.375,0.25416666666666665,0.5,0.31562500000000004,1.0,0.01020408163265306,0.1625,91.0,,,,0.0
20,0.4126118175618757,0.4119933612858141,0.43888888888888894,0.012422360248447204,12.0,966.0,98.0,0.0,0.2,0.2,0.3,0.4,0.32,0.5,0.37968253968253973,1.0,0.02040816326530612,0.1619217081850534,91.0,1.967741935483871,0.22688715939630666,0.11334918640032098,0.0
21,0.41297284287376146,0.3614837747964683,0.5987654320987655,0.009202453987730062,9.0,978.0,98.0,0.0,0.1111111111111111,0.1111111111111111,0.24074074074074073,0.4444444444444444,0.2962962962962963,0.6666666666666666,0.33641975308641975,1.0,0.01020408163265306,0.16845878136200718,94.0,,,,0.0
22,0.41349432387981866,0.5466152255190518,0.5648148148148149,0.013265306122448979,13.0,980.0,98.0,0.0,0.3333333333333333,0.3333333333333333,0.4259259259259259,0.5555555555555556,0.44814814814814813,0.6666666666666666,0.4901234567901235,1.0,0.030612244897959183,0.16112084063047286,92.0,,,,0.0
23,0.41381523526816155,0.41599740932642487,0.5324074074074074,0.008221993833504625,8.0,973.0,98.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.2833333333333333,0.5,0.3597222222222222,1.0,0.01020408163265306,0.161231884057971,89.0,,,,0.0
24,0.4142564884271331,0.29962600690448793,0.48821924603174605,0.011470281543274244,11.0,959.0,98.0,0.0,0.0,0.0,0.041666666666666664,0.125,0.10416666666666666,0.375,0.19320436507936506,1.0,0.0,0.16100178890876565,90.0,,,,0.0
25,0.41461751373901884,0.3959835221421215,0.40123456790123463,0.009183673469387756,9.0,980.0,98.0,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.13333333333333333,0.3333333333333333,0.21953262786596117,1.0,0.0,0.15732368896925858,87.0,,,,0.0
26,0.414858197280276,0.3389874739039666,0.5284722222222221,0.006224066390041493,6.0,964.0,98.0,0.0,0.0,0.0,0.16666666666666666,0.4,0.20666666666666664,0.6,0.265,1.0,0.0,0.16106194690265488,91.0,,,,0.0
27,0.4149785390509046,0.3592400690846287,0.14814814814814814,0.0030991735537190084,3.0,968.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11666666666666665,1.0,0.0,0.16225749559082892,92.0,,,,0.0
28,0.41513899474507604,0.36501024590163933,0.3055555555555556,0.004081632653061225,4.0,980.0,98.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.3368055555555556,1.0,0.01020408163265306,0.1625441696113074,92.0,,,,0.0
29,0.41545990613341893,0.25953608247422677,0.4771825396825397,0.0081799591002045,8.0,978.0,98.0,0.0,0.2857142857142857,0.2857142857142857,0.3333333333333333,0.42857142857142855,0.3619047619047619,0.5714285714285714,0.4108843537414966,1.0,0.02040816326530612,0.163302752293578,89.0,,,,0.0
