round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40004452402845664,0.6044930710986238,0.6834876543209877,0.0031390746553841956,23.0,7327.0,773.0,0.0,0.2777777777777778,0.2777777777777778,0.4351851851851852,0.6111111111111112,0.48796296296296293,0.8333333333333334,0.5107142857142857,1.0,0.00646830530401035,0.11301881158554793,757.0,3.2767857142857144,0.032454009273007345,0.004465790171981739,0.0
1,0.4001025988481827,0.6834026045996121,0.5019593253968254,0.0041390728476821195,30.0,7248.0,773.0,0.0,0.2727272727272727,0.2727272727272727,0.4090909090909091,0.6363636363636364,0.45,0.8181818181818182,0.4706349206349206,1.0,0.007761966364812419,0.11443932411674347,745.0,,,,0.0
2,0.4001490587039636,0.681937757909216,0.5835421888053468,0.003290375651220181,24.0,7294.0,773.0,0.0,0.2631578947368421,0.2631578947368421,0.3859649122807017,0.5789473684210527,0.425438596491228,0.7368421052631579,0.45758145363408514,1.0,0.00646830530401035,0.1135536688902365,749.0,,,,0.0
3,0.4002051976963655,0.5219752008215208,0.6828373015873016,0.004019404019404019,29.0,7215.0,773.0,0.0,0.391304347826087,0.391304347826087,0.5869565217391305,0.8695652173913043,0.5978260869565218,0.9130434782608695,0.6099033816425121,1.0,0.01164294954721863,0.11446984808961179,746.0,,,,0.0
4,0.40024778589749793,0.44153589779197333,0.5955882352941176,0.003045825834140939,22.0,7223.0,773.0,0.0,0.2222222222222222,0.2222222222222222,0.35185185185185186,0.5555555555555556,0.3768518518518518,0.6666666666666666,0.41496913580246914,1.0,0.00517464424320828,0.11381867716058726,752.0,,,,0.0
5,0.4002942457532788,0.3131180112743739,0.5526041666666667,0.0033158331030671458,24.0,7238.0,773.0,0.0,0.4,0.4,0.425,0.45,0.4925,0.75,0.5262301587301587,1.0,0.01034928848641656,0.11281819551137219,749.0,,,,0.0
6,0.4003581280549775,0.24781075214959514,0.6184722222222222,0.004524886877828055,33.0,7293.0,773.0,0.0,0.38461538461538464,0.38461538461538464,0.46794871794871795,0.5769230769230769,0.5102564102564102,0.7692307692307693,0.5414987789987789,1.0,0.0129366106080207,0.11300800725185073,748.0,,,,0.0
7,0.40039490877413736,0.18120198176204494,0.5582107843137255,0.002585385766770989,19.0,7349.0,773.0,0.0,0.23529411764705882,0.23529411764705882,0.30392156862745096,0.4117647058823529,0.3303921568627451,0.5294117647058824,0.3955648926237162,1.0,0.00517464424320828,0.11221317542561066,758.0,,,,0.0
8,0.40046459855780864,0.17172847155292426,0.5739583333333335,0.004932182490752158,36.0,7299.0,773.0,0.0,0.3103448275862069,0.3103448275862069,0.40804597701149425,0.5517241379310345,0.4494252873563218,0.7241379310344828,0.4889709906951286,1.0,0.01164294954721863,0.11371186952582302,753.0,,,,0.0
9,0.4005168658955621,0.2785342573553677,0.7179232804232804,0.0036875170718382957,27.0,7322.0,773.0,0.0,0.36363636363636365,0.36363636363636365,0.4848484848484848,0.6363636363636364,0.5257575757575759,0.8181818181818182,0.5497474747474748,1.0,0.01034928848641656,0.11251486325802616,757.0,,,,0.0
