round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40006001064705027,0.42680921052631576,0.6217736369910283,0.004230926709430872,31.0,7327.0,773.0,0.0,0.21739130434782608,0.21739130434782608,0.39855072463768115,0.6086956521739131,0.41811594202898555,0.6956521739130435,0.46067977915804,1.0,0.00646830530401035,0.1139317014203687,754.0,3.205357142857143,0.03245328660892808,0.004496743145121687,0.0
1,0.4001413153946668,0.4471439144628153,0.6728670634920635,0.005794701986754967,42.0,7248.0,773.0,0.0,0.4666666666666667,0.4666666666666667,0.5555555555555555,0.7,0.5888888888888888,0.8333333333333334,0.6117989417989417,1.0,0.018111254851228976,0.11693611677915555,745.0,,,,0.0
2,0.4002090693510139,0.4382323421171747,0.6401455026455026,0.0047984644913627635,35.0,7294.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.43333333333333335,0.6,0.4683333333333334,0.7666666666666667,0.501468253968254,1.0,0.0129366106080207,0.11463790446841295,744.0,,,,0.0
3,0.40027488748003676,0.457170474372732,0.6453786375661376,0.004712404712404712,34.0,7215.0,773.0,0.0,0.4074074074074074,0.4074074074074074,0.5061728395061729,0.6296296296296297,0.554320987654321,0.8518518518518519,0.5741181657848324,1.0,0.014230271668822769,0.11596009975062344,744.0,,,,0.0
4,0.40031747568116927,0.3756296473974574,0.5518518518518519,0.003045825834140939,22.0,7223.0,773.0,0.0,0.25,0.25,0.3958333333333333,0.625,0.3958333333333333,0.625,0.4389632936507937,1.0,0.00517464424320828,0.1143076923076923,743.0,,,,0.0
5,0.4003852296375163,0.28485551655064356,0.5310748792270532,0.004835589941972921,35.0,7238.0,773.0,0.0,0.25925925925925924,0.25925925925925924,0.33950617283950624,0.4444444444444444,0.3932098765432099,0.6666666666666666,0.4406378600823046,1.0,0.009055627425614488,0.11411136536994661,748.0,,,,0.0
6,0.40047040603978123,0.2879252937709276,0.5270006613756614,0.006033182503770739,44.0,7293.0,773.0,0.0,0.2903225806451613,0.2903225806451613,0.45161290322580644,0.6451612903225806,0.4661290322580645,0.7096774193548387,0.49967997951868914,1.0,0.01164294954721863,0.11449916145753926,751.0,,,,0.0
7,0.4005129942409137,0.2666786604960482,0.6460317460317461,0.002993604572050619,22.0,7349.0,773.0,0.0,0.3,0.3,0.39999999999999997,0.55,0.4225,0.65,0.46873015873015866,1.0,0.007761966364812419,0.1129800535873772,759.0,,,,0.0
8,0.400573004887964,0.3171613968434321,0.5130681818181818,0.004247157144814358,31.0,7299.0,773.0,0.0,0.4,0.4,0.46,0.56,0.498,0.72,0.5360952380952381,1.0,0.0129366106080207,0.11376615569582206,757.0,,,,0.0
9,0.4006001064705028,0.1437415710572093,0.4871794871794872,0.0019117847876553326,14.0,7323.0,773.0,0.0,0.21428571428571427,0.21428571428571427,0.2619047619047619,0.35714285714285715,0.29404761904761906,0.5,0.35901360544217686,1.0,0.0038809831824062097,0.11295829004007718,761.0,,,,0.0
10,0.4006388230169869,0.17916839342450613,0.4518849206349206,0.0027552004408320707,20.0,7259.0,773.0,0.0,0.2,0.2,0.31111111111111106,0.4666666666666667,0.31111111111111106,0.4666666666666667,0.38259259259259254,1.0,0.0038809831824062097,0.11252813203300825,750.0,3.1983471074380163,0.031792208952702156,0.004494144499717804,0.0
11,0.40067560373614675,0.07853414528055677,0.6282738095238095,0.0026102486605302927,19.0,7279.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.40277777777777773,0.5,0.5027777777777778,0.9166666666666666,0.5131944444444444,1.0,0.00517464424320828,0.11327831957989497,755.0,,,,0.0
12,0.4007239994192518,0.18347743079230872,0.5378401360544218,0.003397662408263115,25.0,7358.0,773.0,0.0,0.18181818181818182,0.18181818181818182,0.3333333333333333,0.5,0.3856060606060607,0.7272727272727273,0.424476911976912,1.0,0.00517464424320828,0.11243130848061786,757.0,,,,0.0
13,0.40075303682911484,0.1744197733918129,0.5366161616161617,0.002051702913418137,15.0,7311.0,773.0,0.0,0.35714285714285715,0.35714285714285715,0.4047619047619047,0.5,0.42261904761904756,0.5714285714285714,0.4755952380952381,1.0,0.00646830530401035,0.11286748411877677,764.0,,,,0.0
14,0.40076658762038425,0.17811665441034175,0.788888888888889,0.0009473541751251861,7.0,7389.0,773.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7000000000000001,0.8333333333333334,0.7185185185185187,1.0,0.00517464424320828,0.11072056239015818,756.0,,,,0.0
15,0.40080723999419254,0.14665457794596867,0.5388888888888891,0.002888980602558811,21.0,7269.0,773.0,0.0,0.3684210526315789,0.3684210526315789,0.48245614035087714,0.631578947368421,0.5087719298245613,0.7368421052631579,0.5469924812030074,1.0,0.009055627425614488,0.11178922298303066,751.0,,,,0.0
16,0.40083046992208293,0.11821004503889725,0.6499999999999999,0.0016351001498841804,12.0,7339.0,773.0,0.0,0.2,0.2,0.3333333333333333,0.5,0.3583333333333333,0.6,0.40928571428571436,1.0,0.00258732212160414,0.11303052866716307,759.0,,,,0.0
17,0.40084402071335234,0.1992144432194046,0.3055555555555556,0.0009637890678782872,7.0,7263.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.5277777777777778,0.8333333333333334,0.5277777777777778,0.8333333333333334,0.5444444444444445,1.0,0.00258732212160414,0.1138731765406371,765.0,,,,0.0
