round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40005420316507767,0.7676548655102322,0.6830808080808081,0.0038530342644832807,28.0,7267.0,773.0,0.0,0.52,0.52,0.5733333333333334,0.64,0.5913333333333334,0.72,0.6263174603174604,1.0,0.016817593790426907,0.12189936215450035,688.0,2.824561403508772,0.0323570182520411,0.0037906917248316198,0.0
1,0.4001393795673426,0.6025697744969157,0.6862139917695473,0.006080707573244887,44.0,7236.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.5357142857142857,0.6785714285714286,0.5517857142857143,0.75,0.585515873015873,1.0,0.015523932729624839,0.12190409274547691,694.0,,,,0.0
2,0.40017616028650244,0.7471885766288922,0.7777069160997732,0.0026006022447303584,19.0,7306.0,773.0,0.0,0.5714285714285714,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.6928571428571428,0.9285714285714286,0.7,1.0,0.01034928848641656,0.12102363604051893,681.0,,,,0.0
3,0.40023617093355274,0.5762874694627222,0.7035619803476948,0.004265859364249346,31.0,7267.0,773.0,0.0,0.43478260869565216,0.43478260869565216,0.5869565217391305,0.782608695652174,0.6152173913043478,0.9130434782608695,0.6278985507246377,1.0,0.0129366106080207,0.12202965874575665,683.0,,,,0.0
4,0.40031553985384505,0.6471865357453741,0.6314140720390721,0.005661419497376415,41.0,7242.0,773.0,0.0,0.39285714285714285,0.39285714285714285,0.5119047619047619,0.6785714285714286,0.5386904761904762,0.7857142857142857,0.5700821995464852,1.0,0.014230271668822769,0.12082355065920174,669.0,,,,0.0
5,0.40036780719159853,0.6562270700814218,0.7050490196078432,0.003675469643343316,27.0,7346.0,773.0,0.0,0.5263157894736842,0.5263157894736842,0.5964912280701754,0.6842105263157895,0.6333333333333333,0.8421052631578947,0.6574561403508771,1.0,0.0129366106080207,0.12287300734372202,686.0,,,,0.0
6,0.40041233122005515,0.6799121177694023,0.7469618055555556,0.003169790518191841,23.0,7256.0,773.0,0.0,0.5,0.5,0.6203703703703703,0.7777777777777778,0.6425925925925926,0.8888888888888888,0.6564814814814814,1.0,0.01164294954721863,0.1190012395962458,672.0,,,,0.0
7,0.40046459855780864,0.529696932894091,0.6290555555555556,0.003675469643343316,27.0,7346.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.5634920634920635,0.7142857142857143,0.6039682539682539,0.9047619047619048,0.6171957671957672,1.0,0.01164294954721863,0.11799357372367011,661.0,,,,0.0
8,0.40051880172288634,0.5631746471076668,0.7118055555555557,0.0038599393438103115,28.0,7254.0,773.0,0.0,0.3181818181818182,0.3181818181818182,0.4393939393939394,0.5909090909090909,0.528030303030303,0.9545454545454546,0.5337121212121212,1.0,0.009055627425614488,0.12297151099891813,682.0,,,,0.0
9,0.4005613899240188,0.6720444871618838,0.6814484126984127,0.0030116358658453116,22.0,7305.0,773.0,0.0,0.45,0.45,0.5416666666666666,0.65,0.5541666666666666,0.7,0.5940873015873016,1.0,0.01164294954721863,0.12195994277539342,682.0,,,,0.0
