round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4000309732371872,0.0022017338654190177,16.0,7267.0,773.0,0.0,0.2857142857142857,0.2857142857142857,0.34523809523809523,0.42857142857142855,0.4095238095238095,0.7142857142857143,0.4445294784580499,1.0,0.00517464424320828,0.11321605773567885,753.0,3.272,0.032366819308648605,0.003794931968306276,0.0
1,0.40009291971156175,0.004422332780541736,32.0,7236.0,773.0,0.0,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.3157894736842105,0.25789473684210523,0.5263157894736842,0.32105263157894737,1.0,0.0038809831824062097,0.11541393505107486,757.0,,,,0.0
2,0.40012002129410057,0.0019162332329592116,14.0,7306.0,773.0,0.0,0.08333333333333333,0.08333333333333333,0.125,0.16666666666666666,0.17500000000000002,0.4166666666666667,0.24973544973544973,1.0,0.00129366106080207,0.11422155688622755,763.0,,,,0.0
3,0.4001684169772056,0.0034402091647172148,25.0,7267.0,773.0,0.0,0.22727272727272727,0.22727272727272727,0.356060606060606,0.5,0.3969696969696969,0.6818181818181818,0.43560606060606055,1.0,0.00646830530401035,0.11658031088082901,765.0,,,,0.0
4,0.4002264917969317,0.004141930139444981,30.0,7243.0,773.0,0.0,0.13043478260869565,0.13043478260869565,0.2681159420289855,0.43478260869565216,0.28985507246376807,0.5217391304347826,0.3479813664596273,1.0,0.0038809831824062097,0.11561928004881025,758.0,,,,0.0
5,0.4002652083434158,0.002722940776038121,20.0,7345.0,773.0,0.0,0.3333333333333333,0.3333333333333333,0.43333333333333335,0.5333333333333333,0.45,0.6,0.5027777777777778,1.0,0.00646830530401035,0.11370739693406758,764.0,,,,0.0
6,0.40030973237187245,0.003169790518191841,23.0,7256.0,773.0,0.0,0.25,0.25,0.2666666666666667,0.3,0.31416666666666665,0.5,0.37878968253968254,1.0,0.00646830530401035,0.11349878934624698,750.0,,,,0.0
7,0.40034844891835647,0.002722940776038121,20.0,7345.0,773.0,0.0,0.13333333333333333,0.13333333333333333,0.3222222222222222,0.5333333333333333,0.3888888888888889,0.8,0.41407407407407404,1.0,0.00258732212160414,0.11495636473066506,764.0,,,,0.0
8,0.40039490877413736,0.0033085194375516956,24.0,7254.0,773.0,0.0,0.1,0.1,0.20833333333333331,0.35,0.2683333333333333,0.6,0.3183730158730159,1.0,0.00258732212160414,0.11483910324843678,753.0,,,,0.0
9,0.40041426704737937,0.0013691128148959474,10.0,7304.0,773.0,0.0,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.48796296296296293,1.0,0.00258732212160414,0.11368044159331643,762.0,,,,0.0
10,0.4004684702124571,0.003836141937251678,28.0,7299.0,773.0,0.0,0.30434782608695654,0.30434782608695654,0.44202898550724645,0.6086956521739131,0.46376811594202905,0.6956521739130435,0.5020531400966184,1.0,0.009055627425614488,0.11429865619809754,757.0,3.1160714285714284,0.03185989900902725,0.0037932303307824863,0.0
11,0.4005033151042927,0.002461706783369803,18.0,7312.0,773.0,0.0,0.07142857142857142,0.07142857142857142,0.20238095238095236,0.42857142857142855,0.21666666666666665,0.5,0.2896541950113379,1.0,0.00129366106080207,0.114160760066355,757.0,,,,0.0
12,0.40054590330542517,0.003004643540016389,22.0,7322.0,773.0,0.0,0.2857142857142857,0.2857142857142857,0.3492063492063492,0.42857142857142855,0.3682539682539683,0.5238095238095238,0.4325018896447467,1.0,0.007761966364812419,0.11495991529269399,760.0,,,,0.0
13,0.40059623481585444,0.0035689773507206588,26.0,7285.0,773.0,0.0,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.4090909090909091,0.3136363636363636,0.5909090909090909,0.3681096681096681,1.0,0.00517464424320828,0.11524555589032841,765.0,,,,0.0
14,0.4006310797076901,0.0024606971975393026,18.0,7315.0,773.0,0.0,0.2,0.2,0.2888888888888889,0.4,0.3055555555555556,0.4666666666666667,0.37671957671957673,1.0,0.0038809831824062097,0.11417440815103386,762.0,,,,0.0
15,0.4006543096355805,0.0016506189821182944,12.0,7270.0,773.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.4166666666666667,0.26666666666666666,0.5,0.32880291005291007,1.0,0.00258732212160414,0.114474078513635,764.0,,,,0.0
16,0.40069496200938876,0.002897750793431765,21.0,7247.0,773.0,0.0,0.4,0.4,0.4888888888888889,0.6,0.5055555555555555,0.6666666666666666,0.5490476190476189,1.0,0.007761966364812419,0.1154256129130501,758.0,,,,0.0
17,0.4007298069012244,0.002466429158673609,18.0,7298.0,773.0,0.0,0.06666666666666667,0.06666666666666667,0.2555555555555556,0.5333333333333333,0.3022222222222222,0.7333333333333333,0.3391269841269841,1.0,0.00129366106080207,0.11471208923726259,761.0,,,,0.0
18,0.40076852344770847,0.0027363524421945545,20.0,7309.0,773.0,0.0,0.058823529411764705,0.058823529411764705,0.14705882352941177,0.29411764705882354,0.17058823529411765,0.4117647058823529,0.253734827264239,1.0,0.00129366106080207,0.11292986934975222,752.0,,,,0.0
19,0.4007956250302473,0.0019331676332504833,14.0,7242.0,773.0,0.0,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.45454545454545453,0.3409090909090909,0.7272727272727273,0.3762626262626263,1.0,0.00258732212160414,0.11558854718981973,763.0,,,,0.0
20,0.40083821323137975,0.0030050539543778174,22.0,7321.0,773.0,0.0,0.14285714285714285,0.14285714285714285,0.31746031746031744,0.5238095238095238,0.35317460317460314,0.6666666666666666,0.39899848828420253,1.0,0.0038809831824062097,0.11541381928625664,760.0,3.139130434782609,0.031457281121891605,0.003806278493399545,0.0
21,0.4008730581232154,0.002443991853360489,18.0,7365.0,773.0,0.0,0.125,0.125,0.21875,0.375,0.234375,0.4375,0.29930555555555555,1.0,0.00258732212160414,0.11392594813371308,760.0,,,,0.0
22,0.40095049121618354,0.005517241379310344,40.0,7250.0,773.0,0.0,0.20689655172413793,0.20689655172413793,0.3333333333333333,0.5172413793103449,0.36954022988505747,0.6896551724137931,0.4098522167487685,1.0,0.007761966364812419,0.11544296116504854,761.0,,,,0.0
23,0.40097565697139814,0.0017675050985723998,13.0,7355.0,773.0,0.0,0.08333333333333333,0.08333333333333333,0.3055555555555555,0.5833333333333334,0.32222222222222224,0.6666666666666666,0.37182539682539684,1.0,0.00129366106080207,0.11296515062020082,765.0,,,,0.0
24,0.4010240526545032,0.003395355154149124,25.0,7363.0,773.0,0.0,0.23809523809523808,0.23809523809523808,0.4126984126984127,0.6190476190476191,0.4484126984126984,0.7619047619047619,0.47717309145880576,1.0,0.00646830530401035,0.11391460137354434,763.0,,,,0.0
25,0.40106276920098727,0.002785127419579446,20.0,7181.0,773.0,0.0,0.3684210526315789,0.3684210526315789,0.41228070175438597,0.47368421052631576,0.42280701754385963,0.5263157894736842,0.48734335839598997,1.0,0.009055627425614488,0.1162826186479475,762.0,,,,0.0
26,0.40110729322944394,0.0031528444139821794,23.0,7295.0,773.0,0.0,0.09523809523809523,0.09523809523809523,0.3333333333333333,0.6190476190476191,0.3428571428571428,0.6666666666666666,0.3816704459561602,1.0,0.00258732212160414,0.11575269633905515,762.0,,,,0.0
27,0.4011479456032522,0.002859866539561487,21.0,7343.0,773.0,0.0,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.35294117647058826,0.40588235294117647,0.5882352941176471,0.4566760037348273,1.0,0.007761966364812419,0.11418736905118228,763.0,,,,0.0
28,0.401175047185791,0.0019076168415315439,14.0,7339.0,773.0,0.0,0.2857142857142857,0.2857142857142857,0.3452380952380953,0.42857142857142855,0.39166666666666666,0.6428571428571429,0.4452380952380953,1.0,0.00517464424320828,0.11274728543804849,758.0,,,,0.0
29,0.40121182790495086,0.0025811710365439477,19.0,7361.0,773.0,0.0,0.16666666666666666,0.16666666666666666,0.2685185185185185,0.3888888888888889,0.34074074074074073,0.7222222222222222,0.3796957671957672,1.0,0.0038809831824062097,0.11441888437828898,761.0,,,,0.0
