round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4000696897836713,0.628662835249042,0.670138888888889,0.004940982706560527,36.0,7286.0,773.0,0.0,0.5,0.5,0.5897435897435896,0.6923076923076923,0.6185897435897435,0.8076923076923077,0.645558608058608,1.0,0.016817593790426907,0.11485758275596612,746.0,3.0508474576271185,0.03210540339688765,0.004366716096328874,0.0
1,0.40012002129410057,0.6272613719163112,0.6202758881330309,0.003505933117583603,26.0,7416.0,773.0,0.0,0.3181818181818182,0.3181818181818182,0.41666666666666663,0.5454545454545454,0.4348484848484848,0.6363636363636364,0.48345959595959587,1.0,0.009055627425614488,0.11277744451109778,752.0,,,,0.0
2,0.4001877752504477,0.7063339165306964,0.5795940170940171,0.00479320734045467,35.0,7302.0,773.0,0.0,0.25,0.25,0.39880952380952384,0.6071428571428571,0.4148809523809524,0.6785714285714286,0.4600481859410431,1.0,0.009055627425614488,0.1144331461526787,754.0,,,,0.0
3,0.4002458500701737,0.7714649944873209,0.49790564373897706,0.0041174855888004395,30.0,7286.0,773.0,0.0,0.25,0.25,0.3416666666666666,0.5,0.4091666666666667,0.8,0.4343055555555556,1.0,0.00646830530401035,0.11329673681000305,743.0,,,,0.0
4,0.4003000532352514,0.5496288149573825,0.646701388888889,0.003834565872363736,28.0,7302.0,773.0,0.0,0.5,0.5,0.5909090909090909,0.6818181818181818,0.6204545454545455,0.8181818181818182,0.6466991341991343,1.0,0.014230271668822769,0.11244919464097547,747.0,,,,0.0
5,0.4003658713642743,0.569390848952591,0.6092391304347826,0.004663923182441701,34.0,7290.0,773.0,0.0,0.28,0.28,0.46,0.68,0.486,0.8,0.5134920634920634,1.0,0.009055627425614488,0.11290810157194679,747.0,,,,0.0
6,0.40040458791075834,0.5784670036890285,0.5952119883040936,0.002725166916473634,20.0,7339.0,773.0,0.0,0.21052631578947367,0.21052631578947367,0.34210526315789475,0.47368421052631576,0.38947368421052636,0.6842105263157895,0.4293859649122807,1.0,0.00517464424320828,0.11229866024386573,746.0,,,,0.0
7,0.400449111939215,0.6762769681917473,0.5927318295739349,0.0031558726673984634,23.0,7288.0,773.0,0.0,0.4,0.4,0.45833333333333337,0.55,0.4833333333333334,0.65,0.5256746031746032,1.0,0.01034928848641656,0.11384568926468368,754.0,,,,0.0
8,0.4004936359676717,0.6398889377943118,0.7435515873015872,0.0031794304672380425,23.0,7234.0,773.0,0.0,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.6666666666666666,0.6611111111111111,0.8888888888888888,0.675,1.0,0.0129366106080207,0.11488450359492122,751.0,,,,0.0
9,0.40054396747810095,0.5740904939897209,0.6261022927689593,0.003576341127922971,26.0,7270.0,773.0,0.0,0.391304347826087,0.391304347826087,0.5000000000000001,0.6521739130434783,0.5282608695652175,0.782608695652174,0.5563319530710834,1.0,0.01164294954721863,0.114894922534131,749.0,,,,0.0
10,0.4005942989885302,0.6669409212818019,0.5996527777777778,0.0035986159169550174,26.0,7225.0,773.0,0.0,0.391304347826087,0.391304347826087,0.5072463768115942,0.6521739130434783,0.5376811594202899,0.782608695652174,0.568391994478951,1.0,0.01164294954721863,0.11518563603164943,757.0,3.0,0.031504458128256016,0.004384849440759696,0.0
11,0.4006272080530417,0.7702695030859441,0.6798611111111111,0.0023383768913342504,17.0,7270.0,773.0,0.0,0.42857142857142855,0.42857142857142855,0.5833333333333333,0.7857142857142857,0.6154761904761904,0.9285714285714286,0.6244047619047618,1.0,0.007761966364812419,0.11400210557978643,758.0,,,,0.0
12,0.40067366790882253,0.49450966850828726,0.7081163194444444,0.003303964757709251,24.0,7264.0,773.0,0.0,0.4117647058823529,0.4117647058823529,0.5392156862745098,0.7058823529411765,0.5392156862745098,0.7058823529411765,0.5801120448179272,1.0,0.009055627425614488,0.11365705614567527,749.0,,,,0.0
13,0.4007181919372792,0.5899600521524806,0.5033950617283951,0.0031395031395031396,23.0,7326.0,773.0,0.0,0.2631578947368421,0.2631578947368421,0.30701754385964913,0.3684210526315789,0.3517543859649123,0.5789473684210527,0.409857978279031,1.0,0.00646830530401035,0.11333030715690724,749.0,,,,0.0
14,0.40077433092968107,0.5084084154912968,0.7144736842105264,0.00395149202888677,29.0,7339.0,773.0,0.0,0.4090909090909091,0.4090909090909091,0.4848484848484848,0.5909090909090909,0.5575757575757575,0.9090909090909091,0.569119769119769,1.0,0.01164294954721863,0.11357132098207562,754.0,,,,0.0
15,0.40080723999419254,0.5841130846133527,0.5982905982905984,0.002307901167526473,17.0,7366.0,773.0,0.0,0.3125,0.3125,0.4270833333333333,0.5625,0.45208333333333334,0.6875,0.49635416666666665,1.0,0.00646830530401035,0.11328358208955223,759.0,,,,0.0
