round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40000661010133653,0.09408502461061291,0.7361111111111112,0.0002696326255476913,4.0,14835.0,1572.0,0.0,0.5,0.5,0.625,0.75,0.625,0.75,0.6527777777777778,1.0,0.001272264631043257,0.11841758241758242,1347.0,2.763440860215054,0.06463187174933246,0.0009803480241656615,0.0
1,0.4000231353546778,0.08042497222033246,0.6215277777777778,0.0006119118846886048,9.0,14708.0,1572.0,0.0,0.0,0.0,0.125,0.25,0.2125,0.625,0.2621031746031746,1.0,0.0,0.11950069832402235,1369.0,,,,0.0
2,0.40003231605097855,0.25860332153552956,0.5666666666666667,0.0003402054841124039,5.0,14697.0,1572.0,0.0,0.2,0.2,0.2,0.2,0.3,0.6,0.35357142857142854,1.0,0.0006361323155216285,0.12130124777183601,1361.0,,,,0.0
3,0.40003966060801915,0.1732142857142857,0.9814814814814815,0.00026946914578280785,4.0,14844.0,1572.0,0.0,0.75,0.75,0.875,1.0,0.875,1.0,0.875,1.0,0.0019083969465648854,0.11843722563652327,1349.0,,,,0.0
4,0.40004700516505975,0.10260539629005061,0.6111111111111112,0.0002697417223008969,4.0,14829.0,1572.0,0.0,0.5,0.5,0.5833333333333333,0.75,0.6458333333333333,1.0,0.6458333333333333,1.0,0.001272264631043257,0.1200316567006683,1365.0,,,,0.0
5,0.4000561858613605,0.11059715769335887,0.6944444444444444,0.00034150672768253537,5.0,14641.0,1572.0,0.0,0.6,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6916666666666667,1.0,0.0019083969465648854,0.1189594356261023,1349.0,,,,0.0
6,0.40006353041840104,0.07399072558647025,0.7083333333333333,0.0002727024815925825,4.0,14668.0,1572.0,0.0,0.0,0.0,0.25,0.5,0.25,0.5,0.3107142857142857,1.0,0.0,0.12106150705600426,1364.0,,,,0.0
7,0.40007821953248224,0.06945575461454939,0.6597222222222222,0.0005425935973955507,8.0,14744.0,1572.0,0.0,0.25,0.25,0.375,0.5,0.40625,0.625,0.4574404761904762,1.0,0.001272264631043257,0.12099770033610473,1368.0,,,,0.0
8,0.40008372795026265,0.062204652853507805,0.6296296296296297,0.00020442930153321976,3.0,14675.0,1572.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.2698412698412698,1.0,0.0,0.12111856033874382,1373.0,,,,0.0
9,0.40009841706434385,0.10434707903780069,0.8888888888888887,0.000549526033795851,8.0,14558.0,1572.0,0.0,0.75,0.75,0.8541666666666666,1.0,0.8541666666666666,1.0,0.8541666666666666,1.0,0.003816793893129771,0.12112299465240642,1359.0,,,,0.0
