round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40001211851911694,0.44957416470769584,0.507936507936508,0.0004718570947084597,7.0,14835.0,1572.0,0.0,0.0,0.0,0.09523809523809523,0.2857142857142857,0.09523809523809523,0.2857142857142857,0.18253968253968253,1.0,0.0,0.11113532359991284,1530.0,2.7864077669902914,0.06463080333689619,0.0009803480241656615,0.0
1,0.4000341521902387,0.45583832335329344,0.8215277777777779,0.0008158825129181398,12.0,14708.0,1572.0,0.0,0.5,0.5,0.6333333333333334,0.8,0.6333333333333334,0.8,0.6569444444444444,1.0,0.0031806615776081423,0.11243171415916138,1523.0,,,,0.0
2,0.4000488413043199,0.4352619306964395,0.7407407407407408,0.0005443287745798462,8.0,14697.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.3611111111111111,0.6666666666666666,0.40277777777777773,0.8333333333333334,0.4236111111111111,1.0,0.0006361323155216285,0.11229435957696828,1529.0,,,,0.0
3,0.4000561858613605,0.6561573450134771,0.9074074074074074,0.00026946914578280785,4.0,14844.0,1572.0,0.0,0.5,0.5,0.7083333333333333,1.0,0.7083333333333333,1.0,0.7083333333333333,1.0,0.001272264631043257,0.11097347712037307,1523.0,,,,0.0
4,0.4000653665576612,0.6460334592552617,0.6805555555555556,0.00033717715287612113,5.0,14829.0,1572.0,0.0,0.4,0.4,0.5,0.6,0.5900000000000001,1.0,0.5900000000000001,1.0,0.001272264631043257,0.11098207156855629,1529.0,,,,0.0
5,0.40009107250730325,0.5453637597788825,0.6581196581196582,0.000956218837511099,14.0,14641.0,1572.0,0.0,0.35714285714285715,0.35714285714285715,0.41666666666666663,0.5,0.4630952380952381,0.7142857142857143,0.49503968253968245,1.0,0.0031806615776081423,0.11265432098765432,1533.0,,,,0.0
6,0.400100253203604,0.5166678033144649,0.6666666666666667,0.0003408781019907281,5.0,14668.0,1572.0,0.0,0.0,0.0,0.2,0.4,0.25,0.6,0.2985714285714286,1.0,0.0,0.1126450286385666,1534.0,,,,0.0
7,0.40012228687472573,0.3909177301113223,0.6660353535353536,0.0008138903960933261,12.0,14744.0,1572.0,0.0,0.45454545454545453,0.45454545454545453,0.5,0.5454545454545454,0.5590909090909091,0.8181818181818182,0.5772727272727273,1.0,0.0031806615776081423,0.11276377491207502,1539.0,,,,0.0
8,0.40013513984954674,0.39510693833028165,0.8730158730158729,0.0004770017035775128,7.0,14675.0,1572.0,0.0,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.0,0.5714285714285714,1.0,0.5714285714285714,1.0,0.001272264631043257,0.1130093927963908,1528.0,,,,0.0
9,0.4001461566851076,0.6043384643577057,0.8555555555555555,0.0004121445253468883,6.0,14558.0,1572.0,0.0,0.8333333333333334,0.8333333333333334,0.8888888888888888,1.0,0.8888888888888888,1.0,0.8888888888888888,1.0,0.0031806615776081423,0.11175081192795985,1514.0,,,,0.0
10,0.40017553491326996,0.3866766671212328,0.7916666666666666,0.0010897697861326796,16.0,14682.0,1572.0,0.0,0.5,0.5,0.5833333333333334,0.6666666666666666,0.6166666666666667,0.8333333333333334,0.6409722222222223,1.0,0.003816793893129771,0.11267294671769208,1531.0,2.826530612244898,0.06457229267568065,0.0009707814417956046,0.0
11,0.4001902240273511,0.6531542295350583,0.7777777777777778,0.0005458887751620607,8.0,14655.0,1572.0,0.0,0.5,0.5,0.6666666666666666,0.875,0.6666666666666666,0.875,0.6805555555555556,1.0,0.002544529262086514,0.11216814159292035,1521.0,,,,0.0
12,0.40021409383773304,0.42150679418337406,0.788888888888889,0.0008941467776325745,13.0,14539.0,1572.0,0.0,0.6,0.6,0.7,0.8,0.7,0.8,0.730952380952381,1.0,0.003816793893129771,0.11370370370370371,1535.0,,,,0.0
13,0.4002306190910743,0.3442943045413529,0.7881944444444444,0.0006138316737143637,9.0,14662.0,1572.0,0.0,0.5,0.5,0.5833333333333333,0.75,0.5833333333333333,0.75,0.6136904761904762,1.0,0.002544529262086514,0.11352069041823412,1539.0,,,,0.0
14,0.4002489804836758,0.5053104519964867,0.7098765432098766,0.0006751738572682466,10.0,14811.0,1572.0,0.0,0.4,0.4,0.55,0.7,0.575,0.8,0.6041666666666667,1.0,0.002544529262086514,0.11202225801727925,1530.0,,,,0.0
15,0.40027101415479754,0.4296713471019926,0.7079365079365079,0.0008172716747258734,12.0,14683.0,1572.0,0.0,0.6,0.6,0.6666666666666666,0.8,0.6666666666666666,0.8,0.6976190476190476,1.0,0.003816793893129771,0.11306772323721476,1541.0,,,,0.0
16,0.4002930478259193,0.4008337273975996,0.8327020202020203,0.000809989875126561,12.0,14815.0,1572.0,0.0,0.5454545454545454,0.5454545454545454,0.6515151515151515,0.8181818181818182,0.6515151515151515,0.8181818181818182,0.6746031746031745,1.0,0.003816793893129771,0.1117249400305299,1537.0,,,,0.0
17,0.40031140921852076,0.42567447578717305,0.7665895061728395,0.000682547266398198,10.0,14651.0,1572.0,0.0,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.6666666666666666,0.6333333333333333,0.7777777777777778,0.665079365079365,1.0,0.0031806615776081423,0.11262121657361152,1533.0,,,,0.0
18,0.4003334428896425,0.4781898170138653,0.675,0.0008136144823377856,12.0,14749.0,1572.0,0.0,0.45454545454545453,0.45454545454545453,0.5151515151515151,0.6363636363636364,0.5151515151515151,0.6363636363636364,0.5698051948051949,1.0,0.0031806615776081423,0.11204111600587371,1526.0,,,,0.0
19,0.40037016567484546,0.33739959155888355,0.6784336419753086,0.0013596193065941536,20.0,14710.0,1572.0,0.0,0.4444444444444444,0.4444444444444444,0.5462962962962963,0.7222222222222222,0.5574074074074074,0.7777777777777778,0.582010582010582,1.0,0.005089058524173028,0.11263776634827333,1533.0,,,,0.0
