round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40001211851911694,0.899312112220124,0.6746031746031746,0.0004718570947084597,7.0,14835.0,1572.0,0.0,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.5,0.5714285714285714,0.5634920634920635,1.0,0.0019083969465648854,0.12086343769512087,1355.0,2.6435643564356437,0.06462925268987842,0.0009803480241656615,0.0
1,0.40003231605097855,0.9531227770664391,0.8259548611111112,0.0007478923035082948,11.0,14708.0,1572.0,0.0,0.625,0.625,0.7291666666666666,0.875,0.7291666666666666,0.875,0.7470238095238095,1.0,0.0031806615776081423,0.12114971346704871,1353.0,,,,0.0
2,0.4000488413043199,0.9463734567901234,0.9074074074074073,0.000612369871402327,9.0,14697.0,1572.0,0.0,0.4444444444444444,0.4444444444444444,0.6666666666666666,0.8888888888888888,0.6944444444444444,1.0,0.6944444444444444,1.0,0.002544529262086514,0.12371134020618557,1368.0,,,,0.0
3,0.40005802200062063,0.9344699777613047,0.7222222222222223,0.00033683643222850985,5.0,14844.0,1572.0,0.0,0.4,0.4,0.5,0.6,0.55,0.8,0.5833333333333333,1.0,0.001272264631043257,0.12023276633840645,1343.0,,,,0.0
4,0.40006720269692136,0.9141864543982731,0.6944444444444444,0.00033717715287612113,5.0,14829.0,1572.0,0.0,0.4,0.4,0.5666666666666667,0.8,0.6066666666666667,1.0,0.6066666666666667,1.0,0.001272264631043257,0.12205816554809844,1364.0,,,,0.0
5,0.40008372795026265,0.9465403073932325,0.5972222222222222,0.0006147121098285637,9.0,14641.0,1572.0,0.0,0.4444444444444444,0.4444444444444444,0.48148148148148145,0.5555555555555556,0.5314814814814814,0.7777777777777778,0.5549382716049381,1.0,0.002544529262086514,0.12180410514944184,1353.0,,,,0.0
6,0.4000947447858235,0.9921622789069249,0.9166666666666666,0.00040905372238887375,6.0,14668.0,1572.0,0.0,0.5,0.5,0.7222222222222222,1.0,0.7222222222222222,1.0,0.7222222222222222,1.0,0.0019083969465648854,0.12289592760180995,1358.0,,,,0.0
7,0.400113106178425,0.9574148228586942,0.861111111111111,0.0006782419967444384,10.0,14744.0,1572.0,0.0,0.4,0.4,0.5833333333333333,0.8,0.6083333333333333,0.9,0.625,1.0,0.002544529262086514,0.12251655629139073,1369.0,,,,0.0
8,0.40012779529250614,0.9682216389419144,0.8888888888888888,0.0005451076587626056,8.0,14676.0,1572.0,0.0,0.75,0.75,0.8125,0.875,0.8125,0.875,0.828125,1.0,0.003816793893129771,0.12338308457711443,1364.0,,,,0.0
9,0.40014248440658734,0.9163359106529209,0.6825396825396826,0.000549526033795851,8.0,14558.0,1572.0,0.0,0.625,0.625,0.6666666666666666,0.75,0.6979166666666666,0.875,0.7157738095238095,1.0,0.0031806615776081423,0.12450199203187251,1375.0,,,,0.0
10,0.4001663542169692,0.8836793447196337,0.671875,0.000885437951232802,13.0,14682.0,1572.0,0.0,0.25,0.25,0.4166666666666666,0.6666666666666666,0.4333333333333333,0.75,0.46838624338624335,1.0,0.0019083969465648854,0.1210888044854404,1339.0,2.923076923076923,0.06457479675730993,0.0009803480241656615,0.0
11,0.40018287947031056,0.8648192405447441,0.7037037037037037,0.0006141667804012556,9.0,14654.0,1572.0,0.0,0.1111111111111111,0.1111111111111111,0.38888888888888884,0.7777777777777778,0.38888888888888884,0.7777777777777778,0.41666666666666663,1.0,0.0006361323155216285,0.12458926615553122,1365.0,,,,0.0
