round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40002017623502684,0.6224884405212274,0.6555555555555556,0.0020973154362416107,5.0,2384.0,247.0,0.0,0.4,0.4,0.5,0.6,0.5,0.6,0.5444444444444445,1.0,0.008097165991902834,0.10973936899862825,240.0,2.50354609929078,0.18845539696520783,0.004958755139064236,0.0
1,0.4000596514774706,0.666572344840596,0.6646825396825398,0.0038054968287526427,9.0,2365.0,247.0,0.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.5714285714285714,0.3976190476190476,0.8571428571428571,0.4119047619047619,1.0,0.004048582995951417,0.11184834123222749,236.0,,,,0.0
2,0.40008158216771716,0.7393586005830903,0.888888888888889,0.0020781379883624274,5.0,2406.0,247.0,0.0,0.4,0.4,0.6333333333333333,1.0,0.6333333333333333,1.0,0.6333333333333333,1.0,0.008097165991902834,0.11050228310502283,242.0,,,,0.0
3,0.4001035128579637,0.7116695059625213,0.6444444444444445,0.0021249468763280916,5.0,2353.0,247.0,0.0,0.2,0.2,0.3,0.4,0.3,0.4,0.3622222222222222,1.0,0.004048582995951417,0.11275680840898232,236.0,,,,0.0
4,0.40011667127211165,0.4958386232190718,0.888888888888889,0.001267962806424345,3.0,2366.0,247.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7333333333333334,1.0,0.7333333333333334,1.0,0.008097165991902834,0.11225444340505145,240.0,,,,0.0
5,0.4001386019623582,0.5314635175031632,0.5138888888888888,0.0021043771043771043,5.0,2376.0,247.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5666666666666667,1.0,0.008097165991902834,0.11136999068033551,239.0,,,,0.0
6,0.40018684948090055,0.5761440940012369,0.5287698412698413,0.004655099449851883,11.0,2363.0,247.0,0.0,0.2857142857142857,0.2857142857142857,0.4047619047619047,0.5714285714285714,0.4047619047619047,0.5714285714285714,0.46343537414965985,1.0,0.008097165991902834,0.1111111111111111,241.0,,,,0.0
7,0.4002087801711471,0.16333052985702273,0.75,0.00209819555182543,5.0,2383.0,247.0,0.0,0.5,0.5,0.625,0.75,0.625,0.75,0.6527777777777778,1.0,0.008097165991902834,0.11028385295486273,237.0,,,,0.0
8,0.40023071086139367,0.3538687973086627,0.5543981481481481,0.00209819555182543,5.0,2383.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555,1.0,0.004048582995951417,0.11126500461680518,241.0,,,,0.0
9,0.4002526415516402,0.2120924473792819,0.5000000000000001,0.002059308072487644,5.0,2428.0,247.0,0.0,0.0,0.0,0.1,0.2,0.15,0.4,0.2319047619047619,1.0,0.0,0.10953902327704244,240.0,,,,0.0
