round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40002456237307615,0.12054948135688252,0.5925925925925926,0.0025167785234899327,6.0,2384.0,247.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.19166666666666665,0.6666666666666666,0.2472222222222222,1.0,0.0,0.1206620395088094,226.0,2.3956834532374103,0.18847491139399392,0.004958755139064236,0.0
1,0.4000464930633227,0.11847457627118649,0.671875,0.0021141649048625794,5.0,2365.0,247.0,0.0,0.0,0.0,0.29166666666666663,0.75,0.29166666666666663,0.75,0.32738095238095233,1.0,0.0,0.12351029252437704,228.0,,,,0.0
2,0.40009035444381574,0.12652337228714525,0.55,0.004156275976724855,10.0,2406.0,247.0,0.0,0.2,0.2,0.2,0.2,0.28500000000000003,0.6,0.34194444444444444,1.0,0.008097165991902834,0.12160751565762004,233.0,,,,0.0
3,0.400107898996013,0.35578969774372077,0.41666666666666674,0.0016999575010624734,4.0,2353.0,247.0,0.0,0.0,0.0,0.08333333333333333,0.25,0.08333333333333333,0.25,0.1884920634920635,1.0,0.0,0.12356478950246036,226.0,,,,0.0
4,0.4001210574101609,0.055861193398222556,0.8148148148148149,0.001267962806424345,3.0,2366.0,247.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5666666666666667,1.0,0.5666666666666667,1.0,0.004048582995951417,0.12071692145492884,229.0,,,,0.0
5,0.4001561465145554,0.23397909628378377,0.48809523809523814,0.003367003367003367,8.0,2376.0,247.0,0.0,0.0,0.0,0.19047619047619047,0.42857142857142855,0.21904761904761902,0.5714285714285714,0.273015873015873,1.0,0.0,0.12311015118790497,228.0,,,,0.0
6,0.40018684948090055,0.17860174630123693,0.8032407407407408,0.0029623360135421074,7.0,2363.0,247.0,0.0,0.16666666666666666,0.16666666666666666,0.47222222222222215,0.8333333333333334,0.47222222222222215,0.8333333333333334,0.49603174603174605,1.0,0.004048582995951417,0.1220173535791757,225.0,,,,0.0
7,0.4002087801711471,0.14840201850294366,0.5888888888888889,0.00209819555182543,5.0,2383.0,247.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.19666666666666663,0.8,0.22999999999999998,1.0,0.0,0.11801896733403583,224.0,,,,0.0
8,0.4002482554135909,0.050009360666479444,0.7494331065759636,0.0037767519932857744,9.0,2383.0,247.0,0.0,0.14285714285714285,0.14285714285714285,0.4047619047619047,0.7142857142857143,0.46190476190476193,1.0,0.46190476190476193,1.0,0.004048582995951417,0.125,234.0,,,,0.0
9,0.4002701861038374,0.0928188196450681,0.4,0.002059308072487644,5.0,2428.0,247.0,0.0,0.0,0.0,0.0,0.0,0.13,0.6,0.175,1.0,0.0,0.1206620395088094,226.0,,,,0.0
10,0.400292116794084,0.11494542401343409,0.3628472222222222,0.0020946795140343527,5.0,2387.0,247.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,0.3419642857142857,1.0,0.004048582995951417,0.12197686645636173,232.0,2.3115942028985508,0.1883624683714151,0.00572886885430629,0.0
11,0.40033159203652774,0.19121939736346516,0.6697048611111112,0.003799071338117349,9.0,2369.0,247.0,0.0,0.25,0.25,0.25,0.25,0.4,0.875,0.415625,1.0,0.008097165991902834,0.12068048910154174,227.0,,,,0.0
12,0.400349136588725,0.2587011884550085,0.7222222222222222,0.001694915254237288,4.0,2360.0,247.0,0.0,0.5,0.5,0.5,0.5,0.55,0.75,0.5857142857142857,1.0,0.008097165991902834,0.12681354110693177,236.0,,,,0.0
13,0.4003842256931195,0.11526076858108109,0.6041666666666667,0.003367003367003367,8.0,2376.0,247.0,0.0,0.0,0.0,0.125,0.375,0.21874999999999997,0.75,0.25049603174603174,1.0,0.0,0.12371690977849811,229.0,,,,0.0
14,0.4003973841072674,0.14146068984778662,0.48148148148148157,0.0012552301255230125,3.0,2390.0,247.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.6666666666666666,0.18095238095238098,1.0,0.0,0.11925133689839572,223.0,,,,0.0
15,0.4004193147975139,0.11989945538332636,0.18923611111111113,0.0020903010033444815,5.0,2392.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.14930555555555555,1.0,0.0,0.12158543117300483,227.0,,,,0.0
