round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4008718378998737,0.5164901393619188,0.5187179979518689,0.013525564803804993,91.0,6728.0,711.0,0.0,0.16129032258064516,0.16129032258064516,0.271505376344086,0.41935483870967744,0.31021505376344083,0.5967741935483871,0.36581541218638,1.0,0.014064697609001406,0.1691444600280505,603.0,2.1171875,0.057849088499369886,0.010738407886370484,0.0
1,0.4017591065590371,0.5566984453784267,0.5544532627865961,0.013684367098021717,92.0,6723.0,711.0,0.0,0.2222222222222222,0.2222222222222222,0.32407407407407407,0.4583333333333333,0.3525462962962963,0.5833333333333334,0.40598544973544975,1.0,0.02250351617440225,0.17248400232693425,593.0,,,,0.0
2,0.4026174425445322,0.5558271262046038,0.5499433106575964,0.013157894736842105,89.0,6764.0,711.0,0.0,0.22535211267605634,0.22535211267605634,0.352112676056338,0.5211267605633803,0.37676056338028163,0.6338028169014085,0.4242287055667337,1.0,0.02250351617440225,0.17232375979112272,594.0,,,,0.0
3,0.40338898050902217,0.5758358804234383,0.5639329805996471,0.011787240312361868,80.0,6787.0,711.0,0.0,0.1746031746031746,0.1746031746031746,0.3518518518518518,0.5714285714285714,0.3883597883597883,0.7301587301587301,0.42135928445452253,1.0,0.015471167369901548,0.17438452520515826,595.0,,,,0.0
4,0.40419909537173665,0.5800724483197248,0.5521321491559587,0.012380250552689757,84.0,6785.0,711.0,0.0,0.12698412698412698,0.12698412698412698,0.25661375661375657,0.4603174603174603,0.2947089947089947,0.6349206349206349,0.34603804484756867,1.0,0.011251758087201125,0.17545427464998511,589.0,,,,0.0
5,0.4050863640309001,0.6557565554733823,0.47165955934612647,0.013541360023550192,92.0,6794.0,711.0,0.0,0.1044776119402985,0.1044776119402985,0.208955223880597,0.3582089552238806,0.23656716417910448,0.47761194029850745,0.3021321961620469,1.0,0.009845288326300985,0.17666174298375184,598.0,,,,0.0
6,0.4057903924234972,0.6790896539347107,0.5515274356869184,0.010751104565537555,73.0,6790.0,711.0,0.0,0.1724137931034483,0.1724137931034483,0.33620689655172414,0.5344827586206896,0.36724137931034484,0.6724137931034483,0.40887383689107826,1.0,0.014064697609001406,0.17075989598381972,591.0,,,,0.0
7,0.4064269112442014,0.5620189138193639,0.5384734623015873,0.00980537810132224,66.0,6731.0,711.0,0.0,0.20833333333333334,0.20833333333333334,0.3229166666666667,0.5,0.3666666666666667,0.6875,0.40540674603174603,1.0,0.014064697609001406,0.17267888823181549,584.0,,,,0.0
8,0.4070055647175689,0.5153853868913294,0.4602229780801209,0.008945877441479051,60.0,6707.0,711.0,0.0,0.14285714285714285,0.14285714285714285,0.2103174603174603,0.30952380952380953,0.276984126984127,0.6190476190476191,0.3261526832955404,1.0,0.008438818565400843,0.17302650742790562,594.0,,,,0.0
9,0.40770959311016597,0.49213472361767996,0.5296910430839002,0.010765373838666863,73.0,6781.0,711.0,0.0,0.14,0.14,0.2733333333333333,0.46,0.30233333333333334,0.6,0.3528333333333334,1.0,0.009845288326300985,0.17670915411355737,610.0,,,,0.0
10,0.4084618426255437,0.6581553232587206,0.5159687412976887,0.01139018691588785,78.0,6848.0,711.0,0.0,0.19298245614035087,0.19298245614035087,0.30994152046783624,0.47368421052631576,0.3564327485380117,0.6842105263157895,0.39421470342522974,1.0,0.015471167369901548,0.16818440523619807,591.0,2.2214285714285715,0.054573472247410194,0.013744199906240526,0.0
11,0.40895369807790605,0.556073473199924,0.46230158730158727,0.00744199620604115,51.0,6853.0,711.0,0.0,0.16666666666666666,0.16666666666666666,0.2420634920634921,0.3333333333333333,0.2837301587301588,0.5238095238095238,0.3428476946334089,1.0,0.009845288326300985,0.17255594817432274,586.0,,,,0.0
12,0.40969630336872764,0.46807561009141446,0.6047979797979799,0.011350235849056603,77.0,6784.0,711.0,0.0,0.12727272727272726,0.12727272727272726,0.2909090909090909,0.4909090909090909,0.33818181818181814,0.6909090909090909,0.3775468975468975,1.0,0.009845288326300985,0.17798384684415197,595.0,,,,0.0
13,0.41037139908765635,0.518642001710864,0.580312049062049,0.01037037037037037,70.0,6750.0,711.0,0.0,0.2727272727272727,0.2727272727272727,0.36666666666666664,0.4909090909090909,0.38575757575757574,0.5818181818181818,0.4418470418470418,1.0,0.02109704641350211,0.1789722386296515,606.0,,,,0.0
14,0.41095969678558,0.4700044306601683,0.4574121315192744,0.009076030352626097,61.0,6721.0,711.0,0.0,0.12244897959183673,0.12244897959183673,0.25170068027210885,0.40816326530612246,0.27210884353741494,0.5102040816326531,0.337082928409459,1.0,0.008438818565400843,0.16902629297890784,585.0,,,,0.0
15,0.41175052319918215,0.5013961576862732,0.545171485260771,0.012146348689083099,82.0,6751.0,711.0,0.0,0.2631578947368421,0.2631578947368421,0.35964912280701755,0.5087719298245614,0.4,0.6842105263157895,0.44290587580061264,1.0,0.02109704641350211,0.1765056648777579,592.0,,,,0.0
16,0.4123388208971058,0.5408253876363566,0.5536241979061127,0.009045077105575327,61.0,6744.0,711.0,0.0,0.25,0.25,0.37847222222222215,0.5416666666666666,0.41076388888888893,0.6875,0.45119874338624344,1.0,0.016877637130801686,0.17586416009702852,580.0,,,,0.0
17,0.4129464070441416,0.5556551026164286,0.5319832643202208,0.009319526627218935,63.0,6760.0,711.0,0.0,0.15217391304347827,0.15217391304347827,0.26811594202898553,0.41304347826086957,0.3289855072463768,0.6739130434782609,0.3722222222222222,1.0,0.009845288326300985,0.1794795978710822,607.0,,,,0.0
18,0.4134961278438407,0.489410591745013,0.5296350129198967,0.008365130613442911,57.0,6814.0,711.0,0.0,0.23255813953488372,0.23255813953488372,0.32170542635658916,0.46511627906976744,0.3612403100775194,0.627906976744186,0.4096991509782207,1.0,0.014064697609001406,0.1702804278693264,589.0,,,,0.0
