round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4029489763445423,0.677667458562861,0.5943004979769686,0.02865388579674294,139.0,4851.0,515.0,0.0,0.30097087378640774,0.30097087378640774,0.4142394822006472,0.5728155339805825,0.44288025889967636,0.6990291262135923,0.48334103868084444,1.0,0.06019417475728155,0.189792663476874,357.0,1.9341317365269461,0.13051464903662602,0.011508756601313654,0.0
1,0.4051978360029702,0.6934318881032607,0.5031343455256498,0.0212,106.0,5000.0,515.0,0.0,0.24285714285714285,0.24285714285714285,0.3119047619047619,0.4,0.364047619047619,0.6285714285714286,0.4132312925170068,1.0,0.03300970873786408,0.19294494922501337,361.0,,,,0.0
2,0.4071921077755383,0.6779311577256723,0.5575877825877825,0.019121236777868186,94.0,4916.0,515.0,0.0,0.19117647058823528,0.19117647058823528,0.2965686274509804,0.4264705882352941,0.35465686274509806,0.6911764705882353,0.39490546218487393,1.0,0.02524271844660194,0.19460916442048518,361.0,,,,0.0
3,0.4093773204625013,0.7011891850714373,0.5405753968253968,0.020824909017387788,103.0,4946.0,515.0,0.0,0.2345679012345679,0.2345679012345679,0.32304526748971185,0.4444444444444444,0.3545267489711934,0.5925925925925926,0.4087791495198903,1.0,0.036893203883495145,0.1887966804979253,364.0,,,,0.0
4,0.41122308263498464,0.7193920543846692,0.47254389129389124,0.017600647380133522,87.0,4943.0,515.0,0.0,0.09090909090909091,0.09090909090909091,0.19949494949494948,0.3484848484848485,0.26085858585858585,0.6212121212121212,0.3073051948051948,1.0,0.011650485436893204,0.1878481012658228,371.0,,,,0.0
5,0.41317492309324283,0.6850218196126124,0.5067058468957203,0.018570851836899476,92.0,4954.0,515.0,0.0,0.16455696202531644,0.16455696202531644,0.270042194092827,0.4177215189873418,0.30168776371308015,0.5569620253164557,0.356093027928471,1.0,0.02524271844660194,0.19274028629856851,377.0,,,,0.0
6,0.41497825395141613,0.6970576279292204,0.5762546685340802,0.016983016983016984,85.0,5005.0,515.0,0.0,0.27941176470588236,0.27941176470588236,0.37009803921568624,0.5,0.40465686274509804,0.6470588235294118,0.44871031746031753,1.0,0.036893203883495145,0.19533369506239825,360.0,,,,0.0
7,0.4166542908666596,0.692342745861733,0.5318545386904762,0.015946709729511507,79.0,4954.0,515.0,0.0,0.26153846153846155,0.26153846153846155,0.37948717948717947,0.5538461538461539,0.40410256410256407,0.6615384615384615,0.4474847374847375,1.0,0.03300970873786408,0.19503171247357293,369.0,,,,0.0
8,0.41828789646759307,0.6824999009129222,0.5555240614764424,0.015424679487179488,77.0,4992.0,515.0,0.0,0.14285714285714285,0.14285714285714285,0.27248677248677244,0.4603174603174603,0.32010582010582006,0.6666666666666666,0.36369992441421006,1.0,0.017475728155339806,0.192,360.0,,,,0.0
9,0.41973056115413176,0.660583919730517,0.49729938271604945,0.013668341708542713,68.0,4975.0,515.0,0.0,0.17857142857142858,0.17857142857142858,0.26785714285714285,0.39285714285714285,0.30178571428571427,0.5535714285714286,0.36405895691609974,1.0,0.019417475728155338,0.19154488517745302,367.0,,,,0.0
10,0.4213217354407553,0.7475761250336836,0.5236473727422004,0.014931315946645431,75.0,5023.0,515.0,0.0,0.1896551724137931,0.1896551724137931,0.278735632183908,0.39655172413793105,0.3270114942528735,0.603448275862069,0.37995347564313076,1.0,0.021359223300970873,0.19085173501577288,363.0,1.9865771812080537,0.11134184672084617,0.011631631994366266,0.0
11,0.4229129097273788,0.6939467048320045,0.5842047930283224,0.015102698348771646,75.0,4966.0,515.0,0.0,0.2549019607843137,0.2549019607843137,0.3790849673202614,0.5490196078431373,0.39183006535947706,0.6078431372549019,0.44488795518207286,1.0,0.02524271844660194,0.18321392016376664,358.0,,,,0.0
12,0.42463137795693223,0.69261734963256,0.4952520576131687,0.016304347826086956,81.0,4968.0,515.0,0.0,0.2,0.2,0.2818181818181818,0.4,0.32272727272727264,0.5818181818181818,0.3787445887445888,1.0,0.021359223300970873,0.2007454739084132,377.0,,,,0.0
13,0.425904317386231,0.6946175304160784,0.5414186507936508,0.011954572624028692,60.0,5019.0,515.0,0.0,0.20833333333333334,0.20833333333333334,0.29513888888888884,0.4375,0.3222222222222222,0.5625,0.38050595238095236,1.0,0.019417475728155338,0.18824136152656007,365.0,,,,0.0
14,0.4273469820727697,0.7152349481670583,0.5551984126984126,0.013602720544108821,68.0,4999.0,515.0,0.0,0.2,0.2,0.31666666666666665,0.48,0.3526666666666667,0.64,0.3985476190476191,1.0,0.019417475728155338,0.184891706286318,350.0,,,,0.0
15,0.4285138432162936,0.7045307264626827,0.5928226363008973,0.011015421590226317,55.0,4993.0,515.0,0.0,0.2391304347826087,0.2391304347826087,0.3731884057971014,0.5434782608695652,0.40579710144927533,0.6956521739130435,0.4417529330572809,1.0,0.021359223300970873,0.18386589837611314,351.0,,,,0.0
