round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4017756799280737,0.9285769914159128,0.7311728395061728,0.011676701331873745,64.0,5481.0,588.0,0.0,0.4782608695652174,0.4782608695652174,0.5652173913043478,0.6739130434782609,0.6076086956521739,0.8695652173913043,0.6251380262249827,1.0,0.03741496598639456,0.18059558117195004,376.0,1.9166666666666667,0.11075906677704483,0.01739485798701067,0.0
1,0.40424814565070805,0.8916561200506238,0.6459293394777267,0.015661149670759923,88.0,5619.0,588.0,0.0,0.2903225806451613,0.2903225806451613,0.4139784946236559,0.5645161290322581,0.46317204301075265,0.7741935483870968,0.49512288786482334,1.0,0.030612244897959183,0.17102803738317757,366.0,,,,0.0
2,0.4070577657900652,0.9162968011632133,0.6233898046398046,0.01785076758300607,100.0,5602.0,588.0,0.0,0.3384615384615385,0.3384615384615385,0.4333333333333333,0.5384615384615384,0.4848717948717949,0.7692307692307693,0.5161843711843711,1.0,0.03741496598639456,0.1773049645390071,375.0,,,,0.0
3,0.4100078669363902,0.9024822695035462,0.675687358276644,0.018580782162449124,105.0,5651.0,588.0,0.0,0.3142857142857143,0.3142857142857143,0.45,0.6428571428571429,0.4914285714285715,0.8285714285714286,0.5160430839002268,1.0,0.03741496598639456,0.1714422158548233,359.0,,,,0.0
4,0.41264890986738595,0.8970429464884748,0.6754960317460318,0.01674982181040627,94.0,5612.0,588.0,0.0,0.3230769230769231,0.3230769230769231,0.48717948717948717,0.6923076923076923,0.5156410256410257,0.8153846153846154,0.5404212454212455,1.0,0.03571428571428571,0.17310376919497442,372.0,,,,0.0
5,0.4154304338053495,0.8724876408136802,0.6205435924369748,0.017732401934443847,99.0,5583.0,588.0,0.0,0.2463768115942029,0.2463768115942029,0.391304347826087,0.5797101449275363,0.4231884057971015,0.7246376811594203,0.46192776627559234,1.0,0.02891156462585034,0.17325800376647835,368.0,,,,0.0
6,0.41793099572937736,0.8935938130154862,0.7103152201740912,0.01628247347237468,89.0,5466.0,588.0,0.0,0.3064516129032258,0.3064516129032258,0.4569892473118279,0.6774193548387096,0.5013440860215053,0.8709677419354839,0.5162122375832052,1.0,0.03231292517006803,0.1955334987593052,394.0,,,,0.0
7,0.42003821083389525,0.8985252783354627,0.5956405360886492,0.013503781058696434,75.0,5554.0,588.0,0.0,0.32075471698113206,0.32075471698113206,0.44968553459119504,0.6226415094339622,0.46761006289308177,0.6981132075471698,0.5061470500149746,1.0,0.02891156462585034,0.1791405118300338,371.0,,,,0.0
8,0.4217520791189031,0.8684350955017157,0.6516865079365078,0.010971223021582734,61.0,5560.0,588.0,0.0,0.28,0.28,0.41999999999999993,0.6,0.46199999999999997,0.78,0.4906825396825396,1.0,0.023809523809523808,0.17413874469089194,369.0,,,,0.0
9,0.42357833220948526,0.9037513171759746,0.6169394841269841,0.011732851985559567,65.0,5540.0,588.0,0.0,0.22727272727272727,0.22727272727272727,0.37878787878787873,0.5454545454545454,0.40719696969696967,0.6818181818181818,0.45450036075036077,1.0,0.017006802721088437,0.17114093959731544,357.0,,,,0.0
10,0.426022701730726,0.8641590206358808,0.5864192908346134,0.015650296815974095,87.0,5559.0,588.0,0.0,0.3064516129032258,0.3064516129032258,0.3897849462365591,0.5,0.4309139784946237,0.6774193548387096,0.47063492063492063,1.0,0.03231292517006803,0.1709722874589009,364.0,1.9691358024691359,0.09562253471384782,0.01044877967761762,0.0
11,0.4280737244324567,0.8757778720653009,0.6146964633806739,0.01327997089321448,73.0,5497.0,588.0,0.0,0.2982456140350877,0.2982456140350877,0.38596491228070173,0.5087719298245614,0.4307017543859649,0.7017543859649122,0.46931216931216935,1.0,0.02891156462585034,0.1839080459770115,384.0,,,,0.0
12,0.43034951674533606,0.8723165373363604,0.5931427887246853,0.014605120807789397,81.0,5546.0,588.0,0.0,0.2413793103448276,0.2413793103448276,0.3706896551724138,0.5344827586206896,0.4112068965517241,0.7068965517241379,0.4482416529830323,1.0,0.023809523809523808,0.17853705486044275,371.0,,,,0.0
13,0.4327938862665768,0.8766881855875716,0.6530577601410934,0.01564185544768069,87.0,5562.0,588.0,0.0,0.3333333333333333,0.3333333333333333,0.4876543209876543,0.7222222222222222,0.5117283950617283,0.8333333333333334,0.5329952968841858,1.0,0.030612244897959183,0.17675544794188863,365.0,,,,0.0
14,0.4347325241627332,0.8823087545314607,0.6300154320987654,0.01241453760345448,69.0,5558.0,588.0,0.0,0.2962962962962963,0.2962962962962963,0.42592592592592593,0.6111111111111112,0.4527777777777777,0.7222222222222222,0.48670634920634925,1.0,0.027210884353741496,0.1776061776061776,368.0,,,,0.0
15,0.43650258485052823,0.9064280534548844,0.6738855116514691,0.011292346298619825,63.0,5579.0,588.0,0.0,0.3191489361702128,0.3191489361702128,0.43262411347517726,0.5957446808510638,0.4719858156028368,0.7659574468085106,0.5021614319486659,1.0,0.025510204081632654,0.17803580067731012,368.0,,,,0.0
16,0.4383007417397168,0.8560310838070787,0.6158665458937198,0.011600507522204097,64.0,5517.0,588.0,0.0,0.21739130434782608,0.21739130434782608,0.40217391304347827,0.6304347826086957,0.42608695652173917,0.7391304347826086,0.46285369220151834,1.0,0.017006802721088437,0.17988394584139264,372.0,,,,0.0
17,0.4405765340525961,0.8918604127241597,0.692308985741189,0.014565725588922855,81.0,5561.0,588.0,0.0,0.2711864406779661,0.2711864406779661,0.43502824858757055,0.6440677966101694,0.45367231638418076,0.7288135593220338,0.4932539682539683,1.0,0.027210884353741496,0.18071705426356588,373.0,,,,0.0
18,0.44245897954596536,0.9018560936442853,0.5977037037037037,0.012050359712230216,67.0,5560.0,588.0,0.0,0.28888888888888886,0.28888888888888886,0.39259259259259255,0.5555555555555556,0.4425925925925925,0.7777777777777778,0.47119929453262777,1.0,0.022108843537414966,0.17587209302325582,363.0,,,,0.0
19,0.44456619465048325,0.8759552621928859,0.6393551587301587,0.013564839934888768,75.0,5529.0,588.0,0.0,0.42,0.42,0.5266666666666666,0.66,0.5566666666666666,0.78,0.5832936507936508,1.0,0.03571428571428571,0.17509727626459143,360.0,,,,0.0
20,0.4463924477410654,0.9032064100233523,0.6378391472868217,0.01167804527488322,65.0,5566.0,588.0,0.0,0.3488372093023256,0.3488372093023256,0.4457364341085271,0.5581395348837209,0.4782945736434108,0.6976744186046512,0.5191029900332226,1.0,0.025510204081632654,0.1786743515850144,372.0,1.945945945945946,0.08472243355564807,0.013933768134170445,0.0
21,0.44821870083164755,0.9238762700892229,0.5914313399778517,0.011751943590670765,65.0,5531.0,588.0,0.0,0.32558139534883723,0.32558139534883723,0.4069767441860465,0.5116279069767442,0.44651162790697674,0.6976744186046512,0.4844961240310078,1.0,0.023809523809523808,0.1845,369.0,,,,0.0
22,0.44998876151944256,0.8772586326543161,0.5913111772486773,0.011487964989059081,63.0,5484.0,588.0,0.0,0.2708333333333333,0.2708333333333333,0.36111111111111116,0.4791666666666667,0.40381944444444445,0.6666666666666666,0.4473544973544974,1.0,0.022108843537414966,0.1872191712431353,375.0,,,,0.0
23,0.45139357158912113,0.9377719457013574,0.6186910962301588,0.008968609865470852,50.0,5575.0,588.0,0.0,0.2727272727272727,0.2727272727272727,0.38888888888888884,0.5151515151515151,0.4297979797979798,0.696969696969697,0.4713323713323713,1.0,0.015306122448979591,0.17776689520078354,363.0,,,,0.0
24,0.452910766464374,0.883832580766543,0.5858007733007733,0.009701760689902982,54.0,5566.0,588.0,0.0,0.28205128205128205,0.28205128205128205,0.36324786324786323,0.48717948717948717,0.4042735042735042,0.6666666666666666,0.4449023199023199,1.0,0.01870748299319728,0.17803580067731012,368.0,,,,0.0
25,0.4543155765340526,0.8865931283905967,0.6258327497665734,0.008960573476702509,50.0,5580.0,588.0,0.0,0.2647058823529412,0.2647058823529412,0.40196078431372545,0.5882352941176471,0.44313725490196076,0.7647058823529411,0.4724206349206349,1.0,0.015306122448979591,0.18334985133795836,370.0,,,,0.0
26,0.45642279163857047,0.8939425556155184,0.5561445932539683,0.013312034078807242,75.0,5634.0,588.0,0.0,0.2916666666666667,0.2916666666666667,0.3993055555555556,0.5416666666666666,0.43159722222222224,0.6875,0.4696676587301587,1.0,0.023809523809523808,0.17720907774022213,367.0,,,,0.0
27,0.45816475612497193,0.8718472686538427,0.6560185185185184,0.01108925058129136,62.0,5591.0,588.0,0.0,0.28888888888888886,0.28888888888888886,0.45185185185185184,0.6666666666666666,0.47740740740740734,0.7777777777777778,0.5074338624338625,1.0,0.022108843537414966,0.17370441458733205,362.0,,,,0.0
28,0.45951337379186336,0.8888113252867351,0.6512445887445888,0.008572959457045901,48.0,5599.0,588.0,0.0,0.30303030303030304,0.30303030303030304,0.4242424242424243,0.6060606060606061,0.43939393939393945,0.6666666666666666,0.4826358826358827,1.0,0.017006802721088437,0.17088305489260144,358.0,,,,0.0
29,0.4610024724657226,0.8955457882403933,0.5525096525096526,0.009422222222222222,53.0,5625.0,588.0,0.0,0.32432432432432434,0.32432432432432434,0.38738738738738737,0.4864864864864865,0.4198198198198198,0.6216216216216216,0.4665379665379665,1.0,0.02040816326530612,0.17836538461538462,371.0,,,,0.0
