round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40166329512249943,0.8706081288815102,0.6150551684088269,0.010946907498631636,60.0,5481.0,588.0,0.0,0.38095238095238093,0.38095238095238093,0.4722222222222222,0.5952380952380952,0.5210317460317461,0.8095238095238095,0.5461829176114891,1.0,0.027210884353741496,0.18311944718657452,371.0,1.9230769230769231,0.11118242459626312,0.017389732336479197,0.0
1,0.40393908743537876,0.883246710680339,0.6197296626984128,0.014417942328230687,81.0,5618.0,588.0,0.0,0.21428571428571427,0.21428571428571427,0.38690476190476186,0.625,0.4270833333333333,0.8035714285714286,0.45267857142857143,1.0,0.02040816326530612,0.17027417027417027,354.0,,,,0.0
2,0.40643964935940663,0.8968352637382122,0.6518361581920904,0.0158871831488754,89.0,5602.0,588.0,0.0,0.3898305084745763,0.3898305084745763,0.480225988700565,0.5932203389830508,0.5268361581920904,0.7966101694915254,0.5536790422383643,1.0,0.0391156462585034,0.17462614568258564,362.0,,,,0.0
3,0.40908069229040234,0.8833080587595545,0.6248397435897436,0.01663716814159292,94.0,5650.0,588.0,0.0,0.3384615384615385,0.3384615384615385,0.43589743589743596,0.5692307692307692,0.48512820512820515,0.7846153846153846,0.5125274725274725,1.0,0.03741496598639456,0.1762977473065622,360.0,,,,0.0
4,0.41141267700606876,0.858043658059152,0.6111819727891156,0.014810849393290507,83.0,5604.0,588.0,0.0,0.26785714285714285,0.26785714285714285,0.41964285714285715,0.6071428571428571,0.4616071428571429,0.7857142857142857,0.4918083900226757,1.0,0.025510204081632654,0.1732766761095373,367.0,,,,0.0
5,0.41360418071476734,0.8823741828466524,0.6195344650205762,0.013975989965955922,78.0,5581.0,588.0,0.0,0.3090909090909091,0.3090909090909091,0.4242424242424242,0.5636363636363636,0.47696969696969693,0.8,0.5024170274170274,1.0,0.02891156462585034,0.16188235294117648,344.0,,,,0.0
6,0.41607664643740166,0.8814477754487982,0.5870254629629629,0.01609952433223564,88.0,5466.0,588.0,0.0,0.25,0.25,0.3583333333333333,0.5,0.4141666666666666,0.7333333333333333,0.44832671957671955,1.0,0.025510204081632654,0.18308457711442785,368.0,,,,0.0
7,0.4180152843335581,0.8797384221820527,0.6075452979934113,0.01242571582928147,69.0,5553.0,588.0,0.0,0.3018867924528302,0.3018867924528302,0.3930817610062893,0.49056603773584906,0.43647798742138366,0.6792452830188679,0.4816711590296496,1.0,0.027210884353741496,0.17784401390958768,358.0,,,,0.0
8,0.4193919982018431,0.8626182632123124,0.5835880523380523,0.008819294456443484,49.0,5556.0,588.0,0.0,0.13513513513513514,0.13513513513513514,0.32432432432432434,0.5945945945945946,0.3608108108108108,0.7567567567567568,0.393972543972544,1.0,0.008503401360544218,0.17091087169441724,349.0,,,,0.0
9,0.4211901550910317,0.871227906923639,0.5347761387163562,0.01155651859877212,64.0,5538.0,588.0,0.0,0.17391304347826086,0.17391304347826086,0.30072463768115937,0.45652173913043476,0.3355072463768116,0.6086956521739131,0.3875776397515529,1.0,0.013605442176870748,0.17961405244928252,363.0,,,,0.0
