round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40253427736570013,0.8280003619436374,0.6112159065504136,0.016378689704823614,91.0,5556.0,588.0,0.0,0.323943661971831,0.323943661971831,0.42018779342723,0.5633802816901409,0.43920187793427223,0.647887323943662,0.4869830091661078,1.0,0.0391156462585034,0.11644444444444445,131.0,1.948051948051948,0.11232371804848626,0.015342578182946268,0.0
1,0.4055124747134187,0.8014187347881259,0.5870354239256679,0.01910598413842826,106.0,5548.0,588.0,0.0,0.24390243902439024,0.24390243902439024,0.3333333333333333,0.43902439024390244,0.3754065040650406,0.6219512195121951,0.4274099883855982,1.0,0.034013605442176874,0.14022140221402213,152.0,,,,0.0
2,0.4079287480332659,0.8714472632882817,0.6673122952884857,0.015392876320028637,86.0,5587.0,588.0,0.0,0.3125,0.3125,0.4348958333333333,0.59375,0.47786458333333337,0.78125,0.5078869047619048,1.0,0.034013605442176874,0.12556053811659193,140.0,,,,0.0
3,0.4101483479433581,0.8339049281869012,0.6149515993265994,0.01420863309352518,79.0,5560.0,588.0,0.0,0.21212121212121213,0.21212121212121213,0.33080808080808083,0.5151515151515151,0.3679292929292929,0.6818181818181818,0.41172438672438666,1.0,0.023809523809523808,0.14324569356300998,158.0,,,,0.0
4,0.4126770060687795,0.8370509914435663,0.6276059132573216,0.016271921894774905,90.0,5531.0,588.0,0.0,0.29577464788732394,0.29577464788732394,0.4107981220657277,0.5774647887323944,0.44882629107981215,0.7323943661971831,0.4840152023250616,1.0,0.03571428571428571,0.13584574934268187,155.0,,,,0.0
5,0.41450325915936165,0.8304805415025855,0.620161159701976,0.01170327691753691,65.0,5554.0,588.0,0.0,0.3,0.3,0.43333333333333335,0.6,0.4613333333333334,0.72,0.49845238095238104,1.0,0.025510204081632654,0.13686911890504705,160.0,,,,0.0
6,0.41697572488199597,0.8438855296080066,0.5966678338001867,0.015890213073311666,88.0,5538.0,588.0,0.0,0.22058823529411764,0.22058823529411764,0.36274509803921573,0.5588235294117647,0.38627450980392153,0.6617647058823529,0.4320086367880486,1.0,0.025510204081632654,0.13480176211453745,153.0,,,,0.0
7,0.41897055518093956,0.8326476865212478,0.5705128205128205,0.012811259473114399,71.0,5542.0,588.0,0.0,0.25,0.25,0.3621794871794871,0.5384615384615384,0.3881410256410255,0.6538461538461539,0.43060134310134307,1.0,0.022108843537414966,0.1439929328621908,163.0,,,,0.0
8,0.4209934816812767,0.8264054445055729,0.6387230028623471,0.013031674208144797,72.0,5525.0,588.0,0.0,0.24193548387096775,0.24193548387096775,0.3870967741935483,0.5806451612903226,0.4379032258064516,0.8064516129032258,0.4621351766513056,1.0,0.025510204081632654,0.1387645478961504,155.0,,,,0.0
9,0.4231568891885817,0.8072653873018505,0.707172973356009,0.013843941028407048,77.0,5562.0,588.0,0.0,0.35714285714285715,0.35714285714285715,0.4880952380952381,0.6785714285714286,0.5184523809523809,0.8035714285714286,0.5473639455782313,1.0,0.034013605442176874,0.1307901907356948,144.0,,,,0.0
10,0.4251798156889189,0.8781461919666145,0.6691945207570207,0.012834224598930482,72.0,5610.0,588.0,0.0,0.3269230769230769,0.3269230769230769,0.4423076923076923,0.5769230769230769,0.4778846153846154,0.7307692307692307,0.515521978021978,1.0,0.02891156462585034,0.13031161473087818,138.0,1.9731543624161074,0.09672141677151916,0.017332327185944282,0.0
11,0.42742751180040456,0.8743886503640097,0.6379909003831418,0.014713996689350745,80.0,5437.0,588.0,0.0,0.1896551724137931,0.1896551724137931,0.35344827586206895,0.5862068965517241,0.3922413793103448,0.7586206896551724,0.4279009304871374,1.0,0.01870748299319728,0.14058355437665782,159.0,,,,0.0
12,0.4290851876826253,0.8021670921898552,0.6161904761904762,0.010594361644819536,59.0,5569.0,588.0,0.0,0.32,0.32,0.41,0.56,0.43599999999999994,0.68,0.4792619047619047,1.0,0.027210884353741496,0.1416267942583732,148.0,,,,0.0
13,0.43119240278714316,0.8537425404944586,0.5822008834980533,0.013515948819607137,75.0,5549.0,588.0,0.0,0.32075471698113206,0.32075471698113206,0.41823899371069184,0.5849056603773585,0.44748427672955976,0.7169811320754716,0.4852425876010783,1.0,0.02891156462585034,0.13765541740674955,155.0,,,,0.0
14,0.43262530905821533,0.85350036978913,0.5506082915622389,0.00929639081297849,51.0,5486.0,588.0,0.0,0.23684210526315788,0.23684210526315788,0.35526315789473684,0.5,0.3789473684210526,0.6052631578947368,0.4301378446115288,1.0,0.015306122448979591,0.13089005235602094,150.0,,,,0.0
15,0.43459204315576533,0.8525780901675889,0.6934704184704185,0.012688055102410731,70.0,5517.0,588.0,0.0,0.2909090909090909,0.2909090909090909,0.40303030303030296,0.5636363636363636,0.44575757575757574,0.7454545454545455,0.4834920634920635,1.0,0.027210884353741496,0.12886142983230361,146.0,,,,0.0
16,0.4359125646212632,0.82218623889063,0.5616531165311653,0.00847457627118644,47.0,5546.0,588.0,0.0,0.21428571428571427,0.21428571428571427,0.3134920634920635,0.42857142857142855,0.3563492063492063,0.6190476190476191,0.4080215419501135,1.0,0.015306122448979591,0.11405109489051095,125.0,,,,0.0
17,0.4372049898853675,0.8812593703148426,0.5831207482993197,0.00827933765298776,46.0,5556.0,588.0,0.0,0.2571428571428571,0.2571428571428571,0.35238095238095235,0.4857142857142857,0.38809523809523805,0.6571428571428571,0.43422902494331067,1.0,0.015306122448979591,0.14087117701575533,152.0,,,,0.0
18,0.43891885817037535,0.9136478693300539,0.6093810491676346,0.010985053124437242,61.0,5553.0,588.0,0.0,0.2926829268292683,0.2926829268292683,0.4024390243902438,0.5365853658536586,0.4414634146341463,0.7073170731707317,0.4793941153697251,1.0,0.02040816326530612,0.13614103819784526,139.0,,,,0.0
19,0.44001461002472464,0.9046143587878449,0.5651124338624338,0.007042253521126761,39.0,5538.0,588.0,0.0,0.23333333333333334,0.23333333333333334,0.3277777777777778,0.4666666666666667,0.3711111111111111,0.6666666666666666,0.41300264550264554,1.0,0.011904761904761904,0.150749063670412,161.0,,,,0.0
20,0.44150370869858396,0.8300177431651208,0.5200711382113822,0.009511844938980617,53.0,5572.0,588.0,0.0,0.1951219512195122,0.1951219512195122,0.26016260162601623,0.34146341463414637,0.3150406504065041,0.5853658536585366,0.3711478900503291,1.0,0.013605442176870748,0.12256267409470752,132.0,1.99375,0.0887744035395418,0.013885361943080222,0.0
21,0.44324567318498537,0.918553960971145,0.5814338946960897,0.011151079136690648,62.0,5560.0,588.0,0.0,0.24390243902439024,0.24390243902439024,0.41056910569105687,0.6341463414634146,0.4276422764227642,0.7073170731707317,0.46561169183120404,1.0,0.017006802721088437,0.13515981735159818,148.0,,,,0.0
22,0.44512811867835467,0.8877404930208802,0.6363017429193899,0.012048192771084338,67.0,5561.0,588.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5882352941176471,0.47091503267973855,0.7058823529411765,0.5063958916900094,1.0,0.02891156462585034,0.13345195729537365,150.0,,,,0.0
23,0.44667340975500114,0.8783686868686869,0.5844915674603175,0.01008249312557287,55.0,5455.0,588.0,0.0,0.2926829268292683,0.2926829268292683,0.38211382113821135,0.5121951219512195,0.41016260162601625,0.6341463414634146,0.4610627177700348,1.0,0.02040816326530612,0.13603603603603603,151.0,,,,0.0
24,0.44802202742189257,0.8782949902427125,0.5880516840882695,0.008705114254624592,48.0,5514.0,588.0,0.0,0.21951219512195122,0.21951219512195122,0.34959349593495936,0.5121951219512195,0.3813008130081301,0.6585365853658537,0.42203832752613235,1.0,0.015306122448979591,0.13283442469597756,142.0,,,,0.0
25,0.449173971679029,0.8908900454284833,0.6704452614379085,0.007359540477472626,41.0,5571.0,588.0,0.0,0.38235294117647056,0.38235294117647056,0.4509803921568627,0.5588235294117647,0.4848039215686275,0.7058823529411765,0.5237511671335201,1.0,0.022108843537414966,0.13175355450236967,139.0,,,,0.0
26,0.4506349741514947,0.8512468871057002,0.6033147860593513,0.009265858873841768,52.0,5612.0,588.0,0.0,0.2391304347826087,0.2391304347826087,0.358695652173913,0.5217391304347826,0.3869565217391305,0.6521739130434783,0.4312715665976536,1.0,0.01870748299319728,0.1388888888888889,150.0,,,,0.0
27,0.45209597662396045,0.858096289200783,0.6148253000387147,0.00929733595565886,52.0,5593.0,588.0,0.0,0.2926829268292683,0.2926829268292683,0.38211382113821135,0.4878048780487805,0.4455284552845528,0.7804878048780488,0.4745547812620983,1.0,0.02040816326530612,0.1282287822878229,139.0,,,,0.0
28,0.45341649808945833,0.88760897232552,0.5975707850707852,0.008371927324545779,47.0,5614.0,588.0,0.0,0.16216216216216217,0.16216216216216217,0.3108108108108108,0.4864864864864865,0.33918918918918917,0.6216216216216216,0.3918168168168168,1.0,0.01020408163265306,0.13404825737265416,150.0,,,,0.0
29,0.4547089233535626,0.8920730610041389,0.48870464852607715,0.008209887560235588,46.0,5603.0,588.0,0.0,0.08571428571428572,0.08571428571428572,0.22380952380952376,0.4,0.2680952380952381,0.6,0.317562358276644,1.0,0.00510204081632653,0.12750455373406194,140.0,,,,0.0
