round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4020989357508869,0.63429813360162,0.849316578483245,0.023293607800650054,43.0,1846.0,189.0,0.0,0.7037037037037037,0.7037037037037037,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7917695473251029,1.0,0.10052910052910052,0.18181818181818182,154.0,1.7375,0.06231350495194421,0.09461075116274355,0.0
1,0.4041190382341348,0.6003025146530535,0.8516090029761905,0.022198159177043854,41.0,1847.0,189.0,0.0,0.65625,0.65625,0.75,0.875,0.7625,0.9375,0.7700892857142858,1.0,0.1111111111111111,0.18311533888228299,154.0,,,,0.0
2,0.40608986992510837,0.6219669627984452,0.8129789272030652,0.021727322107550243,40.0,1841.0,189.0,0.0,0.6896551724137931,0.6896551724137931,0.7586206896551724,0.8620689655172413,0.7655172413793103,0.896551724137931,0.7800218938149972,1.0,0.10582010582010581,0.17341040462427745,150.0,,,,0.0
3,0.40875049270792274,0.597310952440603,0.8290471102971103,0.02954048140043764,54.0,1828.0,189.0,0.0,0.717948717948718,0.717948717948718,0.7521367521367522,0.7948717948717948,0.7700854700854701,0.8717948717948718,0.7877391127391127,1.0,0.14814814814814814,0.18149466192170818,153.0,,,,0.0
4,0.4109184075679937,0.6319210882987801,0.881432411674347,0.02371967654986523,44.0,1855.0,189.0,0.0,0.7419354838709677,0.7419354838709677,0.8333333333333333,0.9354838709677419,0.8413978494623655,0.967741935483871,0.8446236559139784,1.0,0.12169312169312169,0.19258373205741627,161.0,,,,0.0
5,0.41298778084351595,0.6935623670317548,0.912410394265233,0.022641509433962263,42.0,1855.0,189.0,0.0,0.7419354838709677,0.7419354838709677,0.8279569892473118,0.9354838709677419,0.8279569892473118,0.9354838709677419,0.8373655913978494,1.0,0.12169312169312169,0.18886198547215496,156.0,,,,0.0
6,0.4148600709499409,0.617833710569292,0.8920068027210883,0.020266666666666665,38.0,1875.0,189.0,0.0,0.6785714285714286,0.6785714285714286,0.8035714285714286,0.9642857142857143,0.8107142857142857,1.0,0.8107142857142857,1.0,0.10052910052910052,0.18487394957983194,154.0,,,,0.0
7,0.41658454867954275,0.6251046355523967,0.8524413388543823,0.01898047722342733,35.0,1844.0,189.0,0.0,0.6521739130434783,0.6521739130434783,0.7318840579710146,0.8260869565217391,0.7427536231884059,0.8695652173913043,0.7578502415458938,1.0,0.07936507936507936,0.1706758304696449,149.0,,,,0.0
8,0.41840756799369333,0.6310803357135404,0.8464018620268621,0.02,37.0,1850.0,189.0,0.0,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.8461538461538461,0.7865384615384615,0.9230769230769231,0.7946581196581195,1.0,0.09523809523809523,0.17970660146699266,147.0,,,,0.0
9,0.41988569176192353,0.6156128674431502,0.9039248511904762,0.016366612111292964,30.0,1833.0,189.0,0.0,0.875,0.875,0.90625,0.9375,0.91875,1.0,0.91875,1.0,0.07407407407407407,0.18536009445100354,157.0,,,,0.0
