round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4067427949972811,0.9758983872415546,0.4906332671957672,0.021146355036171398,38.0,1797.0,186.0,0.0,0.38461538461538464,0.38461538461538464,0.4230769230769231,0.46153846153846156,0.4730769230769231,0.6923076923076923,0.5141941391941391,1.0,0.026881720430107527,0.19078947368421054,116.0,1.941747572815534,0.13737807550811326,0.06562514083258181,0.0
1,0.4139931121986587,0.9840770509977828,0.6932314814814814,0.021691973969631236,40.0,1844.0,186.0,0.0,0.5333333333333333,0.5333333333333333,0.6888888888888888,0.8666666666666667,0.7022222222222222,0.9333333333333333,0.7088888888888889,1.0,0.043010752688172046,0.1718494271685761,105.0,,,,0.0
2,0.4230560087003806,0.9855156695156695,0.673656462585034,0.027700831024930747,50.0,1805.0,186.0,0.0,0.6428571428571429,0.6428571428571429,0.738095238095238,0.8571428571428571,0.7523809523809524,0.9285714285714286,0.7625850340136056,1.0,0.04838709677419355,0.18357487922705315,114.0,,,,0.0
3,0.43066884176182707,0.9723825335336126,0.6877007469654528,0.022714981070849107,42.0,1849.0,186.0,0.0,0.7058823529411765,0.7058823529411765,0.7745098039215685,0.8823529411764706,0.7892156862745098,0.9411764705882353,0.7965686274509803,1.0,0.06451612903225806,0.17580645161290323,109.0,,,,0.0
4,0.43592532173282583,0.9544162299108438,0.7255235042735043,0.016004415011037526,29.0,1812.0,186.0,0.0,0.6153846153846154,0.6153846153846154,0.6538461538461539,0.6923076923076923,0.6884615384615385,0.8461538461538461,0.707997557997558,1.0,0.043010752688172046,0.17038216560509553,107.0,,,,0.0
5,0.44390067065434113,0.9648679532757746,0.5711734693877552,0.023991275899672846,44.0,1834.0,186.0,0.0,0.5333333333333333,0.5333333333333333,0.6444444444444444,0.8,0.6444444444444444,0.8,0.6708994708994709,1.0,0.043010752688172046,0.1806020066889632,108.0,,,,0.0
6,0.4484321189052021,0.9537969094922737,0.5798290598290599,0.013609145345672292,25.0,1837.0,186.0,0.0,0.3076923076923077,0.3076923076923077,0.41025641025641024,0.5384615384615384,0.45641025641025645,0.7692307692307693,0.4836385836385837,1.0,0.021505376344086023,0.17443609022556392,116.0,,,,0.0
7,0.4553199202465108,0.982539078508284,0.7147741147741147,0.020697167755991286,38.0,1836.0,186.0,0.0,0.46153846153846156,0.46153846153846156,0.5641025641025641,0.6923076923076923,0.5987179487179487,0.8461538461538461,0.6225274725274724,1.0,0.03225806451612903,0.16905901116427433,106.0,,,,0.0
8,0.4623889795178539,0.9568599202537909,0.5811871693121693,0.021654636313159357,39.0,1801.0,186.0,0.0,0.4,0.4,0.475,0.6,0.5125,0.75,0.5429761904761904,1.0,0.043010752688172046,0.18181818181818182,106.0,,,,0.0
9,0.46456407467826716,0.9196673996701483,0.638888888888889,0.006553795740032769,12.0,1831.0,186.0,0.0,0.14285714285714285,0.14285714285714285,0.2619047619047619,0.42857142857142855,0.3619047619047619,0.8571428571428571,0.3857142857142857,1.0,0.005376344086021506,0.16996699669966997,103.0,,,,0.0
10,0.47090810222947255,0.9537029542695266,0.6639905753968254,0.019444444444444445,35.0,1800.0,186.0,0.0,0.5,0.5,0.6666666666666666,0.875,0.6791666666666667,0.9375,0.6869791666666667,1.0,0.043010752688172046,0.1804635761589404,109.0,1.9310344827586208,0.11377031517852969,0.09355434807421412,0.0
11,0.473989487040058,0.9089316127341804,0.6663194444444445,0.009376723662437948,17.0,1813.0,186.0,0.0,0.3,0.3,0.45,0.6,0.5,0.8,0.5222222222222221,1.0,0.016129032258064516,0.17781402936378465,109.0,,,,0.0
12,0.47797716150081565,0.9706527701590786,0.7203282828282829,0.011924119241192412,22.0,1845.0,186.0,0.0,0.5454545454545454,0.5454545454545454,0.5909090909090909,0.6363636363636364,0.65,0.9090909090909091,0.6651515151515152,1.0,0.03225806451612903,0.1734860883797054,106.0,,,,0.0
13,0.48305238354177993,0.9435583187668839,0.6495185185185186,0.01533406352683461,28.0,1826.0,186.0,0.0,0.4666666666666667,0.4666666666666667,0.5777777777777777,0.7333333333333333,0.5777777777777777,0.7333333333333333,0.6104497354497355,1.0,0.03763440860215054,0.1627172195892575,103.0,,,,0.0
14,0.49084647453326086,0.9647295561207101,0.748108878968254,0.023665382498624106,43.0,1817.0,186.0,0.0,0.4375,0.4375,0.5833333333333333,0.75,0.6145833333333333,0.875,0.6354166666666666,1.0,0.03763440860215054,0.19333333333333333,116.0,,,,0.0
15,0.49519666485408737,0.9111211867559524,0.5767704517704517,0.013215859030837005,24.0,1816.0,186.0,0.0,0.38461538461538464,0.38461538461538464,0.48717948717948717,0.6153846153846154,0.5025641025641026,0.6923076923076923,0.5434676434676434,1.0,0.026881720430107527,0.17457627118644067,103.0,,,,0.0
16,0.5009969186151895,0.929656374501992,0.6074346405228759,0.017887087758524316,32.0,1789.0,186.0,0.0,0.5294117647058824,0.5294117647058824,0.5588235294117647,0.5882352941176471,0.6029411764705882,0.7647058823529411,0.6350373482726424,1.0,0.04838709677419355,0.18512396694214875,112.0,,,,0.0
17,0.5048033351459126,0.9691116088092572,0.8109737484737484,0.01162147205312673,21.0,1807.0,186.0,0.0,0.5384615384615384,0.5384615384615384,0.6794871794871794,0.8461538461538461,0.6987179487179487,0.9230769230769231,0.7097069597069596,1.0,0.03763440860215054,0.1681109185441941,97.0,,,,0.0
18,0.5064346565162225,0.8990346184590787,0.6607142857142857,0.004955947136563877,9.0,1816.0,186.0,0.0,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.5714285714285714,0.4642857142857143,0.7142857142857143,0.5025510204081632,1.0,0.010752688172043012,0.16369529983792544,101.0,,,,0.0
19,0.5093347833967736,0.8903324614537445,0.5540123456790123,0.008733624454148471,16.0,1832.0,186.0,0.0,0.1111111111111111,0.1111111111111111,0.2777777777777778,0.5555555555555556,0.3222222222222222,0.7777777777777778,0.3592592592592593,1.0,0.005376344086021506,0.18412698412698414,116.0,,,,0.0
20,0.5125974261373936,0.9736286919831224,0.6646825396825397,0.009809264305177113,18.0,1835.0,186.0,0.0,0.4,0.4,0.5833333333333333,0.8,0.5833333333333333,0.8,0.6101190476190476,1.0,0.021505376344086023,0.1783876500857633,104.0,1.8829787234042554,0.10226780840540418,0.07453332605977067,0.0
21,0.5171288743882545,0.9464129826524903,0.6769179894179894,0.01379690949227373,25.0,1812.0,186.0,0.0,0.4166666666666667,0.4166666666666667,0.5277777777777778,0.6666666666666666,0.5986111111111111,1.0,0.5986111111111111,1.0,0.026881720430107527,0.17455138662316477,107.0,,,,0.0
22,0.5202102591988399,0.8956266980915906,0.5593584656084656,0.009371554575523704,17.0,1814.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.4259259259259259,0.5555555555555556,0.4703703703703704,0.7777777777777778,0.4925925925925925,1.0,0.016129032258064516,0.17165354330708663,109.0,,,,0.0
23,0.5218415805691499,0.9057799611838913,0.7005621693121693,0.004888647474198805,9.0,1841.0,186.0,0.0,0.5,0.5,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5925925925925927,1.0,0.016129032258064516,0.18333333333333332,110.0,,,,0.0
24,0.5245604495196665,0.8671963470319635,0.5746031746031746,0.008152173913043478,15.0,1840.0,186.0,0.0,0.1,0.1,0.21666666666666665,0.4,0.2866666666666667,0.7,0.32999999999999996,1.0,0.005376344086021506,0.18196994991652754,109.0,,,,0.0
25,0.5274605764002175,0.9064396028681743,0.6578207671957672,0.008747949699289229,16.0,1829.0,186.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5833333333333334,0.4861111111111111,0.75,0.5152777777777777,1.0,0.021505376344086023,0.17944535073409462,110.0,,,,0.0
26,0.5296356715606307,0.9158163265306123,0.7849702380952381,0.006575342465753425,12.0,1825.0,186.0,0.0,0.375,0.375,0.6041666666666666,0.875,0.6041666666666666,0.875,0.6166666666666667,1.0,0.016129032258064516,0.17483660130718953,107.0,,,,0.0
27,0.531810766721044,0.907984196986402,0.7538265306122449,0.0065717415115005475,12.0,1826.0,186.0,0.0,0.42857142857142855,0.42857142857142855,0.5952380952380951,0.8571428571428571,0.5952380952380951,0.8571428571428571,0.6156462585034014,1.0,0.016129032258064516,0.17081260364842454,103.0,,,,0.0
28,0.5341671198114918,0.9121240205577555,0.5607638888888888,0.0070690592713431215,13.0,1839.0,186.0,0.0,0.375,0.375,0.41666666666666663,0.5,0.44791666666666663,0.625,0.5074404761904762,1.0,0.016129032258064516,0.18152350081037277,112.0,,,,0.0
29,0.5370672466920428,0.9733328721638074,0.5909391534391534,0.00877674163466813,16.0,1823.0,186.0,0.0,0.5555555555555556,0.5555555555555556,0.6111111111111112,0.6666666666666666,0.6111111111111112,0.6666666666666666,0.6504409171075838,1.0,0.026881720430107527,0.17274167987321712,109.0,,,,0.0
