round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40743712142484656,0.8014442999918746,0.665093537414966,0.18979591836734694,186.0,980.0,98.0,0.0,0.5873015873015873,0.5873015873015873,0.687830687830688,0.8095238095238095,0.7068783068783069,0.8888888888888888,0.7206979087931469,1.0,0.37755102040816324,0.1855421686746988,77.0,1.5340909090909092,0.23307344041759642,0.2221469741544147,0.0
1,0.4147378555096474,0.7962936186620397,0.6310307859703022,0.18571428571428572,182.0,980.0,98.0,0.0,0.46774193548387094,0.46774193548387094,0.6021505376344085,0.7580645161290323,0.6255376344086021,0.8548387096774194,0.6464349718381976,1.0,0.29591836734693877,0.18765432098765433,76.0,,,,0.0
2,0.4223595009827911,0.8188383362498317,0.6509158478206098,0.19547325102880658,190.0,972.0,98.0,0.0,0.5396825396825397,0.5396825396825397,0.6455026455026455,0.7777777777777778,0.662962962962963,0.8571428571428571,0.682111363063744,1.0,0.3469387755102041,0.2004950495049505,81.0,,,,0.0
3,0.42909864013799187,0.8257082299421009,0.6893240516545602,0.17248459958932238,168.0,974.0,98.0,0.0,0.5254237288135594,0.5254237288135594,0.6666666666666666,0.864406779661017,0.6793785310734463,0.9152542372881356,0.6894269572235673,1.0,0.3163265306122449,0.183206106870229,72.0,,,,0.0
4,0.43543664005776406,0.8236587206258277,0.6983627645502645,0.16122448979591836,158.0,980.0,98.0,0.0,0.5666666666666667,0.5666666666666667,0.6861111111111111,0.8333333333333334,0.706111111111111,0.9166666666666666,0.716574074074074,1.0,0.3469387755102041,0.20253164556962025,80.0,,,,0.0
5,0.44213566528942194,0.8492483512579292,0.5955091344713986,0.1711065573770492,167.0,976.0,98.0,0.0,0.4528301886792453,0.4528301886792453,0.5314465408805031,0.6415094339622641,0.5663522012578616,0.7924528301886793,0.5973120694818808,1.0,0.24489795918367346,0.17464114832535885,73.0,,,,0.0
6,0.44803241205022265,0.8404601889006507,0.7353142857142856,0.15061475409836064,147.0,976.0,98.0,0.0,0.62,0.62,0.73,0.86,0.74,0.9,0.7522142857142857,1.0,0.3163265306122449,0.1867007672634271,73.0,,,,0.0
7,0.45449075374062337,0.8456153921992431,0.6678400383141763,0.16428571428571428,161.0,980.0,98.0,0.0,0.4482758620689655,0.4482758620689655,0.5747126436781609,0.7241379310344828,0.5954022988505747,0.8103448275862069,0.6199370552818828,1.0,0.2653061224489796,0.20393120393120392,83.0,,,,0.0
8,0.46122989289582417,0.7904901184611777,0.6149956597222223,0.17142857142857143,168.0,980.0,98.0,0.0,0.40625,0.40625,0.5234375,0.6875,0.5640625,0.859375,0.5830729166666666,1.0,0.2653061224489796,0.19607843137254902,80.0,,,,0.0
9,0.46740743712142485,0.841603114330387,0.6357409951159951,0.1590909090909091,154.0,968.0,98.0,0.0,0.4423076923076923,0.4423076923076923,0.5833333333333333,0.75,0.6102564102564103,0.8653846153846154,0.6269993894993895,1.0,0.23469387755102042,0.19851116625310175,80.0,,,,0.0
10,0.4727024750290826,0.847187814160563,0.6716170634920635,0.13524590163934427,132.0,976.0,98.0,0.0,0.5,0.5,0.6284722222222222,0.7916666666666666,0.6388888888888888,0.8333333333333334,0.6600281084656084,1.0,0.24489795918367346,0.1956521739130435,81.0,1.7032967032967032,0.18283942842222103,0.26415422892825,0.0
11,0.47896024710176904,0.8280121981578292,0.6868051881246323,0.15918367346938775,156.0,980.0,98.0,0.0,0.5185185185185185,0.5185185185185185,0.6234567901234568,0.7407407407407407,0.6447530864197532,0.8333333333333334,0.6679379776602,1.0,0.2857142857142857,0.19444444444444445,77.0,,,,0.0
12,0.48489710778611256,0.8191932841932842,0.7008364121510674,0.15210688591983557,148.0,973.0,98.0,0.0,0.5172413793103449,0.5172413793103449,0.6494252873563219,0.8103448275862069,0.6614942528735632,0.8620689655172413,0.6789682539682539,1.0,0.30612244897959184,0.2123456790123457,86.0,,,,0.0
13,0.4907136266998275,0.8025934338220112,0.6626828231292518,0.14795918367346939,145.0,980.0,98.0,0.0,0.48214285714285715,0.48214285714285715,0.5863095238095237,0.7142857142857143,0.6193452380952381,0.8571428571428571,0.6386337868480726,1.0,0.2755102040816326,0.18527918781725888,73.0,,,,0.0
14,0.4957679810662281,0.8731808241903254,0.676205467372134,0.13016528925619836,126.0,968.0,98.0,0.0,0.5555555555555556,0.5555555555555556,0.6518518518518518,0.7777777777777778,0.6674074074074073,0.8444444444444444,0.6879629629629629,1.0,0.25510204081632654,0.19128329297820823,79.0,,,,0.0
15,0.5014641582093144,0.8254129091093323,0.6759523809523811,0.14549180327868852,142.0,976.0,98.0,0.0,0.5789473684210527,0.5789473684210527,0.6461988304093568,0.7192982456140351,0.6681286549707602,0.8070175438596491,0.6966861598440546,1.0,0.336734693877551,0.19809069212410502,83.0,,,,0.0
