round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40579245055958924,0.30749136891144296,0.6709631423190745,0.14887063655030802,145.0,974.0,98.0,0.0,0.423728813559322,0.423728813559322,0.556497175141243,0.7457627118644068,0.5759887005649718,0.8305084745762712,0.5979418886198549,1.0,0.25510204081632654,0.2014388489208633,84.0,1.6263736263736264,0.23675054545641547,0.1924252812042225,0.0
1,0.4120903365558185,0.2767975332097862,0.733453115814227,0.16102564102564101,157.0,975.0,98.0,0.0,0.6181818181818182,0.6181818181818182,0.7030303030303031,0.8181818181818182,0.733939393939394,0.9454545454545454,0.7414069264069265,1.0,0.3469387755102041,0.208955223880597,84.0,,,,0.0
2,0.42003289341730515,0.2629130009775171,0.6891752645502646,0.20349434737923947,198.0,973.0,98.0,0.0,0.5833333333333334,0.5833333333333334,0.6861111111111111,0.8,0.7127777777777778,0.9166666666666666,0.7231944444444446,1.0,0.35714285714285715,0.1956521739130435,81.0,,,,0.0
3,0.42757431104336313,0.29749336798224246,0.7245485297944314,0.19301848049281314,188.0,974.0,98.0,0.0,0.5901639344262295,0.5901639344262295,0.7021857923497268,0.8524590163934426,0.7275956284153006,0.9672131147540983,0.7321493624772313,1.0,0.3673469387755102,0.20853080568720378,88.0,,,,0.0
4,0.434875045128164,0.2841444270015699,0.6968856292517006,0.18571428571428572,182.0,980.0,98.0,0.0,0.5892857142857143,0.5892857142857143,0.7142857142857143,0.8571428571428571,0.7339285714285715,0.9464285714285714,0.7411210317460318,1.0,0.336734693877551,0.1966824644549763,83.0,,,,0.0
5,0.4422961209835934,0.2643718974076117,0.6942772633744857,0.19091847265221878,185.0,969.0,98.0,0.0,0.6666666666666666,0.6666666666666666,0.7561728395061728,0.8518518518518519,0.7774691358024691,0.9444444444444444,0.7852586713697826,1.0,0.3673469387755102,0.19437939110070257,83.0,,,,0.0
6,0.448794576597537,0.3025219596124241,0.7284774633123688,0.1653061224489796,162.0,980.0,98.0,0.0,0.6415094339622641,0.6415094339622641,0.720125786163522,0.8113207547169812,0.7371069182389937,0.8867924528301887,0.7503893381251872,1.0,0.3469387755102041,0.17660550458715596,77.0,,,,0.0
7,0.4548517790525091,0.2569343300636502,0.7435003968253969,0.15503080082135523,151.0,974.0,98.0,0.0,0.62,0.62,0.7433333333333334,0.88,0.7653333333333333,0.98,0.7675555555555555,1.0,0.3163265306122449,0.18444444444444444,83.0,,,,0.0
8,0.45982590557182396,0.24,0.7664956940222898,0.1273100616016427,124.0,974.0,98.0,0.0,0.5531914893617021,0.5531914893617021,0.698581560283688,0.851063829787234,0.7187943262411347,0.9361702127659575,0.7273640661938534,1.0,0.2653061224489796,0.19594594594594594,87.0,,,,0.0
9,0.4658831080267961,0.2546574615829743,0.7681280663780664,0.15487179487179487,151.0,975.0,98.0,0.0,0.6727272727272727,0.6727272727272727,0.7575757575757576,0.8727272727272727,0.7730303030303031,0.9454545454545454,0.7793939393939394,1.0,0.37755102040816324,0.18993135011441648,83.0,,,,0.0
