round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40755746319547514,0.6810643705447255,0.6364866255144034,0.19325153374233128,189.0,978.0,98.0,0.0,0.5555555555555556,0.5555555555555556,0.6790123456790126,0.8333333333333334,0.6882716049382718,0.8703703703703703,0.7047839506172842,1.0,0.30612244897959184,0.1565217391304348,90.0,1.6162790697674418,0.2336147075111416,0.15307898178299362,0.0
1,0.4146576276625617,0.6955402542372882,0.6051030353661933,0.1811668372569089,177.0,977.0,98.0,0.0,0.5263157894736842,0.5263157894736842,0.6023391812865496,0.7017543859649122,0.6347953216374269,0.8421052631578947,0.6545043163464216,1.0,0.30612244897959184,0.15817223198594024,90.0,,,,0.0
2,0.42147699466484817,0.7326574569221627,0.678968962585034,0.17671517671517672,170.0,962.0,98.0,0.0,0.5357142857142857,0.5357142857142857,0.6607142857142857,0.8571428571428571,0.6732142857142858,0.9107142857142857,0.6856859410430839,1.0,0.30612244897959184,0.1588447653429603,88.0,,,,0.0
3,0.4263307794135344,0.6970618476700423,0.7361372435152922,0.12435765673175746,121.0,973.0,98.0,0.0,0.5853658536585366,0.5853658536585366,0.6788617886178863,0.8048780487804879,0.7105691056910569,0.9512195121951219,0.7157181571815718,1.0,0.24489795918367346,0.1657559198542805,91.0,,,,0.0
4,0.4335913995747924,0.7573988728171243,0.6186663554310613,0.18526100307062435,181.0,977.0,98.0,0.0,0.4807692307692308,0.4807692307692308,0.6121794871794872,0.7692307692307693,0.6285256410256411,0.8461538461538461,0.6492216117216117,1.0,0.25510204081632654,0.1694290976058932,92.0,,,,0.0
5,0.43920734887079305,0.7064115646258503,0.6797171563660926,0.14285714285714285,140.0,980.0,98.0,0.0,0.46808510638297873,0.46808510638297873,0.6028368794326241,0.8085106382978723,0.6326241134751772,0.9361702127659575,0.6397163120567375,1.0,0.22448979591836735,0.15669014084507044,89.0,,,,0.0
6,0.4453848930963938,0.7721415993207761,0.6596688311688312,0.15714285714285714,154.0,980.0,98.0,0.0,0.509090909090909,0.509090909090909,0.6242424242424242,0.7636363636363637,0.6433333333333333,0.8545454545454545,0.6624891774891776,1.0,0.2857142857142857,0.15808170515097691,89.0,,,,0.0
7,0.4515223233984516,0.6814642117009405,0.6091966230936819,0.15724563206577596,153.0,973.0,98.0,0.0,0.47058823529411764,0.47058823529411764,0.565359477124183,0.6862745098039216,0.60359477124183,0.8431372549019608,0.6262527233115469,1.0,0.24489795918367346,0.15881326352530542,91.0,,,,0.0
8,0.45713827269445223,0.7115251897860594,0.656049861973775,0.1446280991735537,140.0,968.0,98.0,0.0,0.5217391304347826,0.5217391304347826,0.6702898550724639,0.8478260869565217,0.6746376811594202,0.8695652173913043,0.6919340924775707,1.0,0.24489795918367346,0.16304347826086957,90.0,,,,0.0
9,0.46102932327810986,0.7063280915958003,0.6233766233766234,0.10051813471502591,97.0,965.0,98.0,0.0,0.5,0.5,0.5719696969696969,0.6590909090909091,0.581060606060606,0.7045454545454546,0.6212031024531025,1.0,0.22448979591836735,0.16404886561954624,94.0,,,,0.0
10,0.46648481687993903,0.7429563353777531,0.6518858024691359,0.13877551020408163,136.0,980.0,98.0,0.0,0.5777777777777777,0.5777777777777777,0.6666666666666666,0.8,0.6766666666666666,0.8444444444444444,0.6964373897707231,1.0,0.2653061224489796,0.16202090592334495,93.0,1.6629213483146068,0.18524139728202496,0.14592087812969246,0.0
11,0.47149905732279673,0.7248598574821852,0.7201714285714285,0.12926577042399173,125.0,967.0,98.0,0.0,0.52,0.52,0.62,0.74,0.667,0.94,0.6751904761904762,1.0,0.2653061224489796,0.168141592920354,95.0,,,,0.0
12,0.47883990533114046,0.69185709554562,0.6541590086326929,0.18769230769230769,183.0,975.0,98.0,0.0,0.543859649122807,0.543859649122807,0.6812865497076023,0.8421052631578947,0.7005847953216375,0.9298245614035088,0.7108883319409635,1.0,0.3163265306122449,0.1614678899082569,88.0,,,,0.0
13,0.483613462232741,0.7023198430315523,0.6451960317460318,0.12306101344364012,119.0,967.0,98.0,0.0,0.42,0.42,0.5033333333333333,0.6,0.5413333333333333,0.76,0.5737539682539683,1.0,0.21428571428571427,0.16637478108581435,95.0,,,,0.0
14,0.48822656344017007,0.7025631951466127,0.6711182877406281,0.11794871794871795,115.0,975.0,98.0,0.0,0.425531914893617,0.425531914893617,0.5602836879432623,0.723404255319149,0.5890070921985816,0.851063829787234,0.6087977034785546,1.0,0.20408163265306123,0.15467625899280577,86.0,,,,0.0
15,0.4932408038830278,0.737190082644628,0.6937443310657596,0.1286008230452675,125.0,972.0,98.0,0.0,0.5306122448979592,0.5306122448979592,0.6224489795918366,0.7346938775510204,0.6551020408163266,0.8775510204081632,0.6721655328798186,1.0,0.2653061224489796,0.1739961759082218,91.0,,,,0.0
16,0.49697139877251395,0.6950333975827667,0.5763908730158731,0.09489795918367347,93.0,980.0,98.0,0.0,0.4,0.4,0.5,0.65,0.52125,0.75,0.5522123015873015,1.0,0.16326530612244897,0.1631578947368421,93.0,,,,0.0
17,0.5005415379678286,0.7039146272638652,0.6702050264550266,0.0922279792746114,89.0,965.0,98.0,0.0,0.46153846153846156,0.46153846153846156,0.5683760683760684,0.717948717948718,0.5965811965811966,0.8461538461538461,0.6163410663410662,1.0,0.1836734693877551,0.16100178890876565,90.0,,,,0.0
18,0.505636006257772,0.6968457345198713,0.6392874029044243,0.13065843621399176,127.0,972.0,98.0,0.0,0.46808510638297873,0.46808510638297873,0.5851063829787234,0.723404255319149,0.6031914893617022,0.8085106382978723,0.6267392772711922,1.0,0.22448979591836735,0.1705989110707804,94.0,,,,0.0
19,0.5100886517710297,0.74218489322656,0.6958056478405316,0.11384615384615385,111.0,975.0,98.0,0.0,0.46511627906976744,0.46511627906976744,0.5891472868217055,0.7441860465116279,0.6158914728682171,0.8604651162790697,0.6374861572535991,1.0,0.20408163265306123,0.15602836879432624,88.0,,,,0.0
20,0.5148220947490874,0.7128974024671548,0.6140472300031123,0.122533748701973,118.0,963.0,98.0,0.0,0.39215686274509803,0.39215686274509803,0.49019607843137253,0.6078431372549019,0.526470588235294,0.7647058823529411,0.557337379396203,1.0,0.20408163265306123,0.16064981949458484,89.0,1.7204301075268817,0.15294220568740052,0.11007726630510717,0.0
21,0.519595651650688,0.7048233927717428,0.565725,0.12142857142857143,119.0,980.0,98.0,0.0,0.24,0.24,0.3833333333333333,0.58,0.4243333333333333,0.76,0.4562539682539682,1.0,0.12244897959183673,0.1597222222222222,92.0,,,,0.0
22,0.5243290946287457,0.6880871388169214,0.5642537477954146,0.12102564102564102,118.0,975.0,98.0,0.0,0.42592592592592593,0.42592592592592593,0.4876543209876542,0.5740740740740741,0.5172839506172838,0.7037037037037037,0.5535273368606701,1.0,0.23469387755102042,0.15714285714285714,88.0,,,,0.0
23,0.5293834489951462,0.78656462585034,0.7465492724867725,0.12857142857142856,126.0,980.0,98.0,0.0,0.5416666666666666,0.5416666666666666,0.6840277777777778,0.8541666666666666,0.6986111111111111,0.9166666666666666,0.7096230158730158,1.0,0.2653061224489796,0.16636851520572452,93.0,,,,0.0
24,0.5342372337438325,0.7223081743762485,0.64916583994709,0.12538860103626942,121.0,965.0,98.0,0.0,0.4791666666666667,0.4791666666666667,0.6006944444444444,0.75,0.6204861111111111,0.8333333333333334,0.642352843915344,1.0,0.23469387755102042,0.15853658536585366,91.0,,,,0.0
25,0.5392514741866902,0.709506432748538,0.676702380952381,0.12755102040816327,125.0,980.0,98.0,0.0,0.48,0.48,0.6133333333333334,0.8,0.6273333333333333,0.86,0.646436507936508,1.0,0.24489795918367346,0.16666666666666666,92.0,,,,0.0
26,0.5429419551526334,0.7286158441049746,0.6594505494505495,0.09387755102040816,92.0,980.0,98.0,0.0,0.3333333333333333,0.3333333333333333,0.4914529914529914,0.6666666666666666,0.5388888888888888,0.8717948717948718,0.5562576312576313,1.0,0.1326530612244898,0.1607773851590106,91.0,,,,0.0
27,0.5467126639656624,0.7065674578772598,0.5950189184200813,0.09801876955161627,94.0,959.0,98.0,0.0,0.37209302325581395,0.37209302325581395,0.5,0.6511627906976745,0.5162790697674419,0.7209302325581395,0.5530454042081949,1.0,0.16326530612244897,0.16071428571428573,90.0,,,,0.0
28,0.5512856512495488,0.7064170355796031,0.6648268398268398,0.11752577319587629,114.0,970.0,98.0,0.0,0.5,0.5,0.6515151515151515,0.8181818181818182,0.6571969696969696,0.8409090909090909,0.679599567099567,1.0,0.22448979591836735,0.16549295774647887,94.0,,,,0.0
29,0.5552970436038349,0.7288231917336395,0.6851813399778516,0.10298661174047374,100.0,971.0,98.0,0.0,0.5581395348837209,0.5581395348837209,0.6550387596899225,0.7674418604651163,0.6608527131782946,0.7906976744186046,0.6885566629752676,1.0,0.24489795918367346,0.1596330275229358,87.0,,,,0.0
