round,coverage,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40105900758153157,0.027720739219712527,27.0,974.0,98.0,0.0,0.09090909090909091,0.09090909090909091,0.18939393939393936,0.3181818181818182,0.23484848484848483,0.5,0.29763708513708514,1.0,0.02040816326530612,0.16952380952380952,89.0,1.945054945054945,0.2417866970196163,0.19112317718574232,0.0
1,0.4031048176822175,0.052307692307692305,51.0,975.0,98.0,0.0,0.2413793103448276,0.2413793103448276,0.3620689655172414,0.5172413793103449,0.3999999999999999,0.6896551724137931,0.4431308155446086,1.0,0.07142857142857142,0.16698292220113853,88.0,,,,0.0
2,0.40527096955353203,0.05549845837615622,54.0,973.0,98.0,0.0,0.13157894736842105,0.13157894736842105,0.18859649122807015,0.2631578947368421,0.2557017543859649,0.5526315789473685,0.3196010860484544,1.0,0.05102040816326531,0.1654275092936803,89.0,,,,0.0
3,0.4063540454891893,0.027720739219712527,27.0,974.0,98.0,0.0,0.1,0.1,0.25,0.4,0.29500000000000004,0.6,0.3456746031746032,1.0,0.02040816326530612,0.1786407766990291,92.0,,,,0.0
4,0.4078382606602752,0.03775510204081633,37.0,980.0,98.0,0.0,0.03225806451612903,0.03225806451612903,0.14516129032258066,0.2903225806451613,0.17903225806451611,0.45161290322580644,0.24827188940092165,1.0,0.01020408163265306,0.1640926640926641,85.0,,,,0.0
5,0.4098038429138754,0.050515463917525774,49.0,970.0,98.0,0.0,0.2,0.2,0.35,0.5666666666666667,0.38,0.7,0.42298941798941797,1.0,0.061224489795918366,0.1814595660749507,92.0,,,,0.0
6,0.411649083396847,0.04693877551020408,46.0,980.0,98.0,0.0,0.06451612903225806,0.06451612903225806,0.17204301075268813,0.3225806451612903,0.25107526881720427,0.6774193548387096,0.28785202252944186,1.0,0.02040816326530612,0.16822429906542055,90.0,,,,0.0
7,0.4135745517269044,0.049281314168377825,48.0,974.0,98.0,0.0,0.1875,0.1875,0.296875,0.46875,0.3328125,0.625,0.37853422619047616,1.0,0.061224489795918366,0.1776937618147448,94.0,,,,0.0
8,0.41469774158610456,0.028747433264887063,28.0,974.0,98.0,0.0,0.22727272727272727,0.22727272727272727,0.303030303030303,0.4090909090909091,0.33484848484848484,0.5454545454545454,0.3901515151515152,1.0,0.05102040816326531,0.17624521072796934,92.0,,,,0.0
9,0.41638252637490475,0.042988741044012284,42.0,977.0,98.0,0.0,0.09375,0.09375,0.171875,0.28125,0.2703125,0.71875,0.3061631944444444,1.0,0.030612244897959183,0.166351606805293,88.0,,,,0.0
10,0.4177062858518192,0.033846153846153845,33.0,975.0,98.0,0.0,0.038461538461538464,0.038461538461538464,0.1282051282051282,0.2692307692307692,0.2012820512820513,0.5769230769230769,0.2526098901098901,1.0,0.01020408163265306,0.16292134831460675,87.0,1.9662921348314606,0.2310956558616462,0.2189668222566397,0.0
11,0.41878936178747644,0.02786377708978328,27.0,969.0,98.0,0.0,0.041666666666666664,0.041666666666666664,0.12499999999999999,0.25,0.18958333333333333,0.5416666666666666,0.2446759259259259,1.0,0.01020408163265306,0.1828793774319066,94.0,,,,0.0
12,0.42023346303501946,0.036734693877551024,36.0,980.0,98.0,0.0,0.041666666666666664,0.041666666666666664,0.1111111111111111,0.20833333333333334,0.1923611111111111,0.5416666666666666,0.2444940476190476,1.0,0.01020408163265306,0.16697588126159554,90.0,,,,0.0
13,0.42151710858839103,0.03285420944558522,32.0,974.0,98.0,0.0,0.15384615384615385,0.15384615384615385,0.26282051282051283,0.4230769230769231,0.3051282051282051,0.6153846153846154,0.35558608058608054,1.0,0.04081632653061224,0.17190388170055454,93.0,,,,0.0
14,0.42264029844759116,0.02857142857142857,28.0,980.0,98.0,0.0,0.05,0.05,0.09999999999999999,0.2,0.14499999999999996,0.4,0.22761904761904767,1.0,0.01020408163265306,0.17005545286506468,92.0,,,,0.0
