round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40012223953839837,0.40482075354131186,0.5250614134542706,0.009076501944964703,63.0,6941.0,758.0,0.0,0.16279069767441862,0.16279069767441862,0.3217054263565891,0.5116279069767442,0.37286821705426354,0.7209302325581395,0.4109726836471024,1.0,0.009234828496042216,0.13403813479327922,710.0,1.9663865546218486,0.08584488197468745,0.0017219018282865462,0.0
1,0.40024408602361855,0.34689676181772316,0.48453073089700993,0.00906565287322708,62.0,6839.0,758.0,0.0,0.2765957446808511,0.2765957446808511,0.3652482269503546,0.46808510638297873,0.4067375886524823,0.6595744680851063,0.4501013171225937,1.0,0.017150395778364115,0.13289422704378148,686.0,,,,0.0
2,0.4003502103817136,0.3215891912320484,0.42919973544973544,0.007810240092565809,54.0,6914.0,758.0,0.0,0.09523809523809523,0.09523809523809523,0.20238095238095238,0.35714285714285715,0.2690476190476191,0.6428571428571429,0.31372826908541196,1.0,0.005277044854881266,0.13175230566534915,700.0,,,,0.0
3,0.4004936747917309,0.39420979754201035,0.510792094615624,0.010550657609481139,73.0,6919.0,758.0,0.0,0.18181818181818182,0.18181818181818182,0.29999999999999993,0.45454545454545453,0.3427272727272727,0.6545454545454545,0.38776334776334775,1.0,0.013192612137203167,0.13046701260192736,704.0,,,,0.0
4,0.4006017644157166,0.3672466478754511,0.5488045634920635,0.007905706482679315,55.0,6957.0,758.0,0.0,0.3953488372093023,0.3953488372093023,0.45736434108527124,0.5348837209302325,0.48992248062015503,0.6744186046511628,0.5348652639350314,1.0,0.022427440633245383,0.13096351730589337,700.0,,,,0.0
5,0.4006902013807958,0.3211312717458459,0.5751915708812261,0.0065416484954208464,45.0,6879.0,758.0,0.0,0.25806451612903225,0.25806451612903225,0.34946236559139787,0.4838709677419355,0.4075268817204301,0.7419354838709677,0.442153097798259,1.0,0.010554089709762533,0.1302073603586774,697.0,,,,0.0
6,0.4008159783977973,0.33338459645669294,0.5231014628073452,0.009245882692863335,64.0,6922.0,758.0,0.0,0.21568627450980393,0.21568627450980393,0.34640522875816987,0.5294117647058824,0.3826797385620915,0.6862745098039216,0.42188764394646744,1.0,0.014511873350923483,0.12949240459429417,699.0,,,,0.0
7,0.4009024500969859,0.32811060984236723,0.6143849206349206,0.006418672501823487,44.0,6855.0,758.0,0.0,0.45454545454545453,0.45454545454545453,0.5454545454545454,0.6666666666666666,0.5651515151515151,0.7575757575757576,0.596921596921597,1.0,0.01978891820580475,0.12943593574897272,693.0,,,,0.0
8,0.40102429658220606,0.3491705268445139,0.5692031926406927,0.008859674192626465,62.0,6998.0,758.0,0.0,0.24489795918367346,0.24489795918367346,0.3741496598639456,0.5510204081632653,0.4200680272108843,0.7551020408163265,0.4540978296080337,1.0,0.0158311345646438,0.12664956011730205,691.0,,,,0.0
9,0.4011461430674263,0.3260790582764133,0.4361287477954145,0.00892985741034135,62.0,6943.0,758.0,0.0,0.20833333333333334,0.20833333333333334,0.3055555555555555,0.4375,0.34930555555555554,0.625,0.39663525132275135,1.0,0.013192612137203167,0.12961931290622097,698.0,,,,0.0
10,0.4012955032751156,0.36706543716684026,0.5316549953314659,0.010938399539435808,76.0,6948.0,758.0,0.0,0.2830188679245283,0.2830188679245283,0.36163522012578614,0.4528301886792453,0.41635220125786165,0.6981132075471698,0.4582958969751422,1.0,0.01978891820580475,0.13111400409150084,705.0,1.968503937007874,0.08376768622402589,0.0017276229949254357,0.0
11,0.40140555816499196,0.3717193531075195,0.6248421717171717,0.008026372366346568,56.0,6977.0,758.0,0.0,0.28888888888888886,0.28888888888888886,0.39629629629629626,0.5555555555555556,0.44962962962962955,0.7777777777777778,0.4779894179894179,1.0,0.017150395778364115,0.12618873445501097,690.0,,,,0.0
12,0.40155098784089993,0.3471819956240458,0.45607142857142857,0.010659752232785941,74.0,6942.0,758.0,0.0,0.20408163265306123,0.20408163265306123,0.30952380952380953,0.46938775510204084,0.33911564625850343,0.5918367346938775,0.3957321023647554,1.0,0.013192612137203167,0.12961263080594823,706.0,,,,0.0
13,0.40166104273077624,0.3430141720850956,0.5277085640457734,0.008181154127100073,56.0,6845.0,758.0,0.0,0.2222222222222222,0.2222222222222222,0.3518518518518518,0.4888888888888889,0.382962962962963,0.6222222222222222,0.43436507936507934,1.0,0.013192612137203167,0.13273001508295626,704.0,,,,0.0
14,0.4017848544818871,0.33049610008565233,0.5682839173405212,0.00896031858910539,63.0,7031.0,758.0,0.0,0.25925925925925924,0.25925925925925924,0.35185185185185186,0.48148148148148145,0.4129629629629629,0.7592592592592593,0.44289388594944146,1.0,0.018469656992084433,0.1259299582652876,694.0,,,,0.0
15,0.4018929441058728,0.3103857805420766,0.500562938353636,0.008044463946175223,55.0,6837.0,758.0,0.0,0.2222222222222222,0.2222222222222222,0.3074074074074074,0.4,0.33740740740740743,0.5333333333333333,0.40066137566137566,1.0,0.013192612137203167,0.13023952095808383,696.0,,,,0.0
16,0.4020285474523276,0.30024512966068895,0.5298093512767426,0.010133646644147452,69.0,6809.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444445,0.5833333333333334,0.46319444444444446,0.6666666666666666,0.5065228174603175,1.0,0.021108179419525065,0.13216770069561948,703.0,,,,0.0
17,0.4021071580879535,0.25084310319872627,0.46354166666666663,0.005756223917110376,40.0,6949.0,758.0,0.0,0.13333333333333333,0.13333333333333333,0.28888888888888886,0.4666666666666667,0.31888888888888894,0.6,0.3667460317460317,1.0,0.005277044854881266,0.1274745605920444,689.0,,,,0.0
18,0.40220542138248594,0.32665351454040625,0.550391156462585,0.007253735673872044,50.0,6893.0,758.0,0.0,0.3888888888888889,0.3888888888888889,0.4259259259259259,0.4722222222222222,0.46481481481481485,0.6388888888888888,0.5154210758377427,1.0,0.018469656992084433,0.1280779125321573,697.0,,,,0.0
19,0.40232530260181554,0.2759173564174805,0.5283730158730159,0.008971907633475511,61.0,6799.0,758.0,0.0,0.2608695652173913,0.2608695652173913,0.4311594202898551,0.6304347826086957,0.45507246376811594,0.7391304347826086,0.4884230503795721,1.0,0.0158311345646438,0.13220973782771536,706.0,,,,0.0
20,0.40244321855525444,0.2894844195419247,0.4716374269005847,0.008769365682548963,60.0,6842.0,758.0,0.0,0.29545454545454547,0.29545454545454547,0.3939393939393939,0.5227272727272727,0.42348484848484846,0.6590909090909091,0.4688943001443002,1.0,0.017150395778364115,0.12996658002227998,700.0,1.9689922480620154,0.08192391806332674,0.0017380637103131123,0.0
21,0.4025414818497869,0.33014202049780383,0.5779396407685882,0.007267441860465116,50.0,6880.0,758.0,0.0,0.23684210526315788,0.23684210526315788,0.3771929824561403,0.6052631578947368,0.41929824561403506,0.7894736842105263,0.4465225563909773,1.0,0.011873350923482849,0.12961941533370105,705.0,,,,0.0
22,0.40262402301719413,0.22529372202021897,0.4732462877624168,0.006141248720573183,42.0,6839.0,758.0,0.0,0.2727272727272727,0.2727272727272727,0.3181818181818182,0.3939393939393939,0.3333333333333333,0.45454545454545453,0.40781625781625785,1.0,0.011873350923482849,0.13086009597637505,709.0,,,,0.0
