round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4001006216136012,0.7084335376937754,0.6596308479532165,0.007574654042243263,52.0,6865.0,758.0,0.0,0.40476190476190477,0.40476190476190477,0.503968253968254,0.6190476190476191,0.5432539682539683,0.7857142857142857,0.5711262282690854,1.0,0.022427440633245383,0.13144940747493164,721.0,1.9593495934959348,0.0861307711037903,0.0019342605907881837,0.0
1,0.4002263986306027,0.5719979956268222,0.6323223104056437,0.00924321201617562,64.0,6924.0,758.0,0.0,0.34782608695652173,0.34782608695652173,0.5144927536231884,0.717391304347826,0.5405797101449276,0.8260869565217391,0.5630693581780538,1.0,0.021108179419525065,0.13263979193758127,714.0,,,,0.0
2,0.40035610617938555,0.6839269436848308,0.6870672914555894,0.009591629123673884,66.0,6881.0,758.0,0.0,0.375,0.375,0.49652777777777773,0.6666666666666666,0.5340277777777778,0.8333333333333334,0.5565558862433863,1.0,0.023746701846965697,0.131947000368053,717.0,,,,0.0
3,0.40047402213282446,0.7031539865798302,0.622584541062802,0.008802816901408451,60.0,6816.0,758.0,0.0,0.45098039215686275,0.45098039215686275,0.4967320261437908,0.5686274509803921,0.5310457516339869,0.7254901960784313,0.5660908807967632,1.0,0.030343007915567283,0.13123948401570387,702.0,,,,0.0
4,0.4005880075544821,0.638252522542135,0.5040627362055934,0.00844373271218518,58.0,6869.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.4259259259259259,0.5555555555555556,0.47259259259259256,0.7555555555555555,0.5021869488536155,1.0,0.01978891820580475,0.13151593295266162,714.0,,,,0.0
5,0.40067644451956125,0.6955633334953737,0.6943849206349206,0.00651984931903796,45.0,6902.0,758.0,0.0,0.5,0.5,0.5614035087719298,0.6578947368421053,0.5969298245614035,0.8157894736842105,0.6227234753550542,1.0,0.025065963060686015,0.13082039911308205,708.0,,,,0.0
6,0.4007923952071095,0.6754494246155706,0.6477159992784993,0.008693089730366877,59.0,6787.0,758.0,0.0,0.3409090909090909,0.3409090909090909,0.45075757575757575,0.6136363636363636,0.4780303030303031,0.7272727272727273,0.5141594516594516,1.0,0.01978891820580475,0.13345724907063197,718.0,,,,0.0
7,0.400924068021783,0.589733960069781,0.5762495275888133,0.009791027327195674,67.0,6843.0,758.0,0.0,0.2608695652173913,0.2608695652173913,0.39855072463768115,0.5652173913043478,0.4409420289855072,0.7608695652173914,0.4706521739130434,1.0,0.0158311345646438,0.13014583717925052,705.0,,,,0.0
8,0.4010518103046752,0.6742766773235639,0.6264233954451345,0.009522414298271316,65.0,6826.0,758.0,0.0,0.3541666666666667,0.3541666666666667,0.4618055555555556,0.5833333333333334,0.49513888888888885,0.7291666666666666,0.5326884920634921,1.0,0.022427440633245383,0.13248571955039617,719.0,,,,0.0
9,0.4011697262581141,0.5732441592154601,0.5341524216524217,0.008578781812982557,60.0,6994.0,758.0,0.0,0.23809523809523808,0.23809523809523808,0.3253968253968254,0.42857142857142855,0.38015873015873014,0.6666666666666666,0.4225056689342403,1.0,0.013192612137203167,0.1288800145216918,710.0,,,,0.0
10,0.40126209375497457,0.5312676674215064,0.5484126984126985,0.006778194404384194,47.0,6934.0,758.0,0.0,0.3953488372093023,0.3953488372093023,0.4534883720930232,0.5348837209302325,0.4848837209302325,0.6744186046511628,0.5275747508305648,1.0,0.022427440633245383,0.13155473781048757,715.0,1.9435483870967742,0.08399156169233345,0.001937424067856576,0.0
11,0.4013800097084135,0.6757551398226639,0.5287462207105064,0.008693132425383946,60.0,6902.0,758.0,0.0,0.35555555555555557,0.35555555555555557,0.4518518518518519,0.5555555555555556,0.472962962962963,0.6444444444444445,0.5170458553791887,1.0,0.021108179419525065,0.12949771689497716,709.0,,,,0.0
12,0.4014920298641805,0.5625119582437261,0.6305555555555555,0.008220363426593597,57.0,6934.0,758.0,0.0,0.4772727272727273,0.4772727272727273,0.5643939393939394,0.6818181818181818,0.5837121212121212,0.7727272727272727,0.6136544011544012,1.0,0.027704485488126648,0.12874523333938623,709.0,,,,0.0
13,0.40157653629747836,0.6159731171952182,0.6459062791783381,0.006281040023371312,43.0,6846.0,758.0,0.0,0.4857142857142857,0.4857142857142857,0.5761904761904761,0.6857142857142857,0.6019047619047618,0.8,0.6282086167800454,1.0,0.022427440633245383,0.1307537135521731,713.0,,,,0.0
14,0.40165318166721364,0.5978904528718973,0.5833643353174603,0.0055358410220014195,39.0,7045.0,758.0,0.0,0.3235294117647059,0.3235294117647059,0.42156862745098034,0.5882352941176471,0.45245098039215687,0.7352941176470589,0.48385854341736695,1.0,0.014511873350923483,0.12417276210379659,713.0,,,,0.0
15,0.4017671670888713,0.5670942616516679,0.5600308641975309,0.008446191932430465,58.0,6867.0,758.0,0.0,0.34782608695652173,0.34782608695652173,0.40217391304347827,0.4782608695652174,0.45108695652173914,0.6956521739130435,0.4895703933747413,1.0,0.021108179419525065,0.12573255194459243,708.0,,,,0.0
16,0.4018791872446383,0.6403508771929823,0.5538070436507937,0.008113879003558718,57.0,7025.0,758.0,0.0,0.3333333333333333,0.3333333333333333,0.4484126984126985,0.6190476190476191,0.4841269841269841,0.7857142857142857,0.5159674981103552,1.0,0.018469656992084433,0.12663369833980925,717.0,,,,0.0
17,0.40198727686862396,0.5929928408590969,0.5939980158730158,0.008001163805644458,55.0,6874.0,758.0,0.0,0.35714285714285715,0.35714285714285715,0.4563492063492064,0.5714285714285714,0.47777777777777775,0.6666666666666666,0.5206254724111867,1.0,0.01978891820580475,0.12820050486837362,711.0,,,,0.0
18,0.40209536649260963,0.510739450663405,0.525348494098494,0.007979109241259249,55.0,6893.0,758.0,0.0,0.275,0.275,0.375,0.5,0.4125,0.675,0.4560615079365079,1.0,0.014511873350923483,0.12694439477918826,710.0,,,,0.0
19,0.4021916645212514,0.4835119404439536,0.5927287581699346,0.007040229885057471,49.0,6960.0,758.0,0.0,0.46153846153846156,0.46153846153846156,0.547008547008547,0.6666666666666666,0.564957264957265,0.7435897435897436,0.5969271469271469,1.0,0.023746701846965697,0.12715020393686824,717.0,,,,0.0
20,0.4022643793592054,0.4261034429859928,0.5534274193548387,0.005356108859293573,37.0,6908.0,758.0,0.0,0.30303030303030304,0.30303030303030304,0.4292929292929293,0.5757575757575758,0.448989898989899,0.6666666666666666,0.4894300144300144,1.0,0.013192612137203167,0.1257346393588602,706.0,1.9609375,0.08205913883818515,0.0019426689894836183,0.0
21,0.4023685384514098,0.4621500581460882,0.554537037037037,0.0076633892423366105,53.0,6916.0,758.0,0.0,0.40540540540540543,0.40540540540540543,0.49549549549549554,0.6216216216216216,0.5306306306306307,0.7837837837837838,0.5583226083226084,1.0,0.01978891820580475,0.12731440663022395,722.0,,,,0.0
22,0.40246483648005155,0.46387427129531417,0.6556246799795188,0.007044278320874065,49.0,6956.0,758.0,0.0,0.30303030303030304,0.30303030303030304,0.48989898989898983,0.7575757575757576,0.5186868686868688,0.8787878787878788,0.5344636844636844,1.0,0.013192612137203167,0.12702366127023662,714.0,,,,0.0
