round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4000638823016987,0.7563683157230655,0.6786541005291005,0.004529234147680483,33.0,7286.0,773.0,0.0,0.5416666666666666,0.5416666666666666,0.6458333333333334,0.75,0.6645833333333333,0.8333333333333334,0.6873181216931217,1.0,0.016817593790426907,0.1248254189944134,715.0,1.950354609929078,0.0323763607300889,0.004487021010180556,0.0
1,0.400152930358612,0.7433292463080201,0.7675245098039215,0.006380912747953946,46.0,7209.0,773.0,0.0,0.5,0.5,0.5539215686274509,0.6176470588235294,0.615686274509804,0.8823529411764706,0.6338935574229693,1.0,0.02199223803363519,0.12546386287329916,710.0,,,,0.0
2,0.4002129410056623,0.7980755437608706,0.8472842261904763,0.0042894700428947,31.0,7227.0,773.0,0.0,0.7083333333333334,0.7083333333333334,0.8055555555555555,0.9166666666666666,0.8159722222222222,0.9583333333333334,0.8206018518518517,1.0,0.02199223803363519,0.12550607287449392,713.0,,,,0.0
3,0.40028263078933357,0.7756809814076417,0.7125157076719577,0.004925434395950198,36.0,7309.0,773.0,0.0,0.5416666666666666,0.5416666666666666,0.625,0.75,0.6458333333333334,0.8333333333333334,0.6703042328042329,1.0,0.016817593790426907,0.12476337979693684,725.0,,,,0.0
4,0.4003523205730049,0.80908832303103,0.7871260683760682,0.004957312035251997,36.0,7262.0,773.0,0.0,0.5555555555555556,0.5555555555555556,0.6234567901234568,0.7037037037037037,0.6679012345679012,0.8888888888888888,0.6839947089947089,1.0,0.019404915912031046,0.123407917383821,717.0,,,,0.0
5,0.4004374969752698,0.786700800966817,0.70601318484383,0.0061841180604357,44.0,7115.0,773.0,0.0,0.53125,0.53125,0.59375,0.6875,0.6234375,0.8125,0.6488219246031746,1.0,0.02199223803363519,0.12882134652765506,729.0,,,,0.0
6,0.4005013792769685,0.7422804858970619,0.600565044858523,0.004583333333333333,33.0,7200.0,773.0,0.0,0.30434782608695654,0.30434782608695654,0.46376811594202905,0.6956521739130435,0.5028985507246376,0.8695652173913043,0.5181159420289856,1.0,0.009055627425614488,0.12596899224806202,715.0,,,,0.0
7,0.4005613899240188,0.7218890187020075,0.6544784580498868,0.004267033723331039,31.0,7265.0,773.0,0.0,0.3103448275862069,0.3103448275862069,0.4080459770114942,0.5172413793103449,0.4563218390804597,0.7241379310344828,0.49122879036672135,1.0,0.01164294954721863,0.125,715.0,,,,0.0
8,0.4006194647437449,0.7305798307670966,0.6929720133667502,0.004144218814753419,30.0,7239.0,773.0,0.0,0.5714285714285714,0.5714285714285714,0.6825396825396824,0.8095238095238095,0.7182539682539681,0.9523809523809523,0.726190476190476,1.0,0.015523932729624839,0.12367368237954426,711.0,,,,0.0
9,0.4006717320814983,0.6956848699103793,0.674512987012987,0.0037536493813429724,27.0,7193.0,773.0,0.0,0.43478260869565216,0.43478260869565216,0.5289855072463768,0.6521739130434783,0.5485507246376812,0.7391304347826086,0.581504485852312,1.0,0.0129366106080207,0.12613082811412665,725.0,,,,0.0
10,0.4007239994192518,0.6764649480154658,0.7002645502645503,0.0037641154328732747,27.0,7173.0,773.0,0.0,0.5652173913043478,0.5652173913043478,0.5869565217391305,0.6086956521739131,0.6282608695652173,0.782608695652174,0.6567632850241545,1.0,0.016817593790426907,0.1280141843971631,722.0,1.9867549668874172,0.03142153483779721,0.0044923944706573,0.0
11,0.40078594589362626,0.7537376855834605,0.7650462962962963,0.004420500069070314,32.0,7239.0,773.0,0.0,0.6,0.6,0.6666666666666666,0.75,0.6991666666666666,0.9,0.7158333333333333,1.0,0.015523932729624839,0.12532865907099036,715.0,,,,0.0
12,0.4008730581232154,0.7980954997024219,0.8118867243867244,0.006142506142506142,45.0,7326.0,773.0,0.0,0.6764705882352942,0.6764705882352942,0.7941176470588235,0.9117647058823529,0.8073529411764706,0.9705882352941176,0.8115546218487395,1.0,0.029754204398447608,0.1256508156889969,724.0,,,,0.0
