round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40000844624059667,0.43255749896708445,0.48888888888888893,0.00034418668685895227,5.0,14527.0,1572.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.31166666666666665,1.0,0.0006361323155216285,0.13189269746646795,1416.0,2.0,0.06472126072747394,0.00029742109278119356,0.0
1,0.40001579079763727,0.29913781139407397,0.4777777777777778,0.00027748872702046477,4.0,14415.0,1572.0,0.0,0.25,0.25,0.375,0.5,0.4375,0.75,0.46875,1.0,0.0006361323155216285,0.13053892215568863,1417.0,,,,0.0
2,0.4000212992154177,0.13723399376261236,0.35648148148148145,0.00020634156406905565,3.0,14539.0,1572.0,0.0,0.0,0.0,0.38888888888888884,1.0,0.38888888888888884,1.0,0.38888888888888884,1.0,0.0,0.12917820867959373,1399.0,,,,0.0
3,0.4000359883294989,0.39022747810371194,0.4861111111111111,0.0005557871335278589,8.0,14394.0,1572.0,0.0,0.375,0.375,0.4375,0.5,0.49375,0.75,0.51875,1.0,0.0019083969465648854,0.1305873660879202,1414.0,,,,0.0
4,0.40004700516505975,0.3769489662751563,0.5462962962962963,0.00041194644696189496,6.0,14565.0,1572.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.24166666666666667,0.8333333333333334,0.25833333333333336,1.0,0.0,0.12972070149392223,1398.0,,,,0.0
5,0.40005067744358,0.19151217487548425,0.625,0.00013833171946327292,2.0,14458.0,1572.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.13183161004431315,1428.0,,,,0.0
6,0.40005802200062063,0.316854614850798,0.375,0.0002775079783543777,4.0,14414.0,1572.0,0.0,0.25,0.25,0.375,0.5,0.425,0.75,0.45625,1.0,0.0006361323155216285,0.13164440350069093,1429.0,,,,0.0
7,0.40007087497544164,0.4292074228918513,0.5646258503401361,0.00048292514660227664,7.0,14495.0,1572.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.42857142857142855,0.2965986394557823,1.0,0.0006361323155216285,0.1307080791273803,1414.0,,,,0.0
8,0.400087400228783,0.3517674325796994,0.6269841269841271,0.0006212466349140609,9.0,14487.0,1572.0,0.0,0.4444444444444444,0.4444444444444444,0.5,0.5555555555555556,0.5222222222222223,0.6666666666666666,0.5685185185185185,1.0,0.002544529262086514,0.1301534479571085,1408.0,,,,0.0
9,0.40009658092508366,0.2882015085461214,0.6000000000000001,0.0003458771444382955,5.0,14456.0,1572.0,0.0,0.4,0.4,0.6,0.8,0.6,0.8,0.6333333333333334,1.0,0.001272264631043257,0.1291678085320179,1414.0,,,,0.0
10,0.4001020893428641,0.2533411408101405,0.5740740740740741,0.00020662580067497762,3.0,14519.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.41203703703703703,1.0,0.0006361323155216285,0.12735979371949535,1383.0,2.0,0.06462664219742095,0.00029742109278119356,0.0
11,0.40011127003916486,0.5958717185010736,0.6222222222222221,0.00034621243595069935,5.0,14442.0,1572.0,0.0,0.2,0.2,0.2,0.2,0.3,0.6,0.35357142857142854,1.0,0.0006361323155216285,0.13237610004631775,1429.0,,,,0.0
12,0.400113106178425,0.43379948514575944,0.5,6.957005704744678e-05,1.0,14374.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.25,1.0,0.0,0.13157894736842105,1430.0,,,,0.0
13,0.40011494231768513,0.03646905448058185,0.6666666666666667,6.86106346483705e-05,1.0,14575.0,1572.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.1302524838209826,1429.0,,,,0.0
14,0.4001204507354656,0.14207893654926682,0.6481481481481481,0.0002055216825375077,3.0,14597.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5,1.0,0.0006361323155216285,0.13059804011356352,1426.0,,,,0.0
15,0.40012412301398587,0.5333449356073791,0.75,0.00013920790700911812,2.0,14367.0,1572.0,0.0,0.5,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.0006361323155216285,0.13038255405655147,1411.0,,,,0.0
16,0.40013513984954674,0.48139153040979676,0.6574074074074073,0.0004103125213704438,6.0,14623.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.3055555555555555,0.5,0.33888888888888885,0.6666666666666666,0.3875,1.0,0.0006361323155216285,0.1294289097367702,1421.0,,,,0.0
17,0.4001406482673272,0.42086587866639014,0.5925925925925927,0.0002073255010366275,3.0,14470.0,1572.0,0.0,0.0,0.0,0.5,1.0,0.5,1.0,0.5,1.0,0.0,0.1259869848156182,1452.0,,,,0.0
18,0.4001461566851076,0.2396947262590257,0.5,0.0002056061956000274,3.0,14591.0,1572.0,0.0,0.0,0.0,0.2222222222222222,0.6666666666666666,0.3055555555555555,1.0,0.3055555555555555,1.0,0.0,0.1277460646946895,1477.0,,,,0.0
19,0.4001461566851076,,,0.0,0.0,14252.0,1572.0,0.0,,,,,,,,,0.0,0.12839679887432942,1460.0,,,,0.0
20,0.40014799282436775,0.38999512636635797,0.5,6.961849067112225e-05,1.0,14364.0,1572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.12668889278820847,1444.0,2.0,0.06458307945095668,0.00029742109278119356,0.0
21,0.4001590096599286,0.40662888007974596,0.3240740740740741,0.0004171011470281543,6.0,14385.0,1572.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.19999999999999998,0.3333333333333333,0.2796296296296297,1.0,0.0006361323155216285,0.12650392327811683,1451.0,,,,0.0
22,0.4001645180777091,0.37249306653831166,0.6666666666666666,0.00020624226591502818,3.0,14546.0,1572.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555,1.0,0.0006361323155216285,0.12682165163081194,1462.0,,,,0.0
23,0.4001718626347497,0.4372450390652009,0.3888888888888889,0.00027649132508467545,4.0,14467.0,1572.0,0.0,0.25,0.25,0.3333333333333333,0.5,0.3958333333333333,0.75,0.4236111111111111,1.0,0.0006361323155216285,0.1250765864332604,1429.0,,,,0.0
24,0.4001773710525301,0.3301060396496081,0.48148148148148145,0.00020742584526031943,3.0,14463.0,1572.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.19444444444444442,1.0,0.0,0.12765585380781674,1460.0,,,,0.0
