round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40001076808013325,0.30773352033660595,0.6790123456790123,0.000560695262125035,10.0,17835.0,1924.0,0.0,0.5,0.5,0.5333333333333333,0.6,0.5583333333333333,0.7,0.5937301587301588,1.0,0.002598752598752599,0.12533833021028523,1806.0,2.0,0.06447702501438546,9.76298768535957e-05,0.0
1,0.40002130207156794,0.2644900658976546,0.4444444444444444,0.0005004726686314853,9.0,17983.0,1924.0,0.0,0.2222222222222222,0.2222222222222222,0.25925925925925924,0.3333333333333333,0.3037037037037037,0.5555555555555556,0.36772486772486773,1.0,0.0010395010395010396,0.12489706286027999,1820.0,,,,0.0
2,0.40003300650649537,0.1558937062937063,0.7426215277777778,0.0005591277606933184,10.0,17885.0,1924.0,0.0,0.6666666666666666,0.6666666666666666,0.7222222222222222,0.7777777777777778,0.7222222222222222,0.7777777777777778,0.745679012345679,1.0,0.0031185031185031187,0.12378857653446973,1801.0,,,,0.0
3,0.4000447109414228,0.13383641131507001,0.5694444444444444,0.0005576311827357386,10.0,17933.0,1924.0,0.0,0.2,0.2,0.25,0.3,0.32999999999999996,0.7,0.3744444444444444,1.0,0.0010395010395010396,0.12421372779429045,1797.0,,,,0.0
4,0.4000599267068285,0.0890580350850216,0.7543402777777778,0.0007213405837309954,13.0,18022.0,1924.0,0.0,0.5,0.5,0.611111111111111,0.75,0.6277777777777778,0.8333333333333334,0.6509259259259259,1.0,0.0031185031185031187,0.12192262602579132,1768.0,,,,0.0
5,0.4000657789242922,0.0865069994940125,0.7222222222222222,0.0002810251798561151,5.0,17792.0,1924.0,0.0,0.6,0.6,0.7,0.8,0.7,0.8,0.725,1.0,0.0015592515592515593,0.1252858429769247,1808.0,,,,0.0
6,0.4000716311417559,0.21232182628062365,0.5055555555555555,0.00027831895352073476,5.0,17965.0,1924.0,0.0,0.2,0.2,0.3,0.4,0.33999999999999997,0.6,0.38722222222222225,1.0,0.0005197505197505198,0.1252069536423841,1815.0,,,,0.0
7,0.40007982424620514,0.17860359998069714,0.43650793650793657,0.0003939445101018628,7.0,17769.0,1924.0,0.0,0.2857142857142857,0.2857142857142857,0.40476190476190477,0.5714285714285714,0.40476190476190477,0.5714285714285714,0.4607142857142858,1.0,0.0010395010395010396,0.12347044590390598,1786.0,,,,0.0
8,0.40009035823763983,0.08600281356709491,0.6327160493827161,0.0005017281748243951,9.0,17938.0,1924.0,0.0,0.5555555555555556,0.5555555555555556,0.5925925925925926,0.6666666666666666,0.6203703703703703,0.7777777777777778,0.6521164021164021,1.0,0.002598752598752599,0.12459356624005534,1801.0,,,,0.0
9,0.4000926991246253,0.3154311649016642,0.5,0.00011205109529945655,2.0,17849.0,1924.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5714285714285714,1.0,0.0005197505197505198,0.1251740462266778,1798.0,,,,0.0
10,0.40010206267256726,0.2142279370746402,0.705640589569161,0.0004460800713728114,8.0,17934.0,1924.0,0.0,0.375,0.375,0.4375,0.5,0.53125,0.875,0.5491071428571428,1.0,0.0015592515592515593,0.12388214904679376,1787.0,1.9923076923076923,0.0643900273159442,9.76298768535957e-05,0.0
11,0.40010908533352374,0.19834447628143903,0.888888888888889,0.00033698399326032014,6.0,17805.0,1924.0,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.861111111111111,1.0,0.002598752598752599,0.12590630228667038,1806.0,,,,0.0
12,0.40011727843797296,0.32401954196542215,0.5367063492063492,0.0003872109746653391,7.0,18078.0,1924.0,0.0,0.14285714285714285,0.14285714285714285,0.3095238095238095,0.5714285714285714,0.3095238095238095,0.5714285714285714,0.3662131519274377,1.0,0.0005197505197505198,0.12393723646920578,1793.0,,,,0.0
13,0.4001243010989294,0.1581752662677355,0.7555555555555555,0.0003386004514672686,6.0,17720.0,1924.0,0.0,0.5,0.5,0.6944444444444445,1.0,0.6944444444444445,1.0,0.6944444444444445,1.0,0.0015592515592515593,0.12710319685922603,1813.0,,,,0.0
14,0.4001395168643351,0.17460671650117152,0.6123737373737373,0.0007246780757009867,13.0,17939.0,1924.0,0.0,0.09090909090909091,0.09090909090909091,0.3333333333333333,0.6363636363636364,0.37878787878787873,0.8181818181818182,0.4090909090909091,1.0,0.0005197505197505198,0.12473148083985863,1800.0,,,,0.0
15,0.400153562186248,0.1759295923369914,0.5930735930735931,0.0006783493499152064,12.0,17690.0,1924.0,0.0,0.16666666666666666,0.16666666666666666,0.2638888888888889,0.4166666666666667,0.2972222222222222,0.5833333333333334,0.35426587301587303,1.0,0.0010395010395010396,0.12691206258294335,1817.0,,,,0.0
16,0.40016058484720446,0.20133098289402504,0.5673280423280423,0.0003356643356643357,6.0,17875.0,1924.0,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.19999999999999998,0.5,0.2763888888888889,1.0,0.0,0.12651610204935174,1815.0,,,,0.0
17,0.4001699483951464,0.0942872191011236,0.5,0.0004492362982929021,8.0,17808.0,1924.0,0.0,0.25,0.25,0.25,0.25,0.28125,0.375,0.35500992063492065,1.0,0.0010395010395010396,0.1259600614439324,1804.0,,,,0.0
18,0.4001804823865811,0.17871418431768085,0.6944444444444444,0.0005040604872584711,9.0,17855.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.5185185185185185,0.7777777777777778,0.5407407407407407,0.8888888888888888,0.5518518518518518,1.0,0.0015592515592515593,0.12325532949100756,1775.0,,,,0.0
19,0.4001886754910303,0.1371660210072287,0.6666666666666669,0.0003912363067292645,7.0,17892.0,1924.0,0.0,0.0,0.0,0.19047619047619047,0.5714285714285714,0.25476190476190474,0.8571428571428571,0.26904761904761904,1.0,0.0,0.12463546729620886,1795.0,,,,0.0
20,0.4002015503694505,0.1774352380515034,0.7258297258297257,0.0006170069553511331,11.0,17828.0,1924.0,0.0,0.45454545454545453,0.45454545454545453,0.5303030303030303,0.6363636363636364,0.553030303030303,0.7272727272727273,0.5873737373737374,1.0,0.002598752598752599,0.12593839893355785,1795.0,2.0,0.06428974773944801,9.76298768535957e-05,0.0
21,0.40020740258691423,0.1732946298984035,0.45555555555555555,0.00027903342820469895,5.0,17919.0,1924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13904761904761903,1.0,0.0,0.12454948710840033,1797.0,,,,0.0
22,0.4002202774653344,0.13726195748449954,0.6714646464646464,0.0006085753803596127,11.0,18075.0,1924.0,0.0,0.36363636363636365,0.36363636363636365,0.43939393939393945,0.5454545454545454,0.47575757575757577,0.7272727272727273,0.508946608946609,1.0,0.002079002079002079,0.12520706791827718,1814.0,,,,0.0
23,0.4002284705697836,0.08432633906124044,0.6269841269841271,0.00039093041438623924,7.0,17906.0,1924.0,0.0,0.14285714285714285,0.14285714285714285,0.23809523809523808,0.42857142857142855,0.2952380952380952,0.7142857142857143,0.33690476190476193,1.0,0.0005197505197505198,0.12557651991614255,1797.0,,,,0.0
24,0.4002319819002618,0.10629460303300625,0.7777777777777778,0.00016723340208484307,3.0,17939.0,1924.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,1.0,0.75,1.0,0.0010395010395010396,0.12538311507383673,1800.0,,,,0.0
