round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40001076808013325,0.7025385261978145,0.6055555555555555,0.0005600672080649678,10.0,17855.0,1924.0,0.0,0.3,0.3,0.38333333333333336,0.5,0.42833333333333334,0.7,0.46761904761904766,1.0,0.0015592515592515593,0.12246575342465753,1788.0,1.9923664122137406,0.06405797081792183,0.00029870686150714506,0.0
1,0.40001662029759694,0.6969783448044318,0.7333333333333333,0.00027970463190870443,5.0,17876.0,1924.0,0.0,0.4,0.4,0.4666666666666666,0.6,0.5066666666666666,0.8,0.54,1.0,0.0010395010395010396,0.12365036792517708,1798.0,,,,0.0
2,0.4000341769499881,0.5148624568437465,0.6709401709401709,0.0008345852111500584,15.0,17973.0,1924.0,0.0,0.38461538461538464,0.38461538461538464,0.4487179487179487,0.5384615384615384,0.517948717948718,0.8461538461538461,0.535042735042735,1.0,0.002598752598752599,0.12423124231242312,1818.0,,,,0.0
3,0.40004354049793006,0.5941205946216803,0.5571428571428572,0.0004452111970616061,8.0,17969.0,1924.0,0.0,0.125,0.125,0.22916666666666666,0.375,0.22916666666666666,0.375,0.30813492063492065,1.0,0.0005197505197505198,0.12444200260971088,1812.0,,,,0.0
4,0.40006109715032123,0.3109181926455262,0.7692307692307693,0.0008367267250515982,15.0,17927.0,1924.0,0.0,0.6153846153846154,0.6153846153846154,0.6538461538461539,0.6923076923076923,0.6692307692307692,0.7692307692307693,0.6956043956043957,1.0,0.004158004158004158,0.12326592587480158,1786.0,,,,0.0
5,0.4000704606982632,0.604266492088255,0.8194444444444444,0.00044553352639786146,8.0,17956.0,1924.0,0.0,0.625,0.625,0.625,0.625,0.65625,0.75,0.684375,1.0,0.002598752598752599,0.12267809757093284,1803.0,,,,0.0
6,0.4000821651331906,0.39343826077110344,0.6166666666666667,0.0005658348893792791,10.0,17673.0,1924.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.567063492063492,1.0,0.002598752598752599,0.12443642921550947,1794.0,,,,0.0
7,0.4000950400116108,0.5691584103306245,0.6277777777777779,0.0006118929743561217,11.0,17977.0,1924.0,0.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.4727272727272727,0.5454545454545454,0.5352092352092351,1.0,0.002598752598752599,0.12384879725085911,1802.0,,,,0.0
8,0.40010323311606,0.5977366173324532,0.6468253968253969,0.0003895381190873678,7.0,17970.0,1924.0,0.0,0.42857142857142855,0.42857142857142855,0.4761904761904762,0.5714285714285714,0.5047619047619049,0.7142857142857143,0.5404761904761906,1.0,0.0015592515592515593,0.12172310212998362,1783.0,,,,0.0
9,0.40011259666400195,0.6040612664702285,0.6909722222222222,0.00044456793553764934,8.0,17995.0,1924.0,0.0,0.75,0.75,0.8125,0.875,0.8125,0.875,0.8303571428571428,1.0,0.0031185031185031187,0.12332807462788943,1798.0,,,,0.0
