round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.4000271542890317,0.8421249349973999,0.6031400966183575,0.0013354106387714222,24.0,17972.0,1924.0,0.0,0.21739130434782608,0.21739130434782608,0.3188405797101449,0.4782608695652174,0.3579710144927536,0.6521739130434783,0.4062629399585921,1.0,0.002598752598752599,0.10504807692307692,874.0,2.0,0.06462731225672344,0.00029032571853642163,0.0
1,0.4000517336023793,0.8433777042279544,0.5635416666666667,0.0011795102224219276,21.0,17804.0,1924.0,0.0,0.3,0.3,0.3416666666666667,0.4,0.37666666666666665,0.55,0.4423412698412698,1.0,0.0031185031185031187,0.10689286985407521,901.0,,,,0.0
2,0.4000716311417559,0.9120717145941377,0.562037037037037,0.0009531285041489123,17.0,17836.0,1924.0,0.0,0.2,0.2,0.3222222222222222,0.4666666666666667,0.3688888888888889,0.6666666666666666,0.40748677248677245,1.0,0.0015592515592515593,0.10583629022390799,865.0,,,,0.0
3,0.4000997217855818,0.8351979986235887,0.6585144927536233,0.0013374198941209251,24.0,17945.0,1924.0,0.0,0.21739130434782608,0.21739130434782608,0.3550724637681159,0.5652173913043478,0.3942028985507246,0.7391304347826086,0.4283126293995859,1.0,0.002598752598752599,0.1052434456928839,843.0,,,,0.0
4,0.40012313065543664,0.7536435287610619,0.6169590643274855,0.0011049723756906078,20.0,18100.0,1924.0,0.0,0.35,0.35,0.4583333333333333,0.6,0.4708333333333333,0.65,0.515892857142857,1.0,0.0036382536382536385,0.10653957528957529,883.0,,,,0.0
5,0.40015239174275524,0.8731933430135151,0.6741898148148149,0.0013942334504489433,25.0,17931.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.4513888888888889,0.5833333333333334,0.48055555555555557,0.7083333333333334,0.5161210317460317,1.0,0.004158004158004158,0.10605338417540515,890.0,,,,0.0
6,0.4001804823865811,0.8504519906971593,0.6886574074074074,0.001327213404855389,24.0,18083.0,1924.0,0.0,0.18181818181818182,0.18181818181818182,0.3636363636363636,0.6363636363636364,0.41818181818181815,0.8636363636363636,0.43621933621933623,1.0,0.002079002079002079,0.10591162184575287,894.0,,,,0.0
7,0.40019686859547954,0.8868733984625241,0.5952380952380952,0.0007841380082894589,14.0,17854.0,1924.0,0.0,0.21428571428571427,0.21428571428571427,0.2738095238095238,0.35714285714285715,0.3416666666666667,0.6428571428571429,0.39345238095238094,1.0,0.0015592515592515593,0.10705304753921686,894.0,,,,0.0
8,0.4002167661348562,0.7972127576383846,0.7761437908496732,0.0009486607142857143,17.0,17920.0,1924.0,0.0,0.35294117647058826,0.35294117647058826,0.5,0.7058823529411765,0.5294117647058824,0.8235294117647058,0.5549719887955182,1.0,0.0031185031185031187,0.10546441346984088,855.0,,,,0.0
9,0.4002343227872473,0.8874217725313847,0.6629629629629631,0.0008424599831508003,15.0,17805.0,1924.0,0.0,0.26666666666666666,0.26666666666666666,0.39999999999999997,0.6,0.4166666666666667,0.6666666666666666,0.45952380952380956,1.0,0.002079002079002079,0.10648204876853327,869.0,,,,0.0
10,0.4002577316571022,0.7738360040340655,0.5526315789473685,0.0011193194537721066,20.0,17868.0,1924.0,0.0,0.15,0.15,0.2833333333333333,0.5,0.3333333333333333,0.7,0.37130952380952376,1.0,0.0015592515592515593,0.10930091185410334,899.0,2.0,0.06447253662459179,0.00029032571853642163,0.0
11,0.4002741178660006,0.8445191717363398,0.7857142857142858,0.0007807707322514081,14.0,17931.0,1924.0,0.0,0.42857142857142855,0.42857142857142855,0.5595238095238095,0.7142857142857143,0.5952380952380951,0.8571428571428571,0.619047619047619,1.0,0.0031185031185031187,0.10624845028514754,857.0,,,,0.0
12,0.40030571984030466,0.9229606469849896,0.7098765432098767,0.0015051845244731855,27.0,17938.0,1924.0,0.0,0.25925925925925924,0.25925925925925924,0.4444444444444444,0.7037037037037037,0.4537037037037037,0.7407407407407407,0.49243092298647856,1.0,0.0036382536382536385,0.10660678406807705,902.0,,,,0.0
13,0.4003291287101596,0.8886747224402826,0.6253654970760234,0.001120197154699227,20.0,17854.0,1924.0,0.0,0.15789473684210525,0.15789473684210525,0.2982456140350877,0.47368421052631576,0.33771929824561403,0.631578947368421,0.38830409356725143,1.0,0.0015592515592515593,0.10488978971370662,828.0,,,,0.0
14,0.4003548784669999,0.8528765059474426,0.6290204678362574,0.0012302186434043506,22.0,17883.0,1924.0,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.5238095238095238,0.45952380952380956,0.6666666666666666,0.504875283446712,1.0,0.0036382536382536385,0.10535363457760315,858.0,,,,0.0
15,0.4003782873368548,0.8114637956041504,0.6485339506172839,0.0011144544745347153,20.0,17946.0,1924.0,0.0,0.4444444444444444,0.4444444444444444,0.5185185185185186,0.6111111111111112,0.5574074074074074,0.7777777777777778,0.582010582010582,1.0,0.004158004158004158,0.10650887573964497,882.0,,,,0.0
16,0.4004063779806807,0.7583154456586382,0.5507246376811593,0.0013363028953229399,24.0,17960.0,1924.0,0.0,0.20833333333333334,0.20833333333333334,0.34027777777777773,0.5,0.3611111111111111,0.5833333333333334,0.41248346560846566,1.0,0.002598752598752599,0.10388821385176185,855.0,,,,0.0
17,0.40042978685053554,0.862992048826922,0.60546875,0.0011186307959058113,20.0,17879.0,1924.0,0.0,0.29411764705882354,0.29411764705882354,0.37254901960784315,0.47058823529411764,0.42549019607843136,0.7058823529411765,0.4656862745098039,1.0,0.002598752598752599,0.10747775907670112,894.0,,,,0.0
18,0.40045436616388314,0.7503104897777212,0.5944444444444444,0.001168939604787086,21.0,17965.0,1924.0,0.0,0.38095238095238093,0.38095238095238093,0.43650793650793646,0.5238095238095238,0.46746031746031746,0.6666666666666666,0.5126228269085411,1.0,0.004158004158004158,0.10836363636363637,894.0,,,,0.0
19,0.4004789454772308,0.8966363898963315,0.6228070175438597,0.0011781206171107995,21.0,17825.0,1924.0,0.0,0.3157894736842105,0.3157894736842105,0.35964912280701755,0.42105263157894735,0.42017543859649126,0.6842105263157895,0.46225981620718465,1.0,0.0031185031185031187,0.10556090515166106,877.0,,,,0.0
20,0.4005046952340711,0.8466190478599359,0.6914862914862915,0.0012226977157783583,22.0,17993.0,1924.0,0.0,0.2727272727272727,0.2727272727272727,0.4393939393939394,0.6818181818181818,0.4575757575757576,0.7727272727272727,0.4840909090909091,1.0,0.0031185031185031187,0.1070518266779949,882.0,1.9919354838709677,0.0643043623032994,0.00029032571853642163,0.0
21,0.40052459277344776,0.741498791297341,0.5915032679738562,0.0009496145682046698,17.0,17902.0,1924.0,0.0,0.11764705882352941,0.11764705882352941,0.24509803921568624,0.4117647058823529,0.3127450980392157,0.7058823529411765,0.3513071895424837,1.0,0.0010395010395010396,0.10926677812276092,915.0,,,,0.0
22,0.4005491720867954,0.9140482586587355,0.7135416666666667,0.0011739057521381855,21.0,17889.0,1924.0,0.0,0.3,0.3,0.425,0.6,0.45999999999999996,0.75,0.49442460317460324,1.0,0.0031185031185031187,0.10966981132075472,930.0,,,,0.0
23,0.40057258095665027,0.8404964539007093,0.6888888888888889,0.0011334655709832814,20.0,17645.0,1924.0,0.0,0.25,0.25,0.3833333333333333,0.6,0.43083333333333335,0.8,0.45422619047619045,1.0,0.002598752598752599,0.10698401250150258,890.0,,,,0.0
24,0.4005971602699979,0.835838059608231,0.6402116402116402,0.0011712214166201896,21.0,17930.0,1924.0,0.0,0.2857142857142857,0.2857142857142857,0.3253968253968254,0.38095238095238093,0.423015873015873,0.8095238095238095,0.4446334089191232,1.0,0.0031185031185031187,0.10592610364683301,883.0,,,,0.0
25,0.4006112055919108,0.8678646934460889,0.6296296296296297,0.0006671855887912822,12.0,17986.0,1924.0,0.0,0.16666666666666666,0.16666666666666666,0.2638888888888889,0.4166666666666667,0.33888888888888885,0.75,0.3704695767195767,1.0,0.0010395010395010396,0.10962566844919786,902.0,,,,0.0
26,0.4006357849052585,0.9104353459652716,0.7821869488536156,0.0011743652835253327,21.0,17882.0,1924.0,0.0,0.2777777777777778,0.2777777777777778,0.45370370370370366,0.7222222222222222,0.49259259259259264,0.8888888888888888,0.5097883597883598,1.0,0.002598752598752599,0.10815203800950238,865.0,,,,0.0
