round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.40105507816644004,0.8903081041360488,0.5691964285714285,0.01562944018186985,110.0,7038.0,711.0,0.0,0.17105263157894737,0.17105263157894737,0.3223684210526316,0.5131578947368421,0.35328947368421054,0.6447368421052632,0.40011487050960737,1.0,0.01828410689170183,0.18239526026237834,431.0,1.9558823529411764,0.057706312459038525,0.010797180497222806,0.0
1,0.40239562537974133,0.8429185429884235,0.5670149011985747,0.01972470554846034,139.0,7047.0,711.0,0.0,0.17346938775510204,0.17346938775510204,0.2840136054421769,0.42857142857142855,0.3345238095238095,0.6530612244897959,0.3822602850664076,1.0,0.02390998593530239,0.1881651766709238,442.0,,,,0.0
2,0.4035722207755885,0.8657133269938083,0.5687878368401624,0.01734186211798152,122.0,7035.0,711.0,0.0,0.2441860465116279,0.2441860465116279,0.35077519379844957,0.5,0.38972868217054263,0.6744186046511628,0.4327703949796974,1.0,0.029535864978902954,0.1952562473528166,461.0,,,,0.0
3,0.40460415280309386,0.8884873748379147,0.5897089947089947,0.015166548547129696,107.0,7055.0,711.0,0.0,0.2318840579710145,0.2318840579710145,0.36473429951690817,0.5217391304347826,0.4248792270531401,0.782608695652174,0.4527490223142397,1.0,0.02250351617440225,0.18691983122362868,443.0,,,,0.0
4,0.40597363269006354,0.8658445114328633,0.5867428388980114,0.020082025173242823,142.0,7071.0,711.0,0.0,0.25287356321839083,0.25287356321839083,0.39272030651340994,0.5747126436781609,0.4363984674329502,0.7701149425287356,0.4654807516876483,1.0,0.030942334739803096,0.1876595744680851,441.0,,,,0.0
5,0.40723702610691587,0.8853867706470846,0.5576552139843277,0.01852113671709317,131.0,7073.0,711.0,0.0,0.20253164556962025,0.20253164556962025,0.3523206751054852,0.5443037974683544,0.40232067510548525,0.7721518987341772,0.4317661241711874,1.0,0.02250351617440225,0.19144338807260156,443.0,,,,0.0
6,0.40828824658353347,0.8668067637443024,0.5593673150011179,0.015445656794671957,109.0,7057.0,711.0,0.0,0.2535211267605634,0.2535211267605634,0.3615023474178403,0.5070422535211268,0.40305164319248826,0.6901408450704225,0.44688128772635816,1.0,0.02531645569620253,0.19230769230769232,450.0,,,,0.0
7,0.40945519775482453,0.8737667648488661,0.5754391534391534,0.017146096074819327,121.0,7057.0,711.0,0.0,0.2,0.2,0.34,0.52,0.382,0.7066666666666667,0.42276719576719574,1.0,0.02109704641350211,0.17979882648784576,429.0,,,,0.0
8,0.4103521106385441,0.8887455094167106,0.5717760942760943,0.013182140326009922,93.0,7055.0,711.0,0.0,0.25757575757575757,0.25757575757575757,0.3358585858585858,0.45454545454545453,0.3911616161616161,0.696969696969697,0.43103054353054354,1.0,0.02390998593530239,0.18705636743215032,448.0,,,,0.0
9,0.41158657138172805,0.8876589136087836,0.5821404950869237,0.018156028368794326,128.0,7050.0,711.0,0.0,0.3333333333333333,0.3333333333333333,0.43849206349206354,0.5833333333333334,0.46825396825396826,0.7142857142857143,0.5042233560090703,1.0,0.03938115330520394,0.1865351629502573,435.0,,,,0.0
10,0.4129464070441416,0.8756941644532401,0.5746756978653531,0.019988658916926565,141.0,7054.0,711.0,0.0,0.20689655172413793,0.20689655172413793,0.342911877394636,0.5287356321839081,0.388888888888889,0.7241379310344828,0.42687465790914086,1.0,0.02531645569620253,0.18912027199320017,445.0,1.9189189189189189,0.051370943787739855,0.013257536368190137,0.0
11,0.41409406976632046,0.8673406040166537,0.5261855771115029,0.016913018760659464,119.0,7036.0,711.0,0.0,0.1728395061728395,0.1728395061728395,0.2962962962962963,0.4691358024691358,0.3259259259259259,0.6049382716049383,0.3798549872623947,1.0,0.01969057665260197,0.1841323716588884,434.0,,,,0.0
12,0.41543461697962175,0.8793232848879398,0.5156053743961353,0.019635541743184066,139.0,7079.0,711.0,0.0,0.18478260869565216,0.18478260869565216,0.302536231884058,0.44565217391304346,0.3351449275362319,0.5869565217391305,0.38982056590752245,1.0,0.02390998593530239,0.18880820162323794,442.0,,,,0.0
13,0.4164376163334587,0.8860745905635707,0.5114161336176261,0.014760147601476014,104.0,7046.0,711.0,0.0,0.19402985074626866,0.19402985074626866,0.3159203980099502,0.4626865671641791,0.3502487562189055,0.6119402985074627,0.4008232646292348,1.0,0.01828410689170183,0.1839581517000872,422.0,,,,0.0
14,0.41752741370830077,0.8895060202857314,0.6204263262322472,0.016087699316628703,113.0,7024.0,711.0,0.0,0.21052631578947367,0.21052631578947367,0.3530701754385965,0.5526315789473685,0.393859649122807,0.7368421052631579,0.4294329573934837,1.0,0.02250351617440225,0.18634840871021777,445.0,,,,0.0
15,0.4185882784094745,0.9087894516095208,0.5550235794801013,0.015611694578484247,110.0,7046.0,711.0,0.0,0.2028985507246377,0.2028985507246377,0.3309178743961353,0.5072463768115942,0.36714975845410625,0.6666666666666666,0.41267540832758226,1.0,0.01969057665260197,0.18630849220103987,430.0,,,,0.0
16,0.41951412396686244,0.8595941014596793,0.5719954648526077,0.013595807959212575,96.0,7061.0,711.0,0.0,0.17142857142857143,0.17142857142857143,0.29285714285714287,0.44285714285714284,0.3507142857142857,0.7,0.3889455782312925,1.0,0.016877637130801686,0.19408740359897173,453.0,,,,0.0
17,0.4204496137488065,0.8911167595350462,0.6393298059964727,0.013737430958787707,97.0,7061.0,711.0,0.0,0.2361111111111111,0.2361111111111111,0.3587962962962963,0.5416666666666666,0.40671296296296294,0.75,0.43984237213403876,1.0,0.02390998593530239,0.18396846254927726,420.0,,,,0.0
18,0.42137545930619447,0.9159400098590872,0.5865736179529282,0.013661591006119255,96.0,7027.0,711.0,0.0,0.25862068965517243,0.25862068965517243,0.396551724137931,0.5689655172413793,0.43362068965517236,0.7413793103448276,0.46953338806787076,1.0,0.02109704641350211,0.1831284442560407,432.0,,,,0.0
19,0.42225308374080184,0.9017723245790906,0.5738531746031745,0.012876751096646384,91.0,7067.0,711.0,0.0,0.23333333333333334,0.23333333333333334,0.35277777777777775,0.5166666666666667,0.3877777777777777,0.6666666666666666,0.43268518518518523,1.0,0.01969057665260197,0.1863001745200698,427.0,,,,0.0
20,0.42340074646298065,0.877413867371449,0.5808743564993565,0.01693950177935943,119.0,7025.0,711.0,0.0,0.17567567567567569,0.17567567567567569,0.34684684684684686,0.581081081081081,0.3752252252252252,0.7027027027027027,0.4119047619047619,1.0,0.01828410689170183,0.18808510638297873,442.0,1.9303797468354431,0.047794077291398014,0.018380805606533712,0.0
21,0.4243265920203686,0.8933016291355901,0.5854706465919701,0.013582342954159592,96.0,7068.0,711.0,0.0,0.19117647058823528,0.19117647058823528,0.321078431372549,0.5,0.37107843137254903,0.7205882352941176,0.410906862745098,1.0,0.01828410689170183,0.18550106609808104,435.0,,,,0.0
22,0.42548389896710354,0.9360777330071473,0.6017165898617512,0.016975526948649032,120.0,7069.0,711.0,0.0,0.2903225806451613,0.2903225806451613,0.47849462365591394,0.7419354838709677,0.4897849462365591,0.7903225806451613,0.5170762928827445,1.0,0.02531645569620253,0.18921270117442365,435.0,,,,0.0
23,0.42640010029993536,0.8698792992546066,0.49187650312650305,0.01347517730496454,95.0,7050.0,711.0,0.0,0.10606060606060606,0.10606060606060606,0.23989898989898992,0.42424242424242425,0.26565656565656565,0.5454545454545454,0.3244949494949495,1.0,0.009845288326300985,0.18256013745704466,425.0,,,,0.0
24,0.42748025345022134,0.8880560630632479,0.5137529897803871,0.01583934379861406,112.0,7071.0,711.0,0.0,0.1917808219178082,0.1917808219178082,0.2968036529680365,0.4383561643835616,0.3344748858447488,0.6027397260273972,0.38587192868014786,1.0,0.01969057665260197,0.18280034572169404,423.0,,,,0.0
25,0.4284543201303899,0.910677742608507,0.6403410397975615,0.014348629066628782,101.0,7039.0,711.0,0.0,0.2318840579710145,0.2318840579710145,0.39855072463768115,0.6376811594202898,0.43768115942028984,0.8115942028985508,0.46181274442144005,1.0,0.02250351617440225,0.1841994085340093,436.0,,,,0.0
26,0.4291969254212115,0.8972874186328261,0.5688608776844071,0.010946829684390105,77.0,7034.0,711.0,0.0,0.2549019607843137,0.2549019607843137,0.326797385620915,0.43137254901960786,0.37287581699346406,0.6274509803921569,0.42441643323996264,1.0,0.01828410689170183,0.18822518263859045,438.0,,,,0.0
27,0.43027707857149744,0.9159232660455487,0.515355222734255,0.015972618368511125,112.0,7012.0,711.0,0.0,0.27419354838709675,0.27419354838709675,0.3629032258064516,0.4838709677419355,0.3911290322580645,0.6129032258064516,0.44001536098310295,1.0,0.02390998593530239,0.18841201716738198,439.0,,,,0.0
28,0.4313861643954518,0.8721299956082564,0.5378174603174604,0.016323633782824698,115.0,7045.0,711.0,0.0,0.18666666666666668,0.18666666666666668,0.29777777777777775,0.4533333333333333,0.34711111111111115,0.68,0.3886402116402117,1.0,0.01969057665260197,0.18627450980392157,437.0,,,,0.0
29,0.4326109809140796,0.907518723405708,0.5179539295392954,0.018024411013340902,127.0,7046.0,711.0,0.0,0.17073170731707318,0.17073170731707318,0.2682926829268293,0.4024390243902439,0.33170731707317075,0.6707317073170732,0.37334494773519167,1.0,0.01969057665260197,0.1828471919895516,420.0,,,,0.0
