round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5027701976349954,0.8167000182690306,0.6368934884559885,0.018715083798882683,67.0,3580.0,378.0,0.0,0.2727272727272727,0.2727272727272727,0.42045454545454547,0.6136363636363636,0.46249999999999997,0.7954545454545454,0.4905212842712843,1.0,0.031746031746031744,0.19099378881987578,246.0,1.9534883720930232,0.09991558796456547,0.014392947401289468,0.0
1,0.5054163565699165,0.8665181769340974,0.5939625850340136,0.018007878446820485,64.0,3554.0,378.0,0.0,0.38095238095238093,0.38095238095238093,0.44444444444444436,0.5476190476190477,0.47658730158730167,0.6904761904761905,0.5178854875283447,1.0,0.042328042328042326,0.2153846153846154,280.0,,,,0.0
2,0.5075250144711817,0.7965349369988545,0.5565166170634921,0.014394580863674851,51.0,3543.0,378.0,0.0,0.125,0.125,0.24999999999999997,0.4375,0.303125,0.6875,0.34590773809523806,1.0,0.010582010582010581,0.2036613272311213,267.0,,,,0.0
3,0.509675018605805,0.8334341971599628,0.6548636548636549,0.014400443090556632,52.0,3611.0,378.0,0.0,0.23076923076923078,0.23076923076923078,0.3888888888888889,0.5897435897435898,0.42478632478632466,0.7435897435897436,0.46167073667073666,1.0,0.023809523809523808,0.18826219512195122,247.0,,,,0.0
4,0.5122798313073679,0.8415507994947247,0.5360672514619883,0.017529215358931552,63.0,3594.0,378.0,0.0,0.3076923076923077,0.3076923076923077,0.40170940170940167,0.5128205128205128,0.4376068376068376,0.6666666666666666,0.48289580789580794,1.0,0.031746031746031744,0.2125796178343949,267.0,,,,0.0
5,0.5140990655751261,0.8654713852324147,0.4628267973856208,0.012290502793296089,44.0,3580.0,378.0,0.0,0.17647058823529413,0.17647058823529413,0.2598039215686274,0.35294117647058826,0.2995098039215686,0.5294117647058824,0.3562675070028011,1.0,0.015873015873015872,0.19153846153846155,249.0,,,,0.0
6,0.5167452245100471,0.8723150092539864,0.4927161654135338,0.017897091722595078,64.0,3576.0,378.0,0.0,0.18421052631578946,0.18421052631578946,0.3026315789473684,0.4473684210526316,0.33289473684210524,0.5789473684210527,0.38909774436090216,1.0,0.018518518518518517,0.1953307392996109,251.0,,,,0.0
7,0.51935003721161,0.8605426284147899,0.519749503968254,0.017355371900826446,63.0,3630.0,378.0,0.0,0.175,0.175,0.26666666666666666,0.4,0.30791666666666667,0.575,0.3652678571428572,1.0,0.018518518518518517,0.19546520719311963,250.0,,,,0.0
8,0.5211692714793682,0.8406530089628681,0.5043201754385965,0.012242626599888704,44.0,3594.0,378.0,0.0,0.13157894736842105,0.13157894736842105,0.2456140350877193,0.39473684210526316,0.2837719298245614,0.5789473684210527,0.33361528822055136,1.0,0.013227513227513227,0.19847908745247148,261.0,,,,0.0
9,0.5233192756139916,0.857712708843362,0.5730625583566761,0.014309301045679693,52.0,3634.0,378.0,0.0,0.3235294117647059,0.3235294117647059,0.40686274509803916,0.5294117647058824,0.4465686274509804,0.7058823529411765,0.48573762838468726,1.0,0.0291005291005291,0.1951219512195122,256.0,,,,0.0
10,0.5251385098817498,0.8492471151139882,0.5645609318996416,0.012232415902140673,44.0,3597.0,378.0,0.0,0.1935483870967742,0.1935483870967742,0.3010752688172043,0.45161290322580644,0.3494623655913978,0.6774193548387096,0.3894137224782385,1.0,0.015873015873015872,0.1966335118592196,257.0,1.9821428571428572,0.0876104768062045,0.018053825834887995,0.0
11,0.5274538989498057,0.8911704673423423,0.45474673202614374,0.015521064301552107,56.0,3608.0,378.0,0.0,0.14705882352941177,0.14705882352941177,0.21078431372549017,0.29411764705882354,0.2696078431372549,0.5588235294117647,0.3253151260504201,1.0,0.013227513227513227,0.2015151515151515,266.0,,,,0.0
12,0.5301000578847267,0.896449341367713,0.4952876984126985,0.01762114537444934,64.0,3632.0,378.0,0.0,0.2222222222222222,0.2222222222222222,0.31481481481481477,0.4166666666666667,0.33425925925925926,0.5,0.40253527336860667,1.0,0.021164021164021163,0.19399538106235567,252.0,,,,0.0
13,0.5319606383858431,0.9114325842696631,0.613146551724138,0.012482662968099861,45.0,3605.0,378.0,0.0,0.2413793103448276,0.2413793103448276,0.39080459770114945,0.6206896551724138,0.43563218390804603,0.8275862068965517,0.4578954570333881,1.0,0.018518518518518517,0.19523443504996157,254.0,,,,0.0
14,0.533986603820392,0.8984826190379258,0.5656841817186645,0.013771781899943788,49.0,3558.0,378.0,0.0,0.3448275862068966,0.3448275862068966,0.3793103448275862,0.41379310344827586,0.42758620689655175,0.6206896551724138,0.4815955117679256,1.0,0.026455026455026454,0.1984313725490196,253.0,,,,0.0
15,0.5361366079550153,0.8412429254112621,0.5937097812097812,0.01466854724964739,52.0,3545.0,378.0,0.0,0.2702702702702703,0.2702702702702703,0.36486486486486486,0.4864864864864865,0.40270270270270264,0.6756756756756757,0.4483590733590734,1.0,0.026455026455026454,0.20546875,263.0,,,,0.0
16,0.5382866120896387,0.8305271422651633,0.47528099528099527,0.014529198100027941,52.0,3579.0,378.0,0.0,0.10810810810810811,0.10810810810810811,0.26126126126126126,0.43243243243243246,0.28558558558558556,0.5405405405405406,0.3445087945087945,1.0,0.010582010582010581,0.20567375886524822,261.0,,,,0.0
17,0.5399404614239642,0.8332426778242678,0.4881572420634921,0.011034482758620689,40.0,3625.0,378.0,0.0,0.15625,0.15625,0.23958333333333331,0.34375,0.28020833333333334,0.53125,0.34224950396825393,1.0,0.013227513227513227,0.18671875,239.0,,,,0.0
18,0.542214504258662,0.7925968546221709,0.5278373015873017,0.015235457063711912,55.0,3610.0,378.0,0.0,0.2571428571428571,0.2571428571428571,0.3190476190476191,0.4,0.38190476190476186,0.6857142857142857,0.42108843537414964,1.0,0.023809523809523808,0.19568690095846644,245.0,,,,0.0
19,0.5440750847597784,0.876419511892579,0.5554653679653679,0.012403528114663727,45.0,3628.0,378.0,0.0,0.18181818181818182,0.18181818181818182,0.2626262626262626,0.3939393939393939,0.29747474747474745,0.5454545454545454,0.36000481000481,1.0,0.015873015873015872,0.2,256.0,,,,0.0
20,0.5462250888944017,0.8387806989072812,0.541608309990663,0.014416412531189355,52.0,3607.0,378.0,0.0,0.20588235294117646,0.20588235294117646,0.3137254901960784,0.47058823529411764,0.3534313725490196,0.6470588235294118,0.3978174603174603,1.0,0.018518518518518517,0.19550038789759502,252.0,1.9709302325581395,0.07658270228955982,0.020520541142174324,0.0
21,0.5478789382287274,0.912524530417718,0.561030276308054,0.011089548100914887,40.0,3607.0,378.0,0.0,0.14814814814814814,0.14814814814814814,0.30864197530864196,0.5185185185185185,0.3604938271604938,0.7777777777777778,0.3865667254556143,1.0,0.010582010582010581,0.20048115477145148,250.0,,,,0.0
22,0.5490779789961134,0.8792621171931518,0.45454545454545453,0.00804661487236404,29.0,3604.0,378.0,0.0,0.09090909090909091,0.09090909090909091,0.1212121212121212,0.18181818181818182,0.20075757575757577,0.5454545454545454,0.2618506493506494,1.0,0.005291005291005291,0.1992094861660079,252.0,,,,0.0
23,0.5507318283304391,0.8698232323232323,0.4877054988662131,0.011098779134295227,40.0,3604.0,378.0,0.0,0.25,0.25,0.3154761904761904,0.42857142857142855,0.3636904761904762,0.6428571428571429,0.40831916099773247,1.0,0.018518518518518517,0.1865612648221344,236.0,,,,0.0
24,0.5527991399983462,0.8361237693389592,0.49789170506912445,0.013869625520110958,50.0,3605.0,378.0,0.0,0.16129032258064516,0.16129032258064516,0.26344086021505375,0.3870967741935484,0.3086021505376344,0.5806451612903226,0.36154633896569377,1.0,0.013227513227513227,0.2014218009478673,255.0,,,,0.0
25,0.5540395269990904,0.8024267269814342,0.5435028860028859,0.008410428931875526,30.0,3567.0,378.0,0.0,0.2727272727272727,0.2727272727272727,0.3409090909090909,0.4090909090909091,0.4090909090909091,0.7272727272727273,0.44457070707070706,1.0,0.015873015873015872,0.19907763259031513,259.0,,,,0.0
