round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5031423137352187,0.7562967803255316,0.6276455026455027,0.020994475138121547,76.0,3620.0,378.0,0.0,0.16666666666666666,0.16666666666666666,0.34444444444444444,0.5833333333333334,0.38027777777777777,0.75,0.41381613756613755,1.0,0.026455026455026454,0.11234396671289876,81.0,1.953757225433526,0.10542602122973536,0.013577319105932224,0.0
1,0.5052923178698421,0.8077778390906081,0.6054232804232804,0.014701724625388747,52.0,3537.0,378.0,0.0,0.17777777777777778,0.17777777777777778,0.3259259259259259,0.5333333333333333,0.367037037037037,0.7111111111111111,0.4069664902998236,1.0,0.021164021164021163,0.12609970674486803,86.0,,,,0.0
2,0.5081452079715538,0.8066553429299963,0.5673076923076923,0.01902398676592225,69.0,3627.0,378.0,0.0,0.21153846153846154,0.21153846153846154,0.3173076923076923,0.4423076923076923,0.3615384615384615,0.6346153846153846,0.4081120268620269,1.0,0.0291005291005291,0.128125,82.0,,,,0.0
3,0.510543289506326,0.770704497105823,0.6008990575396825,0.016370307648885127,58.0,3543.0,378.0,0.0,0.25,0.25,0.3923611111111111,0.5833333333333334,0.42361111111111116,0.7291666666666666,0.4579117063492064,1.0,0.031746031746031744,0.12568306010928962,92.0,,,,0.0
4,0.5118663689737865,0.7708584657961965,0.7009259259259261,0.0090014064697609,32.0,3555.0,378.0,0.0,0.26666666666666666,0.26666666666666666,0.4222222222222223,0.6333333333333333,0.4455555555555556,0.7333333333333333,0.4829100529100529,1.0,0.021164021164021163,0.12142857142857143,85.0,,,,0.0
5,0.5142644505085586,0.7922477722918345,0.5999391233766235,0.01627384960718294,58.0,3564.0,378.0,0.0,0.25,0.25,0.36363636363636365,0.5454545454545454,0.39999999999999997,0.7045454545454546,0.43947510822510816,1.0,0.0291005291005291,0.14049586776859505,102.0,,,,0.0
6,0.5163317621764657,0.7888473520249222,0.6551639515455306,0.013962580284836637,50.0,3581.0,378.0,0.0,0.28205128205128205,0.28205128205128205,0.45299145299145294,0.6923076923076923,0.47606837606837604,0.7948717948717948,0.5017806267806268,1.0,0.0291005291005291,0.12735166425470332,88.0,,,,0.0
7,0.5190606135781031,0.8470631877792931,0.5733177136102668,0.018338427340928037,66.0,3599.0,378.0,0.0,0.2553191489361702,0.2553191489361702,0.3652482269503546,0.5106382978723404,0.3918439716312056,0.6382978723404256,0.4409321175278622,1.0,0.031746031746031744,0.12665684830633284,86.0,,,,0.0
8,0.5208385016125031,0.8475401244677366,0.5665532879818594,0.011967715001391595,43.0,3593.0,378.0,0.0,0.17142857142857143,0.17142857142857143,0.2523809523809524,0.37142857142857144,0.3038095238095238,0.6,0.3582766439909297,1.0,0.015873015873015872,0.11323328785811733,83.0,,,,0.0
9,0.5228231208136939,0.8630060277699596,0.6604532163742691,0.013329630658150514,48.0,3601.0,378.0,0.0,0.3157894736842105,0.3157894736842105,0.4166666666666667,0.5789473684210527,0.4535087719298245,0.7368421052631579,0.489452798663325,1.0,0.031746031746031744,0.13859910581222057,93.0,,,,0.0
10,0.5247663937815265,0.8568105438149571,0.6116961741961742,0.0130374479889043,47.0,3605.0,378.0,0.0,0.20512820512820512,0.20512820512820512,0.35470085470085466,0.5641025641025641,0.3726495726495726,0.6410256410256411,0.41829466829466827,1.0,0.021164021164021163,0.12605042016806722,90.0,1.9757575757575758,0.08891922901814032,0.016489569326039448,0.0
11,0.5266269742826428,0.824069361982848,0.5649939373897709,0.01256281407035176,45.0,3582.0,378.0,0.0,0.16666666666666666,0.16666666666666666,0.28703703703703703,0.4722222222222222,0.30370370370370364,0.5555555555555556,0.36712962962962964,1.0,0.015873015873015872,0.13149847094801223,86.0,,,,0.0
12,0.5282394773836103,0.8051539565169408,0.5485449735449736,0.011066969353007945,39.0,3524.0,378.0,0.0,0.22580645161290322,0.22580645161290322,0.3064516129032258,0.41935483870967744,0.35967741935483866,0.6451612903225806,0.4053635432667691,1.0,0.018518518518518517,0.13876967095851217,97.0,,,,0.0
13,0.5300587116513685,0.8855462238748558,0.5929563492063493,0.012259682362775146,44.0,3589.0,378.0,0.0,0.22857142857142856,0.22857142857142856,0.35714285714285715,0.5428571428571428,0.39428571428571424,0.7142857142857143,0.43087301587301585,1.0,0.021164021164021163,0.1163101604278075,87.0,,,,0.0
14,0.5314231373521873,0.8835473617291799,0.6128747795414462,0.009146341463414634,33.0,3608.0,378.0,0.0,0.18518518518518517,0.18518518518518517,0.3148148148148148,0.48148148148148145,0.36296296296296293,0.7037037037037037,0.40152851263962375,1.0,0.013227513227513227,0.12301013024602026,85.0,,,,0.0
15,0.5333664103200199,0.9213681916689616,0.6976926523297491,0.013051930019439044,47.0,3601.0,378.0,0.0,0.4838709677419355,0.4838709677419355,0.5645161290322581,0.6451612903225806,0.5870967741935483,0.7419354838709677,0.6237327188940092,1.0,0.03968253968253968,0.13670133729569092,92.0,,,,0.0
16,0.5351442983544199,0.8810892637322422,0.6959325396825398,0.01215375918598078,43.0,3538.0,378.0,0.0,0.3125,0.3125,0.4375,0.59375,0.4875,0.8125,0.5165178571428571,1.0,0.026455026455026454,0.1370056497175141,97.0,,,,0.0
17,0.5364260315885223,0.8855933724666559,0.5574156746031746,0.008551724137931035,31.0,3625.0,378.0,0.0,0.20833333333333334,0.20833333333333334,0.3541666666666667,0.5416666666666666,0.3541666666666667,0.5416666666666666,0.41347552910052904,1.0,0.013227513227513227,0.12517580872011252,89.0,,,,0.0
18,0.5378318035226991,0.8698427719944879,0.5810480442176872,0.009505171931786413,34.0,3577.0,378.0,0.0,0.14285714285714285,0.14285714285714285,0.23809523809523808,0.39285714285714285,0.3041666666666667,0.6785714285714286,0.34649943310657594,1.0,0.010582010582010581,0.12378303198887343,89.0,,,,0.0
19,0.5392375754568759,0.8500962262572169,0.6407407407407407,0.009580163426317272,34.0,3549.0,378.0,0.0,0.26666666666666666,0.26666666666666666,0.3722222222222222,0.5333333333333333,0.41222222222222216,0.7,0.4513359788359788,1.0,0.021164021164021163,0.13696808510638298,103.0,,,,0.0
20,0.5406433473910527,0.8552445074415309,0.6691908212560387,0.009436580627255066,34.0,3603.0,378.0,0.0,0.34782608695652173,0.34782608695652173,0.5,0.6521739130434783,0.5282608695652173,0.782608695652174,0.5555555555555555,1.0,0.021164021164021163,0.11976047904191617,80.0,1.9719101123595506,0.08038261406115682,0.0070499224649169905,0.0
21,0.5417596956917224,0.8615830511952396,0.6112405106970324,0.0074237008523508384,27.0,3637.0,378.0,0.0,0.21739130434782608,0.21739130434782608,0.3333333333333333,0.4782608695652174,0.38768115942028974,0.7391304347826086,0.4195479641131814,1.0,0.013227513227513227,0.12716763005780346,88.0,,,,0.0
22,0.5430414289258249,0.8506211765974074,0.594017094017094,0.008558807288790724,31.0,3622.0,378.0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5185185185185185,0.37407407407407406,0.7037037037037037,0.4108024691358025,1.0,0.015873015873015872,0.12039660056657224,85.0,,,,0.0
23,0.5448193169602249,0.8488078294138386,0.6319909474206349,0.011927877947295423,43.0,3605.0,378.0,0.0,0.25,0.25,0.39583333333333337,0.5625,0.43489583333333337,0.75,0.4685267857142857,1.0,0.021164021164021163,0.12334801762114538,84.0,,,,0.0
24,0.5463491275944762,0.9236080657942315,0.6920093795093796,0.010422535211267606,37.0,3550.0,378.0,0.0,0.45454545454545453,0.45454545454545453,0.5227272727272727,0.6363636363636364,0.5636363636363636,0.8181818181818182,0.5879329004329004,1.0,0.026455026455026454,0.12952646239554316,93.0,,,,0.0
25,0.5477135532952948,0.8902973238337404,0.5471681096681097,0.009055982436882546,33.0,3644.0,378.0,0.0,0.2727272727272727,0.2727272727272727,0.38636363636363635,0.5454545454545454,0.4181818181818182,0.6818181818181818,0.45699855699855707,1.0,0.015873015873015872,0.12835820895522387,86.0,,,,0.0
26,0.5494914413296949,0.933941315354723,0.6804187192118227,0.012215909090909092,43.0,3520.0,378.0,0.0,0.3793103448275862,0.3793103448275862,0.5,0.6551724137931034,0.5413793103448276,0.8620689655172413,0.5604269293924466,1.0,0.0291005291005291,0.13667117726657646,101.0,,,,0.0
27,0.5506904820970809,0.9045551061192725,0.5740268329554044,0.008015478164731896,29.0,3618.0,378.0,0.0,0.23809523809523808,0.23809523809523808,0.3333333333333333,0.47619047619047616,0.37380952380952376,0.6666666666666666,0.4190098261526833,1.0,0.013227513227513227,0.132,99.0,,,,0.0
28,0.5523443314314066,0.8360614085313484,0.6177154195011338,0.011321822813472968,40.0,3533.0,378.0,0.0,0.17142857142857143,0.17142857142857143,0.3380952380952381,0.5142857142857142,0.36809523809523814,0.6571428571428571,0.4143083900226757,1.0,0.015873015873015872,0.12039660056657224,85.0,,,,0.0
29,0.553626064665509,0.8366464479367706,0.5973809523809525,0.00875458909912454,31.0,3541.0,378.0,0.0,0.24,0.24,0.36666666666666664,0.52,0.39666666666666667,0.64,0.4420476190476191,1.0,0.015873015873015872,0.1272984441301273,90.0,,,,0.0
