round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5019386378961564,0.5232537528242085,0.8210098870056497,0.012439156300703082,69.0,5547.0,588.0,0.0,0.6666666666666666,0.6666666666666666,0.725,0.8,0.7525,0.9166666666666666,0.7617328042328044,1.0,0.06802721088435375,0.1915945611866502,465.0,1.8596491228070176,0.09247596383727358,0.014033463099259375,0.0
1,0.5039615643964936,0.5138825561837599,0.8410383597883597,0.012961296129612962,72.0,5555.0,588.0,0.0,0.6333333333333333,0.6333333333333333,0.7138888888888889,0.8333333333333334,0.7297222222222223,0.9,0.7437433862433862,1.0,0.06462585034013606,0.18747441670077772,458.0,,,,0.0
2,0.5056473364801078,0.5817879995170832,0.8908730158730158,0.010748835542816195,60.0,5582.0,588.0,0.0,0.8214285714285714,0.8214285714285714,0.8392857142857143,0.8571428571428571,0.8482142857142857,0.8928571428571429,0.8625425170068027,1.0,0.0782312925170068,0.18192868719611022,449.0,,,,0.0
3,0.5072207237581479,0.515885709063373,0.9150083542188805,0.010132078885471322,56.0,5527.0,588.0,0.0,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9342105263157895,0.9736842105263158,0.9368421052631579,1.0,0.05952380952380952,0.1875,459.0,,,,0.0
4,0.5088503034389751,0.5039349505455415,0.8380192502532927,0.010478771454381211,58.0,5535.0,588.0,0.0,0.723404255319149,0.723404255319149,0.7553191489361702,0.7872340425531915,0.7787234042553192,0.8936170212765957,0.7908983451536643,1.0,0.05782312925170068,0.1786153215895125,436.0,,,,0.0
5,0.5106765565295572,0.5405755416070391,0.9154552045177045,0.011831088460138332,65.0,5494.0,588.0,0.0,0.7884615384615384,0.7884615384615384,0.8653846153846155,0.9615384615384616,0.8701923076923078,0.9807692307692307,0.8721153846153846,1.0,0.06972789115646258,0.1765897124341839,436.0,,,,0.0
6,0.5121094628006293,0.5588657346346612,0.9005681818181818,0.009065055101315321,51.0,5626.0,588.0,0.0,0.8181818181818182,0.8181818181818182,0.8522727272727273,0.8863636363636364,0.8625,0.9318181818181818,0.8713383838383838,1.0,0.061224489795918366,0.17689530685920576,441.0,,,,0.0
7,0.5135423690717015,0.535624890958744,0.8652529761904763,0.009175962576466355,51.0,5558.0,588.0,0.0,0.7073170731707317,0.7073170731707317,0.7723577235772358,0.8536585365853658,0.7833333333333332,0.9024390243902439,0.7950154858691444,1.0,0.04931972789115646,0.1908831908831909,469.0,,,,0.0
8,0.515087660148348,0.5161627123102978,0.8952821869488535,0.009849570200573065,55.0,5584.0,588.0,0.0,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.9111111111111111,0.8422222222222222,0.9555555555555556,0.8471604938271604,1.0,0.05952380952380952,0.1801514547628537,452.0,,,,0.0
9,0.5164643740166329,0.5155271393880162,0.8637566137566136,0.008876811594202899,49.0,5520.0,588.0,0.0,0.6976744186046512,0.6976744186046512,0.7596899224806201,0.8372093023255814,0.7748062015503875,0.9069767441860465,0.7876522702104097,1.0,0.05102040816326531,0.19619991738950845,475.0,,,,0.0
10,0.5179815688918858,0.4466068263297483,0.855175667828107,0.00962223806129722,54.0,5612.0,588.0,0.0,0.6341463414634146,0.6341463414634146,0.6991869918699186,0.7804878048780488,0.7333333333333333,0.926829268292683,0.7449477351916376,1.0,0.04421768707482993,0.18280871670702178,453.0,1.8950617283950617,0.08554798667799089,0.013767301375581367,0.0
11,0.519414475162958,0.4602594861688303,0.9124821937321937,0.009200793793974382,51.0,5543.0,588.0,0.0,0.8717948717948718,0.8717948717948718,0.8803418803418804,0.8974358974358975,0.8931623931623932,0.9487179487179487,0.8992165242165242,1.0,0.05782312925170068,0.18241577649958915,444.0,,,,0.0
12,0.5208754776354237,0.4937425341000639,0.8128019323671497,0.009302325581395349,52.0,5590.0,588.0,0.0,0.6739130434782609,0.6739130434782609,0.7572463768115941,0.8478260869565217,0.7572463768115941,0.8478260869565217,0.7757246376811594,1.0,0.05272108843537415,0.19101578308377176,472.0,,,,0.0
13,0.5226174421218251,0.49322347524550514,0.8347502587991716,0.011077362872967662,62.0,5597.0,588.0,0.0,0.6521739130434783,0.6521739130434783,0.7318840579710144,0.8260869565217391,0.7416666666666665,0.8695652173913043,0.7591787439613527,1.0,0.05102040816326531,0.1834899877400899,449.0,,,,0.0
14,0.5238536749831423,0.4412766236104972,0.9020412457912458,0.007861354296944793,44.0,5597.0,588.0,0.0,0.696969696969697,0.696969696969697,0.7777777777777777,0.8787878787878788,0.798989898989899,0.9696969696969697,0.8020202020202021,1.0,0.0391156462585034,0.18192722910835665,455.0,,,,0.0
15,0.5251741964486402,0.29418483226732806,0.8557667690732207,0.008409375559134014,47.0,5589.0,588.0,0.0,0.7419354838709677,0.7419354838709677,0.7741935483870968,0.8064516129032258,0.7887096774193548,0.8709677419354839,0.8046082949308756,1.0,0.0391156462585034,0.18261214767764986,460.0,,,,0.0
16,0.5264104293099573,0.43452089554674367,0.8886270943562611,0.007836153161175422,44.0,5615.0,588.0,0.0,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.8888888888888888,0.8444444444444444,0.9444444444444444,0.8521604938271605,1.0,0.047619047619047616,0.1854412362749085,456.0,,,,0.0
17,0.5274499887615195,0.507413001715769,0.8370535714285714,0.006647502694933525,37.0,5566.0,588.0,0.0,0.6428571428571429,0.6428571428571429,0.6964285714285714,0.75,0.7196428571428571,0.8571428571428571,0.738095238095238,1.0,0.030612244897959183,0.18775181305398872,466.0,,,,0.0
18,0.5286019330186559,0.4843597393735868,0.7100074404761905,0.007441016333938294,41.0,5510.0,588.0,0.0,0.46875,0.46875,0.5416666666666666,0.625,0.5651041666666666,0.71875,0.6033854166666667,1.0,0.025510204081632654,0.195696305318717,482.0,,,,0.0
19,0.5295010114632501,0.4342533936651583,0.9053497942386832,0.005758502789274788,32.0,5557.0,588.0,0.0,0.7777777777777778,0.7777777777777778,0.8148148148148148,0.8518518518518519,0.8314814814814815,0.9259259259259259,0.8397119341563786,1.0,0.03571428571428571,0.18096019696347967,441.0,,,,0.0
20,0.5305405709148123,0.4466863126823608,0.8531901041666666,0.006602426837972877,37.0,5604.0,588.0,0.0,0.625,0.625,0.7239583333333333,0.84375,0.7239583333333333,0.84375,0.74453125,1.0,0.034013605442176874,0.18290258449304175,460.0,1.9252873563218391,0.08113801536135153,0.013854655544939039,0.0
21,0.531411553158013,0.3761396294440508,0.9144804526748971,0.005504261363636364,31.0,5632.0,588.0,0.0,0.7407407407407407,0.7407407407407407,0.8333333333333334,0.9259259259259259,0.8333333333333334,0.9259259259259259,0.8416666666666667,1.0,0.034013605442176874,0.18097165991902833,447.0,,,,0.0
22,0.5324230164081816,0.3771897810218978,0.8139120370370371,0.006526468455402465,36.0,5516.0,588.0,0.0,0.6666666666666666,0.6666666666666666,0.7222222222222221,0.8,0.7222222222222221,0.8,0.7485052910052911,1.0,0.034013605442176874,0.18732337505046426,464.0,,,,0.0
23,0.533378287255563,0.38309496899855294,0.8231646825396826,0.006068177761913261,34.0,5603.0,588.0,0.0,0.75,0.75,0.7619047619047619,0.7857142857142857,0.7619047619047619,0.7857142857142857,0.7867913832199547,1.0,0.03571428571428571,0.18374699759807847,459.0,,,,0.0
24,0.5341087884917959,0.3607861778200306,0.8540343915343916,0.00463540738099483,26.0,5609.0,588.0,0.0,0.7142857142857143,0.7142857142857143,0.7619047619047619,0.8571428571428571,0.7738095238095238,0.9047619047619048,0.7885487528344671,1.0,0.025510204081632654,0.18524523713011756,457.0,,,,0.0
25,0.5355416947628681,0.3420360834652991,0.8824404761904762,0.00901060070671378,51.0,5660.0,588.0,0.0,0.8235294117647058,0.8235294117647058,0.8480392156862745,0.8823529411764706,0.8612745098039215,0.9411764705882353,0.867483660130719,1.0,0.047619047619047616,0.18785197103781173,467.0,,,,0.0
26,0.536468869408856,0.30849030849030856,0.843082264957265,0.005910800644814616,33.0,5583.0,588.0,0.0,0.6538461538461539,0.6538461538461539,0.7243589743589743,0.8076923076923077,0.7416666666666666,0.8846153846153846,0.7545940170940172,1.0,0.02891156462585034,0.18841729472431576,475.0,,,,0.0
27,0.5377051022701731,0.2547470707805192,0.8486721611721612,0.00793507664562669,44.0,5545.0,588.0,0.0,0.6538461538461539,0.6538461538461539,0.7307692307692307,0.8076923076923077,0.7480769230769231,0.8846153846153846,0.7631868131868131,1.0,0.02891156462585034,0.1855421686746988,462.0,,,,0.0
