round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5014048100696786,0.38256503547389487,0.6894521249359958,0.009013881377321075,50.0,5547.0,588.0,0.0,0.5,0.5,0.6145833333333333,0.75,0.6348958333333334,0.84375,0.6542906746031746,1.0,0.027210884353741496,0.18107435076485237,509.0,1.95906432748538,0.0921562147900362,0.013972358655639462,0.0
1,0.5027815239379636,0.3351464450654944,0.6369181681681684,0.00882088208820882,49.0,5555.0,588.0,0.0,0.3783783783783784,0.3783783783783784,0.45045045045045046,0.5405405405405406,0.49369369369369365,0.7297297297297297,0.5313063063063063,1.0,0.023809523809523808,0.17981520966595593,506.0,,,,0.0
2,0.5037086985839514,0.3184412151793662,0.5773396164021164,0.005911859548548907,33.0,5582.0,588.0,0.0,0.25,0.25,0.3680555555555555,0.5416666666666666,0.3993055555555555,0.6666666666666666,0.4438988095238095,1.0,0.01020408163265306,0.17599436818021824,500.0,,,,0.0
3,0.5047763542369071,0.35084843255680187,0.6777447089947091,0.006874095513748191,38.0,5528.0,588.0,0.0,0.4444444444444444,0.4444444444444444,0.5308641975308641,0.6296296296296297,0.5660493827160494,0.7777777777777778,0.5915637860082305,1.0,0.02040816326530612,0.18269574544154452,511.0,,,,0.0
4,0.50590020229265,0.3491537761601456,0.6524126984126984,0.007226738934056007,40.0,5535.0,588.0,0.0,0.48,0.48,0.5533333333333332,0.64,0.5713333333333334,0.72,0.6073650793650793,1.0,0.02040816326530612,0.176,506.0,,,,0.0
5,0.5069116655428186,0.3034871059005516,0.5703079071134626,0.006551410373066424,36.0,5495.0,588.0,0.0,0.25925925925925924,0.25925925925925924,0.3641975308641975,0.5185185185185185,0.41419753086419747,0.7407407407407407,0.4498383303938859,1.0,0.011904761904761904,0.17823508894314616,511.0,,,,0.0
6,0.5079793211957744,0.3060116749835232,0.622202380952381,0.006751954513148543,38.0,5628.0,588.0,0.0,0.24,0.24,0.34666666666666673,0.48,0.42266666666666675,0.8,0.4494444444444445,1.0,0.01020408163265306,0.17724679029957205,497.0,,,,0.0
7,0.5088503034389751,0.2715963277050491,0.5414393187830687,0.005577545879812882,31.0,5558.0,588.0,0.0,0.24,0.24,0.36,0.56,0.37800000000000006,0.64,0.4232222222222222,1.0,0.01020408163265306,0.18259023354564755,516.0,,,,0.0
8,0.5098336704877501,0.3031033505884777,0.5130909247757073,0.006270154066642781,35.0,5582.0,588.0,0.0,0.34782608695652173,0.34782608695652173,0.3695652173913043,0.391304347826087,0.41739130434782606,0.6086956521739131,0.4711697722567287,1.0,0.013605442176870748,0.17992358457797847,518.0,,,,0.0
9,0.5107889413351315,0.2969574591324494,0.4946946169772257,0.0061616527727437476,34.0,5518.0,588.0,0.0,0.25,0.25,0.34722222222222215,0.4583333333333333,0.3826388888888889,0.625,0.43002645502645503,1.0,0.01020408163265306,0.1833274461321088,519.0,,,,0.0
