round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5007390618841151,0.32704266088214023,0.3867521367521368,0.008068854222700376,15.0,1859.0,189.0,0.0,0.15384615384615385,0.15384615384615385,0.19230769230769232,0.23076923076923078,0.22692307692307695,0.38461538461538464,0.3002136752136752,1.0,0.010582010582010581,0.17780580075662042,141.0,1.9877300613496933,0.054565278405719064,0.08905251579651746,0.0
1,0.5013795821836815,0.4624591947769314,0.607638888888889,0.007023230686115613,13.0,1851.0,189.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.4166666666666667,0.2916666666666667,0.5833333333333334,0.35251322751322745,1.0,0.010582010582010581,0.16992665036674817,139.0,,,,0.0
2,0.5021186440677966,0.38159177043854897,0.6505681818181818,0.008055853920515575,15.0,1862.0,189.0,0.0,0.2727272727272727,0.2727272727272727,0.4393939393939394,0.6363636363636364,0.4575757575757576,0.7272727272727273,0.49040404040404034,1.0,0.015873015873015872,0.1722488038277512,144.0,,,,0.0
3,0.5028577059519117,0.19459509315624424,0.4779942279942281,0.00823271130625686,15.0,1822.0,189.0,0.0,0.0,0.0,0.16666666666666666,0.36363636363636365,0.20757575757575755,0.5454545454545454,0.2707792207792208,1.0,0.0,0.17661691542288557,142.0,,,,0.0
4,0.5034982262514781,0.19473749792324307,0.3813131313131313,0.006970509383378016,13.0,1865.0,189.0,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.2,0.36363636363636365,0.27914862914862915,1.0,0.005291005291005291,0.17300613496932515,141.0,,,,0.0
5,0.5038923925896729,0.2631508319914117,0.3333333333333333,0.00427578834847675,8.0,1871.0,189.0,0.0,0.125,0.125,0.125,0.125,0.125,0.125,0.2421626984126984,1.0,0.005291005291005291,0.16974169741697417,138.0,,,,0.0
6,0.5043358297201419,0.4088984314427148,0.7037037037037037,0.004807692307692308,9.0,1872.0,189.0,0.0,0.2222222222222222,0.2222222222222222,0.35185185185185186,0.5555555555555556,0.4074074074074074,0.7777777777777778,0.4382716049382716,1.0,0.010582010582010581,0.17852684144818975,143.0,,,,0.0
7,0.5047792668506109,0.18050303139444143,0.4260912698412698,0.004838709677419355,9.0,1860.0,189.0,0.0,0.0,0.0,0.16666666666666666,0.42857142857142855,0.16666666666666666,0.42857142857142855,0.2446145124716553,1.0,0.0,0.1682808716707022,139.0,,,,0.0
8,0.50522270398108,0.3833996863312824,0.4629629629629629,0.004862236628849271,9.0,1851.0,189.0,0.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.24444444444444446,0.3333333333333333,0.32685185185185184,1.0,0.010582010582010581,0.178359096313912,150.0,,,,0.0
9,0.5054690579424517,0.16486928104575163,0.5333333333333334,0.0027159152634437804,5.0,1841.0,189.0,0.0,0.0,0.0,0.1,0.2,0.19,0.6,0.2435714285714286,1.0,0.0,0.1891891891891892,154.0,,,,0.0
10,0.5061588490342924,0.40871716935546726,0.4788359788359789,0.007579859231185706,14.0,1847.0,189.0,0.0,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.2708333333333333,0.4166666666666667,0.34672619047619047,1.0,0.010582010582010581,0.17786069651741293,143.0,1.9878048780487805,0.05235557022819231,0.051003475987560346,0.0
11,0.5064544737879385,0.4568332437757478,0.55,0.0032137118371719335,6.0,1867.0,189.0,0.0,0.2,0.2,0.36666666666666664,0.6,0.36666666666666664,0.6,0.41166666666666674,1.0,0.005291005291005291,0.16945107398568018,142.0,,,,0.0
12,0.5068486401261332,0.44805194805194803,0.4345238095238096,0.004310344827586207,8.0,1856.0,189.0,0.0,0.0,0.0,0.16666666666666666,0.42857142857142855,0.19523809523809524,0.5714285714285714,0.24523809523809526,1.0,0.0,0.17537313432835822,141.0,,,,0.0
13,0.5074891604256997,0.4010306279350039,0.5329861111111112,0.006974248927038627,13.0,1864.0,189.0,0.0,0.16666666666666666,0.16666666666666666,0.2638888888888889,0.4166666666666667,0.2847222222222222,0.5,0.3570436507936508,1.0,0.010582010582010581,0.17726161369193155,145.0,,,,0.0
