round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5005419787150177,0.47276765433345114,0.6442602040816328,0.006070640176600441,11.0,1812.0,189.0,0.0,0.5,0.5,0.625,0.75,0.65,0.875,0.6638888888888889,1.0,0.021164021164021163,0.16272189349112426,165.0,1.9695121951219512,0.056235107654030336,0.07740968868924919,0.0
1,0.5012317698068585,0.393791358505255,0.5801282051282052,0.0075716603569497025,14.0,1849.0,189.0,0.0,0.23076923076923078,0.23076923076923078,0.34615384615384615,0.46153846153846156,0.36153846153846153,0.5384615384615384,0.4208180708180709,1.0,0.015873015873015872,0.1669902912621359,172.0,,,,0.0
2,0.5020201024832479,0.3772258833426809,0.6125992063492064,0.008893829905503057,16.0,1799.0,189.0,0.0,0.18181818181818182,0.18181818181818182,0.3484848484848485,0.5454545454545454,0.4075757575757576,0.8181818181818182,0.43409090909090914,1.0,0.010582010582010581,0.1675025075225677,167.0,,,,0.0
3,0.5028577059519117,0.35607008760951186,0.7328042328042329,0.009189189189189189,17.0,1850.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5833333333333334,0.5194444444444445,0.9166666666666666,0.5298611111111111,1.0,0.021164021164021163,0.16484607745779542,166.0,,,,0.0
4,0.5037938510051242,0.39188560123359806,0.5886656746031746,0.010393873085339168,19.0,1828.0,189.0,0.0,0.25,0.25,0.375,0.5625,0.38749999999999996,0.625,0.43616071428571423,1.0,0.021164021164021163,0.16363636363636364,171.0,,,,0.0
5,0.5045821836815136,0.37776533659066236,0.6554487179487178,0.008611410118406888,16.0,1858.0,189.0,0.0,0.23076923076923078,0.23076923076923078,0.38461538461538464,0.6153846153846154,0.4,0.6923076923076923,0.447008547008547,1.0,0.015873015873015872,0.16600397614314116,167.0,,,,0.0
6,0.5050256208119827,0.2878649356981776,0.4835069444444444,0.0049126637554585155,9.0,1832.0,189.0,0.0,0.0,0.0,0.10416666666666666,0.25,0.15416666666666667,0.5,0.22237103174603173,1.0,0.0,0.1665024630541872,169.0,,,,0.0
7,0.5057154119038234,0.44620620310928916,0.5952380952380952,0.007522837184309511,14.0,1861.0,189.0,0.0,0.2,0.2,0.38333333333333336,0.6,0.4083333333333333,0.7,0.44373015873015875,1.0,0.010582010582010581,0.16649848637739656,165.0,,,,0.0
8,0.5066022861647616,0.40993923611111105,0.5875496031746031,0.009944751381215469,18.0,1810.0,189.0,0.0,0.21428571428571427,0.21428571428571427,0.34523809523809523,0.5714285714285714,0.3952380952380952,0.7857142857142857,0.4261904761904761,1.0,0.015873015873015872,0.16617790811339198,170.0,,,,0.0
9,0.5074891604256997,0.4292085727969349,0.5581018518518518,0.0096051227321238,18.0,1874.0,189.0,0.0,0.2,0.2,0.32222222222222224,0.4666666666666667,0.3522222222222222,0.6,0.4042592592592592,1.0,0.015873015873015872,0.17165668662674652,172.0,,,,0.0
