round,coverage,auc_feedback,uauc_feedback,precision_k,n_accepted,n_recs,n_active_users,n_skipped_users,mrr@1,hits@1,mrr@3,hits@3,mrr@5,hits@5,mrr@10,hits@10,hit_rate@1,rec_coverage@1,unique_recs@1,novelty,clustering_diff,degree_kl,replay_size
0,0.5018722901064249,0.8364369093941079,0.5296763820470717,0.020685900925421885,38.0,1837.0,189.0,0.0,0.1724137931034483,0.1724137931034483,0.23563218390804597,0.3448275862068966,0.3097701149425287,0.6551724137931034,0.35238095238095235,1.0,0.026455026455026454,0.14776632302405499,43.0,1.9451219512195121,0.054781908327403546,0.0576478641680558,0.0
1,0.5040894757587702,0.8516242155777041,0.6126157407407408,0.024311183144246355,45.0,1851.0,189.0,0.0,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5333333333333333,0.4533333333333333,0.7,0.4934126984126984,1.0,0.05291005291005291,0.1111111111111111,35.0,,,,0.0
2,0.5056661411115491,0.8925118252643294,0.6554232804232805,0.017495899398578457,32.0,1829.0,189.0,0.0,0.25,0.25,0.3819444444444444,0.5833333333333334,0.41111111111111115,0.7083333333333334,0.4542162698412698,1.0,0.031746031746031744,0.13793103448275862,44.0,,,,0.0
3,0.5067500985415846,0.8375100341159945,0.6085526315789473,0.011995637949836423,22.0,1834.0,189.0,0.0,0.21052631578947367,0.21052631578947367,0.3245614035087719,0.47368421052631576,0.3824561403508772,0.7368421052631579,0.41234335839598996,1.0,0.021164021164021163,0.13870967741935483,43.0,,,,0.0
4,0.5081296807252661,0.8217151553482488,0.5000496031746031,0.015258855585831062,28.0,1835.0,189.0,0.0,0.1,0.1,0.26666666666666666,0.45,0.2866666666666667,0.55,0.34537698412698414,1.0,0.010582010582010581,0.14906832298136646,48.0,,,,0.0
5,0.5092629089475759,0.8873710490366951,0.6655701754385965,0.012306046013911182,23.0,1869.0,189.0,0.0,0.15789473684210525,0.15789473684210525,0.3157894736842105,0.5263157894736842,0.3763157894736842,0.7894736842105263,0.40503341687552213,1.0,0.015873015873015872,0.1368421052631579,39.0,,,,0.0
6,0.5109873866771778,0.8920687480290129,0.6087776052449966,0.018949648077964266,35.0,1847.0,189.0,0.0,0.21739130434782608,0.21739130434782608,0.3623188405797101,0.5652173913043478,0.3992753623188406,0.7391304347826086,0.43502415458937194,1.0,0.026455026455026454,0.13897280966767372,46.0,,,,0.0
7,0.5120220733149389,0.8952771272443403,0.6238756613756614,0.011345218800648298,21.0,1851.0,189.0,0.0,0.2,0.2,0.3444444444444444,0.5333333333333333,0.39444444444444443,0.7333333333333333,0.42962962962962964,1.0,0.015873015873015872,0.12654320987654322,41.0,,,,0.0
8,0.5134016554986204,0.8705233888143884,0.6006944444444445,0.015225666122892877,28.0,1839.0,189.0,0.0,0.2727272727272727,0.2727272727272727,0.3636363636363636,0.5,0.4113636363636364,0.7272727272727273,0.4452561327561328,1.0,0.031746031746031744,0.1377049180327869,42.0,,,,0.0
9,0.5146826960977533,0.8541817100624389,0.4659488795518207,0.014153511159499184,26.0,1837.0,189.0,0.0,0.058823529411764705,0.058823529411764705,0.196078431372549,0.35294117647058826,0.25784313725490193,0.6470588235294118,0.30235760971055087,1.0,0.005291005291005291,0.12923076923076923,42.0,,,,0.0
10,0.5159637366968861,0.841790826148824,0.5137310606060607,0.013948497854077254,26.0,1864.0,189.0,0.0,0.18181818181818182,0.18181818181818182,0.29545454545454547,0.45454545454545453,0.325,0.5909090909090909,0.3732323232323233,1.0,0.021164021164021163,0.13588850174216027,39.0,1.9337349397590362,0.0492882556137557,0.07142148447043681,0.0
11,0.5171955065037446,0.8691366120218579,0.533234126984127,0.013477088948787063,25.0,1855.0,189.0,0.0,0.2,0.2,0.325,0.5,0.355,0.65,0.39569444444444446,1.0,0.021164021164021163,0.12828947368421054,39.0,,,,0.0
12,0.5184765471028774,0.8366340841478963,0.5235507246376813,0.014161220043572984,26.0,1836.0,189.0,0.0,0.13043478260869565,0.13043478260869565,0.25362318840579706,0.43478260869565216,0.28405797101449276,0.5652173913043478,0.33609385783298823,1.0,0.015873015873015872,0.14965986394557823,44.0,,,,0.0
13,0.5198068584942845,0.8159608129487648,0.6036706349206349,0.01457096600107933,27.0,1853.0,189.0,0.0,0.2777777777777778,0.2777777777777778,0.3796296296296296,0.5,0.44351851851851853,0.7777777777777778,0.4759259259259259,1.0,0.026455026455026454,0.12121212121212122,40.0,,,,0.0
14,0.5208415451320457,0.8565402466856425,0.5353349673202613,0.011182108626198083,21.0,1878.0,189.0,0.0,0.11764705882352941,0.11764705882352941,0.20588235294117646,0.35294117647058826,0.27352941176470585,0.6470588235294118,0.31893090569561156,1.0,0.010582010582010581,0.1525974025974026,47.0,,,,0.0
15,0.522467481277099,0.8054116147641328,0.5719246031746031,0.017934782608695653,33.0,1840.0,189.0,0.0,0.14285714285714285,0.14285714285714285,0.30357142857142855,0.4642857142857143,0.33571428571428574,0.6071428571428571,0.3885204081632653,1.0,0.021164021164021163,0.14186851211072665,41.0,,,,0.0
16,0.5230094599921167,0.8093138469160267,0.5732638888888889,0.005958829902491874,11.0,1846.0,189.0,0.0,0.1,0.1,0.25,0.5,0.29,0.7,0.3277777777777778,1.0,0.005291005291005291,0.15441176470588236,42.0,,,,0.0
17,0.5238470634607805,0.884755191705914,0.5162273242630385,0.009052183173588925,17.0,1878.0,189.0,0.0,0.14285714285714285,0.14285714285714285,0.1904761904761905,0.2857142857142857,0.2619047619047619,0.5714285714285714,0.3221938775510204,1.0,0.010582010582010581,0.14242424242424243,47.0,,,,0.0
